,Concept_ID,is,de
0,Auge::N,auga,Auge
1,Ohr::N,eyra,Ohr
2,Nase::N,nef,Nase
3,Mund::N,munnur,Mund
4,Zahn::N,tönn,Zahn
5,Zunge::N,tunga,Zunge
6,Lippe::N,vör,Lippe
7,Wange::N,kinn,Wange
8,Wange::N,vangi,Wange
9,Gesicht::N,andlit,Gesicht
10,Stirn::N,enni,Stirn
11,Haar::N,hár,Haar
12,Schnurrbart::N,yfirskegg,Schnurrbart
13,Bart::N,skegg,Bart
14,Kinn::N,haka,Kinn
15,Kiefer[Anatomie]::N,kjálki,Kiefer
16,Kiefer[Anatomie]::N,skoltur,Kiefer
17,Kehle::N,kverk,Kehle
18,Hals::N,háls,Hals
19,Genick::N,hnakki,Genick
20,Kopf::N,höfuð,Kopf
21,Rücken::N,hryggur,Rücken
22,Bauch::N,kviður,Bauch
23,Nabel::N,nafli,Nabel
24,Busen::N,barmur,Busen
25,Brust::N,brjóst,Brust
26,Schulter::N,öxl,Schulter
27,Arm::N,armur,Arm
28,Ellenbogen::N,olnbogi,Ellenbogen
29,Hand::N,hönd,Hand
30,Handfläche::N,lófi,Handfläche
31,Finger::N,fingur,Finger
32,Fingernagel::N,fingurnögl,Fingernagel
33,Nagel[Anatomie]::N,nögl,Nagel
34,Zeh::N,tá,Zeh
35,Fuß::N,fótur,Fuß
36,Ferse::N,hæll,Ferse
37,Knie::N,kné,Knie
38,Oberschenkel::N,læri,Oberschenkel
39,Bein::N,fótleggur,Bein
40,Körper::N,búkur,Körper
41,Körper::N,líkami,Körper
42,Haut::N,húð,Haut
43,Haut::N,skinn,Haut
44,Blut::N,blóð,Blut
45,Ader::N,æð,Ader
46,Sehne::N,sin,Sehne
47,Knochen::N,bein,Knochen
48,Gehirn::N,heili,Gehirn
49,Herz::N,hjarta,Herz
50,Magen::N,magi,Magen
51,Leber::N,lifur,Leber
52,Atem::N,andi,Atem
53,Atem::N,andardráttur,Atem
54,Hunger::N,hungur,Hunger
55,Träne::N,tár,Träne
56,Geschmack::N,smekkur,Geschmack
57,Geruch::N,lykt,Geruch
58,Schlaf::N,svefn,Schlaf
59,Traum::N,draumur,Traum
60,Himmel::N,himinn,Himmel
61,Sonne::N,sól,Sonne
62,Mond::N,tungl,Mond
63,Stern::N,stjarna,Stern
64,Luft::N,loft,Luft
65,Wind::N,vindur,Wind
66,Welle::N,alda,Welle
67,Welle::N,bylgja,Welle
68,Wasser::N,vatn,Wasser
69,Stein::N,steinn,Stein
70,Boden::N,botn,Boden
71,Erde::N,jörð,Erde
72,Staub::N,ryk,Staub
73,Staub::N,duft,Staub
74,Rauch::N,reykur,Rauch
75,Funke::N,neisti,Funke
76,Feuer::N,eldur,Feuer
77,Licht::N,ljós,Licht
78,Schatten::N,skuggi,Schatten
79,Wetter::N,veður,Wetter
80,Nebel::N,þoka,Nebel
81,Wolke::N,ský,Wolke
82,Regen::N,regn,Regen
83,Schnee::N,snjór,Schnee
84,Eis::N,ís,Eis
85,Frost::N,frost,Frost
86,Kälte::N,kuldi,Kälte
87,Hitze::N,hiti,Hitze
88,Raureif::N,hrím,Raureif
89,Regenbogen::N,regnbogi,Regenbogen
90,Donner::N,þruma,Donner
91,Strömung::N,straumur,Strömung
92,Tropfen::N,dropi,Tropfen
93,Schaum::N,froða,Schaum
94,Schmutz::N,óhreinindi,Schmutz
95,See::N,stöðuvatn,See
96,Sumpf::N,fen,Sumpf
97,Moor::N,mýri,Moor
98,Wiese::N,engi,Wiese
99,Wald::N,skógur,Wald
100,Hügel::N,hæð,Hügel
101,Hügel::N,hóll,Hügel
102,Anhöhe::N,hæð,Anhöhe
103,Anhöhe::N,hóll,Anhöhe
104,Berg::N,fell,Berg
105,Berg::N,fjall,Berg
106,Gipfel::N,tindur,Gipfel
107,Höhle::N,hellir,Höhle
108,Abhang::N,hlíð,Abhang
109,Abhang::N,brekka,Abhang
110,Quelle::N,lind,Quelle
111,Quelle::N,uppspretta,Quelle
112,Bach::N,lækur,Bach
113,Fluss::N,á,Fluss
114,Fluss::N,fljót,Fluss
115,Ufer::N,árbakki,Ufer
116,Ufer::N,sjávarbakki,Ufer
117,Küste::N,strönd,Küste
118,Festland::N,meginland,Festland
119,Meer::N,haf,Meer
120,Meer::N,sjór,Meer
121,Bucht::N,vík,Bucht
122,Insel::N,eyja,Insel
123,Blume::N,blóm,Blume
124,Gras::N,gras,Gras
125,Wurzel::N,rót,Wurzel
126,Baum::N,tré,Baum
127,Stamm::N,stofn,Stamm
128,Rinde::N,börkur,Rinde
129,Ast::N,grein,Ast
130,Zweig::N,angi,Zweig
131,Zweig::N,kvistur,Zweig
132,Blatt::N,blað,Blatt
133,Birke::N,birki,Birke
134,Kiefer[Baum]::N,fura,Kiefer
135,Weide[Baum]::N,víðir,Weide
136,Tanne::N,greni,Tanne
137,Horn::N,horn,Horn
138,Feder::N,fjöður,Feder
139,Fell::N,skinn,Fell
140,Flügel::N,vængur,Flügel
141,Klaue::N,kló,Klaue
142,Kralle::N,kló,Kralle
143,Schwanz::N,rófa,Schwanz
144,Schwanz::N,skott,Schwanz
145,Ei::N,egg,Ei
146,Nest::N,hreiður,Nest
147,Bau::N,greni,Bau
148,Bau::N,bæli,Bau
149,Tier::N,dýr,Tier
150,Herde::N,hjörð,Herde
151,Kuh::N,kýr,Kuh
152,Bulle::N,boli,Bulle
153,Pferd::N,hestur,Pferd
154,Schaf::N,kind,Schaf
155,Schwein::N,svín,Schwein
156,Hund::N,hundur,Hund
157,Katze::N,köttur,Katze
158,Bär::N,björn,Bär
159,Eichhörnchen::N,íkorni,Eichhörnchen
160,Elch::N,elgur,Elch
161,Fuchs::N,refur,Fuchs
162,Hase::N,héri,Hase
163,Maus::N,mús,Maus
164,Wolf::N,úlfur,Wolf
165,Vogel::N,fugl,Vogel
166,Schwarm::N,sægur,Schwarm
167,Huhn::N,hæna,Huhn
168,Hahn::N,hani,Hahn
169,Gans::N,gæs,Gans
170,Adler::N,örn,Adler
171,Ente::N,önd,Ente
172,Eule::N,uggla,Eule
173,Kranich::N,trana,Kranich
174,Krähe::N,kráka,Krähe
175,Kuckuck::N,gaukur,Kuckuck
176,Schwan::N,svanur,Schwan
177,Fisch::N,fiskur,Fisch
178,Barsch::N,aborri,Barsch
179,Hecht::N,gedda,Hecht
180,Schlange[Tier]::N,naðra,Schlange
181,Wurm::N,ormur,Wurm
182,Spinne::N,kónguló,Spinne
183,Ameise::N,maur,Ameise
184,Laus::N,lús,Laus
185,Mücke::N,mý,Mücke
186,Mücke::N,mýfluga,Mücke
187,Fliege::N,fluga,Fliege
188,Schmetterling::N,fiðrildi,Schmetterling
189,Beere::N,ber,Beere
190,Apfel::N,epli,Apfel
191,Pilz::N,sveppur,Pilz
192,Zwiebel::N,laukur,Zwiebel
193,Saat::N,fræ,Saat
194,Saat::N,útsæði,Saat
195,Korn::N,korn,Korn
196,Heu::N,hey,Heu
197,Schale::N,hýði,Schale
198,Grube::N,gryfja,Grube
199,Falle::N,gildra,Falle
200,Schlinge::N,snara,Schlinge
201,Spur::N,spor,Spur
202,Asche::N,aska,Asche
203,Dreck::N,óþverri,Dreck
204,Eisen::N,járn,Eisen
205,Gold::N,gull,Gold
