,Concept_ID,sv,ru
0,Auge::N,öga,глаз
1,Ohr::N,öra,ухо
2,Nase::N,näsa,нос
3,Mund::N,mun,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tunga,язык
6,Lippe::N,läpp,губа
7,Wange::N,kind,щека
8,Gesicht::N,syn,лицо
9,Gesicht::N,ansikte,лицо
10,Stirn::N,panna,лоб
11,Haar::N,hår,волос
12,Haar::N,hår,волосы
13,Schnurrbart::N,mustasch,ус
14,Schnurrbart::N,mustasch,усы
15,Bart::N,skägg,борода
16,Kinn::N,haka,подбородок
17,Kiefer[Anatomie]::N,käke,челюсть
18,Kehle::N,strupe,горло
19,Hals::N,hals,шея
20,Genick::N,nacke,затылок
21,Kopf::N,huvud,голова
22,Rücken::N,rygg,спина
23,Bauch::N,buk,живот
24,Bauch::N,mage,живот
25,Nabel::N,navel,пупок
26,Busen::N,barm,женская грудь
27,Brust::N,bröst,грудь
28,Schulter::N,skuldra,плечо
29,Arm::N,arm,рука
30,Ellenbogen::N,armbåge,локоть
31,Hand::N,hand,кисть
32,Handfläche::N,handflata,ладонь
33,Finger::N,finger,палец
34,Fingernagel::N,fingernagel,ноготь
35,Nagel[Anatomie]::N,nagel,ноготь
36,Zeh::N,tå,палец
37,Fuß::N,fot,ступня
38,Ferse::N,häl,пята
39,Ferse::N,häl,пятка
40,Knie::N,knä,колено
41,Oberschenkel::N,lår,бедро
42,Bein::N,ben,нога
43,Körper::N,kropp,тело
44,Haut::N,hud,кожа
45,Haut::N,skinn,кожа
46,Blut::N,blod,кровь
47,Ader::N,åder,вена
48,Ader::N,åder,сосуд
49,Sehne::N,sena,жила
50,Sehne::N,sena,тетива
51,Sehne::N,sena,сухожилие
52,Knochen::N,ben,кость
53,Gehirn::N,hjärna,мозг
54,Herz::N,hjärta,сердце
55,Magen::N,mage,желудок
56,Leber::N,lever,печень
57,Atem::N,anda,дух
58,Atem::N,anda,дыхание
59,Atem::N,andedräkt,дух
60,Atem::N,andedräkt,дыхание
61,Hunger::N,svält,голод
62,Hunger::N,hunger,голод
63,Träne::N,tår,слеза
64,Geschmack::N,smak,вкус
65,Geruch::N,lukt,запах
66,Schlaf::N,sömn,сон
67,Traum::N,dröm,сновидение
68,Himmel::N,himmel,небо
69,Sonne::N,sol,солнце
70,Mond::N,måne,луна
71,Stern::N,stjärna,звезда
72,Luft::N,luft,воздух
73,Wind::N,vind,ветер
74,Welle::N,våg,волна
75,Welle::N,bölja,волна
76,Wasser::N,vatten,вода
77,Stein::N,sten,камень
78,Boden::N,mark,почва
79,Erde::N,jord,земля
80,Staub::N,damm,пыль
81,Rauch::N,rök,дым
82,Funke::N,gnista,искра
83,Feuer::N,eld,огонь
84,Licht::N,ljus,свет
85,Schatten::N,skugga,тень
86,Wetter::N,väder,погода
87,Nebel::N,dimma,туман
88,Nebel::N,töcken,туман
89,Wolke::N,sky,облако
90,Wolke::N,moln,облако
91,Regen::N,regn,дождь
92,Schnee::N,snö,снег
93,Eis::N,is,лед
94,Frost::N,frost,мороз
95,Kälte::N,köld,холод
96,Hitze::N,hetta,жара
97,Raureif::N,rimfrost,иней
98,Regenbogen::N,regnbåge,радуга
99,Donner::N,åska,гром
100,Donner::N,dunder,гром
101,Strömung::N,strömning,течение
102,Tropfen::N,dropper,капля
103,Schaum::N,skum,пена
104,Schmutz::N,lort,грязь
105,Schmutz::N,smuts,грязь
106,See::N,sjö,озеро
107,Sumpf::N,träsk,топь
108,Moor::N,myr,болото
109,Moor::N,mosse,болото
110,Wiese::N,äng,луг
111,Wald::N,skog,лес
112,Hügel::N,höjd,холм
113,Hügel::N,kulle,холм
114,Anhöhe::N,höjd,возвышенность
115,Anhöhe::N,backe,возвышенность
116,Berg::N,berg,гора
117,Berg::N,fjäll,гора
118,Gipfel::N,topp,вершина
119,Höhle::N,håla,пещера
120,Höhle::N,grotta,пещера
121,Abhang::N,slänt,склон
122,Abhang::N,sluttning,склон
123,Quelle::N,källa,источник
124,Bach::N,bäck,ручей
125,Fluss::N,älv,река
126,Fluss::N,flod,река
127,Ufer::N,strand,берег
128,Küste::N,kust,побережье
129,Festland::N,fastland,суша
130,Meer::N,hav,море
131,Bucht::N,vik,бухта
132,Bucht::N,bukt,бухта
133,Insel::N,ö,остров
134,Blume::N,blomma,цветок
135,Blume::N,blomster,цветок
136,Gras::N,gräs,трава
137,Wurzel::N,rot,корень
138,Baum::N,träd,дерево
139,Stamm::N,stam,ствол
140,Rinde::N,bark,кора
