,Concept_ID,bn,hr
0,Auge::N,চক্ষু,oko
1,Ohr::N,কর্ণ,uho
2,Nase::N,নাক,nos
3,Mund::N,মুখ,usta
4,Zahn::N,দাঁত,zub
5,Zunge::N,জিহবা,jezik
6,Lippe::N,অধর,usna
7,Wange::N,গণ্ড,obraz
8,Gesicht::N,মুখমণ্ডল,lice
9,Stirn::N,কপাল,čelo
10,Haar::N,চুল,kosa
11,Schnurrbart::N,গোঁফ,brkovi
12,Bart::N,শ্মশ্রু,brada
13,Kinn::N,চিবুক,brada
14,Kinn::N,চিবুক,podbradak
15,Kiefer[Anatomie]::N,চোয়াল,čeljust
16,Kehle::N,কণ্ঠ,grlo
17,Hals::N,গল,vrat
18,Genick::N,ঘাড়,zatiljak
19,Kopf::N,মাথা,glava
20,Rücken::N,পৃষ্ঠ,leđa
21,Rücken::N,পৃষ্ঠ,hrbat
22,Bauch::N,উদর,trbuh
23,Nabel::N,নাভি,pupak
24,Busen::N,স্তন,sisa
25,Busen::N,স্তন,njedra
26,Brust::N,বুক,prsa
27,Schulter::N,স্কন্ধ,rame
28,Schulter::N,স্কন্ধ,pleći
29,Arm::N,বাহু,ruka
30,Ellenbogen::N,কনুই,lakat
31,Hand::N,হাত,ruka
32,Handfläche::N,করতল,dlan
33,Finger::N,আঙ্গুল,prst
34,Fingernagel::N,হাতের নখ,nokat
35,Nagel[Anatomie]::N,নখ,nokat
36,Zeh::N,আঙ্গুল,nozni prst
37,Fuß::N,পা,noga
38,Fuß::N,পা,stopalo
39,Ferse::N,গোড়ালি,peta
40,Knie::N,হাঁটু,koljeno
41,Oberschenkel::N,ঊরু,bedro
42,Bein::N,পা,noga
43,Körper::N,দেহ,tijelo
44,Haut::N,ত্বক,put
45,Haut::N,ত্বক,koža
46,Blut::N,রক্ত,krv
47,Ader::N,শিরা,žila
48,Sehne::N,কণ্ডরা,tetiva
49,Knochen::N,অস্থি,kost
50,Gehirn::N,মস্তিষ্ক,
51,Herz::N,হৃৎপিণ্ড,srce
52,Magen::N,পাকস্থলী,stomak
53,Magen::N,পাকস্থলী,želudac
54,Leber::N,যকৃৎ,jetra
55,Atem::N,শ্বাস,dah
56,Hunger::N,ক্ষুধা,glad
57,Träne::N,অশ্রু,suza
58,Geschmack::N,স্বাদ,ukus
59,Geruch::N,গন্ধ,njuh
60,Geruch::N,গন্ধ,miris
61,Schlaf::N,ঘুম,san
62,Traum::N,স্বপ্ন,san
63,Himmel::N,আকাশ,nebo
64,Sonne::N,সূর্য,sunce
