,Concept_ID,ca,hy
0,Auge::N,ull,աչք
1,Ohr::N,orella,ականջ
2,Nase::N,nas,քիթ
3,Mund::N,boca,բերան
4,Zahn::N,dent,ատամ
5,Zunge::N,llēngua,լեզու
6,Lippe::N,llavi,շրթունք
7,Wange::N,galta,այտ
8,Wange::N,galta,թուշ
9,Gesicht::N,cara,դեմք
10,Stirn::N,front,ճակատ
11,Haar::N,cabēll,մազ
12,Schnurrbart::N,bigoti,բեղ
13,Bart::N,barba,մորուք
14,Kinn::N,mentó,կզակ
15,Kinn::N,barbeta,կզակ
16,Kiefer[Anatomie]::N,queix,ծնոտ
17,Kiefer[Anatomie]::N,mandíbula,ծնոտ
18,Kehle::N,gola,կոկորդ
19,Kehle::N,gorja,կոկորդ
20,Hals::N,coll,վիզ
21,Hals::N,coll,պարանոց
22,Genick::N,nuca,ծոծրակ
23,Kopf::N,cap,գլուխ
24,Rücken::N,esquena,մեջք
25,Bauch::N,panxa,փոր
26,Bauch::N,panxa,որովայն
27,Nabel::N,llombrígol,պորտ
28,Busen::N,pit,ծոց
29,Busen::N,mama,ծոց
30,Brust::N,pit,կուրծք
31,Schulter::N,espatlla,ուս
32,Arm::N,braç,թեւ
33,Arm::N,braç,բազուկ
34,Ellenbogen::N,colze,արմունկ
35,Hand::N,mà,ձեռք
36,Handfläche::N,palma,ափ
37,Finger::N,dit,մատ
38,Fingernagel::N,ungla,եղունգ
39,Nagel[Anatomie]::N,ungla,եղունգ
40,Zeh::N,dit del peu,ոտքի մատ
41,Fuß::N,peu,ոտք
42,Ferse::N,taló,գարշապար
43,Knie::N,genoll,ծունկ
44,Oberschenkel::N,cuixa,ազդր
45,Bein::N,cama,ոտք
46,Körper::N,cos,մարմին
47,Haut::N,pell,մաշկ
48,Blut::N,sang,արյուն
49,Ader::N,vena,երակ
50,Sehne::N,tendó,ջիղ
51,Sehne::N,tendó,ձգտան
52,Knochen::N,os,ոսկոր
53,Gehirn::N,cervell,խելք
54,Herz::N,cor,սիրտ
55,Magen::N,estómac,ստամոքս
56,Leber::N,fetge,լյարդ
57,Atem::N,alè,շունչ
58,Atem::N,hàlit,շունչ
59,Hunger::N,fam,քաղց
60,Hunger::N,gana,քաղց
61,Träne::N,llàgrima,արտասուք
62,Geschmack::N,gust,համ
63,Geschmack::N,gust,բուրմունք
64,Geschmack::N,sabor,համ
65,Geschmack::N,sabor,բուրմունք
66,Geruch::N,olor,հոտ
67,Geruch::N,olor,բուրում
68,Schlaf::N,son,քուն
69,Traum::N,somni,երազ
70,Himmel::N,celm,երկինք
71,Sonne::N,sol,արեւ
72,Mond::N,lluna,լուսին
73,Stern::N,estel,աստղ
74,Stern::N,estrella,աստղ
75,Luft::N,aire,օդ
76,Wind::N,vent,քամի
77,Welle::N,ona,ալիք
78,Wasser::N,āigua,ջուր
79,Stein::N,pedra,քար
80,Boden::N,sòl,գետին
81,Erde::N,terra,հող
82,Staub::N,pols,փոշի
83,Rauch::N,fum,ծուխ
84,Funke::N,guspira,կայծ
85,Funke::N,centella,կայծ
86,Feuer::N,foc,կրակ
87,Feuer::N,foc,հրդեհ
88,Licht::N,llum,լույս
89,Schatten::N,ombra,ստվեր
90,Wetter::N,temps,եղանակ
91,Nebel::N,boira,մեգ
92,Nebel::N,boira,մառախուղ
93,Wolke::N,núvol,ամպ
94,Regen::N,pluja,անձրև
95,Schnee::N,neu,ձյուն
96,Eis::N,gel,սառույց
97,Eis::N,glaç,սառույց
98,Frost::N,glaçada,սառնամանիք
99,Kälte::N,fred,դող
100,Hitze::N,calor,շոգ
101,Raureif::N,gebre,ցօղեղեամ
102,Regenbogen::N,arc iris,ծիածան
103,Donner::N,tro,որոտ
104,Strömung::N,corrent,հոսանք
105,Tropfen::N,gota,կաթիլ
106,Schaum::N,escuma,փրփուր
107,Schmutz::N,brutícia,կեղտ
108,See::N,llac,լիճ
109,Sumpf::N,pantà,ճահիճ
110,Moor::N,pantà,ճահիճ
111,Wiese::N,prat,մարգագետին
112,Wiese::N,prada,մարգագետին
113,Wald::N,bosc,անտառ
114,Hügel::N,puig,բլուր
115,Hügel::N,pujol,բլուր
116,Anhöhe::N,turó,բարձունք
117,Berg::N,muntanya,լեռ
118,Gipfel::N,cim,գագաթ
119,Gipfel::N,cim,կատար
120,Höhle::N,cova,քարայր
121,Abhang::N,coster,լանջ
122,Abhang::N,coster,զառիվայր
123,Quelle::N,font,աղբյուր
124,Bach::N,riera,վտակ
125,Fluss::N,riu,գետ
126,Ufer::N,riba,ծովափ
127,Küste::N,costa,ափ
128,Küste::N,costa,ծովափ
129,Festland::N,terra ferma,ցամաք
130,Meer::N,mar,ծով
131,Bucht::N,cala,հաչիւն
132,Bucht::N,badia,հաչիւն
133,Insel::N,illa,վղզի
134,Blume::N,flor,ծաղիկ
135,Gras::N,herba,խոտ
136,Wurzel::N,rel,արմատ
137,Wurzel::N,arrel,արմատ
138,Baum::N,arbre,ծառ
139,Stamm::N,tronc,իրան
140,Rinde::N,escorça,կեղեւ
141,Rinde::N,escorça,հաչոց
142,Ast::N,branca,ճյուղ
143,Zweig::N,ram,ճյուղ
144,Blatt::N,fulla,տերեւ
145,Birke::N,bedoll,ցարասի
146,Kiefer[Baum]::N,pi,սոճի
147,Weide[Baum]::N,salze,ուռենի
148,Tanne::N,avet,եղեւին
149,Horn::N,corn,
150,Horn::N,banya,
151,Feder::N,ploma,փետուր
152,Fell::N,pell,մորթի
153,Flügel::N,ala,թեւ
154,Klaue::N,urpa,չանչ
155,Kralle::N,grapa,ճանկ
156,Schwanz::N,cua,պոչ
157,Ei::N,ou,ձու
158,Nest::N,niu,բույն
159,Bau::N,cau,որջ
160,Bau::N,cau,բայոց
161,Tier::N,animāl,կենդանի
162,Herde::N,ramat,հոտ
163,Kuh::N,vaca,կով
164,Bulle::N,toro,ցուլ
165,Pferd::N,cavāll,ձի
166,Schaf::N,be,ոչխար
167,Schaf::N,ovella,ոչխար
168,Schwein::N,bacó,խոզ
169,Hund::N,ca,շուն
170,Hund::N,gos,շուն
171,Katze::N,gat,կատու
172,Bär::N,ós,արջ
173,Eichhörnchen::N,esquirol,սկյուռ
174,Elch::N,ant,հիւսիսային եղջերու
175,Fuchs::N,guilla,աղվես
176,Hase::N,llebre,նապաստակ
177,Maus::N,ratolí,մուկ
178,Wolf::N,llop,գայլ
179,Vogel::N,au,թռչուն
180,Vogel::N,ocēll,թռչուն
181,Schwarm::N,bandada,երամ
182,Huhn::N,gallina,հավ
183,Hahn::N,gall,աքաղաղ
184,Gans::N,oca,սագ
185,Adler::N,àguila,արծիվ
186,Ente::N,ànec,բադ
187,Eule::N,òliba,բու
188,Eule::N,mussol,բու
189,Kranich::N,grua,կռունկ
190,Krähe::N,cornella,ագռավ
191,Kuckuck::N,cucut,կուկու
192,Schwan::N,cigne,կարապ
193,Fisch::N,peix,ձուկ
194,Barsch::N,perca,պերկես
195,Hecht::N,lluç,գայլաձուկ
196,Schlange[Tier]::N,serp,օձ
197,Wurm::N,cuc,որդ
198,Wurm::N,cuc,ճիճու
199,Spinne::N,aranya,սարդ
200,Ameise::N,formiga,միջյուն
201,Laus::N,poll,ոջիլ
202,Mücke::N,mosquit,մժղուկ
203,Fliege::N,mosca,ճանճ
204,Schmetterling::N,papallona,թիթեռ
205,Beere::N,baia,հատապտուղ
206,Apfel::N,poma,խնձոր
207,Pilz::N,bolet,սունկ
208,Zwiebel::N,ceba,սոխ
209,Saat::N,sembra,սերմ
210,Korn::N,gra,հատիկ
211,Heu::N,fenc,խոտ
212,Schale::N,closca,կեղեւ
213,Grube::N,sot,փոս
214,Grube::N,clot,փոս
215,Falle::N,trampa,ծուղակ
216,Schlinge::N,baga,խեղդան
217,Spur::N,traça,հետք
218,Asche::N,cendra,մոխիր
219,Dreck::N,llot,աղտ
220,Eisen::N,ferro,երկաթ
221,Gold::N,or,ոսկի
222,Silber::N,plata,արծաթ
223,Kohle::N,carbó,քարածուխ
224,Glas::N,vidre,ապակի
225,Lehm::N,fang,կավ
226,Lehm::N,argila,կավ
227,Sand::N,arena,ավազ
228,Mensch::N,humà,մարդ
229,Mensch::N,persona,մարդ
230,Mann::N,home,մարդ
231,Mann::N,home,տղամարդ
232,Frau::N,dona,կին
233,Kind::N,nen,զավակ
234,Junge::N,noi,տղա
235,Mädchen::N,noia,աղջիկ
236,Familie::N,família,ընտանիք
237,Großvater::N,avi,պապ
238,Großmutter::N,àvia,տատ
239,Eltern::N,pares,ծնողներ
240,Vater::N,pare,հայր
241,Mutter::N,mare,մայր
242,Sohn::N,fill,որդի
243,Tochter::N,filla,աղջիկ
