,Concept_ID,pt,ko
0,Auge::N,olho,눈
1,Ohr::N,orelha,귀
2,Nase::N,nariz,코
3,Mund::N,boca,입
4,Zahn::N,dente,이
5,Zunge::N,língua,혀
6,Lippe::N,lábio,입술
7,Wange::N,face,뺨
8,Gesicht::N,cara,얼굴
9,Gesicht::N,rosto,얼굴
10,Stirn::N,testa,이마
11,Haar::N,cabelo,털
12,Schnurrbart::N,bigode,윗수몀
13,Schnurrbart::N,bigode,코밑수염
14,Bart::N,barba,수엄
15,Kinn::N,queixo,아래턱
16,Kiefer[Anatomie]::N,maxila,턱
17,Kiefer[Anatomie]::N,mandíbula,턱
18,Kehle::N,garganta,인후
19,Hals::N,colo,목
20,Hals::N,pescoço,목
21,Genick::N,nuca,먹덜이
22,Kopf::N,cabeça,머리
23,Rücken::N,dorso,든
24,Rücken::N,costas,든
25,Bauch::N,ventre,배
26,Bauch::N,barriga,배
27,Nabel::N,umbigo,배꼽
28,Busen::N,seio,가슴속
29,Brust::N,peito,가슴
30,Schulter::N,ombro,어깨
31,Arm::N,braço,팔
32,Ellenbogen::N,cotovelo,팔쿰치
33,Hand::N,mão,손
34,Handfläche::N,palma,손바닥
35,Handfläche::N,palma da mão,손바닥
36,Finger::N,dedo,속가락
37,Fingernagel::N,unha,손톱
38,Nagel[Anatomie]::N,unha,손톱
39,Zeh::N,dedo do pé,발가락
40,Fuß::N,pé,발
41,Ferse::N,calcanhar,발꿈치
42,Knie::N,joelho,무릎
43,Oberschenkel::N,coxa,허벅다리
44,Bein::N,perna,다리
45,Körper::N,corpo,구간
46,Haut::N,pele,살갗
47,Blut::N,sangue,피
48,Ader::N,veia,정맥
49,Sehne::N,tendão,현
50,Knochen::N,osso,뼈
51,Gehirn::N,cérebro,뇌
52,Gehirn::N,cérebro,뇌수
53,Herz::N,coração,염통
54,Magen::N,estômago,위
55,Leber::N,fígado,간
56,Atem::N,fôlego,기식
57,Hunger::N,fome,공복
58,Träne::N,lágrima,눈물
59,Geschmack::N,gosto,기호
60,Geruch::N,odor,냄새
61,Geruch::N,cheiro,냄새
62,Schlaf::N,sono,수면
63,Traum::N,sonho,쿰
64,Himmel::N,céu,하늘
65,Sonne::N,sol,해
66,Mond::N,lua,달
67,Stern::N,estrela,별
68,Luft::N,ar,동준
69,Luft::N,ar,가스채
70,Wind::N,vento,바람
71,Welle::N,onda,물결
72,Wasser::N,água,물
73,Stein::N,pedra,돌
74,Boden::N,solo,바닥
75,Erde::N,terra,흙
76,Staub::N,pó,먼지
77,Rauch::N,fumo,연기
78,Funke::N,faísca,불티
79,Funke::N,centelha,불티
80,Feuer::N,fogo,불
81,Licht::N,luz,불
82,Schatten::N,sombra,어스레함
83,Wetter::N,tempo,기상
84,Nebel::N,nevoeiro,안개
85,Wolke::N,nuvem,구름
86,Regen::N,chuva,비
87,Schnee::N,neve,눈
88,Eis::N,gelo,얼음
89,Frost::N,gelo,혹한
90,Frost::N,geada,혹한
91,Kälte::N,frio,추위
92,Kälte::N,frio,차가움
93,Hitze::N,ardor,고온
94,Hitze::N,ardor,더위
95,Raureif::N,geada,
96,Regenbogen::N,arco-iris,무지개
97,Donner::N,trovão,뇌명
98,Strömung::N,corrente,유동
99,Tropfen::N,gota,물방울
100,Schaum::N,espuma,포말
101,Schmutz::N,sujidade,때
102,Schmutz::N,imundície,때
103,See::N,lago,호수
104,Sumpf::N,charco,습지
105,Sumpf::N,pântano,습지
106,Moor::N,pântano,저습지
107,Wiese::N,prado,목초지
108,Wald::N,bosque,숲
109,Wald::N,floresta,숲
110,Hügel::N,colina,언덕
111,Anhöhe::N,alto,언덕
112,Anhöhe::N,outeiro,언덕
113,Berg::N,monte,산
114,Berg::N,montanha,산
115,Gipfel::N,pico,졀졍
116,Höhle::N,caverna,공동
117,Abhang::N,encosta,몰매
118,Quelle::N,fonte,근원
119,Bach::N,regato,내
120,Bach::N,ribeiro,내
121,Fluss::N,rio,강
122,Ufer::N,beira,강변
123,Ufer::N,beira,바닷가
124,Küste::N,costa,해변
125,Küste::N,costa,해변가
126,Festland::N,terra firme,본토
127,Meer::N,mar,바다
128,Bucht::N,baía,협만
129,Insel::N,ilha,섬
130,Blume::N,flor,꽃
131,Gras::N,erva,풀
132,Wurzel::N,raiz,뿌리
133,Baum::N,árvore,나무
134,Stamm::N,tronco,대
135,Rinde::N,casca,나무껍질
136,Ast::N,ramo,가지
137,Zweig::N,galho,가지
138,Blatt::N,folha,잎
139,Birke::N,bétula,자작나무
140,Kiefer[Baum]::N,pinheiro,소나무
141,Weide[Baum]::N,salgueiro,쉬양버들
142,Tanne::N,abeto,전나무
143,Horn::N,corno,뿔
144,Horn::N,chifre,뿔
145,Feder::N,pena,깃털
146,Fell::N,pele,피혁모피
147,Flügel::N,asa,날개
148,Klaue::N,pata,갈고리 발톺
149,Kralle::N,unha,발툭
150,Kralle::N,garra,발툭
151,Schwanz::N,rabo,꼬리
152,Schwanz::N,cauda,꼬리
153,Ei::N,ovo,알
154,Nest::N,ninho,보금자리
155,Bau::N,toca,굴
156,Bau::N,covil,굴
157,Tier::N,animal,짐승
158,Herde::N,rebanho,가축의떼
159,Kuh::N,vaca,암소
160,Bulle::N,touro,황소
161,Pferd::N,cavalo,말
162,Schaf::N,ovelha,양
163,Schwein::N,porco,돼지
164,Hund::N,cão,개
165,Katze::N,gata,고양이
166,Bär::N,urso,콤
167,Eichhörnchen::N,esquilo,다람쥐
168,Elch::N,alce,고라니
169,Fuchs::N,raposa,여우
170,Hase::N,lebre,토끼
171,Maus::N,rato,쥐
172,Wolf::N,lobo,늑대
173,Vogel::N,ave,새
174,Vogel::N,pássaro,새
175,Schwarm::N,bando,뗴
176,Schwarm::N,enxame,뗴
177,Huhn::N,galinha,암탉
178,Hahn::N,galo,수탉
179,Gans::N,ganso,거위
180,Adler::N,águia,수리
181,Ente::N,pata,오리
182,Eule::N,mocho,부엉이
183,Eule::N,coruja,부엉이
184,Kranich::N,grou,두루미
185,Krähe::N,gralha,까마귀
186,Kuckuck::N,cuco,뻐꾸기
187,Schwan::N,cisne,배조
188,Fisch::N,peixe,물고기
189,Barsch::N,perca,농어
190,Hecht::N,lúcio,에속스
191,Schlange[Tier]::N,serpente,뱀
192,Wurm::N,verme,벌레
193,Spinne::N,aranha,거미
194,Ameise::N,formiga,개미
195,Laus::N,piolho,이
196,Mücke::N,mosquito,모기
197,Fliege::N,mosca,날기
198,Schmetterling::N,borboleta,나비
199,Beere::N,bago,장과
200,Apfel::N,maçã,사과
201,Pilz::N,fungo,고방이
202,Pilz::N,cogumelo,고방이
203,Zwiebel::N,cebola,양파
204,Saat::N,sementeira,씨
205,Korn::N,grão,알맹이
206,Heu::N,feno,건초
207,Schale::N,casca,피상
208,Grube::N,cova,
209,Grube::N,fossa,
210,Falle::N,armadilha,함정
211,Schlinge::N,laço,올가미
212,Schlinge::N,laço,멜빵붕대
213,Spur::N,pista,발지국
214,Spur::N,vestígio,발지국
215,Asche::N,cinza,재
216,Dreck::N,sujidade,똥
217,Dreck::N,sujidade,오물
218,Eisen::N,ferro,쇠
219,Eisen::N,ferro,철
220,Gold::N,ouro,항금
221,Silber::N,prata,은
222,Kohle::N,carvão,슻
223,Glas::N,vidro,유리
224,Lehm::N,barro,찰흙
225,Lehm::N,argila,찰흙
226,Sand::N,areia,모래
227,Mensch::N,homem,사람
228,Mensch::N,pessoa,사람
229,Mann::N,homem,남자
230,Frau::N,mulher,여자
231,Kind::N,filho,아이
232,Kind::N,criança,아이
233,Junge::N,rapaz,소녁
234,Junge::N,menino,소녁
235,Mädchen::N,menina,소녀
236,Mädchen::N,rapariga,소녀
237,Familie::N,família,가족
238,Großvater::N,avô,할아버지
239,Großmutter::N,avó,할머니
240,Eltern::N,pais,어버오
241,Vater::N,pai,아버지
242,Mutter::N,mãe,어머니
243,Sohn::N,filho,아들
244,Tochter::N,filha,딸기
245,Bruder::N,irmão,형제
246,Schwester::N,irmã,누이
247,Onkel::N,tio,백부
248,Tante::N,tia,아주머니
249,Ehemann::N,esposo,남편
250,Ehefrau::N,esposa,아내
251,Freude::N,prazer,기쁨
252,Freude::N,alegria,기쁨
253,Gelächter::N,risada,웃음
254,Gelächter::N,gargalhada,웃음
255,Glück::N,felicidade,즐거움
256,Kummer::N,aflição,슬픔
257,Kummer::N,desgosto,슬픔
258,Wunsch::N,desejo,소망
259,Lust::N,vontade,
260,Geist::N,mente,할기
261,Geist::N,espírito,할기
262,Gedanke::N,ideia,상념
263,Gedanke::N,pensamento,상념
264,Gedächtnis::N,memória,기억
265,Verstand::N,razão,분별
266,Verstand::N,razão,지능
267,Verstand::N,inteligência,분별
268,Verstand::N,inteligência,지능
269,Sinn::N,sentido,센스
270,Sinn::N,significado,센스
271,Grund::N,causa,까닭
272,Grund::N,motivo,까닭
273,Wahrheit::N,verdade,참
274,Wahrheit::N,verdade,진실
275,Gespräch::N,conversa,대화
276,Gespräch::N,conversação,대화
277,Märchen::N,conto,동화
278,Erzählung::N,conto,이야기
279,Erzählung::N,narrativa,이야기
280,Nachricht::N,mensagem,
281,Neuigkeit::N,notícia,뉴스
282,Neuigkeit::N,novidade,뉴스
283,Name::N,nome,이름
284,Rätsel::N,adivinha,수수께끼
285,Rede::N,oração,연설
286,Rede::N,discurso,연설
287,Sprache::N,língua,말
288,Stimme::N,voz,목소리
289,Wort::N,palavra,낱말
290,Zeichen::N,marca,신호
291,Ruf::N,grito,부름
292,Ruf::N,chamada,부름
293,Lärm::N,ruído,소동
294,Lärm::N,barulho,소동
295,Laut::N,som,음성
296,Ton::N,tom,목소리
297,Lied::N,canção,노래
298,Ruhe::N,calma,쉼
299,Ruhe::N,silêncio,쉼
300,Leute::N,gente,사람들
301,Leute::N,pessoas,사람들
302,Volk::N,povo,국중
303,Volk::N,nação,국중
304,Arbeit::N,trabalho,근로
305,Arbeit::N,trabalho,너무
306,Gast::N,hóspede,손님
307,Gast::N,convidado,손님
308,Geschenk::N,prenda,행하
309,Geschenk::N,presente,행하
310,Spiel::N,jogo,무리
311,Gesellschaft::N,companhia,교제
312,Hilfe::N,ajuda,거들음
313,Hilfe::N,ajuda,보좌
314,Hilfe::N,socorro,거들음
315,Hilfe::N,socorro,보좌
316,Freund::N,amigo,친구
317,Kamerad::N,camarada,동실자
318,Angelegenheit::N,assunto,용무
319,Anzahl::N,número,어떤
320,Anzahl::N,número,수
321,Anzahl::N,quantidade,어떤
322,Anzahl::N,quantidade,수
323,Art::N,tipo,정류
324,Art::N,espécie,정류
325,Stück::N,pedaço,일부분
326,Teil::N,peça,몱
327,Teil::N,peça,구훠
328,Teil::N,parte,몱
329,Teil::N,parte,구훠
330,Hälfte::N,metade,2분의
331,Kreis::N,círculo,고리
332,Kreuz::N,cruz,열십자
333,Linie::N,linha,선
334,Strich::N,traço,스침
335,Abstand::N,distância,거리
336,Entfernung::N,distância,거리
337,Gegend::N,área,곳
338,Gegend::N,área,부금
339,Gegend::N,região,곳
340,Gegend::N,região,부금
341,Platz::N,lugar,장소
342,Ort::N,sítio,장소
343,Seite::N,lado,옆면
344,Mitte::N,meio,궁간
345,Gegenstand::N,objecto,항목
346,Sache::N,coisa,뭉에
347,Rand::N,bordo,가
348,Rand::N,margem,가
