,Concept_ID,lbe,hy
0,Auge::N,я,աչք
1,Ohr::N,вичӏи,ականջ
2,Nase::N,май,քիթ
3,Mund::N,кьацӏ,բերան
4,Zahn::N,ккарччи,ատամ
5,Zunge::N,маз,լեզու
6,Lippe::N,мурччи,շրթունք
7,Wange::N,чӏав,այտ
8,Wange::N,чӏав,թուշ
9,Gesicht::N,лажин,դեմք
10,Stirn::N,ненттабакӏ,ճակատ
11,Haar::N,чӏара,մազ
12,Schnurrbart::N,ссирссилтту,բեղ
13,Bart::N,чӏири,մորուք
14,Kinn::N,лунттубакӏ,կզակ
15,Kiefer[Anatomie]::N,ххинчулул,ծնոտ
16,Kehle::N,кьакьари,կոկորդ
17,Hals::N,ссурссу,վիզ
18,Hals::N,ссурссу,պարանոց
19,Genick::N,махъабакӏ,ծոծրակ
20,Kopf::N,бакӏ,գլուխ
21,Rücken::N,ттиликӏ,մեջք
22,Bauch::N,лякьа,փոր
23,Bauch::N,лякьа,որովայն
24,Nabel::N,цӏумуккутӏ,պորտ
25,Busen::N,ккукку,ծոց
26,Brust::N,хъазам,կուրծք
27,Schulter::N,хъачӏ,ուս
28,Arm::N,ка,թեւ
29,Arm::N,ка,բազուկ
30,Ellenbogen::N,ссюрхъ,արմունկ
31,Hand::N,бартка,ձեռք
32,Handfläche::N,хъат,ափ
33,Handfläche::N,битӏянхъ,ափ
34,Finger::N,кӏисса,մատ
35,Fingernagel::N,михь,եղունգ
36,Nagel[Anatomie]::N,михь,եղունգ
37,Zeh::N,кӏисса,ոտքի մատ
38,Fuß::N,чӏанччан,ոտք
39,Ferse::N,никъа,գարշապար
40,Knie::N,ник,ծունկ
41,Oberschenkel::N,жира,ազդր
42,Bein::N,ччан,ոտք
43,Körper::N,чурх,մարմին
44,Haut::N,бурчу,մաշկ
45,Blut::N,оь,արյուն
46,Ader::N,тунну,երակ
47,Sehne::N,хьхьа,ջիղ
48,Sehne::N,хьхьа,ձգտան
49,Knochen::N,ттаркӏ,ոսկոր
50,Gehirn::N,ня,խելք
51,Herz::N,дакӏ,սիրտ
52,Herz::N,къюкӏ,սիրտ
53,Magen::N,лякьа,ստամոքս
54,Atem::N,ссихӏ ласаву,շունչ
55,Atem::N,ссихӏ бигьаву,շունչ
56,Hunger::N,ккаши,քաղց
57,Träne::N,макь,արտասուք
58,Geschmack::N,тӏин,համ
59,Geschmack::N,тӏин,բուրմունք
60,Geschmack::N,тӏааьн,համ
61,Geschmack::N,тӏааьн,բուրմունք
62,Geruch::N,кьанкь,հոտ
63,Geruch::N,кьанкь,բուրում
64,Schlaf::N,шану,քուն
65,Traum::N,макӏру,երազ
66,Himmel::N,ссав,երկինք
67,Sonne::N,баргъ,արեւ
68,Mond::N,барз,լուսին
69,Stern::N,цӏуку,աստղ
70,Luft::N,гьава,օդ
71,Wind::N,марч,քամի
72,Welle::N,щатӏи,ալիք
73,Wasser::N,щин,ջուր
74,Stein::N,чару,քար
75,Boden::N,аьрщи,գետին
76,Erde::N,аьрщи,հող
77,Staub::N,ххит,փոշի
78,Rauch::N,пуркӏу,ծուխ
79,Funke::N,пиягь,կայծ
80,Feuer::N,цӏу,կրակ
81,Feuer::N,цӏу,հրդեհ
82,Licht::N,чани,լույս
83,Schatten::N,ххют,ստվեր
84,Wetter::N,гьава,եղանակ
85,Nebel::N,шархь ттурлу,մեգ
86,Nebel::N,шархь ттурлу,մառախուղ
87,Wolke::N,ттурлу,ամպ
88,Regen::N,гъарал,անձրև
89,Schnee::N,марххала,ձյուն
90,Eis::N,микӏ,սառույց
91,Frost::N,дяркъу,սառնամանիք
92,Frost::N,замгьар,սառնամանիք
93,Kälte::N,дяркъу,դող
94,Hitze::N,кӏиришиву,շոգ
95,Raureif::N,сил,ցօղեղեամ
96,Raureif::N,бурса,ցօղեղեամ
97,Regenbogen::N,ссурул ккуртта,ծիածան
98,Donner::N,къув,որոտ
99,Strömung::N,экьинанаву,հոսանք
100,Tropfen::N,кӏунтӏ,կաթիլ
101,Schaum::N,хьама,փրփուր
102,Schmutz::N,кьяркьи,կեղտ
103,See::N,бяр,լիճ
104,Sumpf::N,кунцӏа,ճահիճ
105,Wiese::N,кьан,մարգագետին
106,Wald::N,вацӏа,անտառ
107,Hügel::N,бакӏу,բլուր
108,Berg::N,зунтту,լեռ
109,Gipfel::N,мицӏ,գագաթ
110,Gipfel::N,мицӏ,կատար
111,Höhle::N,нух,քարայր
112,Abhang::N,сун,լանջ
113,Abhang::N,сун,զառիվայր
114,Quelle::N,дайдихьу,աղբյուր
115,Quelle::N,бакӏ,աղբյուր
116,Bach::N,чӏрир нех,վտակ
117,Fluss::N,нех,գետ
118,Ufer::N,зума,ծովափ
119,Küste::N,зумаинхалу,ափ
120,Küste::N,зумаинхалу,ծովափ
121,Küste::N,зуманицӏалу,ափ
122,Küste::N,зуманицӏалу,ծովափ
123,Festland::N,кьири,ցամաք
124,Meer::N,хьхьири,ծով
