,Concept_ID,ru,en
0,Auge::N,глаз,eye
1,Ohr::N,ухо,ear
2,Nase::N,нос,nose
3,Mund::N,рот,mouth
4,Zahn::N,зуб,tooth
5,Zunge::N,язык,tongue
6,Lippe::N,губа,lip
7,Wange::N,щека,cheek
8,Gesicht::N,лицо,face
9,Stirn::N,лоб,forehead
10,Haar::N,волос,hair
11,Haar::N,волосы,hair
12,Schnurrbart::N,ус,moustache
13,Schnurrbart::N,усы,moustache
14,Bart::N,борода,beard
15,Kinn::N,подбородок,chin
16,Kiefer[Anatomie]::N,челюсть,jaw
17,Kehle::N,горло,throat
18,Hals::N,шея,neck
19,Genick::N,затылок,nape
20,Kopf::N,голова,head
21,Rücken::N,спина,back
22,Rücken::N,спина,spine
23,Bauch::N,живот,belly
24,Nabel::N,пупок,navel
25,Busen::N,женская грудь,bosom
26,Brust::N,грудь,chest
27,Brust::N,грудь,breast
28,Schulter::N,плечо,shoulder
29,Arm::N,рука,arm
30,Ellenbogen::N,локоть,elbow
31,Hand::N,кисть,hand
32,Handfläche::N,ладонь,palm
33,Finger::N,палец,finger
34,Fingernagel::N,ноготь,fingernail
35,Nagel[Anatomie]::N,ноготь,nail
36,Zeh::N,палец,toe
37,Fuß::N,ступня,foot
38,Ferse::N,пята,heel
39,Ferse::N,пятка,heel
40,Knie::N,колено,knee
41,Oberschenkel::N,бедро,thigh
42,Bein::N,нога,leg
43,Körper::N,тело,body
44,Haut::N,кожа,skin
45,Blut::N,кровь,blood
46,Ader::N,вена,vein
47,Ader::N,сосуд,vein
48,Sehne::N,жила,sinew
49,Sehne::N,тетива,sinew
50,Sehne::N,сухожилие,sinew
51,Knochen::N,кость,bone
52,Gehirn::N,мозг,brain
53,Herz::N,сердце,heart
54,Magen::N,желудок,stomach
55,Leber::N,печень,liver
56,Atem::N,дух,breath
57,Atem::N,дыхание,breath
58,Hunger::N,голод,hunger
59,Träne::N,слеза,tear
60,Geschmack::N,вкус,flavour
61,Geschmack::N,вкус,flavor
62,Geruch::N,запах,odour
63,Geruch::N,запах,odor
64,Schlaf::N,сон,sleep
65,Traum::N,сновидение,dream
66,Himmel::N,небо,sky
67,Sonne::N,солнце,sun
68,Mond::N,луна,moon
69,Stern::N,звезда,star
70,Luft::N,воздух,air
71,Wind::N,ветер,wind
72,Welle::N,волна,wave
73,Wasser::N,вода,water
74,Stein::N,камень,stone
75,Boden::N,почва,soil
76,Boden::N,почва,ground
77,Erde::N,земля,earth
78,Staub::N,пыль,dust
79,Rauch::N,дым,smoke
80,Funke::N,искра,spark
81,Feuer::N,огонь,fire
82,Licht::N,свет,light
83,Schatten::N,тень,shadow
84,Wetter::N,погода,weather
85,Nebel::N,туман,fog
86,Wolke::N,облако,cloud
87,Regen::N,дождь,rain
88,Schnee::N,снег,snow
89,Eis::N,лед,ice
90,Frost::N,мороз,frost
91,Kälte::N,холод,chill
92,Hitze::N,жара,heat
93,Raureif::N,иней,hoarfrost
94,Regenbogen::N,радуга,rainbow
95,Donner::N,гром,thunder
96,Strömung::N,течение,current
