,Concept_ID,he,kn
0,Auge::N,עין,ಕಣ್ಣು
1,Ohr::N,אזן,ಕಿವಿ
2,Nase::N,אף,ಮೂಗು
3,Nase::N,חטם,ಮೂಗು
4,Mund::N,פה,ಬಾಯಿ
5,Zahn::N,שן,ಹಲ್ಲು
6,Zunge::N,לשון,ನಾಲಿಗೆ
7,Lippe::N,שפה,ತುಟಿ
8,Wange::N,לחי,ಗಲ್ಲ
9,Gesicht::N,פנים,ಮುಖ
10,Stirn::N,מצח,ಹಣೆ
11,Haar::N,שערה,ಕೂದಲು
12,Schnurrbart::N,שפם,ಮೀಸೆ
13,Bart::N,זקן,ಗಡ್ಡ
14,Kinn::N,סנטר,ಗದ್ದ
15,Kiefer[Anatomie]::N,לסת,ದವಡೆ
16,Kehle::N,גרון,ಗಂಟಲು
17,Hals::N,צואר,ಕೊರಳು
18,Genick::N,ערף,ಹಿಂಗತ್ತು
19,Kopf::N,ראש,ತಲೆ
20,Rücken::N,גב,ಬೆನ್ನು
21,Bauch::N,בטן,ಹೊಟ್ಟೆ
22,Nabel::N,טבור,ಹೊಕ್ಕುಳು
23,Busen::N,שד,ಸ್ತನ
24,Brust::N,חזה,ಎದೆ
25,Schulter::N,כתף,ಭುಜ
26,Arm::N,זרוע,ತೋಳು
27,Ellenbogen::N,מרפק,ಮೊಣಕೈ
28,Hand::N,יד,ಕೈ
29,Handfläche::N,כף יד,ಅಂಗೈ
30,Finger::N,אצבע,ಕೈಬೆರಳು
31,Fingernagel::N,צפרן,ಉಗುರು
32,Nagel[Anatomie]::N,צפרן,ಉಗುರು
33,Zeh::N,אצבע,ಕಾಲ್ಬೆರಳು
34,Fuß::N,רגל,ಪಾದ
35,Ferse::N,עקב,ಹಿಮ್ಮಡಿ
36,Knie::N,ברך,ಮಂಡಿ
37,Oberschenkel::N,ירך,ತೊಡೆ
38,Bein::N,רגל,ಕಾಲು
39,Körper::N,גוף,ದೇಹ
40,Haut::N,עור,ಚರ್ಮ
41,Blut::N,דם,ರಕ್ತ
42,Ader::N,וריד,ನರ
43,Sehne::N,גיד,ನರ
44,Knochen::N,עצם,ಮೂಳೆ
45,Gehirn::N,מוח,ಮಿದುಳು
46,Herz::N,לב,ಹೃದಯ
47,Magen::N,קבה,ಉದರ
48,Leber::N,כבד,ಯಕೃತ್ತು
49,Atem::N,נשימה,ಉಸಿರು
50,Hunger::N,רעב,ಹಸಿವು
51,Träne::N,דמעה,ಕಣ್ಣೀರು
52,Geschmack::N,טעם,ರುಚಿ
53,Geruch::N,ריח,ವಾಸನೆ
54,Schlaf::N,שנה,ನಿದ್ರೆ
55,Traum::N,חלום,ಕನಸು
56,Himmel::N,שמים,ಬಾನು
57,Sonne::N,שמש,ಸೂರ್ಯ
58,Mond::N,ירח,ಚಂದ್ರ
59,Stern::N,כוכב,ಚುಕ್ಕಿ
60,Luft::N,אויר,ವಾಯು
61,Wind::N,רוח,ಗಾಳಿ
62,Welle::N,גל,ಅಲೆ
63,Wasser::N,מים,ನೀರು
64,Stein::N,אבן,ಕಲ್ಲು
65,Boden::N,קרקע,ನೆಲ
66,Erde::N,אדמה,ಭೂಮಿ
67,Staub::N,אבק,ದೂಳು
68,Rauch::N,עשן,ಹೊಗೆ
69,Funke::N,ניצוץ,ಕಿಡಿ
70,Feuer::N,אש,ಬೆಂಕಿ
71,Licht::N,אור,ಬೆಳಕು
72,Schatten::N,צל,ನೆರಳು
73,Wetter::N,מזג אויר,ಹವ
74,Nebel::N,ערפל,ಮಂಜು
75,Wolke::N,ענן,ಮೋಡ
76,Regen::N,גשם,ಮಳೆ
77,Schnee::N,שלג,ಹಿಮ
78,Eis::N,קרח,ಮಂಜುಗಡ್ಡೆ
79,Frost::N,צנה,ಮಂಜು
80,Kälte::N,קר,ಹಿಮ
81,Hitze::N,חם,ಉಷ್ಣ
82,Raureif::N,כפור,ಇಬ್ಬನಿ
83,Regenbogen::N,קשת,ಇಂದ್ರಚಾಪ
84,Donner::N,רעם,ಗುಡುಗು
85,Strömung::N,זרימה,ಪ್ರವಾಹ
86,Tropfen::N,טפה,ತೊಟ್ಟು
87,Schaum::N,קצף,ನೊರೆ
88,Schmutz::N,לכלוך,ಕಸ
89,See::N,אגם,ಸರೋವರ
90,Sumpf::N,בצה,ಜೌಗುಸ್ಥಳ
91,Moor::N,בצה,ಬಂಜರು ಭೂಮಿ
92,Wiese::N,מרעה,ಹುಲ್ಲುಗಾವಲು
