,Concept_ID,es,kn
0,Auge::N,ojo,ಕಣ್ಣು
1,Ohr::N,oreja,ಕಿವಿ
2,Nase::N,nariz,ಮೂಗು
3,Mund::N,boca,ಬಾಯಿ
4,Zahn::N,diente,ಹಲ್ಲು
5,Zunge::N,lengua,ನಾಲಿಗೆ
6,Lippe::N,labio,ತುಟಿ
7,Wange::N,mejilla,ಗಲ್ಲ
8,Gesicht::N,cara,ಮುಖ
9,Stirn::N,frente,ಹಣೆ
10,Haar::N,cabello,ಕೂದಲು
11,Schnurrbart::N,bigote,ಮೀಸೆ
12,Bart::N,barba,ಗಡ್ಡ
13,Kinn::N,barbilla,ಗದ್ದ
14,Kiefer[Anatomie]::N,mandíbula,ದವಡೆ
15,Kehle::N,garganta,ಗಂಟಲು
16,Hals::N,cuello,ಕೊರಳು
17,Genick::N,nuca,ಹಿಂಗತ್ತು
18,Genick::N,cerviz,ಹಿಂಗತ್ತು
19,Kopf::N,cabeza,ತಲೆ
20,Rücken::N,espalda,ಬೆನ್ನು
21,Bauch::N,vientre,ಹೊಟ್ಟೆ
22,Nabel::N,ombligo,ಹೊಕ್ಕುಳು
23,Busen::N,pecho,ಸ್ತನ
24,Brust::N,pecho,ಎದೆ
25,Schulter::N,hombro,ಭುಜ
26,Arm::N,brazo,ತೋಳು
27,Ellenbogen::N,codo,ಮೊಣಕೈ
28,Hand::N,mano,ಕೈ
29,Handfläche::N,palma,ಅಂಗೈ
30,Finger::N,dedo,ಕೈಬೆರಳು
31,Fingernagel::N,uña,ಉಗುರು
32,Nagel[Anatomie]::N,uña,ಉಗುರು
33,Zeh::N,dedo del pie,ಕಾಲ್ಬೆರಳು
34,Fuß::N,pie,ಪಾದ
35,Ferse::N,talón,ಹಿಮ್ಮಡಿ
36,Knie::N,rodilla,ಮಂಡಿ
37,Oberschenkel::N,muslo,ತೊಡೆ
38,Bein::N,pierna,ಕಾಲು
39,Körper::N,cuerpo,ದೇಹ
40,Haut::N,piel,ಚರ್ಮ
41,Blut::N,sangre,ರಕ್ತ
42,Ader::N,vena,ನರ
43,Sehne::N,tendón,ನರ
44,Knochen::N,hueso,ಮೂಳೆ
45,Gehirn::N,cerebro,ಮಿದುಳು
46,Gehirn::N,encéfalo,ಮಿದುಳು
47,Herz::N,corazón,ಹೃದಯ
48,Magen::N,estómago,ಉದರ
49,Leber::N,hígado,ಯಕೃತ್ತು
50,Atem::N,aliento,ಉಸಿರು
51,Hunger::N,hambre,ಹಸಿವು
52,Träne::N,lágrima,ಕಣ್ಣೀರು
53,Geschmack::N,gusto,ರುಚಿ
54,Geruch::N,olor,ವಾಸನೆ
55,Schlaf::N,sueño,ನಿದ್ರೆ
56,Traum::N,sueño,ಕನಸು
57,Traum::N,ensueño,ಕನಸು
58,Himmel::N,cielo,ಬಾನು
59,Sonne::N,sol,ಸೂರ್ಯ
60,Mond::N,luna,ಚಂದ್ರ
61,Stern::N,estrella,ಚುಕ್ಕಿ
62,Luft::N,aire,ವಾಯು
63,Wind::N,viento,ಗಾಳಿ
64,Welle::N,ola,ಅಲೆ
65,Welle::N,onda,ಅಲೆ
66,Wasser::N,agua,ನೀರು
67,Stein::N,piedra,ಕಲ್ಲು
68,Boden::N,suelo,ನೆಲ
69,Erde::N,tierra,ಭೂಮಿ
70,Staub::N,polvo,ದೂಳು
71,Rauch::N,humo,ಹೊಗೆ
72,Funke::N,chispa,ಕಿಡಿ
73,Feuer::N,fuego,ಬೆಂಕಿ
74,Licht::N,luz,ಬೆಳಕು
75,Schatten::N,sombra,ನೆರಳು
76,Wetter::N,tiempo,ಹವ
77,Nebel::N,niebla,ಮಂಜು
78,Wolke::N,nube,ಮೋಡ
79,Regen::N,lluvia,ಮಳೆ
80,Schnee::N,nieve,ಹಿಮ
81,Eis::N,hielo,ಮಂಜುಗಡ್ಡೆ
82,Frost::N,helada,ಮಂಜು
83,Kälte::N,frío,ಹಿಮ
84,Hitze::N,calor,ಉಷ್ಣ
85,Raureif::N,escarcha,ಇಬ್ಬನಿ
86,Regenbogen::N,arco iris,ಇಂದ್ರಚಾಪ
87,Donner::N,trueno,ಗುಡುಗು
88,Strömung::N,corriente,ಪ್ರವಾಹ
89,Tropfen::N,gota,ತೊಟ್ಟು
90,Schaum::N,espuma,ನೊರೆ
91,Schmutz::N,suciedad,ಕಸ
92,See::N,lago,ಸರೋವರ
93,Sumpf::N,pantano,ಜೌಗುಸ್ಥಳ
94,Moor::N,turbera,ಬಂಜರು ಭೂಮಿ
95,Wiese::N,prado,ಹುಲ್ಲುಗಾವಲು
96,Wiese::N,pradera,ಹುಲ್ಲುಗಾವಲು
97,Wald::N,bosque,ಕಾಡು
98,Hügel::N,colina,ಗುಡ್ಡೆ
99,Anhöhe::N,cerro,ದಿಬ್ಬ
100,Berg::N,monte,ಮಲೆ
101,Berg::N,monte,ಪರ್ವತ
102,Berg::N,montaña,ಮಲೆ
103,Berg::N,montaña,ಪರ್ವತ
104,Gipfel::N,cima,ಶೃಂಗ
105,Gipfel::N,cumbre,ಶೃಂಗ
106,Höhle::N,cueva,ಗುಹೆ
107,Höhle::N,caverna,ಗುಹೆ
108,Abhang::N,cuesta,ಇಳಿಜಾರು
109,Abhang::N,declive,ಇಳಿಜಾರು
110,Quelle::N,fuente,ಮೂಲ
111,Quelle::N,manantial,ಮೂಲ
112,Bach::N,arroyo,ತೊರೆ
113,Fluss::N,río,ನದಿ
114,Ufer::N,orilla,ತೀರ
115,Küste::N,costa,ದಂಡೆ
116,Festland::N,tierra firme,ಭೂಮಿ
117,Meer::N,mar,ಕಡಲು
118,Bucht::N,cala,ಖಾರಿ
119,Bucht::N,bahía,ಖಾರಿ
120,Insel::N,isla,ದ್ವೀಪ
121,Blume::N,flor,ಸುಮ
122,Gras::N,hierba,ಹುಲ್ಲು
123,Wurzel::N,raíz,ಬೇರು
124,Baum::N,árbol,ಮರ
125,Stamm::N,tronco,ಕಾಂಡ
126,Rinde::N,corteza,ತೂಗಟಿ
127,Ast::N,rama,ಶಾಖೆ
128,Zweig::N,ramo,ರೆಂಬೆ
129,Blatt::N,hoja,ಎಲೆ
130,Birke::N,abedul,ಬರ್ಚ್ ಮರ
131,Kiefer[Baum]::N,pino,ದೇವದಾರು ಮರ
132,Weide[Baum]::N,sauce,ವಿಲೋಮರ
133,Tanne::N,abeto,ಭದ್ರದಾರು
134,Horn::N,asta,ಕೊಂಬು
135,Horn::N,cuerno,ಕೊಂಬು
136,Feder::N,pluma,ಪುಕ್ಕ
137,Fell::N,piel,ರೋಮ
138,Flügel::N,ala,ರೆಕ್ಕೆ
139,Klaue::N,garra,ಪಂಜ
140,Kralle::N,uña,ಉಗುರು
141,Kralle::N,garra,ಉಗುರು
142,Schwanz::N,cola,ಬಾಲ
143,Ei::N,huevo,ಮೊಟ್ಟೆ
144,Nest::N,nido,ಗೂಡು
145,Bau::N,madriguera,ಅಡಗುದಾಣ
146,Tier::N,animal,ಪ್ರಾಣಿ
147,Herde::N,rebaño,ಗುಂಪು
148,Kuh::N,vaca,ಹಸು
149,Bulle::N,toro,ಗೂಳಿ
150,Pferd::N,caballo,ಕುದುರೆ
151,Schaf::N,oveja,ಕುರಿ
152,Schwein::N,cerdo,ಹಂದಿ
153,Hund::N,perro,ನಾಯಿ
154,Katze::N,gato,ಬೆಕ್ಕು
155,Bär::N,oso,ಕರಡಿ
156,Eichhörnchen::N,ardilla,ಉಡುತೆ
157,Elch::N,alce,ಕಡವೆ
158,Fuchs::N,zorro,ನರಿ
159,Hase::N,liebre,ಮೊಲ
160,Maus::N,ratón,ಇಲಿ
161,Wolf::N,lobo,ತೋಳ
162,Vogel::N,ave,ಪಕ್ಷಿ
163,Vogel::N,pájaro,ಪಕ್ಷಿ
164,Schwarm::N,bandada,ಗುಂಪು
165,Huhn::N,gallina,ಚಿಕ್
166,Hahn::N,gallo,ಹುಂಜ
167,Gans::N,oca,ವರಟೆ
168,Gans::N,ganso,ವರಟೆ
169,Adler::N,águila,ಗರುಡ
170,Ente::N,pato,ಬಾತು
171,Eule::N,lechuza,ಗೂಬೆ
172,Kranich::N,grulla,ಕೊಕ್ಕರ
173,Krähe::N,corneja,ಕಾಗೆ
174,Kuckuck::N,cuco,ಕೋಗಿಲೆ
175,Schwan::N,cisne,ಹಂಸಪಕ್ಷಿ
176,Fisch::N,pez,ಮೀನು
177,Barsch::N,perca,ಪರ್ಚ್ ಮೀನು
178,Hecht::N,lucio,ಪೈಕ್ ಮೀನು
179,Schlange[Tier]::N,serpiente,ಹಾವು
180,Wurm::N,gusano,ಹುಳು
181,Spinne::N,araña,ಊರ್ಣನಾಭ
182,Ameise::N,hormiga,ಇರುವೆ
183,Laus::N,piojo,ಹೇನು
184,Mücke::N,mosquito,ಸೊಳ್ಳೆ
185,Fliege::N,mosca,ನೊಣ
186,Schmetterling::N,mariposa,ಪತಂಗ
187,Beere::N,baya,ನಯವಣ್ಣು
188,Apfel::N,manzana,ಸೇಬು
189,Pilz::N,seta,ಅಣಬೆ
190,Pilz::N,hongo,ಅಣಬೆ
191,Zwiebel::N,cebolla,ನೀರುಳ್ಳಿ
192,Saat::N,siembra,ಬಿತ್ತ
193,Korn::N,grano,ಬೀಜ
194,Heu::N,heno,ಕರಡ
195,Schale::N,cáscara,ಹೊಟ್ಟು
196,Grube::N,foso,ಗುಂಡಿ
197,Falle::N,trampa,ಬೋನು
198,Schlinge::N,lazo,ಉರುಲು
199,Spur::N,huella,ಜಾಡು
200,Asche::N,ceniza,ಬೂದಿ
201,Dreck::N,suciedad,ಹೊಲಸು
202,Eisen::N,hierro,ಕಬ್ಬಿಣ
203,Gold::N,oro,ಚಿನ್ನ
204,Silber::N,plata,ಬೆಳ್ಳಿ
205,Kohle::N,carbón,ಕಲ್ಲಿದ್ದಲು
206,Glas::N,vidrio,ಗಾಜು
207,Glas::N,cristal,ಗಾಜು
208,Lehm::N,barro,ಜೇಡಿಮಣ್ಣು
209,Sand::N,arena,ಮರಳು
210,Mensch::N,hombre,ಪುರುಷ
211,Mensch::N,ser humano,ಪುರುಷ
212,Mann::N,hombre,ಆಳು
213,Frau::N,mujer,ಹೆಣ್ಣು
214,Kind::N,niño,ಮಗು
215,Junge::N,chico,ಹುಡುಗ
216,Junge::N,muchacho,ಹುಡುಗ
217,Mädchen::N,chica,ಹುಡುಗಿ
218,Mädchen::N,muchacha,ಹುಡುಗಿ
219,Familie::N,familia,ಕುಟುಂಬ
220,Großvater::N,abuelo,ಅಜ್ಜ
221,Großmutter::N,abuela,ಅಮ್ಮ
222,Eltern::N,padres,ಹೆತ್ತವರು
223,Vater::N,padre,ತಂದೆ
224,Mutter::N,madre,ಅಮ್ಮ
225,Sohn::N,hijo,ಮಗ 
226,Tochter::N,hija,ಮಗಳು
227,Bruder::N,hermano,ತಮ್ಮ
228,Schwester::N,hermana,ತಂಗಿ
229,Onkel::N,tío,ಸೋದರಮಾವ
230,Onkel::N,tío,ದೊಡ್ಡಪ್ಪ
231,Tante::N,tía,ಚಿಕ್ಕಮ್ಮ
232,Ehemann::N,esposo,ಗಂಡ
233,Ehefrau::N,esposa,ಹೆಂಡತಿ
234,Freude::N,placer,ನಲಿವು
235,Freude::N,alegría,ನಲಿವು
236,Gelächter::N,risa,ನಗೆ
237,Gelächter::N,carcajada,ನಗೆ
238,Glück::N,felicidad,ಆನಂದ
239,Kummer::N,pena,ದುಃಖ
240,Wunsch::N,deseo,ಬಯಕೆ
241,Lust::N,ganas,ಇಷ್ಟ
242,Geist::N,mente,ಆತ್ಮ
243,Geist::N,espíritu,ಆತ್ಮ
244,Gedanke::N,idea,ಯೋಚನೆ
245,Gedanke::N,pensamiento,ಯೋಚನೆ
246,Gedächtnis::N,memoria,ಸ್ಮರಣೆ
247,Verstand::N,razón,ಮನಸ್ಸು
248,Verstand::N,entendimiento,ಮನಸ್ಸು
249,Sinn::N,sentido,ಅರ್ಥ
250,Sinn::N,significado,ಅರ್ಥ
251,Grund::N,causa,ಕಾರಣ
252,Wahrheit::N,verdad,ಸತ್ಯ
253,Gespräch::N,conversación,ಸಂಭಾಷಣೆ
254,Märchen::N,cuento,ಸುಳ್ಳು ಕಥೆ
255,Erzählung::N,cuento,ಕಥೆ
256,Erzählung::N,narración,ಕಥೆ
257,Nachricht::N,mensaje,ಸಂದೇಶ
258,Neuigkeit::N,noticia,ಸುದ್ದಿ
259,Name::N,nombre,ಹೆಸರು
260,Rätsel::N,acertijo,ಒಗಟು
261,Rätsel::N,adivinanza,ಒಗಟು
262,Rede::N,discurso,ಮಾತು
263,Sprache::N,lengua,ಭಾಷೆ
264,Stimme::N,voz,ಧ್ವನಿ
265,Wort::N,palabra,ಮಾತು
266,Zeichen::N,señal,ಗುರುತು
267,Ruf::N,llamada,ಕೂಗು
268,Lärm::N,ruido,ಸದ್ದು
269,Lärm::N,barullo,ಸದ್ದು
270,Laut::N,sonido,ಶಬ್ದ
271,Ton::N,tono,ನಾದ
272,Lied::N,canción,ಗಾನ
273,Ruhe::N,calma,ಶಾಂತಿ
274,Ruhe::N,silencio,ಶಾಂತಿ
275,Leute::N,gente,ಮಂದಿ
276,Volk::N,pueblo,ಜನಾಂಗ
277,Arbeit::N,trabajo,ಕೆಲಸ
278,Gast::N,huésped,ಅತಿಥಿ
279,Gast::N,invitado,ಅತಿಥಿ
280,Geschenk::N,regalo,ಕಾಣಿಕೆ
281,Spiel::N,juego,ಆಟ
282,Gesellschaft::N,compañía,ಸಂಗ
283,Hilfe::N,ayuda,ಸಹಾಯ
284,Hilfe::N,socorro,ಸಹಾಯ
