,Concept_ID,bn,sah
0,Auge::N,চক্ষু,харах
1,Ohr::N,কর্ণ,кулгаах
2,Nase::N,নাক,мурун
3,Mund::N,মুখ,айах
4,Zahn::N,দাঁত,тиис
5,Zunge::N,জিহবা,тыл
6,Lippe::N,অধর,уос
7,Wange::N,গণ্ড,иэдэс
8,Gesicht::N,মুখমণ্ডল,сирэй
9,Stirn::N,কপাল,сүүс
10,Haar::N,চুল,баттах
11,Schnurrbart::N,গোঁফ,уос бытыга
12,Bart::N,শ্মশ্রু,сэҥийэ бытыга
13,Kinn::N,চিবুক,сэҥийэ
14,Kiefer[Anatomie]::N,চোয়াল,сыҥаах
15,Kehle::N,কণ্ঠ,тамах
16,Kehle::N,কণ্ঠ,күөмэй
17,Hals::N,গল,моой
18,Genick::N,ঘাড়,кэтэх
19,Kopf::N,মাথা,бас
20,Rücken::N,পৃষ্ঠ,көҕүс
21,Bauch::N,উদর,ис
22,Nabel::N,নাভি,киин
23,Busen::N,স্তন,эмиий
24,Brust::N,বুক,түөс
25,Schulter::N,স্কন্ধ,сарын
26,Arm::N,বাহু,илии
27,Ellenbogen::N,কনুই,тоҕонох
28,Hand::N,হাত,илии
29,Handfläche::N,করতল,ытыс
30,Finger::N,আঙ্গুল,тарбах
31,Fingernagel::N,হাতের নখ,тыҥырах
32,Nagel[Anatomie]::N,নখ,тыҥырах
33,Zeh::N,আঙ্গুল,тарбах
34,Fuß::N,পা,уллуҥах
35,Ferse::N,গোড়ালি,тилэх
36,Knie::N,হাঁটু,тобук
37,Knie::N,হাঁটু,дьилбэк
38,Oberschenkel::N,ঊরু,уллук
39,Oberschenkel::N,ঊরু,өттүк
40,Bein::N,পা,атах
41,Körper::N,দেহ,бэйэ
42,Haut::N,ত্বক,тирии
43,Blut::N,রক্ত,хаан
44,Ader::N,শিরা,вена
45,Ader::N,শিরা,күөх_тымыр
46,Sehne::N,কণ্ডরা,иҥиир
47,Knochen::N,অস্থি,уҥуох
48,Knochen::N,অস্থি,уҥгуох
49,Gehirn::N,মস্তিষ্ক,мэйии
50,Herz::N,হৃৎপিণ্ড,сүрэх
51,Magen::N,পাকস্থলী,куртах
