,Concept_ID,ml,sl
0,Auge::N,കണ്ണ്,okó
1,Ohr::N,ചെവി,uhó
2,Nase::N,മൂക്ക്,nós
3,Mund::N,വായ,ústa
4,Zahn::N,പല്ല്,zób
5,Zunge::N,നാക്ക്,jêzik
6,Lippe::N,ചുണ്ട്,ústnica
7,Wange::N,കവിൾത്തടം,líce
8,Gesicht::N,മുഖം,oblíčje
9,Stirn::N,നെറ്റി,čêlo
10,Haar::N,തലമുടി,lás
11,Schnurrbart::N,മീശ,bŕki
12,Bart::N,താടിരോമം,bráda
13,Kinn::N,താടി,bráda
14,Kiefer[Anatomie]::N,താടിയെല്ല്,čeljúst
15,Kehle::N,കണ്ഠനാളം,gŕlo
16,Hals::N,കഴുത്ത്,vrát
17,Genick::N,പിടലി,zatílnik
18,Kopf::N,തല,gláva
19,Rücken::N,മുതുക്,hrbèt
20,Bauch::N,നയറ്,trébuh
21,Nabel::N,നാഭി,pópek
22,Busen::N,സ്തനം,nédrja
23,Brust::N,സ്തനം,pŕsi
24,Schulter::N,തോൾ,ráma
25,Schulter::N,തോൾ,plêče
26,Arm::N,കൈ,rôka
27,Ellenbogen::N,കൈമുട്ട്,komólec
28,Hand::N,കൈ,rôka
29,Handfläche::N,ഉള്ളം കൈ,dlán
30,Finger::N,വിരൽ,pŕst
31,Fingernagel::N,നഖം,nóht na rôki
32,Nagel[Anatomie]::N,നഖം,nóht
33,Zeh::N,കാൽവിരൽ,pŕst na nôgi
34,Fuß::N,കാൽപ്പാദം,nôga
35,Ferse::N,ഉപ്പൂറ്റി,pêta
36,Knie::N,കാൽമുട്ട്,koléno
37,Oberschenkel::N,തുട,stêgno
38,Bein::N,കാൽ,nôga
39,Körper::N,ശരീരം,teló
40,Haut::N,ചർമ്മം,kóža
41,Blut::N,രക്തം,krí
42,Ader::N,ഞരമ്പ്,žíla
43,Sehne::N,സ്നായു,kíta
44,Knochen::N,അസ്ഥി,kóst
45,Gehirn::N,തലച്ചോറ്,možgáni
46,Herz::N,ഹൃദയം,srcé
47,Magen::N,വയർ,želódec
48,Leber::N,കരൾ,jétra
49,Atem::N,ശ്വാസം,díh
50,Hunger::N,വിശപ്പ്,glád
51,Träne::N,കണ്ണീർ,sólza
52,Geschmack::N,രുചി,okús
53,Geruch::N,ഗന്ധം,vónj
54,Schlaf::N,ഉറകും,sèn
55,Schlaf::N,ഉറകും,spánec
56,Traum::N,സ്വപ്നം,sánje
57,Himmel::N,ആകാശം,nebó
58,Sonne::N,സൂര്യൻ,sónce
59,Mond::N,ചന്ദ്രൻ,lúna
60,Mond::N,ചന്ദ്രൻ,mésec
61,Stern::N,നക്ഷത്രം,zvézda
62,Luft::N,കാറ്റ്,zràk
63,Wind::N,കാറ്റ്,véter
64,Welle::N,തിരമാല,vál
65,Wasser::N,വെള്ളം,vôda
66,Stein::N,ശില,kámen
67,Stein::N,കല്ല്,kámen
68,Boden::N,തറ,tlà
69,Boden::N,നിലം,tlà
70,Erde::N,മണ്ണ്,pŕst
71,Erde::N,മണ്ണ്,zêmlja
72,Staub::N,പൊടി,práh
73,Rauch::N,പുക,dìm
74,Funke::N,തീപ്പൊരി,ískra
75,Feuer::N,തീ,ôgenj
76,Licht::N,വിളക്ക്,lúč
77,Licht::N,സൂര്യപ്രകാശം,lúč
78,Schatten::N,തണൽ,sénca
79,Wetter::N,കാലാവസ്ഥ,vrême
80,Nebel::N,മൂടൽമഞ്ഞ്,meglà
81,Wolke::N,മേഘം,oblák
82,Regen::N,മഴ,dèž
83,Schnee::N,മഞ്ഞ്,snég
84,Eis::N,ഐസ്,léd
85,Frost::N,മൂടൽമഞ്ഞ്,zmrzál
86,Kälte::N,തണുപ്പ്,mràz
87,Hitze::N,ചൂട്,pripéka
88,Raureif::N,കോടമഞ്ഞ്,ívje
89,Raureif::N,കോടമഞ്ഞ്,slána
90,Regenbogen::N,മഴവില്ല്,mávrica
91,Donner::N,ഇടി,gròm
92,Strömung::N,പ്രവാഹം,strúja
93,Tropfen::N,തുള്ളി,káplja
94,Schaum::N,നുര,péna
95,Schmutz::N,അഴുക്ക്,nesnága
96,See::N,തടാകം,jézero
97,Sumpf::N,ചതുപ്പുനിലം,močvírje
98,Moor::N,പാഴ്നിലം,bárje
99,Wiese::N,പുൽത്തകിടി,trávnik
100,Wald::N,വനം,lés
101,Wald::N,വനം,gòzd
102,Wald::N,കാട്,lés
103,Wald::N,കാട്,gòzd
104,Hügel::N,കുന്ന്,brég
105,Hügel::N,കുന്ന്,goríca
106,Anhöhe::N,ഉയർന്ന ഭൂമി,gríč
107,Anhöhe::N,ഉയർന്ന ഭൂമി,višína
108,Berg::N,പർവ്വതം,gôra
109,Berg::N,പർവ്വതം,planína
