,Concept_ID,uk,cs
0,Auge::N,око,oko
1,Ohr::N,вухо,ucho
2,Nase::N,ніс,nos
3,Mund::N,рот,pusa
4,Zahn::N,зуб,zub
5,Zunge::N,язик,jazyk
6,Lippe::N,губа,ret
7,Wange::N,щока,tvář
8,Gesicht::N,обличчя,obličej
9,Stirn::N,лоб,čelo
10,Haar::N,волосся,vlas
11,Haar::N,волосся,vlasy
12,Schnurrbart::N,вуса,kníry
13,Bart::N,борода,vousy
14,Kinn::N,підборіддя,brada
15,Kiefer[Anatomie]::N,щелепа,čelist
16,Kehle::N,горло,hrdlo
17,Hals::N,шия,krk
18,Genick::N,потилиця,týl
19,Kopf::N,голова,hlava
20,Rücken::N,спина,záda
21,Rücken::N,спина,hřbet
22,Bauch::N,живіт,břicho
23,Nabel::N,пупок,pupek
24,Busen::N,груди,ňadra
25,Brust::N,груди,prsa
26,Schulter::N,плече,plece
27,Schulter::N,плече,rameno
28,Arm::N,рука,ruka
29,Ellenbogen::N,лікоть,loket
30,Hand::N,рука,ruka
31,Handfläche::N,долоня,dlaň
32,Finger::N,палець,prst
33,Fingernagel::N,ніготь,nehet
34,Nagel[Anatomie]::N,ніготь,nehet
35,Zeh::N,палець на нозі,prst u nohy
36,Fuß::N,нога,noha
37,Ferse::N,п’ятка,pata
38,Knie::N,коліно,koleno
39,Oberschenkel::N,стегно,stehno
40,Bein::N,нога,noha
41,Körper::N,тіло,tělo
42,Haut::N,шкіра,kůže
43,Blut::N,кров,krev
44,Ader::N,вена,céva
45,Sehne::N,сухожилля,šlacha
46,Knochen::N,кістка,kost
47,Gehirn::N,мозок,mozek
48,Herz::N,серце,srdce
49,Magen::N,шлунок,žaludek
50,Leber::N,печінка,játra
51,Atem::N,дихання,dech
52,Hunger::N,голод,hlad
53,Träne::N,сльоза,slza
54,Geschmack::N,смак,vkus
55,Geruch::N,запах,vůně
56,Geruch::N,запах,zápach
57,Schlaf::N,сон,spánek
58,Schlaf::N,сплячка,spánek
59,Traum::N,сон,sen
60,Himmel::N,небо,nebe
61,Sonne::N,сонце,slunce
62,Mond::N,місяць,měsíc
