,Concept_ID,te,lbe
0,Auge::N,కన్ను,я
1,Ohr::N,చెవి,вичӏи
2,Nase::N,ముక్కు,май
3,Mund::N,నోరు,кьацӏ
4,Zahn::N,పల్లు,ккарччи
5,Zunge::N,నాలుక,маз
6,Lippe::N,పెదవి,мурччи
7,Wange::N,చెంప,чӏав
8,Gesicht::N,ముఖము,лажин
9,Stirn::N,నుదురు,ненттабакӏ
10,Haar::N,వెండ్రుక,чӏара
11,Schnurrbart::N,మీసము,ссирссилтту
12,Bart::N,గడ్డము,чӏири
13,Kinn::N,గడ్డము,лунттубакӏ
14,Kiefer[Anatomie]::N,దౌడ,ххинчулул
15,Kehle::N,గొంతు,кьакьари
16,Hals::N,మెడ,ссурссу
17,Genick::N,మూపు,махъабакӏ
18,Kopf::N,తల,бакӏ
19,Rücken::N,వెన్ను,ттиликӏ
20,Bauch::N,కడుపు,лякьа
21,Nabel::N,బొడ్డు,цӏумуккутӏ
22,Busen::N,స్తనము,ккукку
23,Brust::N,ఱొమ్ము,хъазам
24,Schulter::N,భుజము,хъачӏ
25,Arm::N,చేయి,ка
26,Ellenbogen::N,మోచేయి,ссюрхъ
27,Hand::N,చేయి,бартка
28,Handfläche::N,అరచేయు,хъат
29,Handfläche::N,అరచేయు,битӏянхъ
30,Finger::N,చేతిప్రేలు,кӏисса
31,Fingernagel::N,గోరు,михь
32,Nagel[Anatomie]::N,గోరు,михь
33,Zeh::N,కాలిప్రేలు,кӏисса
34,Fuß::N,అడుగు,чӏанччан
35,Ferse::N,మడమ,никъа
36,Knie::N,మోకాలు,ник
37,Oberschenkel::N,తొడ,жира
38,Bein::N,కాలు,ччан
39,Körper::N,కాయము,чурх
40,Haut::N,చర్మము,бурчу
41,Blut::N,రక్తము,оь
42,Ader::N,సిర,тунну
43,Sehne::N,స్నాయువు,хьхьа
44,Knochen::N,ఎముక,ттаркӏ
45,Gehirn::N,మెదడు,ня
46,Herz::N,హృదయము,дакӏ
47,Herz::N,హృదయము,къюкӏ
48,Magen::N,కడుపు,лякьа
49,Leber::N,కాలేయము,
50,Atem::N,ఉపిరి,ссихӏ ласаву
51,Atem::N,ఉపిరి,ссихӏ бигьаву
52,Hunger::N,ఆకలి,ккаши
53,Träne::N,కన్నీటిచుక్క,макь
54,Geschmack::N,రుచి,тӏин
55,Geschmack::N,రుచి,тӏааьн
56,Geruch::N,వాసన,кьанкь
57,Schlaf::N,నిద్ర,шану
58,Traum::N,కల,макӏру
59,Himmel::N,ఆకాశము,ссав
60,Sonne::N,సూర్యుడు,баргъ
61,Mond::N,చంద్రుడు,барз
62,Stern::N,నక్షత్రము,цӏуку
63,Luft::N,గాలి,гьава
64,Wind::N,వీచుచున్నగాలి,марч
65,Welle::N,అల,щатӏи
66,Wasser::N,నీరు,щин
67,Stein::N,ఱాయి,чару
68,Boden::N,నేల,аьрщи
69,Erde::N,మన్ను,аьрщи
70,Staub::N,దుమ్ము,ххит
71,Rauch::N,పొగ,пуркӏу
72,Funke::N,అగ్నికణము,пиягь
73,Feuer::N,అగ్ని,цӏу
74,Licht::N,కాంతి,чани
75,Schatten::N,నీడ,ххют
76,Wetter::N,వాతావరణ స్థితి,гьава
77,Nebel::N,పొగమంచు,шархь ттурлу
78,Wolke::N,మేఘము,ттурлу
79,Regen::N,వాన,гъарал
80,Schnee::N,హిమము,марххала
81,Eis::N,మంచుగడ్డ,микӏ
82,Frost::N,పేరిన మంచు,дяркъу
83,Frost::N,పేరిన మంచు,замгьар
84,Kälte::N,చలి,дяркъу
85,Hitze::N,వేడిమి,кӏиришиву
86,Raureif::N,మంచు,сил
87,Raureif::N,మంచు,бурса
88,Regenbogen::N,ఇంద్రధనుస్సు,ссурул ккуртта
89,Donner::N,ఉరుము,къув
90,Strömung::N,ప్రవాహము,экьинанаву
91,Tropfen::N,చుక్క,кӏунтӏ
92,Schaum::N,నురుగు,хьама
93,Schmutz::N,మైల,кьяркьи
94,See::N,సరస్సు,бяр
95,Sumpf::N,చిత్తడినేల,кунцӏа
96,Moor::N,చిత్తడినేల,
97,Wiese::N,పచ్చిక బయలు,кьан
98,Wald::N,అడవి,вацӏа
99,Hügel::N,చివ్నకొండ,бакӏу
100,Anhöhe::N,కొండ,
101,Berg::N,పర్వతము,зунтту
102,Gipfel::N,శిఖరము,мицӏ
103,Höhle::N,గుహ,нух
104,Abhang::N,ఏటవాలు,сун
105,Quelle::N,మూలము,дайдихьу
106,Quelle::N,మూలము,бакӏ
107,Bach::N,కాలువ,чӏрир нех
108,Fluss::N,నది,нех
109,Ufer::N,తీరము,зума
110,Küste::N,తీరము,зумаинхалу
111,Küste::N,తీరము,зуманицӏалу
112,Festland::N,భూమి,кьири
113,Meer::N,సముద్రము,хьхьири
114,Bucht::N,మరుగు,
115,Insel::N,దీవి,жазира
116,Blume::N,పుష్పము,тӏутӏи
117,Gras::N,పచ్చగడ్డి,уртту
118,Wurzel::N,వేరు,мархха
119,Baum::N,చెట్టు,мурхь
120,Stamm::N,చెట్టుబోదె,ттарцӏ
121,Rinde::N,చెట్టుపట్ట,ккамара
122,Ast::N,కొమ్మ,матӏи
123,Zweig::N,చివుకు,къяртта
