,Concept_ID,udm,el
0,Auge::N,син,μάτι
1,Auge::N,син,οφθαλμός
2,Ohr::N,пель,αυτί
3,Nase::N,ныр,μύτη
4,Mund::N,ым,στόμα
5,Zahn::N,пинь,δόντι
6,Zunge::N,кыл,γλώσσα
7,Lippe::N,ымдур,χείλος
8,Wange::N,бам,παρειά
9,Wange::N,бам,μάγουλο
10,Gesicht::N,ымныр,πρόσωπο
11,Stirn::N,кымес,μέτωπο
12,Haar::N,йырси,μαλλιά
13,Schnurrbart::N,мыйык,μουστάκι
14,Bart::N,туш,γένια
15,Kinn::N,ангес,πιγούνι
16,Kiefer[Anatomie]::N,ан,σαγόνι
17,Kiefer[Anatomie]::N,анлы,σαγόνι
18,Kehle::N,гульым,λαρύγγι
19,Hals::N,чырты,λαιμός
20,Genick::N,йырбер,σβέρκος
21,Kopf::N,йыр,κεφάλι
22,Rücken::N,мыш,ράχη
23,Bauch::N,кӧт,κοιλιά
24,Nabel::N,гогы,αφαλός
25,Busen::N,ноны,στήθος
26,Brust::N,мӧля,στήθος
27,Schulter::N,пельпум,ώμος
28,Arm::N,суй,χέρι
29,Arm::N,суй,μπράτςο
30,Ellenbogen::N,гырпум,αγκώνας
31,Hand::N,ки,χέρι
32,Handfläche::N,ки пыдэс,παλάμη
33,Handfläche::N,кырым пыдэс,παλάμη
34,Finger::N,чиньы,δάχτυλο
35,Fingernagel::N,гижы,νύχι
36,Fingernagel::N,гиждӥнь,νύχι
37,Nagel[Anatomie]::N,гижы,νύχι
38,Zeh::N,пыдчиньы,δάχτυλο του ποδιού
39,Fuß::N,пыд,πόδι
40,Ferse::N,пыдбер,φτέρνα
41,Knie::N,пыдес,γόνατο
42,Oberschenkel::N,макес,μηρός
43,Bein::N,пыд,πόδι
44,Körper::N,мугор,σώμα
45,Körper::N,мугор,κορμί
46,Körper::N,вылтыр,σώμα
47,Körper::N,вылтыр,κορμί
48,Haut::N,ку,πετσί
49,Blut::N,вир,αίμα
50,Ader::N,вирсэр,φλέβα
51,Sehne::N,вуж,νεύρο
52,Sehne::N,вуж,τένοντας
53,Knochen::N,лы,οστό
54,Knochen::N,лы,κόκκαλο
55,Gehirn::N,вим,μυαλό
56,Gehirn::N,вим,εγκέφαλος
57,Herz::N,сюлэм,καρδιά
58,Magen::N,ӝуш,στομάχι
59,Leber::N,мус,ήπαρ
60,Leber::N,мус,συκωτί
61,Atem::N,лул,αναπνοή
62,Atem::N,шокан,αναπνοή
63,Hunger::N,кӧтсюман,πείνα
64,Träne::N,синкыли,δάκρυ
65,Geschmack::N,шӧм,γεύση
66,Geruch::N,зын,οσμή
67,Geruch::N,зын,μυρωδία
68,Schlaf::N,вӧт,ύπνος
69,Traum::N,уйвӧт,όνειρο
70,Himmel::N,ин,ουρανός
71,Sonne::N,шунды,ήλιος
72,Mond::N,толэзь,σελήνη
73,Mond::N,толэзь,φεγγάρι
74,Stern::N,кизили,άστρο
75,Stern::N,кизили,αστέρι
76,Luft::N,омыр,αέρας
77,Wind::N,тӧл,αέρας
78,Wind::N,тӧл,άνεμος
79,Welle::N,тулкым,κύμα
80,Wasser::N,ву,νερό
81,Stein::N,из,πέτρα
82,Boden::N,музъем,χώμα
83,Erde::N,му,γη
84,Staub::N,пыль,σκόνη
85,Rauch::N,ӵын,καπνός
86,Funke::N,гизьы,σπίθα
87,Funke::N,гизьы,σπινθήρας
88,Feuer::N,тыл,φωτιά
89,Licht::N,тыл,φως
90,Schatten::N,вужер,σκιά
91,Schatten::N,вужер,ίσκιος
92,Wetter::N,куазь,καιρός
93,Nebel::N,бус,ομίχλη
94,Wolke::N,пилем,σύννεφο
95,Regen::N,зор,βροχή
96,Schnee::N,лымы,χιόνι
97,Eis::N,йӧ,πάγος
98,Frost::N,кезьыт,παγωνία
99,Kälte::N,кезьыт,κρύο
100,Kälte::N,кезьыт,ψύχος
101,Hitze::N,пӧсь,ζέστη
102,Raureif::N,гӧр,πάχνη
103,Regenbogen::N,вуюись,ουράνιο τόξο
104,Donner::N,гудыри,βροντή
105,Strömung::N,бызён,ρεύμα
106,Tropfen::N,шапык,στάλα
107,Schaum::N,шукы,αφρός
108,Schmutz::N,нӧд,βρωμιά
109,Schmutz::N,дэри,βρωμιά
110,See::N,ты,λίμνη
111,Sumpf::N,нюр,βάλτος
112,Moor::N,нюр,έλος
113,Wiese::N,возь,λιβάδι
114,Wiese::N,возьвыл,λιβάδι
115,Wald::N,сик,δάσος
116,Wald::N,нюлэс,δάσος
117,Hügel::N,выр,λόφος
118,Hügel::N,вырйыл,λόφος
119,Anhöhe::N,выр,ύψωμα
120,Anhöhe::N,вырйыл,ύψωμα
121,Berg::N,гурезь,όρος
122,Berg::N,гурезь,βουνό
123,Gipfel::N,йыл,κορυφή
124,Höhle::N,гу,σπηλιά
125,Abhang::N,бам,πλαγιά
126,Quelle::N,ошмес,πηγή
127,Quelle::N,ошмес,βρύση
128,Bach::N,пичи шур,ρυάκι
129,Fluss::N,шур,ποτάμι
130,Fluss::N,шур,ποταμός
131,Ufer::N,ярдур,όχθη
132,Küste::N,вудур,ακτή
133,Küste::N,вудур,ακρογιαλιά
134,Festland::N,мувыр,στεριά
135,Meer::N,зарезь,θάλασσα
136,Bucht::N,вукож,κόλπος
137,Insel::N,вумуӵ,νησί
138,Insel::N,вумуӵ,νήσος
139,Insel::N,шормуӵ,νησί
140,Insel::N,шормуӵ,νήσος
141,Blume::N,сяська,άνθος
142,Blume::N,сяська,λουλούδι
143,Gras::N,турын,χόρτο
144,Gras::N,турын,χορτάρι
145,Wurzel::N,выжы,ρίζα
146,Baum::N,пу,δέντρο
147,Stamm::N,модос,κορμός
148,Rinde::N,сул,φλούδα
149,Ast::N,ул,κλαδί
150,Zweig::N,вай,κλαδί
151,Zweig::N,вай,κλάδος
152,Blatt::N,куар,φύλλο
153,Birke::N,кызьпу,σημύδα
154,Kiefer[Baum]::N,пужым,πεύκο
155,Weide[Baum]::N,бадьпу,ιτιά
156,Tanne::N,кыз,έλατο
157,Horn::N,сюр,κέρας
158,Horn::N,сюр,κέρατο
159,Feder::N,тылы,φτερό
160,Fell::N,ку,δέρμα
161,Fell::N,ку,τομάρι
162,Flügel::N,бурд,πτερύγιο
163,Klaue::N,гижы,κουλό
164,Kralle::N,пыд,νύχι
165,Schwanz::N,быж,ουρά
166,Ei::N,пуз,αβγό
167,Ei::N,кукей,αβγό
168,Nest::N,кар,φωλιά
169,Nest::N,пузкар,φωλιά
170,Bau::N,кар,φωλιά
171,Bau::N,гу,φωλιά
172,Tier::N,пӧйшур,ζώο
173,Herde::N,уллё,κοπάδι
174,Kuh::N,скал,αγελάδα
175,Bulle::N,ош,ταύρος
176,Bulle::N,пороз,ταύρος
177,Pferd::N,вал,άλογο
178,Schaf::N,ыж,πρόβατο
179,Schwein::N,парсь,γουρούνι
180,Hund::N,пуны,σκυλί
181,Hund::N,пуны,σκύλος
182,Katze::N,коӵыш,γάτα
183,Bär::N,гондыр,άρκτος
184,Bär::N,гондыр,αρκούδα
185,Eichhörnchen::N,коньы,βερβερίτσα
186,Elch::N,койык,άλκη
187,Fuchs::N,ӟичы,αλεπού
188,Hase::N,кеч,λαγός
189,Maus::N,шыр,ποντικός
190,Wolf::N,кион,λύκος
191,Vogel::N,тылобурдо,πουλί
192,Schwarm::N,уллё,σμήνος
193,Huhn::N,курег,κότα
194,Huhn::N,курег,όρνιθα
195,Hahn::N,атас,πετεινός
196,Gans::N,ӟазег,χήνα
197,Adler::N,ӧрзи,αετός
198,Ente::N,ӵӧж,πάπια
199,Eule::N,кучыран,κουκουβάγια
200,Kranich::N,тури,γερανός
201,Krähe::N,куака,καρακάξα
202,Kuckuck::N,кикы,κούκος
203,Schwan::N,юсь,κύκνος
204,Fisch::N,чорыг,ψάρι
205,Barsch::N,юш,πέρκα
206,Hecht::N,чипей,λούτσος
207,Schlange[Tier]::N,кый,φίδι
208,Wurm::N,нумыр,σκουλήκι
