,Concept_ID,te,nl
0,Auge::N,కన్ను,oog
1,Ohr::N,చెవి,oor
2,Nase::N,ముక్కు,neus
3,Mund::N,నోరు,mond
4,Zahn::N,పల్లు,tand
5,Zunge::N,నాలుక,tong
6,Lippe::N,పెదవి,lip
7,Wange::N,చెంప,wang
8,Gesicht::N,ముఖము,gelaat
9,Gesicht::N,ముఖము,gezicht
10,Stirn::N,నుదురు,voorhoofd
11,Haar::N,వెండ్రుక,haar
12,Schnurrbart::N,మీసము,snor
13,Bart::N,గడ్డము,baard
14,Kinn::N,గడ్డము,kin
15,Kiefer[Anatomie]::N,దౌడ,kaak
16,Kehle::N,గొంతు,keel
17,Kehle::N,గొంతు,strot
18,Hals::N,మెడ,hals
19,Genick::N,మూపు,nek
20,Kopf::N,తల,hoofd
21,Rücken::N,వెన్ను,rug
22,Bauch::N,కడుపు,buik
23,Nabel::N,బొడ్డు,navel
24,Busen::N,స్తనము,boezem
25,Brust::N,ఱొమ్ము,borst
26,Schulter::N,భుజము,schouder
27,Arm::N,చేయి,arm
28,Ellenbogen::N,మోచేయి,elleboog
29,Hand::N,చేయి,hand
30,Handfläche::N,అరచేయు,handpalm
31,Finger::N,చేతిప్రేలు,vinger
32,Fingernagel::N,గోరు,nagel
33,Nagel[Anatomie]::N,గోరు,nagel
34,Zeh::N,కాలిప్రేలు,teen
35,Fuß::N,అడుగు,voet
36,Ferse::N,మడమ,hak
37,Ferse::N,మడమ,hiel
38,Knie::N,మోకాలు,knie
39,Oberschenkel::N,తొడ,dij
40,Bein::N,కాలు,been
41,Körper::N,కాయము,lichaam
42,Haut::N,చర్మము,huid
43,Blut::N,రక్తము,bloed
44,Ader::N,సిర,ader
45,Sehne::N,స్నాయువు,pees
46,Knochen::N,ఎముక,bot
47,Knochen::N,ఎముక,been
48,Knochen::N,ఎముక,knook
49,Gehirn::N,మెదడు,hersenen
50,Herz::N,హృదయము,hart
51,Magen::N,కడుపు,maag
52,Leber::N,కాలేయము,lever
53,Atem::N,ఉపిరి,adem
54,Hunger::N,ఆకలి,honger
55,Träne::N,కన్నీటిచుక్క,traan
56,Geschmack::N,రుచి,smaak
57,Geruch::N,వాసన,geur
58,Schlaf::N,నిద్ర,slaap
59,Traum::N,కల,droom
60,Himmel::N,ఆకాశము,hemel
61,Sonne::N,సూర్యుడు,zon
62,Mond::N,చంద్రుడు,maan
63,Stern::N,నక్షత్రము,ster
64,Luft::N,గాలి,lucht
65,Wind::N,వీచుచున్నగాలి,wind
66,Welle::N,అల,golf
67,Wasser::N,నీరు,water
68,Stein::N,ఱాయి,steen
69,Boden::N,నేల,grond
70,Erde::N,మన్ను,aarde
71,Staub::N,దుమ్ము,stof
72,Rauch::N,పొగ,rook
73,Funke::N,అగ్నికణము,vonk
74,Feuer::N,అగ్ని,vuur
75,Licht::N,కాంతి,licht
76,Schatten::N,నీడ,schaduw
77,Wetter::N,వాతావరణ స్థితి,weer
78,Nebel::N,పొగమంచు,mist
79,Nebel::N,పొగమంచు,nevel
80,Wolke::N,మేఘము,wolk
81,Regen::N,వాన,regen
82,Schnee::N,హిమము,sneeuw
83,Eis::N,మంచుగడ్డ,ijs
84,Frost::N,పేరిన మంచు,vorst
85,Kälte::N,చలి,kou
86,Kälte::N,చలి,koude
87,Hitze::N,వేడిమి,hitte
88,Raureif::N,మంచు,rijp
89,Regenbogen::N,ఇంద్రధనుస్సు,regenboog
90,Donner::N,ఉరుము,donder
91,Strömung::N,ప్రవాహము,stroming
92,Tropfen::N,చుక్క,druppel
93,Schaum::N,నురుగు,schuim
94,Schmutz::N,మైల,vuil
95,See::N,సరస్సు,meer
96,Sumpf::N,చిత్తడినేల,moeras
97,Moor::N,చిత్తడినేల,veen
98,Wiese::N,పచ్చిక బయలు,wei
99,Wiese::N,పచ్చిక బయలు,weide
100,Wald::N,అడవి,bos
101,Hügel::N,చివ్నకొండ,heuvel
102,Anhöhe::N,కొండ,hoogte
103,Berg::N,పర్వతము,berg
104,Gipfel::N,శిఖరము,top
105,Höhle::N,గుహ,hol
106,Abhang::N,ఏటవాలు,helling
107,Quelle::N,మూలము,bron
108,Bach::N,కాలువ,beek
109,Fluss::N,నది,stroom
110,Ufer::N,తీరము,wal
111,Ufer::N,తీరము,oever
112,Küste::N,తీరము,kust
113,Festland::N,భూమి,vasteland
114,Meer::N,సముద్రము,zee
115,Bucht::N,మరుగు,baai
116,Bucht::N,మరుగు,inham
117,Insel::N,దీవి,eiland
118,Blume::N,పుష్పము,bloem
119,Gras::N,పచ్చగడ్డి,gras
120,Wurzel::N,వేరు,wortel
121,Baum::N,చెట్టు,boom
122,Stamm::N,చెట్టుబోదె,stam
123,Rinde::N,చెట్టుపట్ట,schors
124,Ast::N,కొమ్మ,tak
125,Zweig::N,చివుకు,twijg
126,Blatt::N,ఆకు,blad
127,Birke::N,తరహా చెట్టు,berk
128,Kiefer[Baum]::N,దేవదారు చెట్టు,den
129,Weide[Baum]::N,జాతిచెట్టు,wilg
130,Tanne::N,దేవదారుచెట్టు,spar
131,Horn::N,కొమ్ము,hoorn
