,Concept_ID,ar,sl
0,Auge::N,عين,okó
1,Ohr::N,أذن,uhó
2,Nase::N,أنف,nós
3,Mund::N,فم,ústa
4,Zahn::N,سن,zób
5,Zunge::N,لسان,jêzik
6,Lippe::N,شفة,ústnica
7,Wange::N,خد,líce
8,Wange::N,وجنة,líce
9,Gesicht::N,وجه,oblíčje
10,Stirn::N,جبين,čêlo
11,Haar::N,شعر,lás
12,Schnurrbart::N,شارب,bŕki
13,Bart::N,لحية,bráda
14,Kinn::N,ذقن,bráda
15,Kiefer[Anatomie]::N,فك,čeljúst
16,Kehle::N,حلق,gŕlo
17,Hals::N,عنق,vrát
18,Hals::N,رقبة,vrát
19,Genick::N,قفا,zatílnik
20,Kopf::N,رأس,gláva
21,Rücken::N,ظهر,hrbèt
22,Bauch::N,بطن,trébuh
23,Nabel::N,سرة,pópek
24,Busen::N,ثدي,nédrja
25,Brust::N,صدر,pŕsi
26,Schulter::N,كتف,ráma
27,Schulter::N,كتف,plêče
28,Arm::N,ذراع,rôka
29,Ellenbogen::N,كوع,komólec
30,Hand::N,يد,rôka
31,Handfläche::N,كف,dlán
32,Finger::N,إصبع,pŕst
33,Fingernagel::N,ظفر,nóht na rôki
34,Nagel[Anatomie]::N,ظفر,nóht
35,Zeh::N,إصبع القدم,pŕst na nôgi
36,Fuß::N,قدم,nôga
37,Ferse::N,كعب,pêta
38,Knie::N,ركبة,koléno
39,Oberschenkel::N,فخذ,stêgno
40,Bein::N,ساق,nôga
41,Körper::N,جسم,teló
42,Haut::N,بشرة,kóža
43,Blut::N,دم,krí
44,Ader::N,عرق,žíla
45,Sehne::N,طنب,kíta
46,Knochen::N,عظم,kóst
47,Gehirn::N,دماغ,možgáni
48,Herz::N,قلب,srcé
49,Magen::N,معدة,želódec
50,Leber::N,كبد,jétra
51,Atem::N,نفس,díh
52,Hunger::N,جوع,glád
53,Träne::N,دمعة,sólza
54,Geschmack::N,طعم,okús
55,Geschmack::N,مذاق,okús
56,Geruch::N,رائحة,vónj
57,Schlaf::N,نوم,sèn
58,Schlaf::N,نوم,spánec
59,Schlaf::N,منام,sèn
60,Schlaf::N,منام,spánec
61,Traum::N,حلم,sánje
62,Himmel::N,سماء,nebó
63,Sonne::N,شمس,sónce
64,Mond::N,قمر,lúna
65,Mond::N,قمر,mésec
66,Stern::N,نجم,zvézda
67,Stern::N,كوكب,zvézda
68,Luft::N,هواء,zràk
69,Wind::N,ريح,véter
70,Welle::N,موجة,vál
71,Wasser::N,ماء,vôda
72,Stein::N,حجر,kámen
73,Boden::N,تراب,tlà
74,Erde::N,أرض,pŕst
75,Erde::N,أرض,zêmlja
76,Staub::N,غبار,práh
77,Rauch::N,دخان,dìm
78,Funke::N,شرارة,ískra
79,Feuer::N,نار,ôgenj
80,Licht::N,نور,lúč
81,Licht::N,ضوء,lúč
82,Schatten::N,ظل,sénca
83,Schatten::N,فيء,sénca
84,Wetter::N,جو,vrême
85,Wetter::N,طقس,vrême
86,Nebel::N,ضباب,meglà
87,Wolke::N,غيمة,oblák
88,Wolke::N,سحابة,oblák
89,Regen::N,مطر,dèž
90,Schnee::N,ثلج,snég
91,Eis::N,جليد,léd
92,Frost::N,صقيع,zmrzál
93,Kälte::N,برد,mràz
94,Hitze::N,حر,pripéka
95,Hitze::N,حرارة,pripéka
96,Raureif::N,صقيع,ívje
97,Raureif::N,صقيع,slána
98,Regenbogen::N,قوس قزح,mávrica
99,Donner::N,رعد,gròm
100,Strömung::N,تيار,strúja
101,Tropfen::N,قطرة,káplja
102,Schaum::N,زبد,péna
103,Schaum::N,رغوة,péna
104,Schmutz::N,وسخ,nesnága
105,See::N,بحيرة,jézero
106,Sumpf::N,مستنقع,močvírje
107,Moor::N,مستنقع,bárje
108,Wiese::N,مرج,trávnik
109,Wald::N,غابة,lés
110,Wald::N,غابة,gòzd
111,Hügel::N,تل,brég
112,Hügel::N,تل,goríca
113,Anhöhe::N,تل,gríč
114,Anhöhe::N,تل,višína
115,Berg::N,جبل,gôra
116,Berg::N,جبل,planína
117,Gipfel::N,قمة,vŕh
118,Höhle::N,كهف,jáma
119,Höhle::N,كهف,votlína
120,Abhang::N,منحدر,pobóčje
121,Quelle::N,منبع,izvír
122,Bach::N,مجرى,pôtok
123,Fluss::N,نهر,réka
124,Ufer::N,ضفة,brég
125,Küste::N,ساحل,obála
126,Küste::N,ساحل,obréžje
127,Festland::N,بر,celína
128,Festland::N,بر,kopnína
129,Meer::N,بحر,mórje
130,Bucht::N,خليج,zalív
131,Insel::N,جزيرة,ôtok
132,Blume::N,زهرة,cvetlíca
133,Gras::N,حشيش,tráva
134,Wurzel::N,أصل,korenína
135,Baum::N,شجرة,drevó
136,Stamm::N,جذع,dêblo
137,Rinde::N,قشرة,lúbje
138,Rinde::N,قشرة,skórja
139,Ast::N,فرع,véja
140,Zweig::N,غصن,véja
141,Blatt::N,ورقة,líst
142,Birke::N,قضبان,bréza
143,Kiefer[Baum]::N,صنوبرة,bòr
144,Weide[Baum]::N,صفصاف,vŕba
145,Tanne::N,شوح,hója
146,Tanne::N,تبوب,hója
147,Horn::N,قرن,róg
148,Feder::N,ريشة,peró
149,Fell::N,فرو,kŕzno
150,Flügel::N,جناح,krílo
151,Klaue::N,مخلب,párkelj
152,Kralle::N,مخلب,krémpelj
153,Schwanz::N,ذيل,rèp
154,Ei::N,بيض,jájce
155,Nest::N,عش,gnézdo
156,Bau::N,جحر,brlòg
157,Tier::N,حيوان,živál
158,Herde::N,قطيع,čréda
159,Kuh::N,بقرة,kráva
160,Bulle::N,ثور,bìk
161,Pferd::N,خيل,kònj
162,Schaf::N,شاة,ôvca
163,Schwein::N,خنزير,svínja
164,Hund::N,كلب,pès
165,Katze::N,قطة,máčka
166,Bär::N,دب,mêdved
167,Eichhörnchen::N,سنجاب,véverica
168,Elch::N,موظ,lós
169,Fuchs::N,ثعلب,lisíca
170,Hase::N,أرنب,zájec
171,Maus::N,فأرة,mìš
172,Wolf::N,ذئب,vólk
173,Vogel::N,طير,ptìč
174,Vogel::N,طير,ptíca
175,Schwarm::N,سرب,játa
176,Huhn::N,دجاجة,kokóš
177,Hahn::N,ديك,petêlin
178,Gans::N,وزة,gós
179,Adler::N,نسر,ôrel
180,Ente::N,بطة,ráca
181,Eule::N,بوم,sôva
182,Kranich::N,كركي,žerjàv
183,Krähe::N,غراب,vrána
184,Kuckuck::N,وقواق,kúkavica
185,Schwan::N,إوز عراقي,labód
186,Fisch::N,سمك,ríba
187,Barsch::N,فرخ أوربي,ostríž
188,Hecht::N,سمك الكراكي,ščúka
189,Schlange[Tier]::N,حية,káča
190,Schlange[Tier]::N,ثعبان,káča
191,Wurm::N,دودة,čr̀v
192,Wurm::N,دودة,glísta
193,Spinne::N,عنكبوت,pájek
194,Ameise::N,نملة,mrávlja
