,Concept_ID,ar,nl
0,Auge::N,عين,oog
1,Ohr::N,أذن,oor
2,Nase::N,أنف,neus
3,Mund::N,فم,mond
4,Zahn::N,سن,tand
5,Zunge::N,لسان,tong
6,Lippe::N,شفة,lip
7,Wange::N,خد,wang
8,Wange::N,وجنة,wang
9,Gesicht::N,وجه,gelaat
10,Gesicht::N,وجه,gezicht
11,Stirn::N,جبين,voorhoofd
12,Haar::N,شعر,haar
13,Schnurrbart::N,شارب,snor
14,Bart::N,لحية,baard
15,Kinn::N,ذقن,kin
16,Kiefer[Anatomie]::N,فك,kaak
17,Kehle::N,حلق,keel
18,Kehle::N,حلق,strot
19,Hals::N,عنق,hals
20,Hals::N,رقبة,hals
21,Genick::N,قفا,nek
22,Kopf::N,رأس,hoofd
23,Rücken::N,ظهر,rug
24,Bauch::N,بطن,buik
25,Nabel::N,سرة,navel
26,Busen::N,ثدي,boezem
27,Brust::N,صدر,borst
28,Schulter::N,كتف,schouder
29,Arm::N,ذراع,arm
30,Ellenbogen::N,كوع,elleboog
31,Hand::N,يد,hand
32,Handfläche::N,كف,handpalm
33,Finger::N,إصبع,vinger
34,Fingernagel::N,ظفر,nagel
35,Nagel[Anatomie]::N,ظفر,nagel
36,Zeh::N,إصبع القدم,teen
37,Fuß::N,قدم,voet
38,Ferse::N,كعب,hak
39,Ferse::N,كعب,hiel
40,Knie::N,ركبة,knie
41,Oberschenkel::N,فخذ,dij
42,Bein::N,ساق,been
43,Körper::N,جسم,lichaam
44,Haut::N,بشرة,huid
45,Blut::N,دم,bloed
46,Ader::N,عرق,ader
47,Sehne::N,طنب,pees
48,Knochen::N,عظم,bot
49,Knochen::N,عظم,been
50,Knochen::N,عظم,knook
51,Gehirn::N,دماغ,hersenen
52,Herz::N,قلب,hart
53,Magen::N,معدة,maag
54,Leber::N,كبد,lever
55,Atem::N,نفس,adem
56,Hunger::N,جوع,honger
57,Träne::N,دمعة,traan
58,Geschmack::N,طعم,smaak
59,Geschmack::N,مذاق,smaak
60,Geruch::N,رائحة,geur
61,Schlaf::N,نوم,slaap
62,Schlaf::N,منام,slaap
63,Traum::N,حلم,droom
64,Himmel::N,سماء,hemel
65,Sonne::N,شمس,zon
66,Mond::N,قمر,maan
67,Stern::N,نجم,ster
68,Stern::N,كوكب,ster
69,Luft::N,هواء,lucht
70,Wind::N,ريح,wind
71,Welle::N,موجة,golf
72,Wasser::N,ماء,water
73,Stein::N,حجر,steen
74,Boden::N,تراب,grond
75,Erde::N,أرض,aarde
76,Staub::N,غبار,stof
77,Rauch::N,دخان,rook
78,Funke::N,شرارة,vonk
79,Feuer::N,نار,vuur
80,Licht::N,نور,licht
81,Licht::N,ضوء,licht
82,Schatten::N,ظل,schaduw
83,Schatten::N,فيء,schaduw
84,Wetter::N,جو,weer
85,Wetter::N,طقس,weer
86,Nebel::N,ضباب,mist
87,Nebel::N,ضباب,nevel
88,Wolke::N,غيمة,wolk
89,Wolke::N,سحابة,wolk
90,Regen::N,مطر,regen
91,Schnee::N,ثلج,sneeuw
92,Eis::N,جليد,ijs
93,Frost::N,صقيع,vorst
94,Kälte::N,برد,kou
95,Kälte::N,برد,koude
96,Hitze::N,حر,hitte
97,Hitze::N,حرارة,hitte
98,Raureif::N,صقيع,rijp
99,Regenbogen::N,قوس قزح,regenboog
100,Donner::N,رعد,donder
101,Strömung::N,تيار,stroming
102,Tropfen::N,قطرة,druppel
103,Schaum::N,زبد,schuim
104,Schaum::N,رغوة,schuim
105,Schmutz::N,وسخ,vuil
106,See::N,بحيرة,meer
107,Sumpf::N,مستنقع,moeras
108,Moor::N,مستنقع,veen
109,Wiese::N,مرج,wei
110,Wiese::N,مرج,weide
111,Wald::N,غابة,bos
112,Hügel::N,تل,heuvel
113,Anhöhe::N,تل,hoogte
114,Berg::N,جبل,berg
115,Gipfel::N,قمة,top
116,Höhle::N,كهف,hol
117,Abhang::N,منحدر,helling
118,Quelle::N,منبع,bron
119,Bach::N,مجرى,beek
120,Fluss::N,نهر,stroom
121,Ufer::N,ضفة,wal
122,Ufer::N,ضفة,oever
123,Küste::N,ساحل,kust
124,Festland::N,بر,vasteland
125,Meer::N,بحر,zee
126,Bucht::N,خليج,baai
127,Bucht::N,خليج,inham
128,Insel::N,جزيرة,eiland
129,Blume::N,زهرة,bloem
130,Gras::N,حشيش,gras
131,Wurzel::N,أصل,wortel
132,Baum::N,شجرة,boom
133,Stamm::N,جذع,stam
134,Rinde::N,قشرة,schors
135,Ast::N,فرع,tak
136,Zweig::N,غصن,twijg
137,Blatt::N,ورقة,blad
138,Birke::N,قضبان,berk
139,Kiefer[Baum]::N,صنوبرة,den
140,Weide[Baum]::N,صفصاف,wilg
141,Tanne::N,شوح,spar
142,Tanne::N,تبوب,spar
143,Horn::N,قرن,hoorn
144,Feder::N,ريشة,veer
145,Feder::N,ريشة,pluim
146,Fell::N,فرو,vel
147,Flügel::N,جناح,vleugel
148,Klaue::N,مخلب,klauw
149,Kralle::N,مخلب,klauw
150,Schwanz::N,ذيل,staart
151,Ei::N,بيض,ei
152,Nest::N,عش,nest
153,Bau::N,جحر,hol
154,Tier::N,حيوان,dier
155,Herde::N,قطيع,kudde
156,Kuh::N,بقرة,koe
157,Bulle::N,ثور,stier
158,Pferd::N,خيل,paard
159,Schaf::N,شاة,schaap
160,Schwein::N,خنزير,varken
161,Hund::N,كلب,hond
162,Katze::N,قطة,kat
163,Bär::N,دب,beer
164,Eichhörnchen::N,سنجاب,eekhoorntje
165,Elch::N,موظ,eland
166,Fuchs::N,ثعلب,vos
167,Hase::N,أرنب,haas
168,Maus::N,فأرة,muis
169,Wolf::N,ذئب,wolf
170,Vogel::N,طير,vogel
171,Schwarm::N,سرب,zwerm
172,Huhn::N,دجاجة,kip
173,Huhn::N,دجاجة,hoen
174,Hahn::N,ديك,haan
175,Gans::N,وزة,gans
176,Adler::N,نسر,arend
177,Ente::N,بطة,eend
178,Eule::N,بوم,uil
179,Kranich::N,كركي,kraanvogel
180,Krähe::N,غراب,kraai
181,Kuckuck::N,وقواق,koekoek
182,Schwan::N,إوز عراقي,zwaan
183,Fisch::N,سمك,vis
184,Barsch::N,فرخ أوربي,baars
185,Hecht::N,سمك الكراكي,snoek
186,Schlange[Tier]::N,حية,slang
187,Schlange[Tier]::N,ثعبان,slang
188,Wurm::N,دودة,worm
189,Spinne::N,عنكبوت,spin
190,Ameise::N,نملة,mier
191,Laus::N,قملة,luis
192,Mücke::N,ناموسة,mug
193,Fliege::N,ذبابة,vlieg
194,Schmetterling::N,فراشة,vlinder
195,Beere::N,حبة,bes
196,Apfel::N,تفاح,appel
197,Pilz::N,فطر,paddestoel
198,Zwiebel::N,بصل,ui
199,Saat::N,زرع,zaad
200,Korn::N,حبة,graan
201,Korn::N,حبة,korrel
202,Heu::N,دريس,hooi
203,Schale::N,قشرة,schil
204,Grube::N,نقرة,kuil
205,Falle::N,فخ,val
206,Falle::N,مصيدة,val
207,Schlinge::N,عروة,strop
208,Spur::N,أثر,spoor
209,Asche::N,رماد,as
210,Dreck::N,قذر,drek
211,Eisen::N,حديد,ijzer
212,Gold::N,ذهب,goud
213,Silber::N,فضة,zilver
214,Kohle::N,فحم,kool
215,Glas::N,زجاج,glas
216,Lehm::N,طين,klei
217,Sand::N,رمل,zand
218,Mensch::N,إنسان,mens
219,Mann::N,رجل,man
220,Frau::N,امرأة,vrouw
221,Kind::N,طفل,kind
222,Junge::N,ولد,jongen
223,Mädchen::N,بنت,meisje
224,Familie::N,عائلة,gezin
225,Familie::N,عائلة,familie
226,Großvater::N,جد,grootvader
227,Großmutter::N,جدة,grootmoeder
228,Eltern::N,أبوان,ouders
229,Eltern::N,والدان,ouders
230,Vater::N,أب,vader
231,Mutter::N,أم,moeder
232,Sohn::N,إبن,zoon
233,Tochter::N,بنت,dochter
234,Tochter::N,إبنة,dochter
235,Bruder::N,أخ,broer
236,Bruder::N,أخ,broeder
237,Bruder::N,شقيق,broer
238,Bruder::N,شقيق,broeder
239,Schwester::N,أخت,zus
240,Schwester::N,أخت,zuster
241,Onkel::N,عم,oom
242,Tante::N,عمة,tante
243,Ehemann::N,زوج,echtgenoot
244,Ehefrau::N,زوجة,echtgenote
245,Freude::N,فرح,vreugde
246,Freude::N,سرور,vreugde
247,Gelächter::N,قهقهة,gelach
248,Glück::N,سعادة,geluk
249,Kummer::N,غم,verdriet
250,Wunsch::N,منية,wens
251,Wunsch::N,منية,verlangen
252,Lust::N,شهوة,zin
253,Lust::N,شهوة,lust
254,Geist::N,روح,geest
255,Gedanke::N,فكرة,gedachte
256,Gedächtnis::N,ذاكرة,geheugen
257,Verstand::N,عقل,verstand
258,Sinn::N,معنى,betekenis
259,Grund::N,سبب,reden
260,Wahrheit::N,حقيقة,waarheid
261,Gespräch::N,محادثة,gesprek
262,Märchen::N,خرافة,sprookje
263,Erzählung::N,قصة,verhaal
264,Erzählung::N,حكاية,verhaal
265,Nachricht::N,خبر,tijding
266,Neuigkeit::N,خبر جديد,nieuws
267,Neuigkeit::N,خبر جديد,nieuwtje
268,Name::N,اسم,naam
269,Rätsel::N,لغز,raadsel
270,Rede::N,خطبة,rede
271,Sprache::N,لغة,taal
272,Stimme::N,صوت,stem
273,Wort::N,كلمة,woord
274,Zeichen::N,رمز,teken
275,Zeichen::N,إشارة,teken
276,Ruf::N,نداء,roep
277,Lärm::N,صخب,lawaai
278,Lärm::N,ضجة,lawaai
279,Laut::N,صوت,klank
280,Laut::N,صوت,geluid
281,Ton::N,نغمة,toon
282,Ton::N,نغمة,klank
283,Lied::N,أغنية,lied
284,Ruhe::N,هدوء,rust
285,Ruhe::N,هدوء,stilte
286,Leute::N,ناس,lui
287,Leute::N,ناس,mensen
