,Concept_ID,bn,uz
0,Auge::N,চক্ষু,ko'z
1,Ohr::N,কর্ণ,quloq
2,Nase::N,নাক,burun
3,Mund::N,মুখ,og'iz
4,Zahn::N,দাঁত,tish
5,Zunge::N,জিহবা,til
6,Lippe::N,অধর,dudoq
7,Wange::N,গণ্ড,bet
8,Gesicht::N,মুখমণ্ডল,yuz
9,Stirn::N,কপাল,manglay
10,Haar::N,চুল,soch
11,Schnurrbart::N,গোঁফ,mo'ylov
12,Bart::N,শ্মশ্রু,soqol
13,Kinn::N,চিবুক,ängak
14,Kiefer[Anatomie]::N,চোয়াল,iyak
15,Kehle::N,কণ্ঠ,bo'g'iz
16,Hals::N,গল,bo'yin
17,Genick::N,ঘাড়,gardan
18,Kopf::N,মাথা,bosh
19,Rücken::N,পৃষ্ঠ,orqa
20,Bauch::N,উদর,qorin
21,Nabel::N,নাভি,kindik
22,Busen::N,স্তন,ämchak
23,Brust::N,বুক,ko'krak
24,Schulter::N,স্কন্ধ,elka
25,Arm::N,বাহু,bilak
26,Ellenbogen::N,কনুই,tirsak
27,Hand::N,হাত,qo'l
28,Handfläche::N,করতল,kaft
29,Finger::N,আঙ্গুল,barmoq
30,Fingernagel::N,হাতের নখ,tirnoq
31,Nagel[Anatomie]::N,নখ,tirnoq
32,Zeh::N,আঙ্গুল,oyoq barmog'i
33,Fuß::N,পা,oyoq
34,Ferse::N,গোড়ালি,tovon
35,Knie::N,হাঁটু,tiz
36,Oberschenkel::N,ঊরু,son
37,Bein::N,পা,oyoq
38,Körper::N,দেহ,badna
39,Haut::N,ত্বক,teri
40,Blut::N,রক্ত,qon
41,Ader::N,শিরা,qon tomir
42,Sehne::N,কণ্ডরা,tomir
43,Knochen::N,অস্থি,suyak
44,Gehirn::N,মস্তিষ্ক,miya
45,Herz::N,হৃৎপিণ্ড,qalb
46,Magen::N,পাকস্থলী,oshqozon
47,Leber::N,যকৃৎ,bag'ir
48,Atem::N,শ্বাস,dam
49,Hunger::N,ক্ষুধা,ochlik
50,Träne::N,অশ্রু,yosh
51,Geschmack::N,স্বাদ,tam
52,Geruch::N,গন্ধ,jid
53,Schlaf::N,ঘুম,uyqu
54,Traum::N,স্বপ্ন,tush
55,Himmel::N,আকাশ,osmon
56,Sonne::N,সূর্য,quyosh
57,Mond::N,চন্দ্র,oy
58,Stern::N,নক্ষত্র,yulduz
59,Luft::N,বায়ু,havo
60,Wind::N,বাতাস,el
61,Welle::N,ঢেউ,to'lqin
62,Welle::N,তরঙ্গ,to'lqin
63,Wasser::N,জল,suv
64,Stein::N,ঢিল,tosh
65,Stein::N,প্রস্তর,tosh
66,Boden::N,ভূতল,tuproq
67,Erde::N,ভূমি,er
68,Staub::N,ধুলা,chang
69,Rauch::N,ধোঁয়া,tutun
70,Funke::N,স্ফুলিঙ্গ,yalt
71,Feuer::N,অগ্নি,o't
72,Licht::N,আলো,yorug'
73,Schatten::N,ছায়া,soya
74,Wetter::N,আবহাওয়া,havo
75,Nebel::N,কুহেলিকা,tuman
76,Wolke::N,মেঘ,bulut
77,Regen::N,বৃষ্টি,yomg'ir
78,Schnee::N,তুষার,qor
79,Eis::N,বরফ,muz
80,Frost::N,তুষার,ajoz
81,Kälte::N,শৈত্য,ajoz
82,Hitze::N,তাপ,issiq
83,Raureif::N,তুহিন,qirov
84,Regenbogen::N,রামধনু,kamalak
85,Donner::N,বজ্রধ্বনি,guldur
86,Strömung::N,স্রোত,oqim
87,Tropfen::N,ফোঁটা,tomchi
88,Schaum::N,ফেনা,ko'pik
89,Schmutz::N,ধুলা,gard
90,See::N,হ্রদ,ko'l
91,Sumpf::N,জলা,botqoq
92,Moor::N,মাঠ,qir-adir
93,Wiese::N,তৃণভূমি,o'tzor
94,Wald::N,বন,o'rmon
95,Hügel::N,পাহাড়,tepa
96,Anhöhe::N,টিলা,adir
97,Berg::N,পর্বত,tog'
98,Gipfel::N,শীর্ষ,cho'qqi
99,Höhle::N,গুহা,kavak
100,Abhang::N,ঢাল,to'sh
101,Quelle::N,উৎস,buloq
102,Bach::N,ক্ষুদ্র নদী,o'zan
103,Fluss::N,নদী,daryo
104,Ufer::N,উপকূল,sohil
105,Küste::N,তীর,qirg'oq
106,Festland::N,ভূমি,materik
107,Meer::N,সমুদ্র,dengiz
108,Bucht::N,উপসাগর,qo'ltiq
109,Insel::N,দ্বীপ,orol
110,Blume::N,ফুল,gul
111,Gras::N,ঘাস,sabza
112,Wurzel::N,শিকড়,tub
113,Wurzel::N,শিকড়,tomir
114,Baum::N,গাছ,daraxt
115,Stamm::N,স্কন্ধ,o'simta
116,Rinde::N,বল্কল,qobiq
117,Ast::N,শাখা,shox
118,Zweig::N,ডাল,butoq
119,Blatt::N,পর্ণ,barg
120,Birke::N,ভুর্জ,qayin
121,Kiefer[Baum]::N,পাইন গাছ,qarag'ay
122,Weide[Baum]::N,উইলো,shum
123,Tanne::N,দেবদারূ গাছ,archa
124,Horn::N,শিং,mugiz
125,Feder::N,পালক,par
126,Fell::N,রোম,mo'yna
127,Flügel::N,ডানা,qanot
128,Klaue::N,নখর,tirnoq
129,Kralle::N,নখর,tirnoq
130,Schwanz::N,লেজ,quyruq
131,Ei::N,ডিম,tuxum
132,Nest::N,কুলায়,oshyon
133,Bau::N,ডেরা,o'pqon
134,Tier::N,জন্তু,hayvon
135,Herde::N,ঝাঁক,gala
136,Kuh::N,গোরু,inak
137,Bulle::N,বৃষ,ho'kiz
138,Pferd::N,ঘোড়া,ot
139,Schaf::N,ভেড়া,qo'y
140,Schwein::N,শূকর,cho'chqa
141,Hund::N,কুকুর,it
142,Katze::N,বেড়াল,mushuk
143,Bär::N,ভল্লুক,ayiq
144,Eichhörnchen::N,কাঠবিড়াল,tiyin
145,Elch::N,হরিণবিশেষ,los
146,Fuchs::N,পাঁতিশিয়াল,tulki
147,Hase::N,শশক,kuyon
148,Maus::N,নেংটি ইঁদুর,sichqon
149,Wolf::N,নেকড়ে,bo'ri
150,Vogel::N,পক্ষী,qush
151,Schwarm::N,ঝাঁক,to'da
152,Huhn::N,মোরগ,tovuq
