,Concept_ID,be,mdf
0,Auge::N,вока,сельме
1,Ohr::N,вуха,пиле
2,Nase::N,нос,шалхка
3,Mund::N,рот,курга
4,Zahn::N,зуб,пей
5,Zunge::N,язык,кяль
6,Lippe::N,губа,търва́
7,Wange::N,шчака,щёка
8,Gesicht::N,твар,шама
9,Stirn::N,лоб,коня
10,Haar::N,волас,шя́ярь
11,Haar::N,валасы,шя́ярь
12,Schnurrbart::N,вус,уса́
13,Schnurrbart::N,вусы,уса́
14,Bart::N,барада,сакал
15,Kinn::N,падбародак,ула
16,Kiefer[Anatomie]::N,сківіца,саласка
17,Kehle::N,горла,кълдома
18,Kehle::N,горла,кърга́парь
19,Hals::N,шыя,сялдаз
20,Genick::N,патыліца,шовонь
21,Kopf::N,галава,пря
22,Rücken::N,спіна,копорь
23,Bauch::N,жывот,пеке
24,Nabel::N,пупок,по́кон
25,Busen::N,грудзі,потя
26,Brust::N,грудзі,мяште
27,Schulter::N,плячо,лафту
28,Arm::N,рука,кядь
29,Ellenbogen::N,локаць,кенерьба́карь
30,Hand::N,кісць,кядь
31,Handfläche::N,далонь,кядьлапш
32,Finger::N,палец,сур
33,Fingernagel::N,ногаць,кенже
34,Nagel[Anatomie]::N,ногаць,кенже
35,Zeh::N,палец,пильгосу́р
36,Fuß::N,нага,пильге
37,Fuß::N,нага,пильгелапа
38,Ferse::N,пята,кочкяря
39,Ferse::N,пятка,кочкяря
40,Knie::N,калена,эль
41,Knie::N,калена,пълма́нжа
42,Oberschenkel::N,бядро,пильгепукша
43,Oberschenkel::N,сцягно,пильгепукша
44,Bein::N,нага,пильге
45,Körper::N,цела,ро́нга
46,Körper::N,цела,по́нда
47,Haut::N,скура,киське
48,Blut::N,кроў,вер
49,Ader::N,вена,сан
50,Ader::N,вена,верза́н
51,Ader::N,сасуд,сан
52,Ader::N,сасуд,верза́н
53,Sehne::N,жыла,коське сан
54,Sehne::N,цеціва,коське сан
55,Sehne::N,сухажылле,коське сан
56,Knochen::N,косць,пакарь
57,Gehirn::N,мозг,уй
58,Herz::N,сэрца,седи
59,Magen::N,страўнік,коткърдазь
60,Leber::N,печань,макса
61,Atem::N,дыханне,лекома
62,Atem::N,дыханне,ваймонь тарксема
63,Hunger::N,голад,вачеши
64,Träne::N,сляза,сельмове́дь
65,Geschmack::N,смак,таньф
66,Geruch::N,пах,шине
67,Schlaf::N,сон,удома́
68,Traum::N,сон,он
69,Himmel::N,неба,менель
70,Sonne::N,сонца,ши
71,Mond::N,месяц,ков
72,Stern::N,зорка,тяште
73,Luft::N,паветра,кожф
74,Wind::N,вецер,варма
75,Welle::N,хваля,тавла
76,Wasser::N,вада,ведь
77,Stein::N,камень,кев
78,Boden::N,глеба,мода
79,Boden::N,глеба,потмакс
80,Erde::N,зямля,мода
81,Erde::N,зямля,мастор
82,Staub::N,пыл,пуль
83,Rauch::N,дым,качам
84,Funke::N,іскра,ця́тка
85,Feuer::N,агонь,тол
86,Licht::N,святло,ва́лда
87,Schatten::N,цень,цильф
88,Wetter::N,пагода,уша
89,Wetter::N,надворʼе,уша
90,Nebel::N,туман,тума́н
91,Wolke::N,воблака,ковол
92,Regen::N,дождж,пизем
93,Schnee::N,снег,лов
94,Eis::N,лёд,эй
95,Frost::N,мароз,ке́льме
96,Kälte::N,холад,якшама
97,Hitze::N,спёка,пси
98,Raureif::N,іней,леш
99,Regenbogen::N,вясёлка,а́тямъёнга
100,Donner::N,гром,атям
101,Strömung::N,цячэнне,шудема́
102,Tropfen::N,кропля,путькс
103,Tropfen::N,кропля,пътняфкс
104,Schaum::N,пена,шов
105,Schmutz::N,гразь,ърда́з
106,See::N,возера,эрьхке
107,Sumpf::N,багна,шяй
108,Moor::N,балота,шяй
109,Wiese::N,луг,луга
110,Wald::N,лес,вирь
111,Hügel::N,узгорак,губо́р
112,Hügel::N,узгорак,пандоня
113,Anhöhe::N,узвышша,губо́р
114,Berg::N,гара,панда
115,Gipfel::N,вяршыня,пря
116,Höhle::N,пячора,у́нда
117,Abhang::N,схіл,па́нда ша́ма
118,Quelle::N,крыніца,эшиня
119,Bach::N,ручай,шудерькс
120,Fluss::N,рака,ляй
121,Ufer::N,бераг,търва́
122,Küste::N,узбярэжжа,ляйтърва́
123,Festland::N,суша,мода
124,Meer::N,мора,моря
125,Bucht::N,бухта,ведьуське
126,Insel::N,востраў,цёнга
127,Blume::N,кветка,панчф
128,Gras::N,трава,тише
129,Wurzel::N,корань,юр
130,Wurzel::N,корань,ункс
131,Baum::N,дрэва,шуфта
132,Stamm::N,ствол,ро́нга
133,Rinde::N,кара,кер
134,Ast::N,сук,морга
135,Zweig::N,галіна,тарад
136,Blatt::N,ліст,лопа
137,Birke::N,бяроза,ке́лу
138,Kiefer[Baum]::N,хвоя,пиче
139,Kiefer[Baum]::N,сасна,пиче
140,Weide[Baum]::N,вярба,каль
141,Tanne::N,яліна,куз
142,Horn::N,рог,сюра
143,Feder::N,пяро,толга
144,Fell::N,шкура,кедь
145,Flügel::N,крыло,паця
146,Klaue::N,кіпцюр,кенже
147,Kralle::N,лапа,кенже
148,Schwanz::N,хвост,пула
149,Ei::N,яйка,ал
150,Nest::N,гняздо,пиза
151,Bau::N,нара,пиза
152,Tier::N,жывёла,жува́та
153,Herde::N,статак,нал
154,Herde::N,статак,стада
155,Kuh::N,карова,скал
156,Kuh::N,карова,тракс
157,Bulle::N,бык,бука
158,Pferd::N,конь,лишме
159,Schaf::N,авечка,уча́
160,Schwein::N,свіння,тува
161,Hund::N,сабака,пине
162,Katze::N,кошка,катоня
163,Katze::N,кошка,аваката
164,Bär::N,мядзведзь,офта
165,Eichhörnchen::N,вавёрка,ур
166,Elch::N,лось,ся́рда
167,Fuchs::N,ліса,келазь
168,Hase::N,заяц,ну́мол
169,Maus::N,мыш,шеер
170,Wolf::N,воўк,върьгаз
171,Vogel::N,птах,нармонь
172,Vogel::N,птушка,нармонь
173,Schwarm::N,чарада,ко́вол
174,Schwarm::N,чарада,ме́швеле
175,Huhn::N,курыца,сараз
176,Hahn::N,певень,а́тякш
177,Gans::N,гусь,маци
178,Adler::N,арол,куцькан
179,Ente::N,качка,яксярга
180,Eule::N,сава,ко́рож
181,Kranich::N,жораў,ка́рга
182,Kranich::N,журавель,ка́рга
183,Krähe::N,варона,ва́рси
184,Kuckuck::N,зязюля,ку́ку
185,Schwan::N,лебедзь,ло́ксти
186,Fisch::N,рыба,кал
187,Barsch::N,акунь,о́кунь
188,Hecht::N,шчупак,щу́ка
189,Schlange[Tier]::N,змяя,куй
190,Wurm::N,чарвяк,сукс
191,Spinne::N,павук,унжа́
192,Ameise::N,мурашка,панжам
193,Laus::N,вош,си
194,Mücke::N,камар,ся́ське
195,Fliege::N,муха,кару
196,Schmetterling::N,матыль,ме́лав
197,Beere::N,ягада,и́мож
198,Apfel::N,яблык,марь
199,Pilz::N,грыб,панга
200,Zwiebel::N,цыбуля,шурьхкя́
201,Saat::N,семя,видьмот
202,Korn::N,зерне,сёра
203,Heu::N,сена,тише
204,Schale::N,шалупінне,кедь
205,Grube::N,яма,лотка
206,Falle::N,пастка,туфкс
207,Falle::N,пастка,кунда́ма
208,Schlinge::N,сіло,килькш
209,Spur::N,след,пильгоки́
210,Asche::N,попел,кулу
211,Dreck::N,бруд,ърда́з
212,Eisen::N,жалеза,кшни
213,Gold::N,золата,ока
214,Gold::N,золата,золота
215,Silber::N,сребра,сия́
216,Kohle::N,вугаль,седь
217,Kohle::N,вугаль,седьвальмя
218,Glas::N,шкло,кля́нцек
219,Lehm::N,гліна,сёвонь
220,Sand::N,пясок,шува́р
221,Mensch::N,чалавек,ломань
222,Mann::N,мужчына,аля
223,Mann::N,мужчына,цёраломань
224,Frau::N,жанчына,ава
225,Kind::N,дзіця,идь
226,Kind::N,дзіця,шаба
227,Junge::N,хлопчык,цёраня
228,Mädchen::N,дзяўчынка,стирня́
229,Familie::N,сямʼя,тнал
230,Familie::N,сямʼя,семья
231,Großvater::N,дзядуля,атя
232,Großvater::N,дзядуля,щя́тя
233,Großmutter::N,бабуля,баба
234,Eltern::N,бацькі,тя́дят-а́лят
235,Vater::N,бацька,аля
236,Mutter::N,маці,ава
237,Mutter::N,маці,тядя
238,Sohn::N,сын,цёра
239,Tochter::N,дачка,стирь
240,Bruder::N,брат,дуган
241,Bruder::N,брат,пяльне
242,Schwester::N,сястра,ака
243,Schwester::N,сястра,сазор
244,Onkel::N,дзядзька,оця
245,Onkel::N,дзядзька,патя
246,Onkel::N,дзядзька,щеня́
247,Tante::N,цётка,ака
248,Tante::N,цётка,щака
249,Ehemann::N,муж,мирде
250,Ehefrau::N,жонка,ърьвя́
251,Freude::N,радасць,ке́нярдема
252,Gelächter::N,смех,рахсема
253,Glück::N,шчасце,паваз
254,Kummer::N,гора,ризф
255,Kummer::N,гора,пичефкс
256,Wunsch::N,жаданне,мяль
257,Wunsch::N,жаданне,таколдома
258,Lust::N,цяга,таколдома
259,Geist::N,дух,вайме
260,Gedanke::N,думка,мяль
261,Gedächtnis::N,памяць,прявий
262,Verstand::N,розум,прявий
263,Sinn::N,сэнс,ён
264,Grund::N,зачэпка,туфта́л
265,Wahrheit::N,праўда,ви́де
