,Concept_ID,fi,bn
0,Auge::N,silmä,চক্ষু
1,Ohr::N,korva,কর্ণ
2,Nase::N,nenä,নাক
3,Mund::N,suu,মুখ
4,Zahn::N,hammas,দাঁত
5,Zunge::N,kieli,জিহবা
6,Lippe::N,huuli,অধর
7,Wange::N,poski,গণ্ড
8,Gesicht::N,naama,মুখমণ্ডল
9,Gesicht::N,kasvot,মুখমণ্ডল
10,Stirn::N,otsa,কপাল
11,Haar::N,hius,চুল
12,Haar::N,tukka,চুল
13,Schnurrbart::N,viikset,গোঁফ
14,Bart::N,parta,শ্মশ্রু
15,Kinn::N,leuka,চিবুক
16,Kiefer[Anatomie]::N,leukaluu,চোয়াল
17,Kehle::N,kurkku,কণ্ঠ
18,Hals::N,kaula,গল
19,Genick::N,niska,ঘাড়
20,Kopf::N,pää,মাথা
21,Rücken::N,selkä,পৃষ্ঠ
22,Bauch::N,maha,উদর
23,Bauch::N,vatsa,উদর
24,Nabel::N,napa,নাভি
25,Busen::N,rinta,স্তন
26,Brust::N,rinta,বুক
27,Schulter::N,olka,স্কন্ধ
28,Schulter::N,hartia,স্কন্ধ
29,Schulter::N,olkapää,স্কন্ধ
30,Arm::N,käsivarsi,বাহু
31,Ellenbogen::N,kyynärpää,কনুই
32,Hand::N,käsi,হাত
33,Handfläche::N,kämmen,করতল
34,Finger::N,sormi,আঙ্গুল
35,Fingernagel::N,kynsi,হাতের নখ
36,Nagel[Anatomie]::N,kynsi,নখ
37,Zeh::N,varvas,আঙ্গুল
38,Fuß::N,jalka,পা
39,Ferse::N,kantapää,গোড়ালি
40,Knie::N,polvi,হাঁটু
41,Oberschenkel::N,reisi,ঊরু
42,Bein::N,jalka,পা
43,Körper::N,keho,দেহ
44,Körper::N,ruumis,দেহ
45,Haut::N,iho,ত্বক
46,Blut::N,veri,রক্ত
47,Ader::N,suoni,শিরা
48,Sehne::N,jänne,কণ্ডরা
49,Knochen::N,luu,অস্থি
50,Gehirn::N,aivot,মস্তিষ্ক
51,Herz::N,sydän,হৃৎপিণ্ড
52,Magen::N,maha,পাকস্থলী
53,Magen::N,vatsa,পাকস্থলী
54,Leber::N,maksa,যকৃৎ
55,Atem::N,henki,শ্বাস
56,Atem::N,hengitys,শ্বাস
57,Hunger::N,nälkä,ক্ষুধা
58,Träne::N,kyynel,অশ্রু
59,Geschmack::N,maku,স্বাদ
60,Geruch::N,haju,গন্ধ
61,Schlaf::N,uni,ঘুম
62,Traum::N,uni,স্বপ্ন
63,Himmel::N,taivas,আকাশ
64,Sonne::N,aurinko,সূর্য
65,Mond::N,kuu,চন্দ্র
66,Stern::N,tähti,নক্ষত্র
67,Luft::N,ilma,বায়ু
68,Wind::N,tuuli,বাতাস
69,Welle::N,aalto,ঢেউ
70,Welle::N,aalto,তরঙ্গ
71,Wasser::N,vesi,জল
72,Stein::N,kivi,ঢিল
73,Stein::N,kivi,প্রস্তর
74,Boden::N,maa,ভূতল
75,Boden::N,maaperä,ভূতল
76,Erde::N,maa,ভূমি
77,Staub::N,pöly,ধুলা
78,Rauch::N,savu,ধোঁয়া
79,Funke::N,kipinä,স্ফুলিঙ্গ
80,Feuer::N,tuli,অগ্নি
81,Licht::N,valo,আলো
82,Schatten::N,varjo,ছায়া
83,Wetter::N,sää,আবহাওয়া
84,Nebel::N,sumu,কুহেলিকা
85,Wolke::N,pilvi,মেঘ
86,Regen::N,sade,বৃষ্টি
87,Schnee::N,lumi,তুষার
88,Eis::N,jää,বরফ
89,Frost::N,halla,তুষার
90,Frost::N,pakkanen,তুষার
91,Kälte::N,vilu,শৈত্য
92,Kälte::N,kylmyys,শৈত্য
93,Hitze::N,helle,তাপ
94,Hitze::N,kuumuus,তাপ
95,Raureif::N,huurre,তুহিন
96,Regenbogen::N,sateenkaari,রামধনু
97,Donner::N,jyrinä,বজ্রধ্বনি
