,Concept_ID,es,ko
0,Auge::N,ojo,눈
1,Ohr::N,oreja,귀
2,Nase::N,nariz,코
3,Mund::N,boca,입
4,Zahn::N,diente,이
5,Zunge::N,lengua,혀
6,Lippe::N,labio,입술
7,Wange::N,mejilla,뺨
8,Gesicht::N,cara,얼굴
9,Stirn::N,frente,이마
10,Haar::N,cabello,털
11,Schnurrbart::N,bigote,윗수몀
12,Schnurrbart::N,bigote,코밑수염
13,Bart::N,barba,수엄
14,Kinn::N,barbilla,아래턱
15,Kiefer[Anatomie]::N,mandíbula,턱
16,Kehle::N,garganta,인후
17,Hals::N,cuello,목
18,Genick::N,nuca,먹덜이
19,Genick::N,cerviz,먹덜이
20,Kopf::N,cabeza,머리
21,Rücken::N,espalda,든
22,Bauch::N,vientre,배
23,Nabel::N,ombligo,배꼽
24,Busen::N,pecho,가슴속
25,Brust::N,pecho,가슴
26,Schulter::N,hombro,어깨
27,Arm::N,brazo,팔
28,Ellenbogen::N,codo,팔쿰치
29,Hand::N,mano,손
30,Handfläche::N,palma,손바닥
31,Finger::N,dedo,속가락
32,Fingernagel::N,uña,손톱
33,Nagel[Anatomie]::N,uña,손톱
34,Zeh::N,dedo del pie,발가락
35,Fuß::N,pie,발
36,Ferse::N,talón,발꿈치
37,Knie::N,rodilla,무릎
38,Oberschenkel::N,muslo,허벅다리
39,Bein::N,pierna,다리
40,Körper::N,cuerpo,구간
41,Haut::N,piel,살갗
42,Blut::N,sangre,피
43,Ader::N,vena,정맥
44,Sehne::N,tendón,현
45,Knochen::N,hueso,뼈
46,Gehirn::N,cerebro,뇌
47,Gehirn::N,cerebro,뇌수
48,Gehirn::N,encéfalo,뇌
49,Gehirn::N,encéfalo,뇌수
50,Herz::N,corazón,염통
51,Magen::N,estómago,위
52,Leber::N,hígado,간
53,Atem::N,aliento,기식
54,Hunger::N,hambre,공복
55,Träne::N,lágrima,눈물
56,Geschmack::N,gusto,기호
57,Geruch::N,olor,냄새
58,Schlaf::N,sueño,수면
59,Traum::N,sueño,쿰
60,Traum::N,ensueño,쿰
61,Himmel::N,cielo,하늘
62,Sonne::N,sol,해
63,Mond::N,luna,달
64,Stern::N,estrella,별
65,Luft::N,aire,동준
66,Luft::N,aire,가스채
67,Wind::N,viento,바람
68,Welle::N,ola,물결
69,Welle::N,onda,물결
70,Wasser::N,agua,물
71,Stein::N,piedra,돌
72,Boden::N,suelo,바닥
73,Erde::N,tierra,흙
74,Staub::N,polvo,먼지
75,Rauch::N,humo,연기
76,Funke::N,chispa,불티
77,Feuer::N,fuego,불
78,Licht::N,luz,불
79,Schatten::N,sombra,어스레함
80,Wetter::N,tiempo,기상
81,Nebel::N,niebla,안개
82,Wolke::N,nube,구름
83,Regen::N,lluvia,비
84,Schnee::N,nieve,눈
85,Eis::N,hielo,얼음
86,Frost::N,helada,혹한
87,Kälte::N,frío,추위
88,Kälte::N,frío,차가움
89,Hitze::N,calor,고온
90,Hitze::N,calor,더위
91,Raureif::N,escarcha,
92,Regenbogen::N,arco iris,무지개
93,Donner::N,trueno,뇌명
94,Strömung::N,corriente,유동
95,Tropfen::N,gota,물방울
96,Schaum::N,espuma,포말
97,Schmutz::N,suciedad,때
98,See::N,lago,호수
99,Sumpf::N,pantano,습지
100,Moor::N,turbera,저습지
101,Wiese::N,prado,목초지
102,Wiese::N,pradera,목초지
103,Wald::N,bosque,숲
104,Hügel::N,colina,언덕
105,Anhöhe::N,cerro,언덕
106,Berg::N,monte,산
107,Berg::N,montaña,산
108,Gipfel::N,cima,졀졍
109,Gipfel::N,cumbre,졀졍
110,Höhle::N,cueva,공동
111,Höhle::N,caverna,공동
112,Abhang::N,cuesta,몰매
113,Abhang::N,declive,몰매
114,Quelle::N,fuente,근원
115,Quelle::N,manantial,근원
116,Bach::N,arroyo,내
117,Fluss::N,río,강
118,Ufer::N,orilla,강변
119,Ufer::N,orilla,바닷가
120,Küste::N,costa,해변
121,Küste::N,costa,해변가
122,Festland::N,tierra firme,본토
123,Meer::N,mar,바다
124,Bucht::N,cala,협만
125,Bucht::N,bahía,협만
126,Insel::N,isla,섬
127,Blume::N,flor,꽃
128,Gras::N,hierba,풀
129,Wurzel::N,raíz,뿌리
130,Baum::N,árbol,나무
131,Stamm::N,tronco,대
132,Rinde::N,corteza,나무껍질
133,Ast::N,rama,가지
134,Zweig::N,ramo,가지
135,Blatt::N,hoja,잎
136,Birke::N,abedul,자작나무
137,Kiefer[Baum]::N,pino,소나무
138,Weide[Baum]::N,sauce,쉬양버들
139,Tanne::N,abeto,전나무
140,Horn::N,asta,뿔
141,Horn::N,cuerno,뿔
142,Feder::N,pluma,깃털
143,Fell::N,piel,피혁모피
144,Flügel::N,ala,날개
145,Klaue::N,garra,갈고리 발톺
146,Kralle::N,uña,발툭
147,Kralle::N,garra,발툭
148,Schwanz::N,cola,꼬리
149,Ei::N,huevo,알
150,Nest::N,nido,보금자리
151,Bau::N,madriguera,굴
152,Tier::N,animal,짐승
153,Herde::N,rebaño,가축의떼
154,Kuh::N,vaca,암소
155,Bulle::N,toro,황소
156,Pferd::N,caballo,말
157,Schaf::N,oveja,양
158,Schwein::N,cerdo,돼지
159,Hund::N,perro,개
160,Katze::N,gato,고양이
161,Bär::N,oso,콤
162,Eichhörnchen::N,ardilla,다람쥐
163,Elch::N,alce,고라니
164,Fuchs::N,zorro,여우
165,Hase::N,liebre,토끼
166,Maus::N,ratón,쥐
167,Wolf::N,lobo,늑대
168,Vogel::N,ave,새
169,Vogel::N,pájaro,새
170,Schwarm::N,bandada,뗴
171,Huhn::N,gallina,암탉
172,Hahn::N,gallo,수탉
173,Gans::N,oca,거위
174,Gans::N,ganso,거위
175,Adler::N,águila,수리
176,Ente::N,pato,오리
177,Eule::N,lechuza,부엉이
178,Kranich::N,grulla,두루미
179,Krähe::N,corneja,까마귀
180,Kuckuck::N,cuco,뻐꾸기
181,Schwan::N,cisne,배조
182,Fisch::N,pez,물고기
183,Barsch::N,perca,농어
184,Hecht::N,lucio,에속스
185,Schlange[Tier]::N,serpiente,뱀
186,Wurm::N,gusano,벌레
187,Spinne::N,araña,거미
188,Ameise::N,hormiga,개미
189,Laus::N,piojo,이
190,Mücke::N,mosquito,모기
191,Fliege::N,mosca,날기
192,Schmetterling::N,mariposa,나비
193,Beere::N,baya,장과
194,Apfel::N,manzana,사과
195,Pilz::N,seta,고방이
196,Pilz::N,hongo,고방이
197,Zwiebel::N,cebolla,양파
198,Saat::N,siembra,씨
199,Korn::N,grano,알맹이
200,Heu::N,heno,건초
201,Schale::N,cáscara,피상
202,Grube::N,foso,
203,Falle::N,trampa,함정
204,Schlinge::N,lazo,올가미
205,Schlinge::N,lazo,멜빵붕대
206,Spur::N,huella,발지국
207,Asche::N,ceniza,재
208,Dreck::N,suciedad,똥
209,Dreck::N,suciedad,오물
210,Eisen::N,hierro,쇠
211,Eisen::N,hierro,철
212,Gold::N,oro,항금
213,Silber::N,plata,은
214,Kohle::N,carbón,슻
215,Glas::N,vidrio,유리
216,Glas::N,cristal,유리
217,Lehm::N,barro,찰흙
218,Sand::N,arena,모래
219,Mensch::N,hombre,사람
220,Mensch::N,ser humano,사람
221,Mann::N,hombre,남자
222,Frau::N,mujer,여자
223,Kind::N,niño,아이
224,Junge::N,chico,소녁
225,Junge::N,muchacho,소녁
226,Mädchen::N,chica,소녀
227,Mädchen::N,muchacha,소녀
228,Familie::N,familia,가족
229,Großvater::N,abuelo,할아버지
230,Großmutter::N,abuela,할머니
231,Eltern::N,padres,어버오
232,Vater::N,padre,아버지
233,Mutter::N,madre,어머니
234,Sohn::N,hijo,아들
235,Tochter::N,hija,딸기
236,Bruder::N,hermano,형제
237,Schwester::N,hermana,누이
238,Onkel::N,tío,백부
239,Tante::N,tía,아주머니
240,Ehemann::N,esposo,남편
241,Ehefrau::N,esposa,아내
242,Freude::N,placer,기쁨
243,Freude::N,alegría,기쁨
244,Gelächter::N,risa,웃음
245,Gelächter::N,carcajada,웃음
246,Glück::N,felicidad,즐거움
247,Kummer::N,pena,슬픔
248,Wunsch::N,deseo,소망
249,Lust::N,ganas,
250,Geist::N,mente,할기
251,Geist::N,espíritu,할기
252,Gedanke::N,idea,상념
253,Gedanke::N,pensamiento,상념
254,Gedächtnis::N,memoria,기억
255,Verstand::N,razón,분별
256,Verstand::N,razón,지능
257,Verstand::N,entendimiento,분별
258,Verstand::N,entendimiento,지능
259,Sinn::N,sentido,센스
260,Sinn::N,significado,센스
261,Grund::N,causa,까닭
262,Wahrheit::N,verdad,참
263,Wahrheit::N,verdad,진실
264,Gespräch::N,conversación,대화
265,Märchen::N,cuento,동화
266,Erzählung::N,cuento,이야기
267,Erzählung::N,narración,이야기
268,Nachricht::N,mensaje,
269,Neuigkeit::N,noticia,뉴스
270,Name::N,nombre,이름
271,Rätsel::N,acertijo,수수께끼
272,Rätsel::N,adivinanza,수수께끼
273,Rede::N,discurso,연설
274,Sprache::N,lengua,말
275,Stimme::N,voz,목소리
276,Wort::N,palabra,낱말
