,Concept_ID,zh,es
0,Auge::N,眼睛,ojo
1,Ohr::N,耳朵,oreja
2,Nase::N,鼻子,nariz
3,Mund::N,嘴,boca
4,Zahn::N,牙齿,diente
5,Zunge::N,舌头,lengua
6,Lippe::N,嘴唇,labio
7,Wange::N,面颊,mejilla
8,Gesicht::N,脸,cara
9,Stirn::N,额,frente
10,Haar::N,头发,cabello
11,Schnurrbart::N,髭须,bigote
12,Bart::N,胡子,barba
13,Kinn::N,下巴,barbilla
14,Kiefer[Anatomie]::N,颌,mandíbula
15,Kehle::N,嗓子,garganta
16,Hals::N,颈,cuello
17,Genick::N,后颈,nuca
18,Genick::N,后颈,cerviz
19,Kopf::N,头,cabeza
20,Rücken::N,背,espalda
21,Bauch::N,肚子,vientre
22,Nabel::N,肚脐,ombligo
23,Busen::N,胸脯,pecho
24,Brust::N,胸,pecho
25,Schulter::N,肩膀,hombro
26,Arm::N,臂膀,brazo
27,Ellenbogen::N,肘,codo
28,Hand::N,手,mano
29,Handfläche::N,手掌,palma
30,Finger::N,手指,dedo
31,Fingernagel::N,指甲,uña
32,Nagel[Anatomie]::N,指甲,uña
33,Zeh::N,脚趾,dedo del pie
34,Fuß::N,脚,pie
35,Ferse::N,后跟,talón
36,Knie::N,膝,rodilla
37,Oberschenkel::N,大腿,muslo
38,Bein::N,腿,pierna
39,Körper::N,身体,cuerpo
40,Haut::N,皮肤,piel
41,Blut::N,血,sangre
42,Ader::N,血管,vena
43,Sehne::N,腱,tendón
44,Knochen::N,骨,hueso
45,Gehirn::N,脑,cerebro
46,Gehirn::N,脑,encéfalo
47,Herz::N,心,corazón
48,Magen::N,胃,estómago
49,Leber::N,肝,hígado
50,Atem::N,呼吸,aliento
51,Hunger::N,饿,hambre
52,Träne::N,眼泪,lágrima
53,Geschmack::N,味道,gusto
54,Geruch::N,气味,olor
55,Schlaf::N,睡眠,sueño
56,Traum::N,梦,sueño
57,Traum::N,梦,ensueño
58,Himmel::N,天空,cielo
59,Sonne::N,太阳,sol
60,Mond::N,月亮,luna
61,Stern::N,星,estrella
62,Luft::N,空气,aire
63,Wind::N,风,viento
64,Welle::N,波,ola
65,Welle::N,波,onda
66,Wasser::N,水,agua
67,Stein::N,石头,piedra
68,Boden::N,地面,suelo
69,Erde::N,地,tierra
70,Staub::N,灰尘,polvo
71,Rauch::N,烟,humo
72,Funke::N,火花,chispa
73,Feuer::N,火,fuego
74,Licht::N,光,luz
75,Schatten::N,影子,sombra
76,Wetter::N,天气,tiempo
77,Nebel::N,雾,niebla
78,Wolke::N,云,nube
79,Regen::N,雨,lluvia
80,Schnee::N,雪,nieve
81,Eis::N,冰,hielo
82,Frost::N,霜冻,helada
83,Kälte::N,寒冷,frío
84,Hitze::N,炎热,calor
