,Concept_ID,sv,zh
0,Auge::N,öga,眼睛
1,Ohr::N,öra,耳朵
2,Nase::N,näsa,鼻子
3,Mund::N,mun,嘴
4,Zahn::N,tand,牙齿
5,Zunge::N,tunga,舌头
6,Lippe::N,läpp,嘴唇
7,Wange::N,kind,面颊
8,Gesicht::N,syn,脸
9,Gesicht::N,ansikte,脸
10,Stirn::N,panna,额
11,Haar::N,hår,头发
12,Schnurrbart::N,mustasch,髭须
13,Bart::N,skägg,胡子
14,Kinn::N,haka,下巴
15,Kiefer[Anatomie]::N,käke,颌
16,Kehle::N,strupe,嗓子
17,Hals::N,hals,颈
18,Genick::N,nacke,后颈
19,Kopf::N,huvud,头
20,Rücken::N,rygg,背
21,Bauch::N,buk,肚子
22,Bauch::N,mage,肚子
23,Nabel::N,navel,肚脐
24,Busen::N,barm,胸脯
25,Brust::N,bröst,胸
26,Schulter::N,skuldra,肩膀
27,Arm::N,arm,臂膀
28,Ellenbogen::N,armbåge,肘
29,Hand::N,hand,手
30,Handfläche::N,handflata,手掌
31,Finger::N,finger,手指
32,Fingernagel::N,fingernagel,指甲
33,Nagel[Anatomie]::N,nagel,指甲
34,Zeh::N,tå,脚趾
35,Fuß::N,fot,脚
36,Ferse::N,häl,后跟
37,Knie::N,knä,膝
38,Oberschenkel::N,lår,大腿
39,Bein::N,ben,腿
40,Körper::N,kropp,身体
41,Haut::N,hud,皮肤
42,Haut::N,skinn,皮肤
43,Blut::N,blod,血
44,Ader::N,åder,血管
45,Sehne::N,sena,腱
46,Knochen::N,ben,骨
47,Gehirn::N,hjärna,脑
48,Herz::N,hjärta,心
49,Magen::N,mage,胃
50,Leber::N,lever,肝
51,Atem::N,anda,呼吸
52,Atem::N,andedräkt,呼吸
53,Hunger::N,svält,饿
54,Hunger::N,hunger,饿
55,Träne::N,tår,眼泪
56,Geschmack::N,smak,味道
57,Geruch::N,lukt,气味
58,Schlaf::N,sömn,睡眠
59,Traum::N,dröm,梦
60,Himmel::N,himmel,天空
61,Sonne::N,sol,太阳
62,Mond::N,måne,月亮
63,Stern::N,stjärna,星
64,Luft::N,luft,空气
65,Wind::N,vind,风
66,Welle::N,våg,波
67,Welle::N,bölja,波
68,Wasser::N,vatten,水
69,Stein::N,sten,石头
70,Boden::N,mark,地面
71,Erde::N,jord,地
72,Staub::N,damm,灰尘
73,Rauch::N,rök,烟
74,Funke::N,gnista,火花
75,Feuer::N,eld,火
76,Licht::N,ljus,光
77,Schatten::N,skugga,影子
78,Wetter::N,väder,天气
79,Nebel::N,dimma,雾
80,Nebel::N,töcken,雾
81,Wolke::N,sky,云
82,Wolke::N,moln,云
83,Regen::N,regn,雨
84,Schnee::N,snö,雪
85,Eis::N,is,冰
86,Frost::N,frost,霜冻
87,Kälte::N,köld,寒冷
88,Hitze::N,hetta,炎热
89,Raureif::N,rimfrost,霜
90,Regenbogen::N,regnbåge,虹
91,Donner::N,åska,雷
92,Donner::N,dunder,雷
93,Strömung::N,strömning,水流
94,Tropfen::N,dropper,滴
95,Schaum::N,skum,泡沫
96,Schmutz::N,lort,赃物
97,Schmutz::N,smuts,赃物
98,See::N,sjö,湖
99,Sumpf::N,träsk,沼泽
100,Moor::N,myr,沼泽
101,Moor::N,mosse,沼泽
102,Wiese::N,äng,草地
103,Wald::N,skog,森林
104,Hügel::N,höjd,丘陵
105,Hügel::N,kulle,丘陵
106,Anhöhe::N,höjd,山丘
107,Anhöhe::N,backe,山丘
108,Berg::N,berg,山
109,Berg::N,fjäll,山
110,Gipfel::N,topp,峰
111,Höhle::N,håla,洞穴
112,Höhle::N,grotta,洞穴
113,Abhang::N,slänt,斜坡
114,Abhang::N,sluttning,斜坡
115,Quelle::N,källa,泉
116,Bach::N,bäck,溪
117,Fluss::N,älv,河流
118,Fluss::N,flod,河流
119,Ufer::N,strand,岸
120,Küste::N,kust,海岸
121,Festland::N,fastland,大陆
122,Meer::N,hav,海
123,Bucht::N,vik,海湾
124,Bucht::N,bukt,海湾
125,Insel::N,ö,岛
126,Blume::N,blomma,花
127,Blume::N,blomster,花
128,Gras::N,gräs,草
129,Wurzel::N,rot,根
130,Baum::N,träd,树
131,Stamm::N,stam,树干
132,Rinde::N,bark,树皮
133,Ast::N,gren,树枝
134,Zweig::N,kvist,树枝
135,Blatt::N,löv,叶子
136,Blatt::N,blad,叶子
137,Birke::N,björk,桦木
138,Kiefer[Baum]::N,tall,松树
139,Weide[Baum]::N,pil,柳树
140,Weide[Baum]::N,vide,柳树
141,Tanne::N,gran,冷杉
142,Horn::N,horn,角
143,Feder::N,fjäder,羽毛
144,Fell::N,fäll,皮毛
145,Fell::N,skinn,皮毛
146,Flügel::N,vinge,翅膀
147,Klaue::N,klöv,爪子
148,Kralle::N,klo,爪子
149,Schwanz::N,svans,尾巴
150,Schwanz::N,stjärt,尾巴
151,Ei::N,ägg,蛋
152,Nest::N,rede,巢
153,Nest::N,näste,巢
154,Bau::N,bo,穴
155,Tier::N,djur,动物
156,Herde::N,flock,群
157,Kuh::N,ko,母牛
158,Bulle::N,tjur,公牛
159,Pferd::N,häst,马
160,Schaf::N,får,羊
161,Schwein::N,svin,猪
162,Hund::N,hund,狗
163,Katze::N,katt,猫
164,Bär::N,björn,熊
165,Eichhörnchen::N,ekorre,松鼠
166,Elch::N,älg,麋鹿
167,Fuchs::N,räv,狐狸
168,Hase::N,hare,兔子
169,Maus::N,mus,老鼠
170,Wolf::N,varg,狼
171,Vogel::N,fågel,鸟
172,Schwarm::N,svärm,群
173,Huhn::N,höns,鸡
174,Hahn::N,tupp,公鸡
175,Gans::N,gås,鹅
176,Adler::N,örn,鹰
177,Ente::N,anka,鸭
178,Eule::N,uggla,猫头鹰
179,Kranich::N,trana,鹤
180,Krähe::N,kråka,乌鸦
181,Kuckuck::N,gök,布谷鸟
182,Schwan::N,svan,天鹅
183,Fisch::N,fisk,鱼
184,Barsch::N,abborre,鲈鱼
185,Hecht::N,gädda,狗鱼
186,Schlange[Tier]::N,orm,蛇
187,Wurm::N,mask,蠕虫
188,Spinne::N,spindel,蜘蛛
189,Ameise::N,myra,蚂蚁
190,Laus::N,lus,虱子
191,Mücke::N,mygga,蚊子
192,Fliege::N,fluga,苍蝇
193,Schmetterling::N,fjäril,蝴蝶
194,Beere::N,bär,将果
195,Apfel::N,äpple,苹果
196,Pilz::N,svamp,蘑菇
197,Zwiebel::N,lök,洋葱
198,Saat::N,sådd,种子
199,Korn::N,korn,谷粒
200,Heu::N,hö,干草
201,Schale::N,skal,壳
202,Grube::N,grop,坑
203,Falle::N,fälla,圈套
204,Schlinge::N,snara,活扣
205,Spur::N,spår,踪迹
206,Asche::N,aska,灰烬
207,Dreck::N,lort,污垢
208,Eisen::N,järn,铁
209,Gold::N,guld,金子
210,Silber::N,silver,银
211,Kohle::N,kol,煤
212,Glas::N,glas,玻璃
213,Lehm::N,lera,粘土
214,Sand::N,sand,沙
215,Mensch::N,människa,人
216,Mann::N,man,男子
217,Frau::N,kvinna,妇女
218,Kind::N,barn,小孩
219,Junge::N,pojke,男孩
220,Mädchen::N,flicka,女孩
221,Familie::N,familj,家庭
222,Großvater::N,morfar,祖父
223,Großmutter::N,farmor,祖母
224,Eltern::N,föräldrar,父母
225,Vater::N,far,父亲
226,Mutter::N,mor,母亲
227,Sohn::N,son,儿子
228,Tochter::N,dotter,女儿
229,Bruder::N,bror,兄弟
230,Schwester::N,syster,姐妹
231,Onkel::N,morbror,伯父
232,Tante::N,tant,阿姨
233,Ehemann::N,äkta man,丈夫
234,Ehefrau::N,hustru,妻子
235,Freude::N,fröjd,愉快
236,Freude::N,glädje,愉快
237,Gelächter::N,åtlöje,大笑
238,Glück::N,lycka,运气
239,Kummer::N,sorg,苦恼
240,Wunsch::N,önskan,愿望
