,Concept_ID,uz,hy
0,Auge::N,ko'z,աչք
1,Ohr::N,quloq,ականջ
2,Nase::N,burun,քիթ
3,Mund::N,og'iz,բերան
4,Zahn::N,tish,ատամ
5,Zunge::N,til,լեզու
6,Lippe::N,dudoq,շրթունք
7,Wange::N,bet,այտ
8,Wange::N,bet,թուշ
9,Gesicht::N,yuz,դեմք
10,Stirn::N,manglay,ճակատ
11,Haar::N,soch,մազ
12,Schnurrbart::N,mo'ylov,բեղ
13,Bart::N,soqol,մորուք
14,Kinn::N,ängak,կզակ
15,Kiefer[Anatomie]::N,iyak,ծնոտ
16,Kehle::N,bo'g'iz,կոկորդ
17,Hals::N,bo'yin,վիզ
18,Hals::N,bo'yin,պարանոց
19,Genick::N,gardan,ծոծրակ
20,Kopf::N,bosh,գլուխ
21,Rücken::N,orqa,մեջք
22,Bauch::N,qorin,փոր
23,Bauch::N,qorin,որովայն
24,Nabel::N,kindik,պորտ
25,Busen::N,ämchak,ծոց
26,Brust::N,ko'krak,կուրծք
27,Schulter::N,elka,ուս
28,Arm::N,bilak,թեւ
29,Arm::N,bilak,բազուկ
30,Ellenbogen::N,tirsak,արմունկ
31,Hand::N,qo'l,ձեռք
32,Handfläche::N,kaft,ափ
33,Finger::N,barmoq,մատ
34,Fingernagel::N,tirnoq,եղունգ
35,Nagel[Anatomie]::N,tirnoq,եղունգ
36,Zeh::N,oyoq barmog'i,ոտքի մատ
37,Fuß::N,oyoq,ոտք
38,Ferse::N,tovon,գարշապար
39,Knie::N,tiz,ծունկ
40,Oberschenkel::N,son,ազդր
41,Bein::N,oyoq,ոտք
42,Körper::N,badna,մարմին
43,Haut::N,teri,մաշկ
44,Blut::N,qon,արյուն
45,Ader::N,qon tomir,երակ
46,Sehne::N,tomir,ջիղ
47,Sehne::N,tomir,ձգտան
48,Knochen::N,suyak,ոսկոր
49,Gehirn::N,miya,խելք
50,Herz::N,qalb,սիրտ
51,Magen::N,oshqozon,ստամոքս
52,Leber::N,bag'ir,լյարդ
53,Atem::N,dam,շունչ
54,Hunger::N,ochlik,քաղց
55,Träne::N,yosh,արտասուք
56,Geschmack::N,tam,համ
57,Geschmack::N,tam,բուրմունք
58,Geruch::N,jid,հոտ
59,Geruch::N,jid,բուրում
60,Schlaf::N,uyqu,քուն
61,Traum::N,tush,երազ
62,Himmel::N,osmon,երկինք
63,Sonne::N,quyosh,արեւ
64,Mond::N,oy,լուսին
