,Concept_ID,bn,da
0,Auge::N,চক্ষু,øje
1,Ohr::N,কর্ণ,øre
2,Nase::N,নাক,næse
3,Mund::N,মুখ,mund
4,Zahn::N,দাঁত,tand
5,Zunge::N,জিহবা,tunge
6,Lippe::N,অধর,læbe
7,Wange::N,গণ্ড,kind
8,Gesicht::N,মুখমণ্ডল,ansigt
9,Stirn::N,কপাল,pande
10,Haar::N,চুল,hår
11,Schnurrbart::N,গোঁফ,overskæg
12,Bart::N,শ্মশ্রু,skæg
13,Kinn::N,চিবুক,hage
14,Kiefer[Anatomie]::N,চোয়াল,kæbe
15,Kehle::N,কণ্ঠ,strube
16,Hals::N,গল,hals
17,Genick::N,ঘাড়,nakke
18,Kopf::N,মাথা,hoved
19,Rücken::N,পৃষ্ঠ,ryg
20,Bauch::N,উদর,mave
21,Nabel::N,নাভি,navle
22,Busen::N,স্তন,barm
23,Brust::N,বুক,bryst
24,Schulter::N,স্কন্ধ,skulder
25,Arm::N,বাহু,arm
26,Ellenbogen::N,কনুই,albue
27,Hand::N,হাত,hånd
28,Handfläche::N,করতল,håndflade
29,Finger::N,আঙ্গুল,finger
30,Fingernagel::N,হাতের নখ,fingernegl
31,Nagel[Anatomie]::N,নখ,negl
32,Zeh::N,আঙ্গুল,tå
33,Fuß::N,পা,fod
34,Ferse::N,গোড়ালি,hæl
35,Knie::N,হাঁটু,knæ
36,Oberschenkel::N,ঊরু,lår
37,Bein::N,পা,ben
38,Körper::N,দেহ,krop
39,Körper::N,দেহ,legeme
40,Haut::N,ত্বক,hud
41,Blut::N,রক্ত,blod
42,Ader::N,শিরা,åre
43,Sehne::N,কণ্ডরা,sene
44,Knochen::N,অস্থি,ben
45,Gehirn::N,মস্তিষ্ক,hjerne
46,Herz::N,হৃৎপিণ্ড,hjerte
47,Magen::N,পাকস্থলী,mave
48,Leber::N,যকৃৎ,lever
49,Atem::N,শ্বাস,ånde
50,Hunger::N,ক্ষুধা,sult
51,Träne::N,অশ্রু,tåre
52,Geschmack::N,স্বাদ,smag
53,Geruch::N,গন্ধ,lugt
54,Schlaf::N,ঘুম,søvn
55,Traum::N,স্বপ্ন,drøm
56,Himmel::N,আকাশ,himmel
57,Sonne::N,সূর্য,sol
58,Mond::N,চন্দ্র,måne
59,Stern::N,নক্ষত্র,stjerne
60,Luft::N,বায়ু,luft
61,Wind::N,বাতাস,vind
62,Welle::N,ঢেউ,bølge
63,Welle::N,তরঙ্গ,bølge
64,Wasser::N,জল,vand
65,Stein::N,ঢিল,sten
66,Stein::N,প্রস্তর,sten
67,Boden::N,ভূতল,jord
68,Erde::N,ভূমি,jord
69,Staub::N,ধুলা,støv
70,Rauch::N,ধোঁয়া,røg
71,Funke::N,স্ফুলিঙ্গ,gnist
72,Feuer::N,অগ্নি,ild
73,Licht::N,আলো,lys
74,Schatten::N,ছায়া,skygge
75,Wetter::N,আবহাওয়া,vejr
76,Nebel::N,কুহেলিকা,tåge
77,Wolke::N,মেঘ,sky
78,Regen::N,বৃষ্টি,regn
79,Schnee::N,তুষার,sne
80,Eis::N,বরফ,is
81,Frost::N,তুষার,frost
82,Kälte::N,শৈত্য,kulde
83,Hitze::N,তাপ,hede
