,Concept_ID,sk,it
0,Auge::N,oko,occhio
1,Ohr::N,ucho,orecchio
2,Nase::N,nos,naso
3,Mund::N,ústa,bocca
4,Zahn::N,zub,dente
5,Zunge::N,jazyk,lingua
6,Lippe::N,pera,labbro
7,Wange::N,líce,guancia
8,Gesicht::N,tvár,viso
9,Gesicht::N,tvár,faccia
10,Gesicht::N,obličaj,viso
11,Gesicht::N,obličaj,faccia
12,Stirn::N,čelo,fronte
13,Haar::N,vlas,capello
14,Schnurrbart::N,fúzy,baffi
15,Schnurrbart::N,fúzy,mustacchi
16,Bart::N,brada,barba
17,Kinn::N,brada,mento
18,Kiefer[Anatomie]::N,čeľusť,mascella
19,Kehle::N,hrdlo,gola
20,Hals::N,krk,collo
21,Genick::N,väzy,nuca
22,Kopf::N,hlava,capo
23,Kopf::N,hlava,testa
24,Rücken::N,chrbát,dorso
25,Rücken::N,chrbát,schiena
26,Bauch::N,brucho,ventre
27,Nabel::N,pupok,ombelico
28,Busen::N,prsia,seno
29,Brust::N,hruď,petto
30,Schulter::N,plece,spalla
31,Arm::N,rameno,braccio
32,Ellenbogen::N,lakeť,gomito
33,Hand::N,ruka,mano
34,Handfläche::N,dlaň,palma
35,Finger::N,prst,dito
36,Fingernagel::N,necht,unghia
37,Nagel[Anatomie]::N,necht,unghia
38,Zeh::N,prst na nohe,dito del piede
39,Fuß::N,noha,piede
40,Ferse::N,päta,tallone
41,Ferse::N,päta,calcagno
42,Knie::N,koleno,ginocchio
43,Oberschenkel::N,stehno,fèmore
44,Bein::N,noha,gamba
45,Körper::N,telo,corpo
46,Haut::N,koža,pelle
47,Blut::N,krv,sangue
48,Ader::N,žila,vena
49,Sehne::N,šľacha,tèndine
50,Knochen::N,kosť,osso
51,Gehirn::N,mozog,cervello
52,Herz::N,srdce,cuore
53,Magen::N,žalúdok,stòmaco
54,Leber::N,pečeň,fegato
55,Atem::N,dych,fiato
56,Atem::N,dych,respiro
57,Hunger::N,hlad,fame
58,Träne::N,slza,làcrima
59,Geschmack::N,chuť,gusto
60,Geschmack::N,chuť,sapore
61,Geruch::N,pach,odore
62,Schlaf::N,spánok,sonno
63,Traum::N,sen,sogno
64,Himmel::N,nebo,cielo
65,Sonne::N,slnko,sole
66,Mond::N,mesiac,luna
67,Stern::N,hviezda,stella
68,Luft::N,vzduch,aria
69,Wind::N,vietor,vento
70,Welle::N,vlna,onda
71,Wasser::N,voda,acqua
72,Stein::N,kameň,sasso
73,Stein::N,kameň,pietra
74,Boden::N,zem,suolo
75,Boden::N,zem,terreno
76,Boden::N,pôda,suolo
77,Boden::N,pôda,terreno
78,Erde::N,zem,terra
79,Staub::N,prach,polvere
80,Rauch::N,dym,fumo
81,Funke::N,iskra,scintilla
82,Feuer::N,oheň,fuoco
83,Licht::N,svetlo,luce
84,Schatten::N,tieň,ombra
85,Wetter::N,počasie,tempo
86,Nebel::N,hmla,nebbia
87,Wolke::N,oblak,nube
88,Wolke::N,oblak,nùvola
89,Wolke::N,mračno,nube
90,Wolke::N,mračno,nùvola
91,Regen::N,dážď,pioggia
92,Schnee::N,sneh,neve
93,Eis::N,ľad,ghiaccio
94,Frost::N,mráz,gelo
95,Kälte::N,zima,freddo
96,Kälte::N,chlad,freddo
97,Hitze::N,horúčava,caldo
98,Hitze::N,horúčava,calura
99,Raureif::N,srieň,brina
100,Raureif::N,inovať,brina
101,Regenbogen::N,dúha,arcobaleno
102,Donner::N,hrom,tuono
103,Strömung::N,prúdenie,corrente
104,Tropfen::N,kvapka,goccia
105,Schaum::N,pena,spuma
106,Schaum::N,pena,schiuma
107,Schmutz::N,špina,sudiciume
108,Schmutz::N,nečistota,sudiciume
109,See::N,jazero,lago
110,Sumpf::N,bahno,palude
111,Moor::N,močiar,torbiera
112,Wiese::N,lúka,prato
113,Wald::N,les,bosco
114,Wald::N,les,foresta
115,Wald::N,hora,bosco
116,Wald::N,hora,foresta
117,Hügel::N,vŕšok,colle
118,Hügel::N,vŕšok,collina
119,Anhöhe::N,výšina,altura
120,Anhöhe::N,vyvýšenina,altura
121,Berg::N,hora,monte
122,Berg::N,hora,montagna
123,Gipfel::N,vrchol,cima
124,Höhle::N,jaskyňa,grotta
125,Höhle::N,jaskyňa,caverna
126,Abhang::N,úbočie,pendìo
127,Quelle::N,prameň,sorgente
128,Bach::N,potok,ruscello
129,Fluss::N,rieka,fiume
130,Ufer::N,breh,riva
131,Küste::N,pobrežie,costa
132,Festland::N,pevnina,terraferma
133,Meer::N,more,mare
134,Bucht::N,záliv,cala
135,Bucht::N,zátoka,cala
136,Insel::N,ostrov,ìsola
137,Blume::N,kvet,fiore
138,Blume::N,kvetina,fiore
139,Gras::N,tráva,erba
140,Wurzel::N,koreň,radice
141,Baum::N,strom,àlbero
142,Stamm::N,kmeň,tronco
143,Rinde::N,kôra,corteccia
144,Ast::N,konár,ramo
145,Zweig::N,vetva,ramo
146,Blatt::N,list,foglia
147,Birke::N,breza,betulla
148,Kiefer[Baum]::N,sosna,pino
149,Kiefer[Baum]::N,borovica,pino
150,Weide[Baum]::N,vŕba,sàlice
151,Tanne::N,jedľa,abete
152,Horn::N,roh,corno
153,Feder::N,pero,penna
154,Fell::N,koža,manto
155,Fell::N,koža,pelame
