,Concept_ID,fr,pt
0,Auge::N,œil,olho
1,Ohr::N,oreille,orelha
2,Nase::N,nez,nariz
3,Mund::N,bouche,boca
4,Zahn::N,dent,dente
5,Zunge::N,langue,língua
6,Lippe::N,lèvre,lábio
7,Wange::N,joue,face
8,Gesicht::N,face,cara
9,Gesicht::N,face,rosto
10,Gesicht::N,visage,cara
11,Gesicht::N,visage,rosto
12,Stirn::N,front,testa
13,Haar::N,cheveu,cabelo
14,Schnurrbart::N,moustache,bigode
15,Bart::N,barbe,barba
16,Kinn::N,menton,queixo
17,Kiefer[Anatomie]::N,mâchoire,maxila
18,Kiefer[Anatomie]::N,mâchoire,mandíbula
19,Kehle::N,gorge,garganta
20,Hals::N,cou,colo
21,Hals::N,cou,pescoço
22,Genick::N,nuque,nuca
23,Kopf::N,tête,cabeça
24,Rücken::N,dos,dorso
25,Rücken::N,dos,costas
26,Bauch::N,ventre,ventre
27,Bauch::N,ventre,barriga
28,Nabel::N,nombril,umbigo
29,Busen::N,sein,seio
30,Brust::N,poitrine,peito
31,Schulter::N,épaule,ombro
32,Arm::N,bras,braço
33,Ellenbogen::N,coude,cotovelo
34,Hand::N,main,mão
35,Handfläche::N,paume,palma
36,Handfläche::N,paume,palma da mão
37,Finger::N,doigt,dedo
38,Fingernagel::N,ongle,unha
39,Nagel[Anatomie]::N,ongle,unha
40,Zeh::N,orteil,dedo do pé
41,Zeh::N,doigt de pied,dedo do pé
42,Fuß::N,pied,pé
43,Ferse::N,talon,calcanhar
44,Knie::N,genou,joelho
45,Oberschenkel::N,cuisse,coxa
46,Bein::N,jambe,perna
47,Körper::N,corps,corpo
48,Haut::N,peau,pele
49,Blut::N,sang,sangue
50,Ader::N,veine,veia
51,Sehne::N,tendon,tendão
52,Knochen::N,os,osso
53,Gehirn::N,cerveau,cérebro
54,Herz::N,cœur,coração
55,Magen::N,estomac,estômago
56,Leber::N,foie,fígado
57,Atem::N,haleine,fôlego
58,Hunger::N,faim,fome
59,Träne::N,larme,lágrima
60,Geschmack::N,goût,gosto
61,Geschmack::N,saveur,gosto
62,Geruch::N,odeur,odor
63,Geruch::N,odeur,cheiro
64,Schlaf::N,sommeil,sono
65,Traum::N,songe,sonho
66,Himmel::N,ciel,céu
67,Sonne::N,soleil,sol
68,Mond::N,lune,lua
69,Stern::N,étoile,estrela
70,Luft::N,air,ar
71,Wind::N,vent,vento
72,Welle::N,vague,onda
73,Wasser::N,eau,água
74,Stein::N,pierre,pedra
75,Boden::N,sol,solo
76,Boden::N,terrain,solo
77,Erde::N,terre,terra
78,Staub::N,poussière,pó
79,Rauch::N,fumée,fumo
80,Funke::N,étincelle,faísca
81,Funke::N,étincelle,centelha
82,Feuer::N,feu,fogo
83,Licht::N,lumière,luz
84,Schatten::N,ombre,sombra
85,Wetter::N,temps,tempo
86,Nebel::N,brume,nevoeiro
87,Nebel::N,brouillard,nevoeiro
88,Wolke::N,nuage,nuvem
89,Regen::N,pluie,chuva
90,Schnee::N,neige,neve
91,Eis::N,glace,gelo
92,Frost::N,gel,gelo
93,Frost::N,gel,geada
94,Frost::N,gelée,gelo
95,Frost::N,gelée,geada
96,Kälte::N,froid,frio
97,Hitze::N,chaleur,ardor
98,Raureif::N,givre,geada
99,Regenbogen::N,arc-en-ciel,arco-iris
100,Donner::N,tonnerre,trovão
101,Strömung::N,courant,corrente
102,Tropfen::N,goutte,gota
103,Schaum::N,écume,espuma
104,Schaum::N,mousse,espuma
105,Schmutz::N,boue,sujidade
106,Schmutz::N,boue,imundície
107,Schmutz::N,saleté,sujidade
108,Schmutz::N,saleté,imundície
109,See::N,lac,lago
110,Sumpf::N,marais,charco
111,Sumpf::N,marais,pântano
112,Sumpf::N,marécage,charco
113,Sumpf::N,marécage,pântano
114,Moor::N,tourbière,pântano
115,Wiese::N,pré,prado
116,Wald::N,bois,bosque
117,Wald::N,bois,floresta
118,Wald::N,forêt,bosque
119,Wald::N,forêt,floresta
120,Hügel::N,coteau,colina
121,Hügel::N,colline,colina
122,Anhöhe::N,éminence,alto
123,Anhöhe::N,éminence,outeiro
124,Anhöhe::N,élévation,alto
125,Anhöhe::N,élévation,outeiro
126,Berg::N,mont,monte
127,Berg::N,mont,montanha
128,Berg::N,montagne,monte
129,Berg::N,montagne,montanha
130,Gipfel::N,cime,pico
131,Gipfel::N,sommet,pico
132,Höhle::N,caverne,caverna
133,Abhang::N,pente,encosta
134,Abhang::N,versant,encosta
135,Quelle::N,source,fonte
136,Quelle::N,fontaine,fonte
137,Bach::N,ruisseau,regato
138,Bach::N,ruisseau,ribeiro
139,Fluss::N,fleuve,rio
140,Fluss::N,rivière,rio
141,Ufer::N,bord,beira
142,Ufer::N,rivage,beira
143,Küste::N,côte,costa
144,Festland::N,terre ferme,terra firme
145,Meer::N,mer,mar
146,Bucht::N,baie,baía
147,Insel::N,île,ilha
148,Blume::N,fleur,flor
149,Gras::N,herbe,erva
150,Wurzel::N,racine,raiz
151,Baum::N,arbre,árvore
152,Stamm::N,tronc,tronco
153,Rinde::N,écorce,casca
154,Ast::N,branche,ramo
155,Zweig::N,rameau,galho
156,Blatt::N,feuille,folha
157,Birke::N,bouleau,bétula
158,Kiefer[Baum]::N,pin,pinheiro
159,Weide[Baum]::N,saule,salgueiro
160,Tanne::N,sapin,abeto
161,Horn::N,corne,corno
162,Horn::N,corne,chifre
163,Feder::N,plume,pena
164,Fell::N,peau,pele
165,Flügel::N,aile,asa
166,Klaue::N,serre,pata
167,Kralle::N,ongle,unha
168,Kralle::N,ongle,garra
169,Kralle::N,griffe,unha
170,Kralle::N,griffe,garra
171,Schwanz::N,queue,rabo
172,Schwanz::N,queue,cauda
173,Ei::N,œuf,ovo
174,Nest::N,nid,ninho
175,Bau::N,terrier,toca
176,Bau::N,terrier,covil
177,Tier::N,animal,animal
178,Herde::N,troupeau,rebanho
179,Kuh::N,vache,vaca
180,Bulle::N,taureau,touro
181,Pferd::N,cheval,cavalo
182,Schaf::N,mouton,ovelha
183,Schwein::N,porc,porco
184,Schwein::N,cochon,porco
185,Hund::N,chien,cão
186,Katze::N,chat,gata
187,Bär::N,ours,urso
188,Eichhörnchen::N,écureuil,esquilo
189,Elch::N,élan,alce
190,Fuchs::N,renard,raposa
191,Hase::N,lièvre,lebre
