,Concept_ID,lez,sk
0,Auge::N,вил,oko
1,Ohr::N,яб,ucho
2,Nase::N,нер,nos
3,Mund::N,сив,ústa
4,Zahn::N,сас,zub
5,Zahn::N,свах,zub
6,Zunge::N,мез,jazyk
7,Lippe::N,пӏуз,pera
8,Wange::N,хъвехъ,líce
9,Gesicht::N,ччин,tvár
10,Gesicht::N,ччин,obličaj
11,Stirn::N,пел,čelo
12,Haar::N,чӏар,vlas
13,Schnurrbart::N,спел,fúzy
14,Schnurrbart::N,спелар,fúzy
15,Bart::N,ччуру,brada
16,Kinn::N,чене,brada
17,Kiefer[Anatomie]::N,чене,čeľusť
18,Kehle::N,туьд,hrdlo
19,Hals::N,гардан,krk
20,Genick::N,кьам,väzy
21,Kopf::N,кьил,hlava
22,Rücken::N,далу,chrbát
23,Bauch::N,руфун,brucho
24,Nabel::N,пицӏ,pupok
25,Busen::N,мам,prsia
26,Brust::N,хур,hruď
27,Schulter::N,къуьн,plece
28,Arm::N,гъил,rameno
29,Ellenbogen::N,кьуьнт,lakeť
30,Hand::N,капаш,ruka
31,Handfläche::N,капан юкь,dlaň
32,Finger::N,тӏуб,prst
33,Fingernagel::N,кек,necht
34,Nagel[Anatomie]::N,кек,necht
35,Zeh::N,кул,prst na nohe
36,Fuß::N,кӏвач,noha
37,Ferse::N,дабан,päta
38,Knie::N,мет,koleno
39,Bein::N,кӏвач,noha
40,Körper::N,беден,telo
41,Haut::N,хам,koža
42,Blut::N,иви,krv
43,Ader::N,дамар,žila
44,Sehne::N,кьуру дамар,šľacha
45,Knochen::N,кӏараб,kosť
46,Gehirn::N,мефт,mozog
47,Herz::N,рикӏ,srdce
48,Magen::N,хук,žalúdok
49,Leber::N,лекь,pečeň
50,Atem::N,ял,dych
51,Atem::N,нефес,dych
52,Hunger::N,каш,hlad
53,Träne::N,вилин нагъв,slza
54,Geschmack::N,дад,chuť
55,Geschmack::N,тӏям,chuť
56,Geruch::N,ни,pach
57,Schlaf::N,ахвар,spánok
58,Traum::N,ахвар,sen
59,Himmel::N,цав,nebo
60,Sonne::N,рагъ,slnko
61,Mond::N,варз,mesiac
62,Stern::N,гъед,hviezda
63,Luft::N,гьава,vzduch
64,Wind::N,гар,vietor
65,Welle::N,лепе,vlna
66,Wasser::N,яд,voda
67,Stein::N,къван,kameň
68,Boden::N,накьв,zem
69,Boden::N,накьв,pôda
70,Erde::N,ччил,zem
71,Staub::N,руг,prach
72,Rauch::N,гум,dym
73,Funke::N,цӏелхем,iskra
74,Feuer::N,цӏай,oheň
75,Licht::N,экв,svetlo
76,Schatten::N,серин,tieň
77,Wetter::N,гьава,počasie
78,Nebel::N,ччилин циф,hmla
79,Wolke::N,циф,oblak
