,Concept_ID,ta,hr
0,Auge::N,கண்,oko
1,Ohr::N,காது,uho
2,Nase::N,மூக்கு,nos
3,Mund::N,வாய்,usta
4,Zahn::N,பல்,zub
5,Zunge::N,நாக்கு,jezik
6,Lippe::N,உதடு,usna
7,Wange::N,கன்னம்,obraz
8,Gesicht::N,முகம்,lice
9,Stirn::N,முன்னெற்றி,čelo
10,Haar::N,முடி,kosa
11,Schnurrbart::N,மீசை,brkovi
12,Bart::N,தாடி,brada
13,Kinn::N,கீழதாடை,brada
14,Kinn::N,கீழதாடை,podbradak
15,Kiefer[Anatomie]::N,தாடை,čeljust
16,Kehle::N,தொண்டை,grlo
17,Hals::N,கழுத்து,vrat
18,Genick::N,கழுத்து,zatiljak
19,Kopf::N,தலை,glava
20,Rücken::N,முதுகு,leđa
21,Rücken::N,முதுகு,hrbat
22,Bauch::N,வயிறு,trbuh
23,Nabel::N,தொப்புள்,pupak
24,Busen::N,மார்பகம்,sisa
25,Busen::N,மார்பகம்,njedra
26,Brust::N, மார்பு,prsa
27,Schulter::N,தோள்பட்டை,rame
28,Schulter::N,தோள்பட்டை,pleći
29,Arm::N,கரம்,ruka
30,Ellenbogen::N,முழங்கை,lakat
31,Hand::N,கை,ruka
32,Handfläche::N,உள்ளங்கை,dlan
33,Finger::N,விரல்,prst
34,Fingernagel::N,விரல் நகம்,nokat
35,Nagel[Anatomie]::N,நகம்,nokat
36,Zeh::N,கால்விரல்,nozni prst
37,Fuß::N,கால்,noga
38,Fuß::N,கால்,stopalo
39,Ferse::N,குதிகால்,peta
40,Knie::N,முழங்கால்,koljeno
41,Oberschenkel::N,தொடை,bedro
42,Bein::N,கால்,noga
43,Körper::N,உடல்,tijelo
44,Haut::N,சருமம்,put
45,Haut::N,சருமம்,koža
46,Blut::N,இரத்தம்,krv
47,Ader::N,நாளம்,žila
48,Sehne::N,தசைநார்,tetiva
49,Knochen::N,எலுமபு,kost
50,Gehirn::N,மூனை,
51,Herz::N,இதயம,srce
52,Magen::N,வயிறு,stomak
53,Magen::N,வயிறு,želudac
54,Leber::N,கல்லீரல்,jetra
55,Atem::N,மூச்சு,dah
56,Hunger::N,பசி,glad
57,Träne::N,கண்ணீர்,suza
58,Geschmack::N,நறுமணம்,ukus
59,Geruch::N,துர்நாற்றம்,njuh
60,Geruch::N,துர்நாற்றம்,miris
61,Schlaf::N,தூக்கம்,san
62,Traum::N,கனவு,san
63,Himmel::N,வானம்,nebo
64,Sonne::N,சூரியன்,sunce
65,Mond::N,சந்திரன்,mjesec
66,Stern::N,நட்சத்திரம்,zvijezda
67,Luft::N,காறறு,zrak
68,Wind::N,காற்று,vjetar
69,Welle::N,அலை,val
70,Welle::N,அலை,talas
71,Wasser::N,நீர்,voda
72,Stein::N,கல்,kamen
73,Boden::N,தரை,tlo
74,Boden::N,தரை,zemlja
75,Erde::N,மண்,zemlja
76,Staub::N,தூசி,prah
77,Staub::N,தூசி,prašina
78,Rauch::N,புகை,dim
79,Funke::N,தீப்பொறி,iskra
80,Funke::N,தீப்பொறி,varnica
81,Feuer::N,தீ,vatra
82,Licht::N,வெளிச்சம்,svjetlo
83,Schatten::N,நிழல்,hlad
84,Schatten::N,நிழல்,sjena
85,Wetter::N,வானிலை,vrijeme
86,Nebel::N,பனிமூட்டம்,magla
87,Wolke::N,மேகம்,oblak
88,Regen::N,மழை,kiša
89,Schnee::N,உறைபனி,snijeg
90,Eis::N,பனிக்கட்டி,led
91,Frost::N,உறைபனி,mraz
92,Kälte::N,குளிர்ந்த,studen
93,Kälte::N,குளிர்ந்த,hladnoća
94,Hitze::N,சூடு,vrućina
95,Raureif::N,உறைபனி வெண்திரை,inje
96,Regenbogen::N,வானவில்,duga
97,Donner::N,இடி,grom
98,Donner::N,இடி,grmljavina
99,Strömung::N,நீரோட்டம்,struja
100,Strömung::N,நீரோட்டம்,strujanje
101,Tropfen::N,துளி,kap
102,Tropfen::N,துளி,kaplja
103,Schaum::N,நுரை,pjena
104,Schmutz::N,அழுக்கு,nečistoća
105,Schmutz::N,அழுக்கு,prljavština
106,See::N,ஏரி,jezero
107,Sumpf::N,சதுப்பு நிலம்,bara
108,Moor::N,முட்புதற்காடு,močvara
109,Wiese::N,பசும் புல்தரை,livada
110,Wald::N,காடு,šuma
111,Hügel::N,குன்று,brijeg
112,Hügel::N,குன்று,brežuljak
113,Anhöhe::N,பதுக்கை,uzvišica
114,Berg::N,மலை,brdo
115,Gipfel::N,உச்சி மாநாடு,vrh
116,Höhle::N,குகை,pećina
117,Höhle::N,குகை,spilja
118,Abhang::N,சரிவு,obronak
119,Abhang::N,சரிவு,nizbrdica
120,Quelle::N,மூலம்,izvor
121,Quelle::N,மூலம்,vrelo
122,Bach::N,ஓடை,potok
123,Fluss::N,ஆறு,rijeka
124,Ufer::N,நீர்க்கரை,obala
125,Küste::N,கடற்கரை,obala
126,Küste::N,கடற்கரை,morska obala
127,Festland::N,நிலம்,kopno
128,Meer::N,கடல்,more
129,Bucht::N,சிறுகுடா,zaliv
130,Insel::N,தீவு,ada
131,Insel::N,தீவு,otok
132,Blume::N,பூ,cvijet
133,Gras::N,புல்தரை,trava
134,Wurzel::N,வேர்,korijen
135,Baum::N,மரம்,drvo
136,Baum::N,மரம்,stablo
137,Stamm::N,அடிமரம்,deblo
138,Stamm::N,அடிமரம்,stablo
139,Rinde::N,பட்டை,kora
140,Rinde::N,மரப்பட்டை,kora
141,Ast::N,கினை,grana
142,Zweig::N,குச்சி,grana
143,Blatt::N,இலை,list
144,Birke::N,பிர்ச் மரம்,breza
145,Kiefer[Baum]::N,தேவதாரு மரம்,bor
146,Weide[Baum]::N,மர வகைகளுள் ஒன்று,iva
147,Weide[Baum]::N,மர வகைகளுள் ஒன்று,vŕba
148,Tanne::N,சாதிக்கய்,jela
149,Horn::N,கொம்பு,rog
150,Feder::N,இறகு,pero
151,Fell::N,மென்முடி,koža
152,Flügel::N,இறக்கை,krilo
153,Klaue::N,நகம்,papak
154,Kralle::N,நகம்,pandža
155,Schwanz::N,வால்,rep
156,Ei::N,முட்டை,jaje
157,Nest::N,கூடு,gnijezdo
158,Bau::N,குகை,jazbina
159,Tier::N,விலங்கு,životinja
160,Herde::N,கூட்டம்,krdo
161,Herde::N,கூட்டம்,stado
162,Kuh::N,பசு,krava
163,Bulle::N,காளை,bik
164,Pferd::N,குதிரை,konj
165,Schaf::N,செம்மறிஆடு,ovca
166,Schwein::N,பன்றி,svinja
167,Hund::N,நாய்,pas
168,Hund::N,நாய்,pseto
169,Katze::N,பூனை,mačka
170,Bär::N,கரடி,medvjed
171,Eichhörnchen::N,அணில்,vjeverica
172,Elch::N,கடம்பை,los
173,Fuchs::N,நரி,lisica
174,Hase::N,முயல்,zec
175,Maus::N,எலி,miš
176,Wolf::N,ஓநாய்,vuk
177,Wolf::N,ஓநாய்,kurjak
178,Vogel::N,பறவை,ptica
179,Schwarm::N,தொகுதி,roj
180,Schwarm::N,தொகுதி,jato
181,Huhn::N,கோழிக்குஞசு,kokoš
182,Hahn::N,சேவல்,kokot
183,Hahn::N,சேவல்,pijevac
184,Gans::N,பெண் வாத்து,guska
185,Adler::N,பருநது,orao
186,Ente::N,வாத்து,patka
187,Eule::N,ஆந்தை,sova
188,Kranich::N,நாரை,ždral
189,Krähe::N,காகம்,vrana
190,Kuckuck::N,குயில்,kukavica
191,Schwan::N,அன்னம்,labud
192,Fisch::N,மீன்,riba
193,Barsch::N,பேர்ச்,grgeč
194,Hecht::N,கோலாச்சி மீன்,štuka
195,Schlange[Tier]::N,பாம்பு,guja
196,Schlange[Tier]::N,பாம்பு,zmija
197,Wurm::N,புழு,crv
198,Spinne::N,சிலந்தி,pauk
199,Ameise::N,எறும்பு,mrav
200,Laus::N,பேன்,uš
201,Mücke::N,கொசுவினப்பூச்சி,komarac
202,Fliege::N,ஈ,muha
203,Schmetterling::N,வண்ணத்துப்பூச்சி,leptir
204,Beere::N,சதைப்பழம்,boba
205,Beere::N,சதைப்பழம்,bobica
206,Apfel::N,ஆப்பிள பழம்,jabuka
207,Pilz::N,காளான்,pečurka
208,Zwiebel::N,வெங்காயம்,luk
209,Zwiebel::N,வெங்காயம்,kapula
210,Saat::N,விதை,sjemenje
211,Korn::N,தானியம்,zrno
212,Heu::N,வைக்கோல்,sijeno
213,Schale::N,தோல்,kora
214,Schale::N,தோல்,ljuska
215,Grube::N,குழி,jama
216,Falle::N,பொறி,zamka
217,Falle::N,பொறி,klopka
218,Schlinge::N,கண்ணி,uzao
219,Schlinge::N,கண்ணி,petlja
220,Spur::N,சுவடு,trag
221,Spur::N,சுவடு,slijed
222,Asche::N,சாம்பல்,pepeo
223,Dreck::N,அழுக்கு,blato
224,Eisen::N,இரும்பு,željezo
225,Gold::N,தங்கம்,zlato
226,Silber::N,வெள்ளி,srebro
227,Kohle::N,நிலக்கரி,ugalj
228,Kohle::N,நிலக்கரி,ugljen
229,Glas::N,கண்ணாடி,staklo
230,Lehm::N,களிமண்,glina
231,Lehm::N,களிமண்,ilovača
232,Sand::N,மணல்,pijesak
233,Mensch::N,மனிதர்கள்,čovjek
234,Mann::N,மனிதன்,muškarac
235,Frau::N,பெண்,žena
236,Kind::N,குழந்தை,čedo
237,Kind::N,குழந்தை,dijete
238,Junge::N,பையன்,momče
