,Concept_ID,br,hy
0,Auge::N,lagad,աչք
1,Ohr::N,skouarn,ականջ
2,Nase::N,fri,քիթ
3,Mund::N,genoù,բերան
4,Zahn::N,dant,ատամ
5,Zunge::N,teod,լեզու
6,Lippe::N,muzell,շրթունք
7,Wange::N,chot,այտ
8,Wange::N,chot,թուշ
9,Gesicht::N,dremm,դեմք
10,Stirn::N,tal,ճակատ
11,Haar::N,blev,մազ
12,Schnurrbart::N,mourenn,բեղ
13,Bart::N,barv,մորուք
14,Kinn::N,groñj,կզակ
15,Kiefer[Anatomie]::N,javed,ծնոտ
16,Kehle::N,gouzoug,կոկորդ
17,Hals::N,gouzoug,վիզ
18,Hals::N,gouzoug,պարանոց
19,Genick::N,choug,ծոծրակ
20,Kopf::N,penn,գլուխ
21,Rücken::N,kein,մեջք
22,Bauch::N,kof,փոր
23,Bauch::N,kof,որովայն
24,Nabel::N,begel,պորտ
25,Busen::N,bronn,ծոց
26,Brust::N,bruched,կուրծք
27,Schulter::N,skoaz,ուս
28,Arm::N,brec'h,թեւ
29,Arm::N,brec'h,բազուկ
30,Ellenbogen::N,ilin,արմունկ
31,Hand::N,dorn,ձեռք
32,Handfläche::N,palv,ափ
33,Finger::N,biz,մատ
34,Fingernagel::N,ivin,եղունգ
35,Nagel[Anatomie]::N,ivin,եղունգ
36,Zeh::N,biz-troad,ոտքի մատ
37,Fuß::N,troad,ոտք
38,Ferse::N,seul,գարշապար
39,Knie::N,glin,ծունկ
40,Oberschenkel::N,morzhed,ազդր
41,Bein::N,gar,ոտք
42,Körper::N,korf,մարմին
43,Haut::N,kroc'hen,մաշկ
44,Blut::N,gwad,արյուն
45,Ader::N,gwazhi,երակ
46,Sehne::N,stir,ջիղ
47,Sehne::N,stir,ձգտան
48,Knochen::N,askorn,ոսկոր
49,Gehirn::N,empenn,խելք
50,Herz::N,kalon,սիրտ
51,Magen::N,stomog,ստամոքս
52,Leber::N,avu,լյարդ
53,Atem::N,anal,շունչ
54,Hunger::N,naon,քաղց
55,Träne::N,daer,արտասուք
56,Geschmack::N,blaz,համ
57,Geschmack::N,blaz,բուրմունք
58,Geruch::N,c'hwezh,հոտ
59,Geruch::N,c'hwezh,բուրում
60,Schlaf::N,kousked,քուն
61,Traum::N,hune,երազ
62,Himmel::N,oabl,երկինք
63,Sonne::N,heol,արեւ
64,Mond::N,loar,լուսին
65,Stern::N,steredenn,աստղ
66,Luft::N,aer,օդ
67,Wind::N,avel,քամի
68,Welle::N,houlenn,ալիք
69,Wasser::N,dour,ջուր
70,Stein::N,maen,քար
71,Boden::N,tachenn,գետին
72,Erde::N,douar,հող
73,Staub::N,poultr,փոշի
74,Rauch::N,moged,ծուխ
75,Funke::N,ful,կայծ
76,Feuer::N,tan,կրակ
77,Feuer::N,tan,հրդեհ
78,Licht::N,gouloù,լույս
79,Schatten::N,disheol,ստվեր
80,Wetter::N,amzer,եղանակ
81,Nebel::N,brumenn,մեգ
82,Nebel::N,brumenn,մառախուղ
83,Wolke::N,koumoulenn,ամպ
84,Regen::N,glav,անձրև
85,Schnee::N,erc'h,ձյուն
86,Eis::N,skorn,սառույց
87,Frost::N,rev,սառնամանիք
88,Kälte::N,yen,դող
89,Hitze::N,tommder,շոգ
90,Raureif::N,frim,ցօղեղեամ
91,Regenbogen::N,gwareg-ar-glav,ծիածան
92,Donner::N,kurun,որոտ
93,Strömung::N,red,հոսանք
