,Concept_ID,fa,zh
0,Auge::N,چشم,眼睛
1,Ohr::N,گوش,耳朵
2,Nase::N,بینی,鼻子
3,Mund::N,دهان,嘴
4,Zahn::N,دندان,牙齿
5,Zunge::N,زبان,舌头
6,Lippe::N,لب,嘴唇
7,Wange::N,لپ,面颊
8,Gesicht::N,رو,脸
9,Gesicht::N,چهره,脸
10,Stirn::N,پیشانی,额
11,Haar::N,مو,头发
12,Schnurrbart::N,سبیل,髭须
13,Bart::N,ریش,胡子
14,Kinn::N,چانه,下巴
15,Kiefer[Anatomie]::N,فک,颌
16,Kiefer[Anatomie]::N,آرواره,颌
17,Kehle::N,حلق,嗓子
18,Hals::N,گردن,颈
19,Genick::N,پشت گردن,后颈
20,Kopf::N,سر,头
21,Kopf::N,کله,头
22,Rücken::N,پشت,背
23,Bauch::N,شکم,肚子
24,Nabel::N,ناف,肚脐
25,Busen::N,پستان,胸脯
26,Brust::N,سینه,胸
27,Schulter::N,دوش,肩膀
28,Schulter::N,شانه,肩膀
29,Arm::N,بازو,臂膀
30,Ellenbogen::N,آرنج,肘
31,Hand::N,دست,手
32,Handfläche::N,کف دست,手掌
33,Finger::N,انگشت,手指
34,Fingernagel::N,ناخن دست,指甲
35,Nagel[Anatomie]::N,ناخن,指甲
36,Zeh::N,انگشت پا,脚趾
37,Fuß::N,پا,脚
38,Ferse::N,پاشنه,后跟
39,Knie::N,زانو,膝
40,Oberschenkel::N,ران,大腿
41,Bein::N,پا,腿
42,Bein::N,لنگ,腿
43,Körper::N,تن,身体
44,Körper::N,بدن,身体
45,Haut::N,پوست,皮肤
46,Blut::N,خون,血
47,Ader::N,رگ,血管
48,Sehne::N,زردپی,腱
49,Knochen::N,استخوان,骨
50,Gehirn::N,مخ,脑
51,Gehirn::N,مغز,脑
52,Herz::N,دل,心
53,Herz::N,قلب,心
54,Magen::N,معده,胃
55,Leber::N,کبد,肝
56,Atem::N,نفس,呼吸
57,Hunger::N,گرسنگی,饿
58,Träne::N,اشک,眼泪
59,Geschmack::N,مزه,味道
60,Geruch::N,بو,气味
61,Schlaf::N,خواب,睡眠
62,Traum::N,رؤیا,梦
63,Himmel::N,فلک,天空
64,Himmel::N,آسمان,天空
65,Sonne::N,آفتاب,太阳
66,Sonne::N,خورشید,太阳
67,Mond::N,ماه,月亮
68,Stern::N,ستاره,星
69,Luft::N,هوا,空气
70,Wind::N,باد,风
71,Welle::N,موج,波
72,Wasser::N,آب,水
73,Stein::N,سنگ,石头
74,Boden::N,زمین,地面
75,Erde::N,خاک,地
76,Erde::N,زمین,地
77,Staub::N,گرد,灰尘
78,Staub::N,غبار,灰尘
79,Rauch::N,دود,烟
80,Funke::N,جرقه,火花
81,Feuer::N,آتش,火
82,Licht::N,نور,光
83,Licht::N,روشنی,光
84,Schatten::N,سایه,影子
85,Wetter::N,هوا,天气
86,Nebel::N,مه,雾
87,Wolke::N,ابر,云
88,Regen::N,باران,雨
89,Schnee::N,برف,雪
90,Eis::N,یخ,冰
91,Frost::N,یخبندان,霜冻
92,Kälte::N,سرما,寒冷
93,Hitze::N,گرما,炎热
94,Hitze::N,حرارت,炎热
95,Raureif::N,برف ریزه,霜
96,Regenbogen::N,رنگین‌کمان,虹
97,Donner::N,رعد,雷
98,Strömung::N,جریان,水流
99,Tropfen::N,قطره,滴
100,Schaum::N,کف,泡沫
101,Schmutz::N,گل,赃物
102,Schmutz::N,کثافت,赃物
103,See::N,دریاچه,湖
104,Sumpf::N,مرداب,沼泽
105,Sumpf::N,باتلاق,沼泽
106,Moor::N,باتلاق,沼泽
107,Wiese::N,چمن,草地
108,Wald::N,جنگل,森林
109,Hügel::N,تل,丘陵
110,Hügel::N,تپه,丘陵
111,Anhöhe::N,بلندی,山丘
112,Berg::N,کوه,山
113,Gipfel::N,قله,峰
114,Höhle::N,غار,洞穴
115,Abhang::N,سرازیری,斜坡
116,Quelle::N,چشمه,泉
117,Bach::N,نهر,溪
118,Fluss::N,رود,河流
119,Ufer::N,ساحل,岸
120,Ufer::N,کرانه,岸
121,Küste::N,ساحل,海岸
122,Festland::N,خشکی,大陆
123,Meer::N,دریا,海
124,Bucht::N,خلیج,海湾
125,Insel::N,جزیره,岛
126,Blume::N,گل,花
127,Gras::N,علف,草
128,Wurzel::N,ریشه,根
129,Baum::N,درخت,树
130,Stamm::N,تنه,树干
131,Rinde::N,توژ,树皮
132,Rinde::N,پوست,树皮
133,Ast::N,شاخه,树枝
134,Zweig::N,شاخه,树枝
135,Blatt::N,برگ,叶子
136,Birke::N,غان,桦木
137,Kiefer[Baum]::N,کاج,松树
138,Weide[Baum]::N,بید,柳树
139,Tanne::N,صنوبر,冷杉
140,Horn::N,شاخ,角
141,Feder::N,پر,羽毛
142,Fell::N,خز,皮毛
143,Flügel::N,پر,翅膀
144,Flügel::N,بال,翅膀
145,Klaue::N,چنگ,爪子
146,Klaue::N,پنجه,爪子
147,Kralle::N,پنجه,爪子
148,Schwanz::N,دم,尾巴
149,Ei::N,تخم,蛋
150,Nest::N,لانه,巢
151,Bau::N,بنا,穴
152,Bau::N,ساختمان,穴
153,Tier::N,هیوان,动物
154,Herde::N,رمه,群
155,Kuh::N,گاو,母牛
156,Bulle::N,گاو نر,公牛
157,Pferd::N,اسب,马
158,Schaf::N,گوسفند,羊
159,Schwein::N,خوک,猪
160,Hund::N,سگ,狗
161,Katze::N,گربه,猫
162,Bär::N,خرس,熊
163,Eichhörnchen::N,سنجاب,松鼠
164,Elch::N,گوزن شمالی,麋鹿
165,Fuchs::N,روباه,狐狸
166,Hase::N,خرگوش,兔子
167,Maus::N,موش,老鼠
168,Wolf::N,گرگ,狼
169,Vogel::N,پرنده,鸟
170,Schwarm::N,دسته,群
171,Huhn::N,مرغ,鸡
172,Hahn::N,خروس,公鸡
173,Gans::N,غاز,鹅
174,Adler::N,عقاب,鹰
175,Ente::N,اردک,鸭
176,Ente::N,مرغابی,鸭
177,Eule::N,جغد,猫头鹰
178,Kranich::N,درنا,鹤
179,Krähe::N,زاغ,乌鸦
180,Krähe::N,کلاغ,乌鸦
181,Kuckuck::N,فاخته,布谷鸟
182,Schwan::N,قو,天鹅
183,Fisch::N,ماهی,鱼
184,Barsch::N,ماهی خاردار,鲈鱼
185,Hecht::N,اردک ماهی,狗鱼
186,Schlange[Tier]::N,مار,蛇
187,Wurm::N,کرم,蠕虫
188,Spinne::N,عنکبوت,蜘蛛
189,Ameise::N,مورچه,蚂蚁
190,Laus::N,شپش,虱子
191,Mücke::N,پشه,蚊子
192,Fliege::N,مگس,苍蝇
193,Schmetterling::N,پروانه,蝴蝶
194,Beere::N,گیله,将果
195,Apfel::N,سیب,苹果
196,Pilz::N,قارچ,蘑菇
197,Zwiebel::N,پیاز,洋葱
198,Saat::N,بذر,种子
199,Korn::N,تخم,谷粒
200,Korn::N,دانه,谷粒
201,Heu::N,علف خشک,干草
202,Schale::N,پوست,壳
203,Grube::N,گودال,坑
204,Falle::N,دام,圈套
205,Schlinge::N,حلقه,活扣
206,Spur::N,رد,踪迹
207,Asche::N,خاکستر,灰烬
208,Dreck::N,کثافت,污垢
209,Eisen::N,آهن,铁
210,Gold::N,زر,金子
211,Gold::N,طلا,金子
212,Silber::N,نقره,银
213,Kohle::N,زغال,煤
214,Glas::N,شیشه,玻璃
215,Lehm::N,گل,粘土
216,Sand::N,شن,沙
217,Sand::N,ماسه,沙
218,Mensch::N,آدم,人
219,Mensch::N,انسان,人
220,Mann::N,مرد,男子
221,Frau::N,زن,妇女
222,Kind::N,بچه,小孩
223,Kind::N,کودک,小孩
224,Junge::N,پسر,男孩
225,Mädchen::N,دختر,女孩
226,Familie::N,فامیل,家庭
227,Familie::N,خانواده,家庭
228,Großvater::N,پدربزرگ,祖父
229,Großmutter::N,مادر‌بزرگ,祖母
230,Eltern::N,والدین,父母
231,Eltern::N,پدر‌و‌مادر,父母
232,Vater::N,پدر,父亲
233,Mutter::N,مادر,母亲
234,Sohn::N,پسر,儿子
235,Tochter::N,دختر,女儿
236,Bruder::N,برادر,兄弟
237,Schwester::N,خواهر,姐妹
238,Onkel::N,عمو,伯父
239,Onkel::N,دایی,伯父
240,Tante::N,عمه,阿姨
241,Tante::N,خاله,阿姨
242,Ehemann::N,همسر,丈夫
243,Ehefrau::N,همسر,妻子
244,Freude::N,شادی,愉快
245,Gelächter::N,خنده,大笑
246,Gelächter::N,قاه‌قاه,大笑
247,Glück::N,اقبال,运气
248,Kummer::N,غم,苦恼
249,Kummer::N,غصه,苦恼
250,Wunsch::N,آرزو,愿望
251,Lust::N,هوس,乐趣
252,Geist::N,روح,精神
253,Gedanke::N,فکر,思想
254,Gedächtnis::N,حافظه,记性
255,Verstand::N,هوش,理智
256,Sinn::N,معنا,感觉
257,Sinn::N,مفهوم,感觉
258,Grund::N,سبب,理由
259,Grund::N,دلیل,理由
260,Wahrheit::N,حقیقت,真理
261,Gespräch::N,صحبت,谈话
262,Gespräch::N,گفتگو,谈话
263,Märchen::N,قصه,童话
264,Märchen::N,افسانه,童话
265,Erzählung::N,داستان,故事
266,Nachricht::N,خبر,消息
267,Neuigkeit::N,خبر تازه,新闻
268,Name::N,اسم,名字
269,Rätsel::N,معما,谜语
270,Rede::N,سخن,讲话
271,Sprache::N,زبان,语言
272,Stimme::N,صدا,声音
273,Wort::N,کلمه,词
274,Zeichen::N,نشان,标记
275,Zeichen::N,علامت,标记
276,Ruf::N,صدا,呼喊
277,Lärm::N,هیاهو,噪音
278,Laut::N,صدا,响声
279,Ton::N,آهنگ,声音
280,Lied::N,آواز,歌曲
281,Lied::N,ترانه,歌曲
282,Ruhe::N,آرامش,安静
283,Leute::N,مردم,人们
284,Volk::N,خلق,人民
285,Arbeit::N,کار,劳动
286,Gast::N,مهمان,客人
287,Geschenk::N,هدیه,礼物
288,Spiel::N,بازی,游戏
289,Gesellschaft::N,جمعیت,陪同
290,Hilfe::N,کمک,帮助
291,Freund::N,دوست,朋友
292,Kamerad::N,رفیق,同志
293,Angelegenheit::N,امر,事情
294,Angelegenheit::N,قضیه,事情
295,Anzahl::N,عده,数目
296,Anzahl::N,شمار,数目
297,Art::N,نوع,种类
298,Stück::N,تکه,块
299,Stück::N,قطعه,块
300,Teil::N,بخش,部分
301,Teil::N,قسمت,部分
302,Hälfte::N,نیم,一半
303,Kreis::N,حلقه,圆
304,Kreis::N,دایره,圆
305,Kreuz::N,صلیب,十字架
306,Linie::N,خط,线条
307,Linie::N,سطر,线条
308,Strich::N,خط,划
309,Abstand::N,فاصله,距离
310,Entfernung::N,مسافت,距离
311,Gegend::N,منطقه,地区
312,Platz::N,گنجایش,场所
313,Ort::N,جا,地点
314,Ort::N,محل,地点
315,Ort::N,مکان,地点
316,Seite::N,طرف,面
317,Mitte::N,وسط,中间
318,Mitte::N,میان,中间
319,Gegenstand::N,چیز,物品
320,Sache::N,چیز,物
321,Rand::N,کنار,边
322,Rand::N,حاشیه,边
323,Kante::N,لبه,棱
324,Ecke::N,گوشه,角
325,Spitze::N,سر,尖
326,Spitze::N,نوک,尖
327,Ende::N,ته,结尾
328,Ende::N,آخر,结尾
329,Loch::N,سوراخ,洞
330,Winkel::N,کنج,角度
331,Muster::N,نقش,模型
332,Größe::N,قد,大小
333,Größe::N,بزرگی,大小
334,Länge::N,طول,长度
335,Höhe::N,بلندی,高度
336,Gewicht::N,وزن,重量
337,Menge::N,مقدار,数量
338,Menge::N,اندازه,数量
339,Haufen::N,توده,堆
340,Reihe::N,ردیف,行
341,Boot::N,قایق,小船
342,Ruder::N,پارو,奖
343,Schlitten::N,سورتمه,雪橇
344,Ski::N,اسکی,雪板
345,Lagerfeuer::N,آتش,营火
346,Last::N,بار,负担
347,Last::N,سنگینی,负担
348,Gang::N,راه رفتن,行走
349,Schritt::N,قدم,步伐
350,Norden::N,شمال,北
351,Süden::N,جنوب,南
352,Westen::N,غرب,西
353,Osten::N,شرق,东
354,Holz::N,چوب,木材
355,Brett::N,تخته,木板
356,Platte::N,صفحه,平板
357,Stütze::N,تکیه,支架
358,Stange::N,میله,杆
359,Stock::N,چوب,棒
360,Stab::N,عصا,棍
