,Concept_ID,et,bn
0,Auge::N,silm,চক্ষু
1,Ohr::N,kõrv,কর্ণ
2,Nase::N,nina,নাক
3,Mund::N,suu,মুখ
4,Zahn::N,hammas,দাঁত
5,Zunge::N,keel,জিহবা
6,Lippe::N,huul,অধর
7,Wange::N,põsk,গণ্ড
8,Gesicht::N,nägu,মুখমণ্ডল
9,Stirn::N,otsmik,কপাল
10,Haar::N,juus,চুল
11,Schnurrbart::N,vurrud,গোঁফ
12,Schnurrbart::N,vuntsid,গোঁফ
13,Bart::N,habe,শ্মশ্রু
14,Kinn::N,lõug,চিবুক
15,Kiefer[Anatomie]::N,lõualuu,চোয়াল
16,Kehle::N,kõri,কণ্ঠ
17,Hals::N,kael,গল
18,Genick::N,kukal,ঘাড়
19,Kopf::N,pea,মাথা
20,Rücken::N,selg,পৃষ্ঠ
21,Bauch::N,kõht,উদর
22,Nabel::N,naba,নাভি
23,Busen::N,rind,স্তন
24,Brust::N,rind,বুক
25,Schulter::N,õlg,স্কন্ধ
26,Arm::N,käsivars,বাহু
27,Ellenbogen::N,küünarnukk,কনুই
28,Hand::N,käsi,হাত
29,Handfläche::N,pihk,করতল
30,Finger::N,sõrm,আঙ্গুল
31,Fingernagel::N,küüs,হাতের নখ
32,Nagel[Anatomie]::N,küüs,নখ
33,Zeh::N,varvas,আঙ্গুল
34,Fuß::N,jalg,পা
35,Ferse::N,kand,গোড়ালি
36,Knie::N,põlv,হাঁটু
37,Oberschenkel::N,reis,ঊরু
38,Bein::N,jalg,পা
39,Körper::N,ihu,দেহ
40,Körper::N,keha,দেহ
41,Haut::N,nahk,ত্বক
42,Blut::N,veri,রক্ত
43,Ader::N,veen,শিরা
44,Sehne::N,kõõlus,কণ্ডরা
45,Knochen::N,luu,অস্থি
46,Gehirn::N,aju,মস্তিষ্ক
47,Herz::N,süda,হৃৎপিণ্ড
48,Magen::N,magu,পাকস্থলী
49,Leber::N,maks,যকৃৎ
50,Atem::N,hingeõhk,শ্বাস
51,Atem::N,hingamine,শ্বাস
52,Hunger::N,nälg,ক্ষুধা
53,Träne::N,pisar,অশ্রু
54,Geschmack::N,maitse,স্বাদ
55,Geruch::N,lõhn,গন্ধ
56,Schlaf::N,uni,ঘুম
57,Traum::N,unenägu,স্বপ্ন
58,Himmel::N,taevas,আকাশ
59,Sonne::N,päike,সূর্য
60,Mond::N,kuu,চন্দ্র
61,Stern::N,täht,নক্ষত্র
62,Luft::N,õhk,বায়ু
63,Wind::N,tuul,বাতাস
64,Welle::N,laine,ঢেউ
65,Welle::N,laine,তরঙ্গ
66,Wasser::N,vesi,জল
67,Stein::N,kivi,ঢিল
68,Stein::N,kivi,প্রস্তর
69,Boden::N,maa,ভূতল
70,Boden::N,pinnas,ভূতল
71,Erde::N,maa,ভূমি
72,Staub::N,põrm,ধুলা
73,Rauch::N,suits,ধোঁয়া
74,Funke::N,säde,স্ফুলিঙ্গ
75,Feuer::N,tuli,অগ্নি
76,Licht::N,valgus,আলো
77,Schatten::N,vari,ছায়া
78,Wetter::N,ilm,আবহাওয়া
79,Nebel::N,udu,কুহেলিকা
80,Wolke::N,pilv,মেঘ
81,Regen::N,sadu,বৃষ্টি
82,Schnee::N,lumi,তুষার
83,Eis::N,jää,বরফ
84,Frost::N,pakane,তুষার
85,Kälte::N,külm,শৈত্য
86,Kälte::N,külmus,শৈত্য
87,Hitze::N,kuumus,তাপ
88,Hitze::N,palavus,তাপ
89,Raureif::N,härmatis,তুহিন
90,Regenbogen::N,vikerkaar,রামধনু
91,Donner::N,kõu,বজ্রধ্বনি
92,Donner::N,müristamine,বজ্রধ্বনি
93,Strömung::N,voolus,স্রোত
94,Strömung::N,jõevool,স্রোত
95,Tropfen::N,tilk,ফোঁটা
96,Schaum::N,vaht,ফেনা
97,Schmutz::N,pori,ধুলা
98,Schmutz::N,mustus,ধুলা
99,See::N,järv,হ্রদ
100,Sumpf::N,soo,জলা
101,Moor::N,raba,মাঠ
102,Wiese::N,aas,তৃণভূমি
103,Wiese::N,nurm,তৃণভূমি
104,Wald::N,mets,বন
105,Hügel::N,küngas,পাহাড়
106,Anhöhe::N,küngas,টিলা
107,Berg::N,mägi,পর্বত
108,Gipfel::N,mäetipp,শীর্ষ
109,Höhle::N,koobas,গুহা
110,Abhang::N,nõlvak,ঢাল
111,Quelle::N,allikas,উৎস
112,Bach::N,oja,ক্ষুদ্র নদী
113,Fluss::N,jõgi,নদী
114,Ufer::N,kallas,উপকূল
115,Küste::N,rannik,তীর
116,Festland::N,mander,ভূমি
117,Festland::N,maismaa,ভূমি
118,Meer::N,meri,সমুদ্র
119,Bucht::N,laht,উপসাগর
120,Insel::N,saar,দ্বীপ
121,Blume::N,lill,ফুল
122,Gras::N,rohi,ঘাস
123,Wurzel::N,juur,শিকড়
124,Baum::N,puu,গাছ
125,Stamm::N,tüvi,স্কন্ধ
126,Rinde::N,koor,বল্কল
127,Ast::N,oks,শাখা
128,Zweig::N,oks,ডাল
129,Blatt::N,leht,পর্ণ
130,Birke::N,kask,ভুর্জ
131,Kiefer[Baum]::N,mänd,পাইন গাছ
132,Weide[Baum]::N,paju,উইলো
133,Tanne::N,nulg,দেবদারূ গাছ
134,Horn::N,sarv,শিং
135,Feder::N,sulg,পালক
136,Fell::N,karvkate,রোম
137,Fell::N,karusnahk,রোম
138,Flügel::N,tiib,ডানা
139,Flügel::N,tiivik,ডানা
140,Klaue::N,küüs,নখর
141,Kralle::N,küünis,নখর
142,Schwanz::N,saba,লেজ
143,Ei::N,muna,ডিম
144,Nest::N,pesa,কুলায়
145,Bau::N,urg,ডেরা
146,Tier::N,loom,জন্তু
147,Herde::N,kari,ঝাঁক
148,Kuh::N,lehm,গোরু
149,Bulle::N,pull,বৃষ
150,Pferd::N,hobune,ঘোড়া
151,Schaf::N,lammas,ভেড়া
152,Schwein::N,siga,শূকর
153,Hund::N,koer,কুকুর
154,Katze::N,kass,বেড়াল
155,Bär::N,karu,ভল্লুক
156,Eichhörnchen::N,orav,কাঠবিড়াল
157,Elch::N,põder,হরিণবিশেষ
158,Fuchs::N,rebane,পাঁতিশিয়াল
159,Hase::N,jänes,শশক
160,Maus::N,hiir,নেংটি ইঁদুর
161,Wolf::N,hunt,নেকড়ে
