,Concept_ID,av,he
0,Ohr::N,гӏин,אזן
1,Nase::N,мегӏер,אף
2,Nase::N,мегӏер,חטם
3,Mund::N,кӏал,פה
4,Zahn::N,гӏус,שן
5,Zunge::N,мацӏ,לשון
6,Lippe::N,кӏветӏ,שפה
7,Wange::N,гӏоно,לחי
8,Gesicht::N,гьумер,פנים
9,Stirn::N,нодо,מצח
10,Haar::N,рас,שערה
11,Schnurrbart::N,михъ,שפם
12,Bart::N,мегеж,זקן
13,Kinn::N,нилъу,סנטר
14,Kiefer[Anatomie]::N,чанагъ,לסת
15,Kehle::N,щекъер,גרון
16,Hals::N,габур,צואר
17,Genick::N,гъванща,ערף
18,Kopf::N,бетӏер,ראש
19,Rücken::N,мугъ,גב
20,Bauch::N,чехь,בטן
21,Nabel::N,цӏину,טבור
22,Busen::N,керен,שד
23,Brust::N,керен,חזה
24,Schulter::N,гъажазубетӏер,כתף
25,Arm::N,гъеж,זרוע
26,Ellenbogen::N,гӏункӏрукь,מרפק
27,Hand::N,квер,יד
28,Handfläche::N,огъохъат,כף יד
29,Handfläche::N,жанисахъат,כף יד
30,Finger::N,килищ,אצבע
31,Fingernagel::N,малъ,צפרן
32,Nagel[Anatomie]::N,малъ,צפרן
33,Zeh::N,килищ,אצבע
34,Fuß::N,хӏетӏ,רגל
35,Fuß::N,хӏетӏе,רגל
36,Ferse::N,эгъе,עקב
37,Knie::N,наку,ברך
38,Oberschenkel::N,мачӏ,ירך
39,Bein::N,бох,רגל
40,Körper::N,къаркъала,גוף
41,Haut::N,тӏом,עור
42,Blut::N,би,דם
43,Ader::N,бидурихь,וריד
44,Knochen::N,ракьа,עצם
45,Gehirn::N,гӏадалнах,מוח
46,Herz::N,ракӏ,לב
47,Magen::N,кванирукъ,קבה
48,Leber::N,тӏул,כבד
49,Atem::N,хӏухь,נשימה
50,Hunger::N,ракъи,רעב
51,Träne::N,магӏу,דמעה
52,Geschmack::N,тату,טעם
53,Geruch::N,махӏ,ריח
54,Schlaf::N,макьу,שנה
55,Traum::N,макьу,חלום
56,Himmel::N,зоб,שמים
57,Sonne::N,бакъ,שמש
58,Mond::N,моцӏ,ירח
59,Stern::N,цӏва,כוכב
60,Luft::N,гьава,אויר
61,Wind::N,гьури,רוח
62,Welle::N,карачел,גל
63,Wasser::N,лъим,מים
64,Stein::N,гьецӏо,אבן
65,Boden::N,ракь,קרקע
66,Erde::N,ракь,אדמה
67,Erde::N,дуниял,אדמה
68,Staub::N,хӏур,אבק
69,Rauch::N,кӏкӏуй,עשן
70,Feuer::N,цӏа,אש
71,Licht::N,канлъи,אור
72,Schatten::N,рагӏад,צל
73,Wetter::N,гьава-бакъ,מזג אויר
74,Nebel::N,гӏодобнакӏкӏ,ערפל
75,Wolke::N,накӏкӏ,ענן
76,Regen::N,цӏад,גשם
77,Schnee::N,гӏазу,שלג
78,Eis::N,цӏер,קרח
79,Frost::N,замгьари,צנה
80,Kälte::N,квач,קר
81,Hitze::N,багӏари,חם
82,Raureif::N,мартӏ,כפור
83,Regenbogen::N,нур,קשת
84,Regenbogen::N,чамбара,קשת
85,Donner::N,гъугъай,רעם
86,Donner::N,гъугъади,רעם
87,Strömung::N,чвахи,זרימה
88,Tropfen::N,резел,טפה
89,Tropfen::N,тӏинкӏ,טפה
90,Tropfen::N,къатӏра,טפה
91,Tropfen::N,тӏенкӏел,טפה
92,Schaum::N,полоп,קצף
93,Schmutz::N,чороклъи,לכלוך
94,See::N,хӏор,אגם
95,Sumpf::N,хьуцӏ,בצה
96,Wiese::N,мегъ,מרעה
97,Wiese::N,гӏурдаллъи,מרעה
98,Wald::N,рохь,יער
99,Hügel::N,гохӏ,תל
100,Anhöhe::N,сийитма,מעלה
101,Berg::N,мегӏер,הר
102,Gipfel::N,тӏогь,פסגה
103,Höhle::N,нохъо,מערה
104,Abhang::N,лабаллъи,מדרון
105,Abhang::N,лабаллъи,שפוע
106,Quelle::N,ицц,מעין
107,Bach::N,лъар,נחל
108,Fluss::N,гӏор,נהר
109,Ufer::N,рагӏал,גדה
110,Küste::N,рагӏал,חוף
111,Festland::N,ракь,יבשה
112,Festland::N,ракъдаллъи,יבשה
113,Meer::N,ралъад,ים
114,Bucht::N,кӏветӏ,מפרץ
115,Insel::N,чӏинкӏиллъи,אי
116,Blume::N,тӏегь,פרח
117,Gras::N,хер,דשא
118,Wurzel::N,кьибил,שרש
119,Baum::N,гъветӏ,עץ
120,Stamm::N,рохти,גזע
121,Rinde::N,макъар,קלפת עץ
122,Ast::N,ноцӏ,ענף
123,Zweig::N,гӏаркьел,ענף
124,Blatt::N,тӏамах,עלה
125,Birke::N,мах,שדר
126,Birke::N,махигъветӏ,שדר
127,Kiefer[Baum]::N,накӏкӏигъветӏ,ארן
128,Weide[Baum]::N,рицӏцӏ,ערבה
129,Weide[Baum]::N,рицӏцӏигъветӏ,ערבה
130,Tanne::N,ёлка,אשוח
131,Horn::N,лълъар,קרן
132,Feder::N,хӏули,נוצה
133,Fell::N,тӏом,פרוה
134,Fell::N,цӏоко,פרוה
135,Flügel::N,кваркьи,כנף
136,Klaue::N,галъ,טלף
137,Kralle::N,квачӏ,טפר
138,Kralle::N,катиквачӏ,טפר
139,Schwanz::N,рачӏ,זנב
140,Ei::N,хоно,ביצה
141,Nest::N,бусен,קן
142,Bau::N,каратӏ,מחלה
143,Tier::N,хӏайван,חיה
144,Herde::N,рехъен,עדר
145,Herde::N,рехъед,עדר
146,Kuh::N,гӏака,פרה
147,Bulle::N,оц,פר
148,Pferd::N,чу,סוס
149,Schaf::N,чахъу,כבשה
150,Schwein::N,болъон,חזיר
151,Hund::N,гьой,כלב
152,Katze::N,кету,חתול
153,Bär::N,ци,דב
154,Eichhörnchen::N,гвангва,סנאי
155,Fuchs::N,цер,שועל
156,Hase::N,гӏанкӏ,ארנב
157,Maus::N,гӏункӏкӏ,עכבר
158,Wolf::N,бацӏ,זאב
159,Vogel::N,хӏинчӏ,צפור
160,Schwarm::N,тӏел,נחיל
161,Schwarm::N,тӏел,להקה
162,Huhn::N,гӏанкӏу,תרנגלת
163,Hahn::N,хӏелеко,תרנגול
164,Gans::N,хъаз,אוז
165,Adler::N,цӏум,עיט
166,Ente::N,ордек,ברוז
167,Eule::N,беццаруз,ינשוף
168,Kranich::N,къункъра,עגור
169,Kranich::N,къункъра,כרוכיה
170,Krähe::N,гъеду,עורב
171,Kuckuck::N,гагу,קוקיה
172,Schwan::N,хӏанкъва,ברבור
173,Fisch::N,ччугӏа,דג
174,Barsch::N,окунь,אוקונוס
175,Hecht::N,щука,זאב הים
176,Schlange[Tier]::N,борохь,נחש
177,Wurm::N,хӏапара,תולעת
178,Spinne::N,хъанхъра,עכביש
179,Ameise::N,цӏунцӏра,נמלה
180,Laus::N,нацӏ,כנה
181,Mücke::N,кӏкӏара,יתוש
182,Fliege::N,тӏутӏ,זבוב
183,Schmetterling::N,кӏалкӏучӏ,פרפר
184,Apfel::N,гӏеч,תפוח
185,Pilz::N,гӏурдахӏан,פטריה
186,Zwiebel::N,кӏочӏопер,בצל
187,Saat::N,хьон,זרעים
188,Korn::N,мугь,גרעין
189,Heu::N,хер,חציר
190,Schale::N,хъал,קלפה
191,Grube::N,гвенд,בור
192,Grube::N,гвенд,שוחה
193,Falle::N,къор,מלכדת
194,Falle::N,къотен,מלכדת
195,Schlinge::N,кӏичӏ,לולאה
196,Spur::N,лъалкӏ,עקבה
197,Asche::N,рахъу,אפר
198,Dreck::N,гъиз,זהמה
199,Dreck::N,хӏарщ,זהמה
200,Eisen::N,махх,ברזל
201,Gold::N,месед,זהב
202,Silber::N,гӏарац,כסף
203,Kohle::N,тӏурччи,פחם
204,Glas::N,цӏер,זכוכית
205,Lehm::N,хӏатӏ,חרסית
206,Sand::N,сали,חול
207,Mensch::N,чи,אדם
208,Mann::N,бихьинчи,איש
209,Mann::N,бихьинчи,גבר
210,Frau::N,гӏадан,אשה
211,Frau::N,гӏадан,גברת
212,Kind::N,лъимер,ילד
213,Junge::N,вас,ילד
214,Mädchen::N,яс,נערה
215,Familie::N,хъизан,משפחה
216,Großvater::N,кӏудада,סבא
