,Concept_ID,ku,ar
0,Auge::N,çav,عين
1,Ohr::N,guh,أذن
2,Nase::N,bêvil,أنف
3,Mund::N,dev,فم
4,Zahn::N,didan,سن
5,Zunge::N,ziman,لسان
6,Lippe::N,lêv,شفة
7,Wange::N,dêm,خد
8,Wange::N,dêm,وجنة
9,Wange::N,hinarik,خد
10,Wange::N,hinarik,وجنة
11,Gesicht::N,rû,وجه
12,Stirn::N,enî,جبين
13,Haar::N,por,شعر
14,Schnurrbart::N,simbêl,شارب
15,Bart::N,rih,لحية
16,Kinn::N,zenî,ذقن
17,Kiefer[Anatomie]::N,arguşk,فك
18,Kehle::N,qirik,حلق
19,Hals::N,stû,عنق
20,Hals::N,stû,رقبة
21,Hals::N,qirik,عنق
22,Hals::N,qirik,رقبة
23,Genick::N,stû,قفا
24,Kopf::N,serî,رأس
25,Rücken::N,pişt,ظهر
26,Bauch::N,ûr,بطن
27,Bauch::N,zik,بطن
28,Nabel::N,navik,سرة
29,Busen::N,sîng,ثدي
30,Brust::N,sîng,صدر
31,Schulter::N,mil,كتف
32,Arm::N,çepil,ذراع
33,Ellenbogen::N,enîşk,كوع
34,Hand::N,dest,يد
35,Handfläche::N,kefadest,كف
36,Finger::N,tilî,إصبع
37,Fingernagel::N,neynuk,ظفر
38,Nagel[Anatomie]::N,bizmar,ظفر
39,Zeh::N,tilî linga,إصبع القدم
40,Fuß::N,ling,قدم
41,Ferse::N,pahnî,كعب
42,Knie::N,kabok,ركبة
43,Oberschenkel::N,rahn,فخذ
44,Bein::N,çip,ساق
45,Körper::N,laş,جسم
46,Körper::N,gowde,جسم
47,Haut::N,çerm,بشرة
48,Blut::N,xwîn,دم
49,Ader::N,reh,عرق
50,Sehne::N,reh,طنب
51,Knochen::N,hestî,عظم
52,Gehirn::N,mêjî,دماغ
53,Herz::N,dil,قلب
54,Magen::N,navêş,معدة
55,Leber::N,kezeb,كبد
56,Atem::N,hilm,نفس
57,Hunger::N,birçîtî,جوع
58,Träne::N,hêstir,دمعة
59,Geschmack::N,tam,طعم
60,Geschmack::N,tam,مذاق
61,Geruch::N,bêhn,رائحة
62,Schlaf::N,xew,نوم
63,Schlaf::N,xew,منام
64,Traum::N,xewn,حلم
65,Himmel::N,ezman,سماء
66,Sonne::N,roj,شمس
67,Mond::N,heyv,قمر
68,Stern::N,stêrk,نجم
69,Stern::N,stêrk,كوكب
70,Luft::N,ba,هواء
71,Wind::N,ba,ريح
72,Welle::N,şewl,موجة
73,Wasser::N,av,ماء
74,Stein::N,kevir,حجر
75,Boden::N,herd,تراب
76,Erde::N,ax,أرض
77,Staub::N,toz,غبار
78,Rauch::N,dû,دخان
79,Funke::N,çirûşk,شرارة
80,Feuer::N,agir,نار
81,Licht::N,ronahî,نور
82,Licht::N,ronahî,ضوء
83,Schatten::N,sî,ظل
84,Schatten::N,sî,فيء
85,Wetter::N,hewa,جو
86,Wetter::N,hewa,طقس
87,Nebel::N,mij,ضباب
88,Wolke::N,ewr,غيمة
89,Wolke::N,ewr,سحابة
90,Regen::N,baran,مطر
91,Schnee::N,berf,ثلج
92,Eis::N,qeşa,جليد
93,Frost::N,xûsik,صقيع
94,Kälte::N,serma,برد
95,Hitze::N,germayî,حر
96,Hitze::N,germayî,حرارة
97,Raureif::N,şext,صقيع
98,Regenbogen::N,heftreng,قوس قزح
99,Donner::N,gire-gir,رعد
100,Strömung::N,şewl,تيار
101,Tropfen::N,dilop,قطرة
102,Schaum::N,kef,زبد
103,Schaum::N,kef,رغوة
104,Schmutz::N,gemar,وسخ
105,See::N,gol,بحيرة
106,Sumpf::N,hezek,مستنقع
107,Moor::N,mafêl,مستنقع
108,Wiese::N,sûrik,مرج
109,Wald::N,çiya,غابة
110,Wald::N,daristan,غابة
111,Hügel::N,gir,تل
112,Anhöhe::N,sere gir,تل
113,Berg::N,kaş,جبل
114,Gipfel::N,sere gir,قمة
115,Höhle::N,şikeft,كهف
116,Abhang::N,kaş,منحدر
117,Quelle::N,kanî,منبع
118,Bach::N,çem,مجرى
119,Fluss::N,çem,نهر
120,Fluss::N,rûbar,نهر
121,Ufer::N,kevî,ضفة
122,Küste::N,berav,ساحل
123,Festland::N,bejahî,بر
124,Meer::N,behr,بحر
125,Bucht::N,derav,خليج
126,Insel::N,girav,جزيرة
127,Blume::N,kulînk,زهرة
128,Gras::N,giha,حشيش
129,Wurzel::N,reh,أصل
130,Baum::N,dar,شجرة
131,Stamm::N,bavik,جذع
132,Rinde::N,qaqil,قشرة
133,Ast::N,gulî,فرع
134,Zweig::N,şax,غصن
135,Blatt::N,pel,ورقة
136,Birke::N,dara sipî,قضبان
137,Kiefer[Baum]::N,dara bî,صنوبرة
138,Weide[Baum]::N,dara belalûk,صفصاف
139,Tanne::N,merx,شوح
140,Tanne::N,merx,تبوب
141,Horn::N,strô,قرن
142,Feder::N,pîrtîk,ريشة
143,Fell::N,heyar,فرو
144,Flügel::N,per,جناح
145,Klaue::N,napîk,مخلب
146,Kralle::N,dinik,مخلب
147,Kralle::N,dirnax,مخلب
148,Schwanz::N,dûv,ذيل
149,Ei::N,hêk,بيض
150,Nest::N,hêlîn,عش
151,Bau::N,avahî,جحر
152,Tier::N,heywan,حيوان
153,Herde::N,hoz,قطيع
154,Kuh::N,çêlek,بقرة
155,Bulle::N,ga,ثور
156,Pferd::N,hesp,خيل
157,Schaf::N,mîh,شاة
158,Schwein::N,beraz,خنزير
159,Hund::N,seh,كلب
160,Katze::N,pişîk,قطة
161,Bär::N,hirç,دب
162,Eichhörnchen::N,pilûr,سنجاب
163,Elch::N,pazkovî,موظ
164,Fuchs::N,rovî,ثعلب
165,Hase::N,kîroşk,أرنب
166,Maus::N,mişk,فأرة
167,Wolf::N,gur,ذئب
168,Vogel::N,çûk,طير
169,Schwarm::N,lufik,سرب
170,Huhn::N,mirîşk,دجاجة
171,Hahn::N,dîk,ديك
172,Gans::N,qaz,وزة
173,Adler::N,eylo,نسر
174,Ente::N,werdek,بطة
175,Eule::N,bûm,بوم
176,Eule::N,kund,بوم
177,Kranich::N,quling,كركي
178,Krähe::N,qijik,غراب
179,Kuckuck::N,pepûk,وقواق
180,Schwan::N,qû,إوز عراقي
181,Fisch::N,masî,سمك
182,Barsch::N,okûn,فرخ أوربي
183,Hecht::N,mesîyê lûf,سمك الكراكي
184,Schlange[Tier]::N,mar,حية
