word	count
Ne?	7534
Alo?	755
Efendim?	573
Merhaba?	549
Neden?	486
Neredesin?	479
Anne?	415
Baba?	398
Kim?	343
?	339
Pardon?	325
Nerede?	316
Evet?	269
Anlamadım?	259
Ha?	238
Sen?	228
Jack?	183
Nasıl?	156
Nasılsın?	108
Niye?	100
Tatlım?	90
Neyi?	88
Rachel?	85
Sam?	73
Nasılsınız?	67
Ben?	66
Affedersiniz?	64
Neredeler?	60
Lucien?	59
Michael?	58
Nereye?	56
Kimsiniz?	54
Kimsin?	53
Alex?	53
Tony?	52
Huh?	52
Ali?	52
Affedersin?	48
Paul?	48
Tamam?	47
Anna?	46
Şimdi?	46
Lütfen?	46
Hannah?	46
Doktor?	44
Sarah?	43
Hayır?	42
Sonny?	42
N'aber?	42
Rowan?	40
Niçin?	39
David?	39
Tom?	38
Anlayamadım?	37
Samantha?	37
Bayım?	36
Katie?	36
Daniel?	36
Nerdesin?	35
Carrie?	33
Ve?	33
Grenouille?	33
Chris?	32
Afedersin?	31
Kırmızı?	31
Mary?	31
Hı?	30
Rachael?	30
Yani?	30
Neresi?	30
Summersisle?	30
Bayan?	29
Kimi?	29
Steve?	29
John?	28
Charlie?	28
Walter?	28
Henry?	28
Lenny?	27
Pete?	27
Kahve?	26
Nick?	26
Karen?	26
Alice?	26
Hey?	26
Rick?	26
Sara?	25
Çocuklar?	25
Harry?	25
Amelie?	25
Duyamadım?	25
Max?	25
Penny?	25
Walt?	25
İssa?	25
Billy?	24
Babacığım?	24
Rebecca?	24
Matthew?	24
Tim?	24
Nim?	24
Will?	24
N'aberler?	24
Myoko?	24
Neredesiniz?	23
Clark?	23
Peeta?	23
Jess?	22
Mark?	22
Gus?	22
He?	22
Claire?	22
Rach?	22
Çay?	21
ne?	21
Bu?	21
Tommy?	21
Bob?	21
Ney?	21
Neredeydin?	21
Trent?	21
Marilyn?	21
Monica?	21
Jake?	21
Danny?	20
Burası?	20
Frank?	20
Şampiyon?	20
Eh?	20
Bayonne?	20
Şeyh?	20
Ethan?	20
{\i1\1cH00FFFF}Ne?	20
Joe?	20
Gerçekten?	20
Noah?	20
Jackson?	20
Nadine?	20
Vincent?	20
Kime?	19
Büyükanne?	19
Thomas?	19
Lucy?	18
Hanna?	18
Ne...?	18
Sonra?	18
Cumartesi?	18
Tania?	18
Sean?	18
Adam?	18
Jessica?	18
