,Concept_ID,hu,he
0,Auge::N,szem,עין
1,Ohr::N,fül,אזן
2,Nase::N,orr,אף
3,Nase::N,orr,חטם
4,Mund::N,száj,פה
5,Zahn::N,fog,שן
6,Zunge::N,nyelv,לשון
7,Lippe::N,ajak,שפה
8,Wange::N,orca,לחי
9,Gesicht::N,arc,פנים
10,Stirn::N,homlok,מצח
11,Haar::N,haj,שערה
12,Schnurrbart::N,bajusz,שפם
13,Bart::N,szakáll,זקן
14,Kinn::N,áll,סנטר
15,Kiefer[Anatomie]::N,állkapocs,לסת
16,Kehle::N,gége,גרון
17,Kehle::N,torok,גרון
18,Hals::N,nyak,צואר
19,Genick::N,tarkó,ערף
20,Kopf::N,fő,ראש
21,Kopf::N,fej,ראש
22,Rücken::N,hát,גב
23,Bauch::N,has,בטן
24,Nabel::N,köldök,טבור
25,Busen::N,mell,שד
26,Busen::N,kebel,שד
27,Brust::N,mell,חזה
28,Schulter::N,váll,כתף
29,Arm::N,kar,זרוע
30,Ellenbogen::N,könyök,מרפק
31,Hand::N,kéz,יד
32,Handfläche::N,tenyér,כף יד
33,Finger::N,ujj,אצבע
34,Fingernagel::N,köröm,צפרן
35,Nagel[Anatomie]::N,köröm,צפרן
36,Zeh::N,lábujj,אצבע
37,Fuß::N,láb,רגל
38,Ferse::N,sarok,עקב
39,Knie::N,térd,ברך
40,Oberschenkel::N,comb,ירך
41,Bein::N,láb,רגל
42,Bein::N,lábszár,רגל
43,Körper::N,test,גוף
44,Haut::N,bőr,עור
45,Blut::N,vér,דם
46,Ader::N,ér,וריד
47,Sehne::N,ín,גיד
48,Knochen::N,csont,עצם
49,Gehirn::N,agy,מוח
50,Gehirn::N,agyvelő,מוח
51,Herz::N,szív,לב
52,Magen::N,gyomor,קבה
53,Leber::N,máj,כבד
54,Atem::N,lehelet,נשימה
55,Atem::N,lélegzet,נשימה
56,Hunger::N,éhség,רעב
57,Träne::N,könny,דמעה
58,Geschmack::N,íz,טעם
59,Geruch::N,szag,ריח
60,Schlaf::N,álom,שנה
61,Schlaf::N,alvás,שנה
62,Traum::N,álom,חלום
63,Himmel::N,ég,שמים
64,Himmel::N,menny,שמים
65,Sonne::N,nap,שמש
66,Mond::N,hold,ירח
67,Stern::N,csillag,כוכב
68,Luft::N,levegő,אויר
69,Wind::N,szél,רוח
70,Welle::N,hullám,גל
71,Wasser::N,víz,מים
