,Concept_ID,fa,ga
0,Auge::N,چشم,súil
1,Ohr::N,گوش,cluas
2,Nase::N,بینی,soc
3,Mund::N,دهان,béal
4,Zahn::N,دندان,fiacail
5,Zunge::N,زبان,teanga
6,Lippe::N,لب,liopa
7,Wange::N,لپ,grua
8,Wange::N,لپ,leiceann
9,Gesicht::N,رو,éadan
10,Gesicht::N,رو,aghaidh
11,Gesicht::N,چهره,éadan
12,Gesicht::N,چهره,aghaidh
13,Stirn::N,پیشانی,baithis
14,Stirn::N,پیشانی,clár éadain
15,Haar::N,مو,gruaig
16,Schnurrbart::N,سبیل,croiméal
17,Bart::N,ریش,féasóg
18,Kinn::N,چانه,smig
19,Kiefer[Anatomie]::N,فک,giall
20,Kiefer[Anatomie]::N,آرواره,giall
21,Kehle::N,حلق,scornach
22,Hals::N,گردن,muinéal
23,Genick::N,پشت گردن,baic
24,Kopf::N,سر,ceann
25,Kopf::N,کله,ceann
26,Rücken::N,پشت,droim
27,Bauch::N,شکم,bolg
28,Nabel::N,ناف,imleacán
29,Busen::N,پستان,cíoch
30,Brust::N,سینه,brollach
31,Schulter::N,دوش,gualainn
32,Schulter::N,شانه,gualainn
33,Arm::N,بازو,lámh
34,Ellenbogen::N,آرنج,uillinn
35,Hand::N,دست,lámh
36,Handfläche::N,کف دست,bos
37,Finger::N,انگشت,méar
38,Fingernagel::N,ناخن دست,ionga
39,Nagel[Anatomie]::N,ناخن,ionga
40,Zeh::N,انگشت پا,ladhar
41,Fuß::N,پا,cos
42,Fuß::N,پا,troigh
43,Ferse::N,پاشنه,sáil
44,Knie::N,زانو,glúin
45,Oberschenkel::N,ران,ceathrú
46,Bein::N,پا,cos
47,Bein::N,لنگ,cos
48,Körper::N,تن,corp
49,Körper::N,تن,colainn
50,Körper::N,بدن,corp
51,Körper::N,بدن,colainn
52,Haut::N,پوست,cneas
53,Haut::N,پوست,craiceann
54,Blut::N,خون,fuil
55,Ader::N,رگ,
56,Sehne::N,زردپی,teannán
57,Sehne::N,زردپی,féitheog
58,Knochen::N,استخوان,cnámh
59,Gehirn::N,مخ,inchinn
60,Gehirn::N,مغز,inchinn
61,Herz::N,دل,croí
62,Herz::N,قلب,croí
63,Magen::N,معده,bolg
64,Magen::N,معده,goile
65,Leber::N,کبد,ae
66,Atem::N,نفس,anáil
67,Hunger::N,گرسنگی,ocras
68,Träne::N,اشک,deoir
69,Geschmack::N,مزه,blas
70,Geruch::N,بو,boladh
71,Schlaf::N,خواب,suan
72,Schlaf::N,خواب,codladh
73,Traum::N,رؤیا,taibhreamh
74,Himmel::N,فلک,spéir
75,Himmel::N,آسمان,spéir
76,Sonne::N,آفتاب,grian
77,Sonne::N,خورشید,grian
78,Mond::N,ماه,ré
79,Mond::N,ماه,gealach
80,Stern::N,ستاره,rinn
81,Stern::N,ستاره,réalta
82,Luft::N,هوا,aer
83,Wind::N,باد,gaoth
84,Welle::N,موج,tonn
85,Wasser::N,آب,uisce
86,Stein::N,سنگ,cloch
87,Boden::N,زمین,talamh
88,Erde::N,خاک,cré
89,Erde::N,خاک,ithir
90,Erde::N,زمین,cré
91,Erde::N,زمین,ithir
92,Staub::N,گرد,dusta
93,Staub::N,گرد,deannach
94,Staub::N,غبار,dusta
95,Staub::N,غبار,deannach
96,Rauch::N,دود,toit
97,Rauch::N,دود,deatach
98,Funke::N,جرقه,drithle
99,Feuer::N,آتش,tine
100,Licht::N,نور,solas
101,Licht::N,روشنی,solas
102,Schatten::N,سایه,scáth
103,Wetter::N,هوا,aimsir
104,Nebel::N,مه,ceo
105,Wolke::N,ابر,néal
106,Wolke::N,ابر,scamall
107,Regen::N,باران,báisteach
108,Regen::N,باران,fearthainn
109,Schnee::N,برف,sneachta
110,Eis::N,یخ,oighear
111,Frost::N,یخبندان,sioc
112,Kälte::N,سرما,fuacht
113,Hitze::N,گرما,teas
114,Hitze::N,گرما,teocht
115,Hitze::N,حرارت,teas
116,Hitze::N,حرارت,teocht
117,Raureif::N,برف ریزه,sioc bán
118,Regenbogen::N,رنگین‌کمان,stua ceatha
119,Regenbogen::N,رنگین‌کمان,bogha báistí
120,Donner::N,رعد,toirneach
121,Strömung::N,جریان,sruth
122,Tropfen::N,قطره,deoir
123,Schaum::N,کف,cúr
124,Schmutz::N,گل,salachar
125,Schmutz::N,کثافت,salachar
126,See::N,دریاچه,loch
127,Sumpf::N,مرداب,portach
128,Sumpf::N,باتلاق,portach
129,Moor::N,باتلاق,caorán
130,Moor::N,باتلاق,móinteán
131,Wiese::N,چمن,cluain
132,Wiese::N,چمن,móinéar
133,Wald::N,جنگل,coill
134,Wald::N,جنگل,foraois
135,Hügel::N,تل,ard
136,Hügel::N,تپه,ard
137,Anhöhe::N,بلندی,ard
138,Anhöhe::N,بلندی,ardán
139,Berg::N,کوه,sliabh
140,Gipfel::N,قله,barr
141,Gipfel::N,قله,mullach
142,Höhle::N,غار,uaimh
143,Höhle::N,غار,pluais
144,Abhang::N,سرازیری,fána
145,Quelle::N,چشمه,foinse
146,Bach::N,نهر,sruthán
147,Fluss::N,رود,abhainn
148,Ufer::N,ساحل,bruach
149,Ufer::N,کرانه,bruach
150,Küste::N,ساحل,cósta
151,Küste::N,ساحل,cladach
152,Festland::N,خشکی,míntír
153,Meer::N,دریا,muir
154,Meer::N,دریا,farraige
155,Bucht::N,خلیج,bá
156,Bucht::N,خلیج,cuan
157,Insel::N,جزیره,inis
158,Insel::N,جزیره,oileán
159,Blume::N,گل,bláth
160,Gras::N,علف,féar
161,Wurzel::N,ریشه,rúta
162,Wurzel::N,ریشه,fréamh
163,Baum::N,درخت,crann
164,Stamm::N,تنه,stoc
165,Stamm::N,تنه,tamhan
166,Rinde::N,توژ,coirt
167,Rinde::N,توژ,craiceann
168,Rinde::N,پوست,coirt
169,Rinde::N,پوست,craiceann
170,Ast::N,شاخه,géag
171,Zweig::N,شاخه,géag
172,Zweig::N,شاخه,craobh
173,Blatt::N,برگ,duille
174,Blatt::N,برگ,duilleog
175,Birke::N,غان,beith
176,Birke::N,غان,crann beithe
177,Kiefer[Baum]::N,کاج,péine
178,Weide[Baum]::N,بید,saileach
179,Tanne::N,صنوبر,giúis
180,Horn::N,شاخ,adharc
181,Feder::N,پر,cleite
182,Fell::N,خز,clúmh
183,Flügel::N,پر,eite
184,Flügel::N,پر,sciathán
185,Flügel::N,بال,eite
186,Flügel::N,بال,sciathán
187,Klaue::N,چنگ,crúb
188,Klaue::N,چنگ,crobh
189,Klaue::N,پنجه,crúb
190,Klaue::N,پنجه,crobh
191,Kralle::N,پنجه,crobh
192,Schwanz::N,دم,eireaball
