,Concept_ID,cy,mdf
0,Auge::N,llygad,сельме
1,Ohr::N,clust,пиле
2,Nase::N,trwyn,шалхка
3,Mund::N,ceg,курга
4,Zahn::N,dant,пей
5,Zunge::N,tafod,кяль
6,Lippe::N,gwefus,търва́
7,Wange::N,boch,щёка
8,Gesicht::N,wyneb,шама
9,Stirn::N,talcen,коня
10,Haar::N,blew,шя́ярь
11,Schnurrbart::N,mwstas,уса́
12,Bart::N,barf,сакал
13,Kinn::N,gên,ула
14,Kiefer[Anatomie]::N,gên,саласка
15,Kehle::N,gwddf,кълдома
16,Kehle::N,gwddf,кърга́парь
17,Hals::N,gwddf,сялдаз
18,Genick::N,gwar,шовонь
19,Genick::N,gwegil,шовонь
20,Kopf::N,pen,пря
21,Rücken::N,cefn,копорь
22,Bauch::N,bol,пеке
23,Nabel::N,bogail,по́кон
24,Busen::N,bron,потя
25,Brust::N,brest,мяште
26,Schulter::N,ysgwydd,лафту
27,Arm::N,braich,кядь
28,Ellenbogen::N,penelin,кенерьба́карь
29,Hand::N,llaw,кядь
30,Handfläche::N,palf,кядьлапш
31,Finger::N,bys,сур
32,Fingernagel::N,ewin,кенже
33,Nagel[Anatomie]::N,ewin,кенже
34,Zeh::N,bys troed,пильгосу́р
35,Fuß::N,troed,пильге
36,Fuß::N,troed,пильгелапа
37,Ferse::N,sawdl,кочкяря
38,Knie::N,glin,эль
39,Knie::N,glin,пълма́нжа
40,Oberschenkel::N,clun,пильгепукша
41,Bein::N,coes,пильге
42,Körper::N,corff,ро́нга
43,Körper::N,corff,по́нда
44,Haut::N,croen,киське
45,Blut::N,gwaed,вер
46,Ader::N,gwythïen,сан
47,Ader::N,gwythïen,верза́н
48,Sehne::N,gewyn,коське сан
49,Knochen::N,asgwrn,пакарь
50,Gehirn::N,ymennydd,уй
51,Herz::N,calon,седи
52,Magen::N,cylla,коткърдазь
53,Magen::N,stumog,коткърдазь
54,Leber::N,iau,макса
55,Atem::N,anadl,лекома
56,Atem::N,anadl,ваймонь тарксема
57,Hunger::N,newyn,вачеши
58,Träne::N,deigryn,сельмове́дь
59,Geschmack::N,cyflas,таньф
60,Geruch::N,aroglau,шине
61,Schlaf::N,cwsg,удома́
62,Traum::N,breuddwyd,он
63,Himmel::N,awyr,менель
64,Sonne::N,haul,ши
65,Mond::N,lleuad,ков
66,Stern::N,seren,тяште
67,Luft::N,awyr,кожф
68,Wind::N,gwynt,варма
69,Welle::N,ton,тавла
70,Wasser::N,dŵr,ведь
71,Stein::N,carreg,кев
72,Boden::N,llawr,мода
73,Boden::N,llawr,потмакс
74,Erde::N,pridd,мода
75,Erde::N,pridd,мастор
76,Staub::N,llwch,пуль
77,Rauch::N,mwg,качам
78,Funke::N,gwreichioni,ця́тка
79,Feuer::N,tân,тол
80,Licht::N,golau,ва́лда
81,Schatten::N,cysgod,цильф
82,Wetter::N,tywydd,уша
83,Nebel::N,niwl,тума́н
84,Wolke::N,cwmwl,ковол
85,Regen::N,glaw,пизем
86,Schnee::N,ôd,лов
87,Schnee::N,eira,лов
88,Eis::N,iâ,эй
89,Frost::N,rhew,ке́льме
90,Kälte::N,oerni,якшама
91,Kälte::N,annwyd,якшама
92,Hitze::N,gwres,пси
93,Raureif::N,barrug,леш
94,Regenbogen::N,enfys,а́тямъёнга
95,Donner::N,tyrfau,атям
96,Strömung::N,cerrynt,шудема́
97,Tropfen::N,dafn,путькс
98,Tropfen::N,dafn,пътняфкс
99,Tropfen::N,diferyn,путькс
100,Tropfen::N,diferyn,пътняфкс
101,Schaum::N,ewyn,шов
102,Schmutz::N,baw,ърда́з
103,Schmutz::N,budreddi,ърда́з
104,See::N,llyn,эрьхке
105,Sumpf::N,cors,шяй
106,Moor::N,rhos,шяй
107,Wiese::N,dôl,луга
108,Wald::N,coedwig,вирь
109,Hügel::N,bryn,губо́р
110,Hügel::N,bryn,пандоня
111,Anhöhe::N,bryn,губо́р
112,Berg::N,mynydd,панда
113,Gipfel::N,copa,пря
114,Höhle::N,ogof,у́нда
115,Abhang::N,llethr,па́нда ша́ма
116,Quelle::N,tarddiad,эшиня
117,Quelle::N,ffynhonnell,эшиня
118,Bach::N,nant,шудерькс
119,Bach::N,afonig,шудерькс
120,Bach::N,cornant,шудерькс
121,Fluss::N,afon,ляй
122,Ufer::N,glan,търва́
123,Küste::N,traeth,ляйтърва́
124,Küste::N,arfordir,ляйтърва́
125,Festland::N,tir,мода
126,Meer::N,môr,моря
127,Bucht::N,bae,ведьуське
128,Insel::N,ynys,цёнга
129,Blume::N,blodyn,панчф
130,Gras::N,glaswellt,тише
131,Wurzel::N,gwreiddyn,юр
132,Wurzel::N,gwreiddyn,ункс
133,Baum::N,coeden,шуфта
134,Stamm::N,colfen,ро́нга
135,Stamm::N,boncyff,ро́нга
136,Rinde::N,rhisgl,кер
137,Ast::N,cangen,морга
138,Zweig::N,cainc,тарад
139,Zweig::N,cangen,тарад
140,Blatt::N,deilen,лопа
141,Birke::N,bedwen,ке́лу
142,Kiefer[Baum]::N,pinwydden,пиче
143,Weide[Baum]::N,helygen,каль
144,Tanne::N,ffynidwydden,куз
145,Horn::N,corn,сюра
146,Feder::N,plufyn,толга
147,Fell::N,ffwr,кедь
148,Flügel::N,adain,паця
149,Klaue::N,crafanc,кенже
150,Kralle::N,ewin,кенже
151,Schwanz::N,cwt,пула
152,Schwanz::N,cynffon,пула
153,Ei::N,wy,ал
154,Nest::N,nyth,пиза
155,Bau::N,ffau,пиза
156,Tier::N,anifail,жува́та
157,Herde::N,praidd,нал
158,Herde::N,praidd,стада
159,Herde::N,diadell,нал
160,Herde::N,diadell,стада
161,Kuh::N,buwch,скал
162,Kuh::N,buwch,тракс
163,Bulle::N,tarw,бука
164,Pferd::N,ceffyl,лишме
165,Schaf::N,dafad,уча́
166,Schwein::N,mochyn,тува
167,Hund::N,ci,пине
168,Katze::N,cath,катоня
169,Katze::N,cath,аваката
170,Bär::N,arth,офта
171,Eichhörnchen::N,gwiwer,ур
172,Elch::N,elc,ся́рда
173,Fuchs::N,cadno,келазь
174,Hase::N,ysgyfarnog,ну́мол
175,Maus::N,llygoden,шеер
176,Wolf::N,blaidd,върьгаз
177,Vogel::N,aderyn,нармонь
178,Schwarm::N,haid,ко́вол
179,Schwarm::N,haid,ме́швеле
180,Huhn::N,cyw,сараз
181,Hahn::N,ceiliog,а́тякш
182,Gans::N,gŵydd,маци
183,Adler::N,eryr,куцькан
184,Ente::N,hwyad,яксярга
185,Eule::N,tylluan,ко́рож
186,Kranich::N,garan,ка́рга
187,Kranich::N,crychydd,ка́рга
188,Krähe::N,brân,ва́рси
189,Kuckuck::N,cog,ку́ку
190,Kuckuck::N,cwcw,ку́ку
191,Schwan::N,alarch,ло́ксти
192,Fisch::N,pysgod,кал
193,Barsch::N,draenog,о́кунь
194,Hecht::N,penhwyad,щу́ка
195,Schlange[Tier]::N,neidr,куй
196,Wurm::N,abwydyn,сукс
197,Wurm::N,pryf genwair,сукс
198,Spinne::N,cor,унжа́
199,Spinne::N,pryf copyn,унжа́
200,Ameise::N,morgrugyn,панжам
201,Laus::N,lleuen,си
202,Mücke::N,gwybedyn,ся́ське
203,Fliege::N,cleren,кару
204,Schmetterling::N,glöyn byw,ме́лав
205,Schmetterling::N,iâr fach yr haf,ме́лав
206,Beere::N,aeronen,и́мож
207,Apfel::N,afal,марь
208,Pilz::N,madarch,панга
209,Zwiebel::N,nionyn,шурьхкя́
210,Zwiebel::N,winwnsyn,шурьхкя́
211,Saat::N,had,видьмот
212,Korn::N,grawn,сёра
213,Heu::N,gwair,тише
214,Schale::N,croen,кедь
215,Schale::N,plisgyn,кедь
216,Grube::N,pwll,лотка
217,Grube::N,pydew,лотка
218,Falle::N,magl,туфкс
219,Falle::N,magl,кунда́ма
220,Schlinge::N,cwlwm rhedeg,килькш
221,Spur::N,ôl,пильгоки́
222,Asche::N,lludw,кулу
223,Dreck::N,baw,ърда́з
224,Dreck::N,budreddi,ърда́з
225,Eisen::N,haearn,кшни
226,Gold::N,aur,ока
227,Gold::N,aur,золота
228,Silber::N,arian,сия́
229,Kohle::N,glo,седь
230,Kohle::N,glo,седьвальмя
231,Glas::N,gwydr,кля́нцек
232,Lehm::N,clai,сёвонь
233,Sand::N,tywod,шува́р
234,Mensch::N,dyn,ломань
235,Mann::N,dyn,аля
236,Mann::N,dyn,цёраломань
237,Frau::N,merch,ава
238,Frau::N,gwraig,ава
239,Kind::N,plentyn,идь
240,Kind::N,plentyn,шаба
241,Junge::N,hogyn,цёраня
242,Junge::N,bachgen,цёраня
243,Mädchen::N,merch,стирня́
244,Mädchen::N,geneth,стирня́
245,Familie::N,teulu,тнал
246,Familie::N,teulu,семья
247,Familie::N,tylwyth,тнал
248,Familie::N,tylwyth,семья
249,Großvater::N,taid,атя
250,Großvater::N,taid,щя́тя
251,Großvater::N,tad-cu,атя
252,Großvater::N,tad-cu,щя́тя
253,Großmutter::N,nain,баба
254,Großmutter::N,mam-gu,баба
255,Eltern::N,rhieni,тя́дят-а́лят
256,Vater::N,tad,аля
257,Mutter::N,mam,ава
258,Mutter::N,mam,тядя
259,Sohn::N,mab,цёра
260,Tochter::N,merch,стирь
261,Bruder::N,brawd,дуган
262,Bruder::N,brawd,пяльне
263,Schwester::N,chwaer,ака
264,Schwester::N,chwaer,сазор
265,Onkel::N,ewythr,оця
266,Onkel::N,ewythr,патя
267,Onkel::N,ewythr,щеня́
268,Tante::N,modryb,ака
269,Tante::N,modryb,щака
270,Ehemann::N,gŵr,мирде
271,Ehefrau::N,gwraig,ърьвя́
272,Freude::N,gorfoledd,ке́нярдема
273,Gelächter::N,chwerthin,рахсема
274,Glück::N,hapusrwydd,паваз
275,Kummer::N,galar,ризф
276,Kummer::N,galar,пичефкс
277,Wunsch::N,dymuniad,мяль
278,Wunsch::N,dymuniad,таколдома
279,Lust::N,chwant,таколдома
280,Geist::N,ysbryd,вайме
281,Gedanke::N,meddwl,мяль
282,Gedächtnis::N,cof,прявий
283,Verstand::N,meddwl,прявий
284,Sinn::N,ystyr,ён
285,Grund::N,achos,туфта́л
286,Grund::N,rheswm,туфта́л
287,Wahrheit::N,gwir,ви́де
288,Wahrheit::N,gwir,видеши́
289,Wahrheit::N,gwirionedd,ви́де
290,Wahrheit::N,gwirionedd,видеши́
291,Gespräch::N,sgwrs,корхтама
292,Märchen::N,chwedl werin,ёфкс
293,Erzählung::N,stori,азкс
294,Nachricht::N,neges,куля́
295,Neuigkeit::N,newydd,куля́
296,Name::N,enw,лем
297,Rätsel::N,pos,со́дама ёфкс
298,Rede::N,araith,вал
299,Rede::N,araith,корхтама
300,Sprache::N,iaith,кяль
301,Stimme::N,llais,вайгяль
302,Wort::N,gair,вал
303,Zeichen::N,arwydd,тя́ште
304,Zeichen::N,arwydd,тя́штькс
305,Ruf::N,galwad,тердема
306,Lärm::N,trwst,гайф
307,Lärm::N,trwst,жалакодома
308,Laut::N,sain,вайгяль
309,Ton::N,tôn,вайгяль
310,Lied::N,cân,мора
311,Ruhe::N,tawelwch,сетьме
312,Leute::N,pobl,ломатть
313,Volk::N,pobl,наро́д
314,Arbeit::N,gwaith,тев
315,Gast::N,gwestai,и́нжи
316,Gast::N,gwestai,ко́нак
317,Geschenk::N,rhodd,казне
