,Concept_ID,az,fr
0,Auge::N,göz,œil
1,Ohr::N,qulaq,oreille
2,Nase::N,burun,nez
3,Mund::N,ağız,bouche
4,Zahn::N,diş,dent
5,Zunge::N,dil,langue
6,Lippe::N,dodaq,lèvre
7,Wange::N,yanaq,joue
8,Gesicht::N,üz,face
9,Gesicht::N,üz,visage
10,Stirn::N,alın,front
11,Haar::N,saç,cheveu
12,Schnurrbart::N,bığ,moustache
13,Bart::N,saqqal,barbe
14,Kinn::N,çənə,menton
15,Kiefer[Anatomie]::N,çənə,mâchoire
16,Kehle::N,boğaz,gorge
17,Hals::N,boyun,cou
18,Genick::N,ənsə,nuque
19,Kopf::N,baş,tête
20,Rücken::N,bel,dos
21,Bauch::N,qarın,ventre
22,Nabel::N,göbək,nombril
23,Busen::N,məmə,sein
24,Brust::N,döş,poitrine
25,Schulter::N,çiyin,épaule
26,Arm::N,qol,bras
27,Ellenbogen::N,dirsək,coude
28,Hand::N,əl,main
29,Handfläche::N,ovuc,paume
30,Finger::N,barmaq,doigt
31,Fingernagel::N,barmaq dırnağı,ongle
32,Nagel[Anatomie]::N,dırnak,ongle
33,Zeh::N,ayaq barmağı,orteil
34,Zeh::N,ayaq barmağı,doigt de pied
35,Fuß::N,ayaq,pied
36,Ferse::N,daban,talon
37,Knie::N,diz,genou
38,Oberschenkel::N,bud,cuisse
39,Bein::N,qıç,jambe
40,Körper::N,əndam,corps
41,Haut::N,dəri,peau
42,Blut::N,qan,sang
43,Ader::N,damar,veine
44,Sehne::N,vətər,tendon
45,Knochen::N,sümük,os
46,Gehirn::N,beyin,cerveau
47,Herz::N,ürək,cœur
48,Magen::N,mədə,estomac
49,Leber::N,qara ciyər,foie
50,Atem::N,nəfəs,haleine
51,Hunger::N,aclıq,faim
52,Träne::N,göz yaşı,larme
53,Geschmack::N,tam,goût
54,Geschmack::N,tam,saveur
55,Geschmack::N,ləzzət,goût
56,Geschmack::N,ləzzət,saveur
57,Geruch::N,qoxu,odeur
58,Schlaf::N,yuxu,sommeil
59,Traum::N,röya,songe
60,Himmel::N,göy,ciel
61,Himmel::N,səma,ciel
62,Sonne::N,günəş,soleil
63,Mond::N,ay,lune
64,Stern::N,ulduz,étoile
65,Luft::N,hava,air
66,Wind::N,yel,vent
67,Wind::N,külək,vent
68,Welle::N,dalğa,vague
69,Wasser::N,su,eau
70,Stein::N,daş,pierre
71,Boden::N,yer,sol
72,Boden::N,yer,terrain
73,Boden::N,zəmin,sol
74,Boden::N,zəmin,terrain
75,Erde::N,yer torpaq,terre
76,Staub::N,toz,poussière
77,Rauch::N,tüstü,fumée
78,Funke::N,qığılcım,étincelle
79,Feuer::N,od,feu
80,Licht::N,işıq,lumière
81,Schatten::N,kölgə,ombre
82,Wetter::N,hava,temps
83,Nebel::N,duman,brume
84,Nebel::N,duman,brouillard
85,Wolke::N,bulud,nuage
86,Regen::N,yağış,pluie
87,Regen::N,yağmur,pluie
88,Schnee::N,qar,neige
89,Eis::N,buz,glace
90,Frost::N,ayaz,gel
91,Frost::N,ayaz,gelée
92,Kälte::N,soyuq,froid
93,Hitze::N,coşğunluq,chaleur
94,Raureif::N,qırov,givre
95,Regenbogen::N,göy qurşağı,arc-en-ciel
96,Donner::N,göy gurultusu,tonnerre
97,Strömung::N,axın,courant
98,Tropfen::N,damcı,goutte
99,Schaum::N,köpük,écume
100,Schaum::N,köpük,mousse
101,Schmutz::N,çamır,boue
102,Schmutz::N,çamır,saleté
103,See::N,göl,lac
104,Sumpf::N,bataqlıq,marais
105,Sumpf::N,bataqlıq,marécage
106,Moor::N,bataqlıq,tourbière
107,Wiese::N,çəmən,pré
108,Wald::N,meşə,bois
109,Wald::N,meşə,forêt
110,Hügel::N,təpə,coteau
111,Hügel::N,təpə,colline
112,Anhöhe::N,təpə,éminence
113,Anhöhe::N,təpə,élévation
114,Berg::N,dağ,mont
115,Berg::N,dağ,montagne
116,Gipfel::N,zirvə,cime
117,Gipfel::N,zirvə,sommet
118,Höhle::N,mağara,caverne
119,Abhang::N,yamac,pente
120,Abhang::N,yamac,versant
121,Quelle::N,bulaq,source
122,Quelle::N,bulaq,fontaine
123,Bach::N,kiçik çay,ruisseau
124,Fluss::N,çay,fleuve
125,Fluss::N,çay,rivière
126,Ufer::N,kənar,bord
127,Ufer::N,kənar,rivage
128,Küste::N,sahil,côte
129,Festland::N,materik,terre ferme
130,Meer::N,dəniz,mer
131,Bucht::N,körfəz,baie
132,Insel::N,ada,île
133,Blume::N,çiçək,fleur
134,Gras::N,ot,herbe
135,Wurzel::N,kök,racine
136,Baum::N,ağac,arbre
137,Stamm::N,gövdə,tronc
138,Rinde::N,qabıq,écorce
139,Ast::N,şax,branche
140,Zweig::N,budaq,rameau
141,Blatt::N,yarpaq,feuille
142,Birke::N,tozağacı,bouleau
143,Kiefer[Baum]::N,şam,pin
144,Weide[Baum]::N,söyüd,saule
145,Tanne::N,küknar,sapin
146,Horn::N,buynuz,corne
147,Feder::N,tük,plume
148,Feder::N,lələk,plume
149,Fell::N,xəz,peau
150,Flügel::N,qanad,aile
151,Klaue::N,pəncə,serre
152,Kralle::N,dırnaq,ongle
153,Kralle::N,dırnaq,griffe
154,Schwanz::N,quyruq,queue
155,Ei::N,yumurta,œuf
156,Nest::N,yuva,nid
157,Bau::N,yuva,terrier
158,Tier::N,heyvan,animal
159,Herde::N,sürü,troupeau
160,Kuh::N,inək,vache
161,Bulle::N,öküz,taureau
162,Pferd::N,at,cheval
163,Schaf::N,qoyun,mouton
164,Schwein::N,donuz,porc
165,Schwein::N,donuz,cochon
166,Hund::N,it,chien
167,Hund::N,köpək,chien
168,Katze::N,pişik,chat
169,Bär::N,ayı,ours
170,Eichhörnchen::N,dələ,écureuil
171,Elch::N,sığın,élan
172,Fuchs::N,tülkü,renard
173,Hase::N,dovşan,lièvre
174,Maus::N,siçan,souris
175,Wolf::N,qurd,loup
176,Vogel::N,quş,oiseau
177,Schwarm::N,sürü,nuée
178,Schwarm::N,sürü,volée
179,Huhn::N,toyuq,poule
180,Hahn::N,xoruz,coq
181,Gans::N,qaz,oie
182,Adler::N,qartal,aigle
183,Adler::N,qaraquş,aigle
184,Ente::N,ördək,canard
185,Eule::N,bayquş,hibou
186,Kranich::N,durna,grue
187,Krähe::N,qarğa,corneille
188,Kuckuck::N,ququ,coucou
189,Schwan::N,qu quşu,cygne
190,Fisch::N,balıq,poisson
191,Barsch::N,tar,perche
192,Hecht::N,durnabalığı,brochet
193,Schlange[Tier]::N,ilan,serpent
194,Wurm::N,qurd,ver
195,Spinne::N,hörümçək,araignée
196,Ameise::N,qarışqa,fourmi
197,Laus::N,bit,pou
198,Mücke::N,ağcaqanad,moucheron
199,Fliege::N,milçək,mouche
200,Schmetterling::N,kəpənək,papillon
201,Beere::N,gilə,baie
202,Apfel::N,alma,pomme
203,Pilz::N,göbələk,champignon
204,Zwiebel::N,soğan,oignon
205,Saat::N,əkin,semence
206,Korn::N,taxıl,grain
207,Heu::N,quru ot,foin
