,Concept_ID,ady,ca
0,Auge::N,нэ,ull
1,Ohr::N,тхьакӏу́м,orella
2,Nase::N,пэ,nas
3,Mund::N,жэ,boca
4,Zahn::N,цэ,dent
5,Zunge::N,бзэгу,llēngua
6,Lippe::N,ӏупшӏэ́,llavi
7,Wange::N,нэкӏу́шъу,galta
8,Gesicht::N,нэ́гу,cara
9,Stirn::N,натӏэ́,front
10,Haar::N,шъхьацы́,cabēll
11,Bart::N,жакӏэ́,barba
12,Kinn::N,жэкӏэпэпкъ,mentó
13,Kinn::N,жэкӏэпэпкъ,barbeta
14,Kiefer[Anatomie]::N,жэпкъы́,queix
15,Kiefer[Anatomie]::N,жэпкъы́,mandíbula
16,Kehle::N,чый,gola
17,Kehle::N,чый,gorja
18,Hals::N,пшъэ,coll
19,Genick::N,шъхьэпхэтыку,nuca
20,Kopf::N,шъхьэ́,cap
21,Rücken::N,кӏыбы́,esquena
22,Bauch::N,ныбэ́,panxa
23,Busen::N,бгъэ́,pit
24,Busen::N,бгъэ́,mama
25,Brust::N,бгъэ́,pit
26,Schulter::N,блыпкъ,espatlla
27,Arm::N,ӏэ,braç
28,Ellenbogen::N,ӏэнтэ́гъу,colze
29,Hand::N,ӏэтхьэцу,mà
30,Handfläche::N,ӏэ́гу,palma
31,Finger::N,ӏэхъуа́мб,dit
32,Fingernagel::N,ӏэбжъа́н,ungla
33,Nagel[Anatomie]::N,ӏэбжъа́н,ungla
34,Zeh::N,ӏэхъуа́мб,dit del peu
35,Fuß::N,лъэгу,peu
36,Ferse::N,лъэдакъэ,taló
37,Knie::N,лъагуа́ндж,genoll
38,Oberschenkel::N,ко,cuixa
39,Bein::N,лъакъо́,cama
40,Körper::N,пкъышъол,cos
41,Haut::N,кӏы́шъу,pell
42,Blut::N,лъы,sang
43,Ader::N,льытф,vena
44,Sehne::N,фэ,tendó
45,Knochen::N,къупшъхьэ́,os
46,Gehirn::N,куцӏы,cervell
47,Herz::N,гу,cor
48,Magen::N,мышкӏу,estómac
49,Leber::N,шӏу,fetge
50,Atem::N,къэщэныр,alè
51,Atem::N,къэщэныр,hàlit
52,Hunger::N,гъаблэ́,fam
53,Hunger::N,гъаблэ́,gana
54,Träne::N,нэпсы,llàgrima
55,Geschmack::N,ӏэшӏугъа́кӏ,gust
56,Geschmack::N,ӏэшӏугъа́кӏ,sabor
57,Geruch::N,мэ,olor
58,Schlaf::N,пчыхьы́пӏ,son
59,Traum::N,пчыхьы́пӏ,somni
60,Himmel::N,уашъо́,celm
61,Sonne::N,тыгъэ,sol
62,Mond::N,мазэ,lluna
63,Stern::N,жъуагъо́,estel
64,Stern::N,жъуагъо́,estrella
65,Luft::N,жьы,aire
66,Wind::N,жьыбгъэ́,vent
67,Welle::N,ор,ona
68,Welle::N,оры,ona
69,Wasser::N,псы,āigua
70,Stein::N,мыжъо́,pedra
71,Boden::N,чӏ́ыгу,sòl
72,Erde::N,чӏ́ыгу,terra
73,Staub::N,сап,pols
74,Rauch::N,ӏугъо́,fum
75,Funke::N,мэшӏуа́ч,guspira
76,Funke::N,мэшӏуа́ч,centella
77,Feuer::N,машӏо́,foc
78,Licht::N,нэфы,llum
79,Licht::N,нэфын,llum
80,Schatten::N,жьау́,ombra
81,Schatten::N,ныбжьыкъу,ombra
82,Nebel::N,пща́гъу,boira
83,Wolke::N,ошъуапщэ,núvol
84,Regen::N,ощхы,pluja
85,Schnee::N,осы́,neu
86,Eis::N,мылы,gel
87,Eis::N,мылы,glaç
88,Kälte::N,чъыӏэ́,fred
89,Hitze::N,фэба́е,calor
90,Regenbogen::N, лэгъупэкъо́пс,arc iris
91,Donner::N,шыблэ́,tro
92,Strömung::N,ток,corrent
93,Tropfen::N,ткӏопс,gota
94,Tropfen::N,гъуаткӏу,gota
95,Schaum::N,тхъурбэ,escuma
96,Schmutz::N,псынжъы,brutícia
97,See::N,хыку́м,llac
98,See::N,псыхъура́й,llac
99,Sumpf::N,орыжъ,pantà
100,Moor::N,орыжъ,pantà
101,Wiese::N,хъупӏэ́,prat
102,Wiese::N,хъупӏэ́,prada
103,Wiese::N,мэкъупӏ,prat
104,Wiese::N,мэкъупӏ,prada
105,Wald::N,мэзы́,bosc
106,Hügel::N,ӏуашъхь,puig
107,Hügel::N,ӏуашъхь,pujol
108,Anhöhe::N,чӏыӏэтыгъ,turó
109,Berg::N,къушъхьэ́,muntanya
110,Gipfel::N,шыгу,cim
111,Höhle::N,гъочӏэгъ,cova
112,Abhang::N,чапэ,coster
113,Quelle::N,псынэчэ́чъ,font
114,Bach::N,псышкуашку,riera
115,Fluss::N,псыхъо́,riu
116,Ufer::N,нэпкъы,riba
117,Küste::N,ӏушъо,costa
118,Festland::N,чӏл́ыгу,terra ferma
119,Meer::N,хы,mar
120,Bucht::N,хыблыгу,cala
121,Bucht::N,хыблыгу,badia
122,Insel::N,хыгъэхъу́н,illa
123,Blume::N,къэгъа́гь,flor
124,Gras::N,уцы́,herba
125,Wurzel::N,лъапсэ́,rel
126,Wurzel::N,лъапсэ́,arrel
127,Baum::N,чъыгы́,arbre
128,Stamm::N,пкъы,tronc
129,Rinde::N,пхъашъо́,escorça
130,Ast::N,куамэ,branca
131,Zweig::N,къутамэ́,ram
132,Blatt::N,тхьап,fulla
133,Birke::N,пчэн,bedoll
134,Kiefer[Baum]::N,сэснэй,pi
135,Weide[Baum]::N,пце́л,salze
136,Tanne::N,ель,avet
137,Horn::N,бжъэ,corn
138,Horn::N,бжъэ,banya
139,Feder::N,къамӏы́й,ploma
140,Fell::N,шъо,pell
141,Flügel::N,тамэ́,ala
142,Klaue::N,лъэбжъа́н,urpa
