,Concept_ID,bn,hy
0,Auge::N,চক্ষু,աչք
1,Ohr::N,কর্ণ,ականջ
2,Nase::N,নাক,քիթ
3,Mund::N,মুখ,բերան
4,Zahn::N,দাঁত,ատամ
5,Zunge::N,জিহবা,լեզու
6,Lippe::N,অধর,շրթունք
7,Wange::N,গণ্ড,այտ
8,Wange::N,গণ্ড,թուշ
9,Gesicht::N,মুখমণ্ডল,դեմք
10,Stirn::N,কপাল,ճակատ
11,Haar::N,চুল,մազ
12,Schnurrbart::N,গোঁফ,բեղ
13,Bart::N,শ্মশ্রু,մորուք
14,Kinn::N,চিবুক,կզակ
15,Kiefer[Anatomie]::N,চোয়াল,ծնոտ
16,Kehle::N,কণ্ঠ,կոկորդ
17,Hals::N,গল,վիզ
18,Hals::N,গল,պարանոց
19,Genick::N,ঘাড়,ծոծրակ
20,Kopf::N,মাথা,գլուխ
21,Rücken::N,পৃষ্ঠ,մեջք
22,Bauch::N,উদর,փոր
23,Bauch::N,উদর,որովայն
24,Nabel::N,নাভি,պորտ
25,Busen::N,স্তন,ծոց
26,Brust::N,বুক,կուրծք
27,Schulter::N,স্কন্ধ,ուս
28,Arm::N,বাহু,թեւ
29,Arm::N,বাহু,բազուկ
30,Ellenbogen::N,কনুই,արմունկ
31,Hand::N,হাত,ձեռք
32,Handfläche::N,করতল,ափ
33,Finger::N,আঙ্গুল,մատ
34,Fingernagel::N,হাতের নখ,եղունգ
35,Nagel[Anatomie]::N,নখ,եղունգ
36,Zeh::N,আঙ্গুল,ոտքի մատ
37,Fuß::N,পা,ոտք
38,Ferse::N,গোড়ালি,գարշապար
39,Knie::N,হাঁটু,ծունկ
40,Oberschenkel::N,ঊরু,ազդր
41,Bein::N,পা,ոտք
42,Körper::N,দেহ,մարմին
43,Haut::N,ত্বক,մաշկ
44,Blut::N,রক্ত,արյուն
45,Ader::N,শিরা,երակ
46,Sehne::N,কণ্ডরা,ջիղ
47,Sehne::N,কণ্ডরা,ձգտան
48,Knochen::N,অস্থি,ոսկոր
49,Gehirn::N,মস্তিষ্ক,խելք
