,Concept_ID,ar,hu
0,Auge::N,عين,szem
1,Ohr::N,أذن,fül
2,Nase::N,أنف,orr
3,Mund::N,فم,száj
4,Zahn::N,سن,fog
5,Zunge::N,لسان,nyelv
6,Lippe::N,شفة,ajak
7,Wange::N,خد,orca
8,Wange::N,وجنة,orca
9,Gesicht::N,وجه,arc
10,Stirn::N,جبين,homlok
11,Haar::N,شعر,haj
12,Schnurrbart::N,شارب,bajusz
13,Bart::N,لحية,szakáll
14,Kinn::N,ذقن,áll
15,Kiefer[Anatomie]::N,فك,állkapocs
16,Kehle::N,حلق,gége
17,Kehle::N,حلق,torok
18,Hals::N,عنق,nyak
19,Hals::N,رقبة,nyak
20,Genick::N,قفا,tarkó
21,Kopf::N,رأس,fő
22,Kopf::N,رأس,fej
23,Rücken::N,ظهر,hát
24,Bauch::N,بطن,has
25,Nabel::N,سرة,köldök
26,Busen::N,ثدي,mell
27,Busen::N,ثدي,kebel
28,Brust::N,صدر,mell
29,Schulter::N,كتف,váll
30,Arm::N,ذراع,kar
31,Ellenbogen::N,كوع,könyök
32,Hand::N,يد,kéz
33,Handfläche::N,كف,tenyér
34,Finger::N,إصبع,ujj
35,Fingernagel::N,ظفر,köröm
36,Nagel[Anatomie]::N,ظفر,köröm
37,Zeh::N,إصبع القدم,lábujj
38,Fuß::N,قدم,láb
39,Ferse::N,كعب,sarok
40,Knie::N,ركبة,térd
41,Oberschenkel::N,فخذ,comb
42,Bein::N,ساق,láb
43,Bein::N,ساق,lábszár
44,Körper::N,جسم,test
45,Haut::N,بشرة,bőr
46,Blut::N,دم,vér
47,Ader::N,عرق,ér
48,Sehne::N,طنب,ín
49,Knochen::N,عظم,csont
50,Gehirn::N,دماغ,agy
51,Gehirn::N,دماغ,agyvelő
52,Herz::N,قلب,szív
53,Magen::N,معدة,gyomor
54,Leber::N,كبد,máj
55,Atem::N,نفس,lehelet
56,Atem::N,نفس,lélegzet
57,Hunger::N,جوع,éhség
58,Träne::N,دمعة,könny
59,Geschmack::N,طعم,íz
60,Geschmack::N,مذاق,íz
61,Geruch::N,رائحة,szag
62,Schlaf::N,نوم,álom
63,Schlaf::N,نوم,alvás
64,Schlaf::N,منام,álom
65,Schlaf::N,منام,alvás
66,Traum::N,حلم,álom
67,Himmel::N,سماء,ég
68,Himmel::N,سماء,menny
69,Sonne::N,شمس,nap
70,Mond::N,قمر,hold
71,Stern::N,نجم,csillag
72,Stern::N,كوكب,csillag
73,Luft::N,هواء,levegő
74,Wind::N,ريح,szél
75,Welle::N,موجة,hullám
76,Wasser::N,ماء,víz
77,Stein::N,حجر,kő
78,Boden::N,تراب,föld
79,Boden::N,تراب,talaj
80,Erde::N,أرض,föld
81,Staub::N,غبار,por
82,Rauch::N,دخان,füst
83,Funke::N,شرارة,szikra
84,Feuer::N,نار,tűz
85,Licht::N,نور,fény
86,Licht::N,ضوء,fény
87,Schatten::N,ظل,árnyék
88,Schatten::N,فيء,árnyék
89,Wetter::N,جو,idő
90,Wetter::N,جو,időjárás
91,Wetter::N,طقس,idő
92,Wetter::N,طقس,időjárás
93,Nebel::N,ضباب,köd
94,Wolke::N,غيمة,felhő
95,Wolke::N,سحابة,felhő
96,Regen::N,مطر,eső
97,Schnee::N,ثلج,hó
98,Eis::N,جليد,jég
99,Frost::N,صقيع,fagy
100,Kälte::N,برد,hideg
101,Hitze::N,حر,hő
102,Hitze::N,حر,hőség
103,Hitze::N,حرارة,hő
104,Hitze::N,حرارة,hőség
105,Raureif::N,صقيع,zúzmara
106,Regenbogen::N,قوس قزح,szivárvány
107,Donner::N,رعد,dörgés
108,Donner::N,رعد,mennydörgés
109,Strömung::N,تيار,áramlat
110,Tropfen::N,قطرة,csepp
111,Schaum::N,زبد,hab
112,Schaum::N,زبد,tajték
113,Schaum::N,رغوة,hab
114,Schaum::N,رغوة,tajték
115,Schmutz::N,وسخ,piszok
116,See::N,بحيرة,tó
117,Sumpf::N,مستنقع,mocsár
118,Moor::N,مستنقع,láp
119,Wiese::N,مرج,rét
120,Wiese::N,مرج,mező
121,Wald::N,غابة,erdő
122,Hügel::N,تل,domb
123,Anhöhe::N,تل,magaslat
124,Berg::N,جبل,hegy
125,Gipfel::N,قمة,csúcs
126,Höhle::N,كهف,barlang
127,Abhang::N,منحدر,lejtő
128,Quelle::N,منبع,forrás
129,Bach::N,مجرى,patak
130,Fluss::N,نهر,folyó
131,Ufer::N,ضفة,part
132,Küste::N,ساحل,tengerpart
133,Festland::N,بر,szárazföld
134,Meer::N,بحر,tenger
135,Bucht::N,خليج,öböl
136,Insel::N,جزيرة,sziget
137,Blume::N,زهرة,virág
138,Gras::N,حشيش,fű
139,Wurzel::N,أصل,gyökér
140,Baum::N,شجرة,fa
141,Stamm::N,جذع,tő
142,Stamm::N,جذع,törzs
143,Rinde::N,قشرة,kéreg
144,Ast::N,فرع,ág
145,Zweig::N,غصن,gally
146,Blatt::N,ورقة,levél
147,Birke::N,قضبان,nyír
148,Kiefer[Baum]::N,صنوبرة,fenyő
149,Weide[Baum]::N,صفصاف,fűz
150,Tanne::N,شوح,fenyő
151,Tanne::N,تبوب,fenyő
152,Horn::N,قرن,szarv
153,Feder::N,ريشة,toll
154,Fell::N,فرو,szőr
155,Fell::N,فرو,bunda
156,Flügel::N,جناح,szárny
157,Klaue::N,مخلب,köröm
158,Kralle::N,مخلب,karom
159,Schwanz::N,ذيل,farok
160,Ei::N,بيض,tojás
161,Nest::N,عش,fészek
162,Bau::N,جحر,odú
163,Tier::N,حيوان,állat
164,Herde::N,قطيع,nyáj
165,Herde::N,قطيع,csorda
166,Kuh::N,بقرة,tehén
167,Bulle::N,ثور,bika
168,Pferd::N,خيل,ló
169,Schaf::N,شاة,juh
170,Schaf::N,شاة,birka
171,Schwein::N,خنزير,sertés
172,Hund::N,كلب,eb
173,Hund::N,كلب,kutya
174,Katze::N,قطة,macska
175,Bär::N,دب,medve
176,Eichhörnchen::N,سنجاب,mókus
177,Elch::N,موظ,jávorszarvas
178,Fuchs::N,ثعلب,róka
