,Concept_ID,kk,hy
0,Auge::N,көз,աչք
1,Ohr::N,құлақ,ականջ
2,Nase::N,мұрын,քիթ
3,Mund::N,ауыз,բերան
4,Zahn::N,тіс,ատամ
5,Zunge::N,тіл,լեզու
6,Lippe::N,ерін,շրթունք
7,Wange::N,ұрт,այտ
8,Wange::N,ұрт,թուշ
9,Gesicht::N,бет-аузы,դեմք
10,Stirn::N,маңдай,ճակատ
11,Haar::N,қыл,մազ
12,Schnurrbart::N,мұрт,բեղ
13,Bart::N,сақал,մորուք
14,Kinn::N,иек,կզակ
15,Kiefer[Anatomie]::N,жақ,ծնոտ
16,Kehle::N,алқым,կոկորդ
17,Hals::N,мойын,վիզ
18,Hals::N,мойын,պարանոց
19,Genick::N,желке,ծոծրակ
20,Kopf::N,кәллә,գլուխ
21,Rücken::N,арқа,մեջք
22,Bauch::N,қарын,փոր
23,Bauch::N,қарын,որովայն
24,Nabel::N,кіндік,պորտ
25,Busen::N,омырау,ծոց
26,Brust::N,кеуде,կուրծք
27,Schulter::N,иық,ուս
28,Arm::N,қол,թեւ
29,Arm::N,қол,բազուկ
30,Ellenbogen::N,шынтақ,արմունկ
31,Hand::N,қол,ձեռք
32,Handfläche::N,алақан,ափ
33,Finger::N,саусақ,մատ
34,Fingernagel::N,тырнақ,եղունգ
35,Nagel[Anatomie]::N,тырнақ,եղունգ
36,Zeh::N,тырнақ,ոտքի մատ
37,Zeh::N,тұяқ,ոտքի մատ
38,Fuß::N,аяқ-басы,ոտք
39,Ferse::N,өкше,գարշապար
40,Ferse::N,өкшелік,գարշապար
41,Knie::N,тізе,ծունկ
42,Oberschenkel::N,жамбас,ազդր
43,Bein::N,аяқ,ոտք
44,Körper::N,дене,մարմին
45,Haut::N,тері,մաշկ
46,Blut::N,қан,արյուն
47,Ader::N,көктамыр,երակ
48,Ader::N,күретамыр,երակ
49,Sehne::N,сіңір,ջիղ
50,Sehne::N,сіңір,ձգտան
51,Knochen::N,жілік,ոսկոր
52,Gehirn::N,ми,խելք
53,Herz::N,жүрек,սիրտ
54,Magen::N,асқазан,ստամոքս
55,Leber::N,бауыр,լյարդ
56,Atem::N,леп,շունչ
57,Hunger::N,ашаршылық,քաղց
58,Träne::N,жас,արտասուք
59,Geschmack::N,дәм,համ
60,Geschmack::N,дәм,բուրմունք
61,Geschmack::N,татым,համ
62,Geschmack::N,татым,բուրմունք
63,Geschmack::N,талғам,համ
64,Geschmack::N,талғам,բուրմունք
65,Geruch::N,иіс,հոտ
66,Geruch::N,иіс,բուրում
67,Schlaf::N,ұйқы,քուն
68,Schlaf::N,ұйықтау,քուն
69,Traum::N,түс,երազ
70,Himmel::N,аспан,երկինք
71,Himmel::N,көқ,երկինք
72,Himmel::N,таңдай,երկինք
73,Sonne::N,күн,արեւ
74,Mond::N,ай,լուսին
75,Stern::N,жұлдыз,աստղ
76,Luft::N,әуе,օդ
77,Wind::N,жел,քամի
78,Welle::N,толқын,ալիք
79,Wasser::N,су,ջուր
80,Stein::N,тас,քար
81,Boden::N,қыртыс,գետին
82,Erde::N,топырақ,հող
83,Staub::N,шаң,փոշի
84,Rauch::N,түтін,ծուխ
85,Funke::N,ұшқын,կայծ
86,Feuer::N,алау,կրակ
87,Feuer::N,алау,հրդեհ
88,Licht::N,шұғыла,լույս
89,Schatten::N,көлеңке,ստվեր
90,Wetter::N,ауа райы,եղանակ
91,Nebel::N,тұман,մեգ
92,Nebel::N,тұман,մառախուղ
93,Wolke::N,бұлт,ամպ
94,Regen::N,жаңбыр,անձրև
95,Schnee::N,қар,ձյուն
96,Eis::N,мұз,սառույց
97,Frost::N,суық,սառնամանիք
98,Kälte::N,ызғар,դող
99,Kälte::N,суықтық,դող
100,Hitze::N,аптап,շոգ
101,Raureif::N,қырау,ցօղեղեամ
102,Regenbogen::N,кемпірқосақ,ծիածան
103,Donner::N,күн күркіреу,որոտ
104,Strömung::N,ағын,հոսանք
105,Tropfen::N,тамшы,կաթիլ
106,Schaum::N,көбік,փրփուր
107,Schmutz::N,кір,կեղտ
108,See::N,көл,լիճ
109,Sumpf::N,саз,ճահիճ
110,Moor::N,саз,ճահիճ
111,Wiese::N,шалғын,մարգագետին
112,Wald::N,орман,անտառ
113,Hügel::N,төбе,բլուր
114,Hügel::N,белес,բլուր
115,Hügel::N,белес-белес,բլուր
116,Anhöhe::N,дөң,բարձունք
117,Anhöhe::N,адыр,բարձունք
118,Anhöhe::N,қырат,բարձունք
119,Berg::N,тау,լեռ
120,Gipfel::N,төбе,գագաթ
121,Gipfel::N,төбе,կատար
122,Höhle::N,үңгір,քարայր
123,Abhang::N,бауыр,լանջ
124,Abhang::N,бауыр,զառիվայր
125,Quelle::N,қайнар,աղբյուր
126,Bach::N,жылға,վտակ
127,Fluss::N,өзен,գետ
128,Ufer::N,жиек,ծովափ
129,Küste::N,жиегі,ափ
130,Küste::N,жиегі,ծովափ
131,Küste::N,жағалау,ափ
132,Küste::N,жағалау,ծովափ
133,Festland::N,құрылық,ցամաք
134,Meer::N,теңіз,ծով
135,Bucht::N,шығанақ,հաչիւն
136,Insel::N,арал,վղզի
137,Blume::N,гүл,ծաղիկ
138,Gras::N,от,խոտ
139,Wurzel::N,түбір,արմատ
140,Baum::N,ағаш,ծառ
141,Baum::N,дарақ,ծառ
142,Stamm::N,сояу,իրան
143,Stamm::N,оқпан,իրան
144,Rinde::N,қабық,կեղեւ
145,Rinde::N,қабық,հաչոց
146,Ast::N,бұтақ,ճյուղ
147,Zweig::N,шыбық,ճյուղ
148,Blatt::N,жапырақ,տերեւ
149,Birke::N,қайың,ցարասի
150,Kiefer[Baum]::N,қарағай,սոճի
151,Weide[Baum]::N,тал,ուռենի
152,Tanne::N,шырша,եղեւին
153,Horn::N,мүйіз,
154,Feder::N,қаламұш,փետուր
155,Fell::N,тері,մորթի
156,Flügel::N,қанат,թեւ
157,Klaue::N,тырнақ,չանչ
158,Kralle::N,аяқ,ճանկ
159,Schwanz::N,құйрық,պոչ
160,Ei::N,жұмыртқа,ձու
161,Nest::N,ұя,բույն
162,Bau::N,жатақ,որջ
163,Bau::N,жатақ,բայոց
164,Tier::N,айуан,կենդանի
165,Tier::N,жануар,կենդանի
166,Herde::N,пада,հոտ
167,Kuh::N,сиыр,կով
168,Bulle::N,өгіз,ցուլ
169,Pferd::N,жылқы,ձի
170,Schaf::N,қой,ոչխար
171,Schwein::N,шошқа,խոզ
172,Hund::N,ит,շուն
173,Katze::N,мысық,կատու
174,Bär::N,аю,արջ
175,Eichhörnchen::N,тиін,սկյուռ
176,Elch::N,бұғы,հիւսիսային եղջերու
177,Fuchs::N,түлкі,աղվես
178,Hase::N,қоян,նապաստակ
179,Maus::N,қаптесер,մուկ
180,Wolf::N,бөрі,գայլ
181,Wolf::N,қасқыр,գայլ
182,Vogel::N,құс,թռչուն
183,Schwarm::N,топ,երամ
184,Schwarm::N,үйір,երամ
185,Huhn::N,тауық,հավ
186,Huhn::N,мекиен,հավ
187,Hahn::N,әтеш,աքաղաղ
188,Hahn::N,қораз,աքաղաղ
189,Gans::N,қаз,սագ
190,Adler::N,бүркіт,արծիվ
191,Ente::N,үйрек,բադ
192,Eule::N,жапалақ,բու
193,Kranich::N,тырна,կռունկ
194,Krähe::N,қарға,ագռավ
195,Kuckuck::N,көкек,կուկու
196,Schwan::N,аққу,կարապ
197,Fisch::N,балық,ձուկ
198,Barsch::N,алабұға,պերկես
199,Hecht::N,шортан,գայլաձուկ
200,Schlange[Tier]::N,жылан,օձ
201,Wurm::N,шұбалшаң,որդ
202,Wurm::N,шұбалшаң,ճիճու
203,Spinne::N,өрмекші,սարդ
204,Ameise::N,қүмырска,միջյուն
205,Laus::N,бит,ոջիլ
206,Mücke::N,маса,մժղուկ
207,Fliege::N,шыбын,ճանճ
208,Schmetterling::N,көбелек,թիթեռ
209,Beere::N,жидек,հատապտուղ
210,Apfel::N,алма,խնձոր
211,Pilz::N,қозықұйрық,սունկ
212,Pilz::N,саңыраукулақ,սունկ
213,Zwiebel::N,жуа,սոխ
214,Saat::N,тұқым,սերմ
215,Korn::N,дән,հատիկ
216,Heu::N,шөп,խոտ
217,Schale::N,қабық,կեղեւ
218,Schale::N,қабығы,կեղեւ
219,Grube::N,ор,փոս
220,Falle::N,дұзақ,ծուղակ
221,Falle::N,қақпан,ծուղակ
222,Schlinge::N,ілмек,խեղդան
223,Spur::N,із,հետք
224,Asche::N,күл,մոխիր
225,Dreck::N,былғаныш,աղտ
226,Eisen::N,темір,երկաթ
227,Gold::N,алтын,ոսկի
228,Silber::N,күміс,արծաթ
229,Kohle::N,көмір,քարածուխ
230,Glas::N,шыны,ապակի
231,Lehm::N,балшық,կավ
232,Sand::N,құм,ավազ
233,Mensch::N,адам,մարդ
