,Concept_ID,ga,mn
0,Auge::N,súil,нүд
1,Ohr::N,cluas,чих
2,Nase::N,soc,хамар
3,Mund::N,béal,ам
4,Zahn::N,fiacail,шүд
5,Zunge::N,teanga,хэл
6,Lippe::N,liopa,уруул
7,Wange::N,grua,хацар
8,Wange::N,leiceann,хацар
9,Gesicht::N,éadan,царай
10,Gesicht::N,éadan,нүүр
11,Gesicht::N,aghaidh,царай
12,Gesicht::N,aghaidh,нүүр
13,Stirn::N,baithis,дух
14,Stirn::N,clár éadain,дух
15,Haar::N,gruaig,үс
16,Schnurrbart::N,croiméal,дээд сахал
17,Schnurrbart::N,croiméal,живэр сахал
18,Bart::N,féasóg,сахал
19,Kinn::N,smig,эрүү
20,Kiefer[Anatomie]::N,giall,эрүү
21,Kehle::N,scornach,хоолой
22,Hals::N,muinéal,хүзүү
23,Genick::N,baic,шил
24,Genick::N,baic,хүзүү
25,Kopf::N,ceann,толгой
26,Rücken::N,droim,ар
27,Rücken::N,droim,нуруу
28,Bauch::N,bolg,хэвлий
29,Bauch::N,bolg,гэдэс
30,Nabel::N,imleacán,хүйс
31,Busen::N,cíoch,хөх
32,Brust::N,brollach,цээж
33,Schulter::N,gualainn,мөр
34,Schulter::N,gualainn,бугалга
35,Arm::N,lámh,гар
36,Ellenbogen::N,uillinn,тохой
37,Hand::N,lámh,гар
38,Hand::N,lámh,алга
39,Handfläche::N,bos,алга
40,Finger::N,méar,хуруу
41,Fingernagel::N,ionga,хурууны хумс
42,Nagel[Anatomie]::N,ionga,хумс
43,Zeh::N,ladhar,хуруу
44,Fuß::N,cos,хөл
45,Fuß::N,troigh,хөл
46,Ferse::N,sáil,өсгий
47,Knie::N,glúin,өвдөг
48,Oberschenkel::N,ceathrú,гуя
49,Bein::N,cos,хөл
50,Körper::N,corp,бие
51,Körper::N,colainn,бие
52,Haut::N,cneas,арьс
53,Haut::N,craiceann,арьс
54,Blut::N,fuil,цус
55,Sehne::N,teannán,бүлх
56,Sehne::N,teannán,шандас
57,Sehne::N,féitheog,бүлх
58,Sehne::N,féitheog,шандас
59,Knochen::N,cnámh,яс
60,Gehirn::N,inchinn,тархи
61,Herz::N,croí,зүрх
62,Magen::N,bolg,ходоод
63,Magen::N,goile,ходоод
64,Leber::N,ae,элэг
65,Atem::N,anáil,амьсгаа
66,Hunger::N,ocras,өлсгөлөн
67,Träne::N,deoir,нулимс
68,Geschmack::N,blas,амт
69,Geruch::N,boladh,үнэр
70,Schlaf::N,suan,нойр
