,Concept_ID,hy,fi
0,Auge::N,աչք,silmä
1,Ohr::N,ականջ,korva
2,Nase::N,քիթ,nenä
3,Mund::N,բերան,suu
4,Zahn::N,ատամ,hammas
5,Zunge::N,լեզու,kieli
6,Lippe::N,շրթունք,huuli
7,Wange::N,այտ,poski
8,Wange::N,թուշ,poski
9,Gesicht::N,դեմք,naama
10,Gesicht::N,դեմք,kasvot
11,Stirn::N,ճակատ,otsa
12,Haar::N,մազ,hius
13,Haar::N,մազ,tukka
14,Schnurrbart::N,բեղ,viikset
15,Bart::N,մորուք,parta
16,Kinn::N,կզակ,leuka
17,Kiefer[Anatomie]::N,ծնոտ,leukaluu
18,Kehle::N,կոկորդ,kurkku
19,Hals::N,վիզ,kaula
20,Hals::N,պարանոց,kaula
21,Genick::N,ծոծրակ,niska
22,Kopf::N,գլուխ,pää
23,Rücken::N,մեջք,selkä
24,Bauch::N,փոր,maha
25,Bauch::N,փոր,vatsa
26,Bauch::N,որովայն,maha
27,Bauch::N,որովայն,vatsa
28,Nabel::N,պորտ,napa
29,Busen::N,ծոց,rinta
30,Brust::N,կուրծք,rinta
31,Schulter::N,ուս,olka
32,Schulter::N,ուս,hartia
33,Schulter::N,ուս,olkapää
34,Arm::N,թեւ,käsivarsi
35,Arm::N,բազուկ,käsivarsi
36,Ellenbogen::N,արմունկ,kyynärpää
37,Hand::N,ձեռք,käsi
38,Handfläche::N,ափ,kämmen
39,Finger::N,մատ,sormi
40,Fingernagel::N,եղունգ,kynsi
41,Nagel[Anatomie]::N,եղունգ,kynsi
42,Zeh::N,ոտքի մատ,varvas
43,Fuß::N,ոտք,jalka
44,Ferse::N,գարշապար,kantapää
45,Knie::N,ծունկ,polvi
46,Oberschenkel::N,ազդր,reisi
47,Bein::N,ոտք,jalka
48,Körper::N,մարմին,keho
49,Körper::N,մարմին,ruumis
50,Haut::N,մաշկ,iho
51,Blut::N,արյուն,veri
52,Ader::N,երակ,suoni
53,Sehne::N,ջիղ,jänne
54,Sehne::N,ձգտան,jänne
55,Knochen::N,ոսկոր,luu
56,Gehirn::N,խելք,aivot
57,Herz::N,սիրտ,sydän
58,Magen::N,ստամոքս,maha
59,Magen::N,ստամոքս,vatsa
60,Leber::N,լյարդ,maksa
61,Atem::N,շունչ,henki
62,Atem::N,շունչ,hengitys
63,Hunger::N,քաղց,nälkä
64,Träne::N,արտասուք,kyynel
65,Geschmack::N,համ,maku
66,Geschmack::N,բուրմունք,maku
67,Geruch::N,հոտ,haju
68,Geruch::N,բուրում,haju
69,Schlaf::N,քուն,uni
70,Traum::N,երազ,uni
71,Himmel::N,երկինք,taivas
72,Sonne::N,արեւ,aurinko
73,Mond::N,լուսին,kuu
74,Stern::N,աստղ,tähti
75,Luft::N,օդ,ilma
76,Wind::N,քամի,tuuli
77,Welle::N,ալիք,aalto
78,Wasser::N,ջուր,vesi
79,Stein::N,քար,kivi
80,Boden::N,գետին,maa
81,Boden::N,գետին,maaperä
82,Erde::N,հող,maa
83,Staub::N,փոշի,pöly
84,Rauch::N,ծուխ,savu
85,Funke::N,կայծ,kipinä
86,Feuer::N,կրակ,tuli
87,Feuer::N,հրդեհ,tuli
88,Licht::N,լույս,valo
89,Schatten::N,ստվեր,varjo
90,Wetter::N,եղանակ,sää
91,Nebel::N,մեգ,sumu
92,Nebel::N,մառախուղ,sumu
93,Wolke::N,ամպ,pilvi
94,Regen::N,անձրև,sade
95,Schnee::N,ձյուն,lumi
96,Eis::N,սառույց,jää
97,Frost::N,սառնամանիք,halla
98,Frost::N,սառնամանիք,pakkanen
99,Kälte::N,դող,vilu
100,Kälte::N,դող,kylmyys
101,Hitze::N,շոգ,helle
102,Hitze::N,շոգ,kuumuus
103,Raureif::N,ցօղեղեամ,huurre
104,Regenbogen::N,ծիածան,sateenkaari
105,Donner::N,որոտ,jyrinä
106,Strömung::N,հոսանք,virtaus
107,Tropfen::N,կաթիլ,tippa
108,Tropfen::N,կաթիլ,pisara
109,Schaum::N,փրփուր,vaahto
110,Schmutz::N,կեղտ,loka
111,See::N,լիճ,järvi
112,Sumpf::N,ճահիճ,suo
113,Moor::N,ճահիճ,räme
114,Wiese::N,մարգագետին,niitty
115,Wald::N,անտառ,metsä
116,Hügel::N,բլուր,mäki
117,Hügel::N,բլուր,kumpu
118,Hügel::N,բլուր,kukkula
119,Anhöhe::N,բարձունք,mäki
120,Anhöhe::N,բարձունք,kumpare
121,Berg::N,լեռ,mäki
122,Berg::N,լեռ,vuori
123,Gipfel::N,գագաթ,laki
124,Gipfel::N,գագաթ,huippu
125,Gipfel::N,կատար,laki
126,Gipfel::N,կատար,huippu
127,Höhle::N,քարայր,luola
128,Abhang::N,լանջ,rinne
129,Abhang::N,զառիվայր,rinne
130,Quelle::N,աղբյուր,lähde
131,Bach::N,վտակ,puro
132,Fluss::N,գետ,joki
133,Ufer::N,ծովափ,ranta
134,Küste::N,ափ,rannikko
135,Küste::N,ծովափ,rannikko
136,Festland::N,ցամաք,manner
137,Meer::N,ծով,meri
138,Bucht::N,հաչիւն,lahti
139,Insel::N,վղզի,saari
140,Blume::N,ծաղիկ,kukka
141,Gras::N,խոտ,ruoho
142,Wurzel::N,արմատ,juuri
143,Baum::N,ծառ,puu
144,Stamm::N,իրան,runko
145,Rinde::N,կեղեւ,kuori
146,Rinde::N,կեղեւ,parkki
147,Rinde::N,հաչոց,kuori
148,Rinde::N,հաչոց,parkki
149,Ast::N,ճյուղ,oksa
150,Zweig::N,ճյուղ,haara
