,Concept_ID,el,ja
0,Auge::N,μάτι,目
1,Auge::N,οφθαλμός,目
2,Ohr::N,αυτί,耳
3,Nase::N,μύτη,鼻
4,Mund::N,στόμα,口
5,Zahn::N,δόντι,歯
6,Zunge::N,γλώσσα,舌
7,Lippe::N,χείλος,唇
8,Wange::N,παρειά,頬
9,Wange::N,μάγουλο,頬
10,Gesicht::N,πρόσωπο,顔
11,Stirn::N,μέτωπο,額
12,Haar::N,μαλλιά,髪
13,Schnurrbart::N,μουστάκι,口髭
14,Bart::N,γένια,髭
15,Kinn::N,πιγούνι,顎
16,Kiefer[Anatomie]::N,σαγόνι,顎
17,Kehle::N,λαρύγγι,喉
18,Hals::N,λαιμός,首
19,Genick::N,σβέρκος,首
20,Kopf::N,κεφάλι,頭
21,Rücken::N,ράχη,背中
22,Bauch::N,κοιλιά,腹
23,Bauch::N,κοιλιά,お腹
24,Nabel::N,αφαλός,へそ
25,Busen::N,στήθος,乳房
26,Brust::N,στήθος,胸
27,Schulter::N,ώμος,肩
28,Arm::N,χέρι,腕
29,Arm::N,μπράτςο,腕
30,Ellenbogen::N,αγκώνας,肘
31,Hand::N,χέρι,手
32,Handfläche::N,παλάμη,手のひら
33,Finger::N,δάχτυλο,指
34,Fingernagel::N,νύχι,爪
35,Nagel[Anatomie]::N,νύχι,爪
36,Zeh::N,δάχτυλο του ποδιού,足の指
37,Fuß::N,πόδι,足
38,Ferse::N,φτέρνα,かかと
39,Knie::N,γόνατο,膝
40,Oberschenkel::N,μηρός,上腿
41,Bein::N,πόδι,足
42,Körper::N,σώμα,体
43,Körper::N,κορμί,体
44,Haut::N,πετσί,皮膚
45,Blut::N,αίμα,血
46,Ader::N,φλέβα,血管
47,Sehne::N,νεύρο,腱
48,Sehne::N,τένοντας,腱
49,Knochen::N,οστό,骨
50,Knochen::N,κόκκαλο,骨
51,Gehirn::N,μυαλό,脳
52,Gehirn::N,εγκέφαλος,脳
53,Herz::N,καρδιά,心
54,Herz::N,καρδιά,心臓
55,Magen::N,στομάχι,胃
56,Leber::N,ήπαρ,肝臓
57,Leber::N,συκωτί,肝臓
58,Atem::N,αναπνοή,息
59,Atem::N,αναπνοή,呼吸
60,Hunger::N,πείνα,空腹
61,Träne::N,δάκρυ,涙
62,Geschmack::N,γεύση,味
63,Geruch::N,οσμή,匂い
64,Geruch::N,μυρωδία,匂い
65,Schlaf::N,ύπνος,睡眠
66,Traum::N,όνειρο,夢
67,Himmel::N,ουρανός,空
68,Sonne::N,ήλιος,太陽
69,Mond::N,σελήνη,月
70,Mond::N,φεγγάρι,月
71,Stern::N,άστρο,星
72,Stern::N,αστέρι,星
73,Luft::N,αέρας,空気
74,Wind::N,αέρας,風
75,Wind::N,άνεμος,風
76,Welle::N,κύμα,波
77,Wasser::N,νερό,水
78,Stein::N,πέτρα,石
79,Boden::N,χώμα,土地
80,Erde::N,γη,土
81,Staub::N,σκόνη,埃
82,Rauch::N,καπνός,煙
83,Funke::N,σπίθα,火花
84,Funke::N,σπινθήρας,火花
85,Feuer::N,φωτιά,火
86,Licht::N,φως,光
87,Schatten::N,σκιά,陰
88,Schatten::N,ίσκιος,陰
89,Wetter::N,καιρός,天気
90,Nebel::N,ομίχλη,霧
91,Wolke::N,σύννεφο,雲
92,Regen::N,βροχή,雨
93,Schnee::N,χιόνι,雪
94,Eis::N,πάγος,氷
95,Frost::N,παγωνία,霜
96,Kälte::N,κρύο,寒さ
97,Kälte::N,ψύχος,寒さ
98,Hitze::N,ζέστη,暑さ
99,Raureif::N,πάχνη,霧氷
100,Regenbogen::N,ουράνιο τόξο,虹
101,Donner::N,βροντή,雷
102,Strömung::N,ρεύμα,流れ
103,Tropfen::N,στάλα,滴
104,Schaum::N,αφρός,泡
105,Schmutz::N,βρωμιά,汚れ
106,See::N,λίμνη,湖
107,Sumpf::N,βάλτος,沼
108,Moor::N,έλος,湿原
109,Wiese::N,λιβάδι,草原
110,Wald::N,δάσος,森
111,Hügel::N,λόφος,丘
112,Anhöhe::N,ύψωμα,高み
113,Berg::N,όρος,山
114,Berg::N,βουνό,山
115,Gipfel::N,κορυφή,頂上
116,Höhle::N,σπηλιά,洞窟
117,Abhang::N,πλαγιά,斜面
118,Quelle::N,πηγή,泉
119,Quelle::N,βρύση,泉
120,Bach::N,ρυάκι,小川
121,Fluss::N,ποτάμι,川
122,Fluss::N,ποταμός,川
123,Ufer::N,όχθη,岸
124,Küste::N,ακτή,海岸
125,Küste::N,ακρογιαλιά,海岸
126,Festland::N,στεριά,陸
127,Meer::N,θάλασσα,海
128,Bucht::N,κόλπος,湾
129,Insel::N,νησί,島
130,Insel::N,νήσος,島
131,Blume::N,άνθος,花
132,Blume::N,λουλούδι,花
133,Gras::N,χόρτο,草
134,Gras::N,χορτάρι,草
135,Wurzel::N,ρίζα,根
136,Baum::N,δέντρο,木
137,Stamm::N,κορμός,幹
138,Rinde::N,φλούδα,皮層
139,Ast::N,κλαδί,枝
140,Zweig::N,κλαδί,小枝
141,Zweig::N,κλάδος,小枝
142,Blatt::N,φύλλο,葉
143,Birke::N,σημύδα,樺
144,Kiefer[Baum]::N,πεύκο,松
145,Weide[Baum]::N,ιτιά,柳
146,Tanne::N,έλατο,樅
147,Horn::N,κέρας,角
148,Horn::N,κέρατο,角
149,Feder::N,φτερό,羽根
150,Fell::N,δέρμα,毛皮
151,Fell::N,τομάρι,毛皮
152,Flügel::N,πτερύγιο,羽
153,Klaue::N,κουλό,鉤爪
154,Kralle::N,νύχι,爪
155,Schwanz::N,ουρά,尻尾
156,Ei::N,αβγό,卵
157,Nest::N,φωλιά,巣
158,Bau::N,φωλιά,穴
159,Tier::N,ζώο,動物
160,Herde::N,κοπάδι,群れ
161,Kuh::N,αγελάδα,牛
162,Bulle::N,ταύρος,雄牛
163,Pferd::N,άλογο,馬
164,Schaf::N,πρόβατο,羊
165,Schwein::N,γουρούνι,豚
166,Hund::N,σκυλί,犬
167,Hund::N,σκύλος,犬
168,Katze::N,γάτα,猫
169,Bär::N,άρκτος,熊
170,Bär::N,αρκούδα,熊
171,Eichhörnchen::N,βερβερίτσα,栗鼠
172,Elch::N,άλκη,ヘラジカ
173,Fuchs::N,αλεπού,狐
174,Hase::N,λαγός,兎
175,Maus::N,ποντικός,鼠
176,Wolf::N,λύκος,狼
177,Vogel::N,πουλί,鳥
178,Schwarm::N,σμήνος,群れ
179,Huhn::N,κότα,鶏
180,Huhn::N,όρνιθα,鶏
181,Hahn::N,πετεινός,雄鶏
182,Gans::N,χήνα,ガチョウ
183,Adler::N,αετός,鷲
184,Ente::N,πάπια,鴨
185,Eule::N,κουκουβάγια,フクロウ
186,Kranich::N,γερανός,鶴
187,Krähe::N,καρακάξα,烏
188,Kuckuck::N,κούκος,郭公
189,Schwan::N,κύκνος,白鳥
190,Fisch::N,ψάρι,魚
191,Barsch::N,πέρκα,鱸
192,Hecht::N,λούτσος,川魳
193,Schlange[Tier]::N,φίδι,蛇
194,Wurm::N,σκουλήκι,虫
195,Spinne::N,αράχνη,蜘蛛
196,Ameise::N,μυρμήγκι,蟻
197,Laus::N,ψείρα,虱
198,Mücke::N,κουνούπι,蚊
199,Fliege::N,μύγα,蝿
200,Schmetterling::N,πεταλούδα,蝶
201,Beere::N,ρόγα,漿果
202,Apfel::N,μήλο,林檎
203,Pilz::N,μανιτάρι,茸
204,Zwiebel::N,κρεμμύδι,玉葱
205,Saat::N,σπόρος,種
206,Korn::N,σπυρί,粒
207,Heu::N,σανός,干し草
208,Schale::N,τσόφλι,皮
209,Grube::N,λάκκος,穴
210,Falle::N,παγίδα,わな
211,Schlinge::N,θηλειά,輪
212,Spur::N,ίχνος,跡
213,Asche::N,στάχτη,灰
214,Dreck::N,βρωμιά,泥
215,Eisen::N,σίδερο,鉄
216,Gold::N,μάλαμα,金
217,Gold::N,χρυσάφι,金
218,Silber::N,ασήμι,銀
219,Silber::N,άργυρος,銀
220,Kohle::N,κάρβουνο,炭
221,Glas::N,γυαλί,ガラス
222,Lehm::N,πηλός,ローム
223,Sand::N,άμμος,砂
224,Mensch::N,άνθρωπος,人
225,Mann::N,άνδρας,男
226,Mann::N,άνδρας,男性
227,Frau::N,γυναίκα,女
228,Frau::N,γυναίκα,女性
229,Kind::N,παιδί,子
230,Kind::N,παιδί,子供
231,Junge::N,αγόρι,男の子
232,Mädchen::N,κοπέλα,女の子
233,Mädchen::N,κορίτσι,女の子
234,Familie::N,οικογένεια,家族
235,Großvater::N,παππούς,祖父
236,Großvater::N,παππούς,おじいさん
237,Großmutter::N,γιαγιά,祖母
238,Großmutter::N,γιαγιά,おばあさん
239,Eltern::N,γονείς,親
240,Eltern::N,γονείς,両親
241,Vater::N,πατέρας,父
242,Vater::N,πατέρας,お父さん
243,Mutter::N,μητέρα,母
244,Mutter::N,μητέρα,お母さん
245,Sohn::N,γιος,息子
246,Sohn::N,γιος,息子さん
247,Tochter::N,κόρη,娘
248,Tochter::N,κόρη,お嬢さん
249,Bruder::N,αδελφός,弟
250,Schwester::N,αδελφή,妹
251,Onkel::N,θείος,伯父
252,Onkel::N,θείος,伯父さん
253,Tante::N,θεία,叔母
254,Tante::N,θεία,叔母さん
255,Ehemann::N,σύζυγος,夫
256,Ehemann::N,σύζυγος,主人
257,Ehefrau::N,σύζυγος,妻
258,Ehefrau::N,σύζυγος,奥さん
259,Freude::N,χαρά,喜び
260,Gelächter::N,γέλια,笑い
261,Glück::N,ευτυχία,幸せ
262,Kummer::N,έγνοια,悩み
263,Wunsch::N,επιθυμία,希望
264,Lust::N,όρεξη,気
265,Geist::N,πνέυμα,精神
266,Gedanke::N,σκέψη,考え
267,Gedächtnis::N,μνήμη,記憶
268,Verstand::N,νους,理解力
269,Sinn::N,νόημα,意味
270,Grund::N,λόγος,理由
271,Wahrheit::N,αλήθεια,真実
272,Gespräch::N,συνομιλία,会話
273,Märchen::N,παραμύθι,童話
274,Erzählung::N,διήγημα,物語
275,Nachricht::N,είδηση,報告
276,Neuigkeit::N,νέο,ニュース
277,Name::N,όνομα,名前
278,Rätsel::N,αίνιγμα,謎
279,Rede::N,λόγος,演説
280,Rede::N,ομιλία,演説
281,Sprache::N,γλώσσα,言語
282,Stimme::N,φωνή,声
283,Wort::N,λέξη,言葉
284,Zeichen::N,σημείο,記号
285,Ruf::N,κραυγή,呼び声
286,Lärm::N,θόρυβος,騒音
287,Laut::N,ήχος,音
288,Ton::N,ήχος,音
289,Ton::N,τόνος,音
290,Lied::N,τραγούδι,歌
291,Ruhe::N,ησυχία,静けさ
