,Concept_ID,ba,ja
0,Auge::N,күҙ,目
1,Ohr::N,ҡолаҡ,耳
2,Nase::N,танау,鼻
3,Mund::N,ауыҙ,口
4,Zahn::N,теш,歯
5,Zunge::N,тел,舌
6,Lippe::N,ирен,唇
7,Wange::N,яцаҡтар,頬
8,Gesicht::N,бит,顔
9,Stirn::N,маңлай,額
10,Haar::N,сәс,髪
11,Schnurrbart::N,мылтыҡ,口髭
12,Bart::N,һаҡал,髭
13,Kinn::N,эйэк,顎
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,顎
15,Kehle::N,тамаҡ,喉
16,Hals::N,муйын,首
17,Genick::N,соңҡа,首
18,Kopf::N,баш,頭
19,Rücken::N,арҡа,背中
20,Bauch::N,ҡорһаҡ,腹
21,Bauch::N,ҡорһаҡ,お腹
22,Nabel::N,кендек,へそ
23,Busen::N,күкрәк,乳房
24,Brust::N,түш,胸
25,Schulter::N,яурын,肩
26,Arm::N,ҡул,腕
27,Ellenbogen::N,терһәк,肘
28,Hand::N,ҡул,手
29,Hand::N,ҡул суғы,手
30,Handfläche::N,ус төбө,手のひら
31,Finger::N,бармаҡ,指
32,Fingernagel::N,тырнаҡ,爪
33,Nagel[Anatomie]::N,тырнаҡ,爪
34,Zeh::N,бармаҡ,足の指
35,Fuß::N,табан,足
36,Ferse::N,үксә,かかと
37,Knie::N,тубыҡ,膝
38,Oberschenkel::N,сандыр,上腿
39,Bein::N,аяҡ,足
40,Körper::N,тән,体
41,Haut::N,тире,皮膚
42,Blut::N,ҡан,血
43,Ader::N,тамыр,血管
44,Sehne::N,һеңер,腱
45,Sehne::N,тарамыш,腱
46,Knochen::N,һойәк,骨
47,Gehirn::N,мейе,脳
48,Herz::N,йорәк,心
49,Herz::N,йорәк,心臓
50,Magen::N,ашҡаҙан,胃
51,Leber::N,бауыр,肝臓
52,Atem::N,һулыш,息
53,Atem::N,һулыш,呼吸
54,Hunger::N,аслыҡ,空腹
55,Träne::N,күҙ иәше,涙
56,Geschmack::N,тәм,味
57,Geruch::N,еҫ,匂い
58,Schlaf::N,йоҡлау,睡眠
59,Traum::N,төш,夢
60,Himmel::N,күк,空
61,Sonne::N,ҡояш,太陽
62,Mond::N,ай,月
63,Stern::N,йондоҙ,星
64,Luft::N,һауа,空気
65,Wind::N,ел,風
66,Welle::N,тулҡын,波
67,Wasser::N,һыу,水
68,Stein::N,таш,石
69,Boden::N,тупраҡ,土地
70,Erde::N,балсҡ,土
71,Staub::N,туҙан,埃
72,Rauch::N,төтөн,煙
73,Funke::N,осҡон,火花
74,Feuer::N,ут,火
75,Licht::N,яҡтылыҡ,光
76,Schatten::N,күләгә,陰
77,Wetter::N,һауа торошо,天気
78,Nebel::N,төман,霧
79,Wolke::N,болот,雲
80,Regen::N,ямғыр,雨
81,Schnee::N,ҡар,雪
82,Eis::N,боҙ,氷
83,Frost::N,һалҡын,霜
84,Kälte::N,һыуыҡ,寒さ
85,Hitze::N,томра,暑さ
86,Hitze::N,эҫелек,暑さ
87,Raureif::N,ҡырау,霧氷
88,Regenbogen::N,йәйғор,虹
89,Donner::N,күк күкрәү,雷
90,Strömung::N,ағым,流れ
91,Tropfen::N,тамсы,滴
92,Schaum::N,күбек,泡
93,Schmutz::N,батҡаҡ,汚れ
94,See::N,күл,湖
95,Sumpf::N,һаҙлык,沼
96,Moor::N,һаҙ,湿原
97,Wiese::N,болон,草原
98,Wald::N,урман,森
99,Hügel::N,түбә,丘
100,Anhöhe::N,түбә,高み
101,Anhöhe::N,ҡалҡыулыҡ,高み
102,Berg::N,тау,山
103,Gipfel::N,түбә,頂上
104,Höhle::N,мәмерйә,洞窟
105,Abhang::N,ипкен,斜面
106,Quelle::N,шишмә,泉
107,Bach::N,шишмә,小川
108,Fluss::N,йылға,川
109,Ufer::N,яр,岸
110,Küste::N,яр буйы,海岸
111,Festland::N,ҡоро ер,陸
112,Meer::N,диңгез,海
113,Bucht::N,бухта,湾
114,Insel::N,үтрау,島
115,Blume::N,сәскә,花
116,Gras::N,үлән,草
117,Wurzel::N,тамыр,根
118,Baum::N,ағас,木
119,Stamm::N,олон,幹
