,Concept_ID,ps,tt
0,Auge::N,سترګه,күз
1,Ohr::N,غوږ,колак
2,Nase::N,پوزه,борын
3,Mund::N,خوله,авыз
4,Mund::N,خوله,тамак
5,Zahn::N,غاښ,теш
6,Zunge::N,جبه,тел
7,Lippe::N,شونډه,ирен
8,Wange::N,باړخو,яңак
9,Gesicht::N,مخ,йөз
10,Stirn::N,تندی,маңгай
11,Stirn::N,وچولی,маңгай
12,Haar::N,وېښته,чәч
13,Schnurrbart::N,برېت,мыек
14,Bart::N,ږیره,сакал
15,Kinn::N,زنه,ияк
16,Kiefer[Anatomie]::N,جامه,казналык
17,Kehle::N,غاړه,тамак
18,Hals::N,غاړه,бугаз
19,Genick::N,ورمېږ,җилкә
20,Kopf::N,سر,баш
21,Rücken::N,شا,сырт
22,Bauch::N,نس,корсак
23,Bauch::N,ګېډه,корсак
24,Nabel::N,نوم,кендек
25,Busen::N,تی,түш
26,Brust::N,سینه,имчәк
27,Brust::N,سینه,күкрәк
28,Schulter::N,اوږه,иңбаш
29,Schulter::N,اوږه,кулбаш
30,Arm::N,لاس,кул
31,Ellenbogen::N,څنګل,терсәк
32,Hand::N,لاس,кул
33,Handfläche::N,ورغوی,уч
34,Finger::N,ګوته,бармак
35,Fingernagel::N,نوک,тырнак
36,Nagel[Anatomie]::N,نوک,тырнак
37,Zeh::N,ګوته,бармак
38,Fuß::N,پښه,табан
39,Ferse::N,پونده,үкчә
40,Knie::N,زنګون,тез
41,Oberschenkel::N,پتون,бот
42,Bein::N,پښه,аяк
43,Körper::N,ځان,тән
44,Körper::N,ځان,җисем
45,Haut::N,پوټکی,тире
46,Blut::N,وینه,кан
47,Ader::N,رګ,тамыр
48,Sehne::N,پله,сеңер
49,Knochen::N,هډوکی,сөяк
50,Gehirn::N,ماغزه,ми
51,Herz::N,زړه,йөрәк
52,Magen::N,معده,ашказаны
53,Leber::N,ينه,бавыр
54,Leber::N,ځیګر,бавыр
55,Atem::N,نفس,сулыш
56,Hunger::N,ولږه,ачлык
57,Träne::N,اوښکه,яшь
58,Geschmack::N,مزه,тәм
59,Geschmack::N,مزه,зәвык
60,Geschmack::N,خوند,тәм
61,Geschmack::N,خوند,зәвык
62,Geruch::N,بوی,ис
63,Schlaf::N,خوب,йокы
64,Traum::N,خوب,төш
65,Himmel::N,اسمان,күк
66,Sonne::N,لمر,кояш
67,Mond::N,سپوږمۍ,ай
68,Stern::N,ستوری,йолдыз
69,Luft::N,هوا,һава
70,Wind::N,ورښ,җил
71,Welle::N,موج,дулкын
72,Wasser::N,اوبه,су
73,Stein::N,ډبره,таш
74,Boden::N,مځکه,туфрак
75,Erde::N,خاوره,җир
76,Staub::N,ګرد,тузан
77,Staub::N,خاوره,тузан
78,Rauch::N,دود,төтен
79,Rauch::N,لوګی,төтен
80,Funke::N,سپرغۍ,очкын
81,Feuer::N,اور,ут
82,Licht::N,رڼا,якты
83,Schatten::N,سیوری,күләгә
84,Wetter::N,هوا,һава
85,Nebel::N,لړه,томан
86,Wolke::N,ورېځ,болыт
87,Regen::N,وریا,яңгыр
88,Regen::N,باران,яңгыр
89,Schnee::N,واوره,кар
90,Eis::N,یخ,боз
91,Eis::N,کنګل,боз
92,Frost::N,یخ,суык
93,Frost::N,یخ,салкын
94,Kälte::N,ساړه,суык
95,Kälte::N,ساړه,салкын
96,Hitze::N,تودوخي,эсселек
97,Raureif::N,سپینه پرخه,бәс
98,Raureif::N,سپینه پرخه,сыкы
99,Regenbogen::N,بوډۍ ټال,салават күпере
100,Regenbogen::N,سره زرغونه,салават күпере
101,Donner::N,تالنده,күкрәү
102,Strömung::N,بهېدنه,агыш'агым
103,Tropfen::N,قطره,тамчы
104,Tropfen::N,څاڅکی,тамчы
105,Schaum::N,ځګ,күбек
106,Schmutz::N,ناپاکي,пычрак
107,See::N,جهیل,күл
108,Sumpf::N,جبه,саз
109,Moor::N,جبه,торфлык
110,Wiese::N,چمن,болын
111,Wiese::N,شنېلی,болын
112,Wald::N,ځنګل,урман
113,Hügel::N,تپه,калку
114,Anhöhe::N,غونډۍ,үр
115,Berg::N,غ‍‍‍‍‍ر,тау
116,Gipfel::N,څوکه,оч
117,Höhle::N,کاز,мәгарә
118,Abhang::N,لمن,кабырга
119,Quelle::N,چینه,чишмә
120,Bach::N,واله,елга
121,Fluss::N,سیند,дәрья
122,Ufer::N,غاړه,су кырые
123,Küste::N,ساحل,яр буе
124,Festland::N,وچه,коры җир
125,Meer::N,بحر,диңгез
126,Meer::N,سمندر,диңгез
127,Bucht::N,کارۍ,бухта
128,Bucht::N,کارۍ,култык
129,Insel::N,ټاپو,атау
130,Insel::N,ټاپو,утрау
131,Insel::N,جزيره,атау
132,Insel::N,جزيره,утрау
133,Blume::N,ګل,чәчкә
134,Gras::N,واښه,үлән
135,Wurzel::N,ریښه,тамыр
136,Baum::N,ونه,агач
137,Stamm::N,ډډ,кәүсә
138,Rinde::N,پوستکی,кабык
139,Ast::N,ښاخ,ботак
140,Zweig::N,څانګه,ботак
141,Zweig::N,څانګه,тармак
142,Blatt::N,پاڼه,яфрак
143,Birke::N,توس,каен
144,Kiefer[Baum]::N,نښتر,нарат
145,Weide[Baum]::N,وله,тал
146,Tanne::N,ناجو,чыршы
147,Horn::N,ښکر,мөгез
148,Feder::N,بڼکه,йон
149,Fell::N,پوستکی,тире
150,Flügel::N,وزر,канат
151,Klaue::N,پنجه,тырнак
152,Klaue::N,منګول,тырнак
