,Concept_ID,ja,ady
0,Auge::N,目,нэ
1,Ohr::N,耳,тхьакӏу́м
2,Nase::N,鼻,пэ
3,Mund::N,口,жэ
4,Zahn::N,歯,цэ
5,Zunge::N,舌,бзэгу
6,Lippe::N,唇,ӏупшӏэ́
7,Wange::N,頬,нэкӏу́шъу
8,Gesicht::N,顔,нэ́гу
9,Stirn::N,額,натӏэ́
10,Haar::N,髪,шъхьацы́
11,Schnurrbart::N,口髭,
12,Bart::N,髭,жакӏэ́
13,Kinn::N,顎,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,顎,жэпкъы́
15,Kehle::N,喉,чый
16,Hals::N,首,пшъэ
17,Genick::N,首,шъхьэпхэтыку
18,Kopf::N,頭,шъхьэ́
19,Rücken::N,背中,кӏыбы́
20,Bauch::N,腹,ныбэ́
21,Bauch::N,お腹,ныбэ́
22,Nabel::N,へそ,
23,Busen::N,乳房,бгъэ́
24,Brust::N,胸,бгъэ́
25,Schulter::N,肩,блыпкъ
26,Arm::N,腕,ӏэ
27,Ellenbogen::N,肘,ӏэнтэ́гъу
28,Hand::N,手,ӏэтхьэцу
29,Handfläche::N,手のひら,ӏэ́гу
30,Finger::N,指,ӏэхъуа́мб
31,Fingernagel::N,爪,ӏэбжъа́н
32,Nagel[Anatomie]::N,爪,ӏэбжъа́н
33,Zeh::N,足の指,ӏэхъуа́мб
34,Fuß::N,足,лъэгу
35,Ferse::N,かかと,лъэдакъэ
36,Knie::N,膝,лъагуа́ндж
37,Oberschenkel::N,上腿,ко
38,Bein::N,足,лъакъо́
39,Körper::N,体,пкъышъол
40,Haut::N,皮膚,кӏы́шъу
41,Blut::N,血,лъы
42,Ader::N,血管,льытф
43,Sehne::N,腱,фэ
44,Knochen::N,骨,къупшъхьэ́
45,Gehirn::N,脳,куцӏы
46,Herz::N,心,гу
47,Herz::N,心臓,гу
48,Magen::N,胃,мышкӏу
49,Leber::N,肝臓,шӏу
50,Atem::N,息,къэщэныр
51,Atem::N,呼吸,къэщэныр
52,Hunger::N,空腹,гъаблэ́
53,Träne::N,涙,нэпсы
54,Geschmack::N,味,ӏэшӏугъа́кӏ
55,Geruch::N,匂い,мэ
56,Schlaf::N,睡眠,пчыхьы́пӏ
57,Traum::N,夢,пчыхьы́пӏ
58,Himmel::N,空,уашъо́
59,Sonne::N,太陽,тыгъэ
60,Mond::N,月,мазэ
61,Stern::N,星,жъуагъо́
62,Luft::N,空気,жьы
63,Wind::N,風,жьыбгъэ́
64,Welle::N,波,ор
65,Welle::N,波,оры
66,Wasser::N,水,псы
67,Stein::N,石,мыжъо́
68,Boden::N,土地,чӏ́ыгу
69,Erde::N,土,чӏ́ыгу
70,Staub::N,埃,сап
71,Rauch::N,煙,ӏугъо́
72,Funke::N,火花,мэшӏуа́ч
73,Feuer::N,火,машӏо́
74,Licht::N,光,нэфы
75,Licht::N,光,нэфын
76,Schatten::N,陰,жьау́
77,Schatten::N,陰,ныбжьыкъу
78,Wetter::N,天気,
79,Nebel::N,霧,пща́гъу
80,Wolke::N,雲,ошъуапщэ
81,Regen::N,雨,ощхы
