,Concept_ID,bn,kl
0,Auge::N,চক্ষু,isi
1,Ohr::N,কর্ণ,siut
2,Nase::N,নাক,
3,Mund::N,মুখ,paaq
4,Mund::N,মুখ,qaneq
5,Zahn::N,দাঁত,kigut
6,Zunge::N,জিহবা,oqaq
7,Lippe::N,অধর,qarloq
8,Wange::N,গণ্ড,ersaq
9,Gesicht::N,মুখমণ্ডল,kiinaq
10,Stirn::N,কপাল,qaaq
11,Haar::N,চুল,meqqoq
12,Schnurrbart::N,গোঁফ,
13,Bart::N,শ্মশ্রু,umik
14,Kinn::N,চিবুক,talloq
15,Kiefer[Anatomie]::N,চোয়াল,alleroq
16,Kehle::N,কণ্ঠ,malaq
17,Hals::N,গল,qungaseq
18,Genick::N,ঘাড়,pukusuk
19,Kopf::N,মাথা,niaqoq
20,Rücken::N,পৃষ্ঠ,qimerlut
21,Bauch::N,উদর,naaq
22,Nabel::N,নাভি,qalaseq
23,Busen::N,স্তন,iviangeq
24,Brust::N,বুক,iviangeq
25,Schulter::N,স্কন্ধ,ersik
26,Schulter::N,স্কন্ধ,assaqqoq
27,Arm::N,বাহু,taleq
28,Ellenbogen::N,কনুই,ikusik
29,Hand::N,হাত,assak
30,Handfläche::N,করতল,itumak
31,Finger::N,আঙ্গুল,inuak
32,Fingernagel::N,হাতের নখ,kikiak
33,Nagel[Anatomie]::N,নখ,kukik
34,Zeh::N,আঙ্গুল,isigak
35,Fuß::N,পা,
36,Ferse::N,গোড়ালি,kimmik
37,Knie::N,হাঁটু,seeqqoq
38,Oberschenkel::N,ঊরু,uppat
39,Oberschenkel::N,ঊরু,quttoraq
40,Bein::N,পা,isigak
41,Körper::N,দেহ,timi
42,Haut::N,ত্বক,mattak
43,Blut::N,রক্ত,aak
44,Ader::N,শিরা,taqaq
45,Sehne::N,কণ্ডরা,ujalu
46,Sehne::N,কণ্ডরা,ujaloq
47,Knochen::N,অস্থি,saanikut
48,Gehirn::N,মস্তিষ্ক,qarasaq
49,Herz::N,হৃৎপিণ্ড,uummat
50,Magen::N,পাকস্থলী,aqajaroq
51,Leber::N,যকৃৎ,tinguk
52,Atem::N,শ্বাস,anerneq
53,Hunger::N,ক্ষুধা,kaanneq
54,Träne::N,অশ্রু,qia
55,Träne::N,অশ্রু,qiak
56,Geschmack::N,স্বাদ,qilanaartuut
57,Geruch::N,গন্ধ,tipi
58,Geruch::N,গন্ধ,tipik
59,Schlaf::N,ঘুম,
60,Traum::N,স্বপ্ন,sinnattoq
61,Traum::N,স্বপ্ন,sinnattugaq
62,Himmel::N,আকাশ,qilak
63,Sonne::N,সূর্য,seqineq
64,Mond::N,চন্দ্র,qaammat
65,Stern::N,নক্ষত্র,ulloriaq
66,Luft::N,বায়ু,silaannaq
67,Wind::N,বাতাস,anori
68,Wind::N,বাতাস,anorsarik
69,Welle::N,ঢেউ,aalappaa
70,Welle::N,তরঙ্গ,aalappaa
71,Wasser::N,জল,imeq
72,Stein::N,ঢিল,ujarak
73,Stein::N,প্রস্তর,ujarak
74,Boden::N,ভূতল,nateq
75,Erde::N,ভূমি,issoq
76,Staub::N,ধুলা,pujualanerit
77,Staub::N,ধুলা,pujoralanerit
78,Rauch::N,ধোঁয়া,iseq
79,Rauch::N,ধোঁয়া,pujoq
80,Funke::N,স্ফুলিঙ্গ,illoorneq
81,Feuer::N,অগ্নি,inneq
82,Licht::N,আলো,qaamaneq
83,Schatten::N,ছায়া,tarraq
84,Wetter::N,আবহাওয়া,sila
85,Nebel::N,কুহেলিকা,pujoq
86,Wolke::N,মেঘ,nuia
87,Regen::N,বৃষ্টি,sialuk
88,Schnee::N,তুষার,aput
89,Eis::N,বরফ,siku
90,Frost::N,তুষার,issi
91,Frost::N,তুষার,issik
92,Kälte::N,শৈত্য,issi
93,Hitze::N,তাপ,kianneq
94,Hitze::N,তাপ,kiassuseq
95,Raureif::N,তুহিন,kaneq
96,Regenbogen::N,রামধনু,neriusaaq
97,Donner::N,বজ্রধ্বনি,kalleq
98,Strömung::N,স্রোত,
99,Tropfen::N,ফোঁটা,kuseriarneq
100,Schaum::N,ফেনা,qapuk
101,Schmutz::N,ধুলা,minguk
102,See::N,হ্রদ,taseq
103,Sumpf::N,জলা,maqulluk
104,Moor::N,মাঠ,
105,Wiese::N,তৃণভূমি,masarsuk
106,Wald::N,বন,
107,Hügel::N,পাহাড়,qattuneq
108,Hügel::N,পাহাড়,majuariaq
109,Hügel::N,পাহাড়,majorajaaq
110,Hügel::N,পাহাড়,qaqqannguaq
111,Anhöhe::N,টিলা,
112,Berg::N,পর্বত,qaqqaq
113,Gipfel::N,শীর্ষ,
114,Höhle::N,গুহা,qaarusuk
115,Abhang::N,ঢাল,ippik
116,Abhang::N,ঢাল,sivinganeq
117,Abhang::N,ঢাল,sivingajaaq
118,Abhang::N,ঢাল,kussangajaaq
119,Quelle::N,উৎস,
120,Bach::N,ক্ষুদ্র নদী,kuunnguaq
121,Fluss::N,নদী,kuuk
122,Ufer::N,উপকূল,sissap sinaa
123,Küste::N,তীর,sineriak
124,Festland::N,ভূমি,
125,Meer::N,সমুদ্র,imaq
126,Bucht::N,উপসাগর,ikeq
127,Bucht::N,উপসাগর,kangerluk
128,Bucht::N,উপসাগর,kangerliumaneq
129,Insel::N,দ্বীপ,qeqertaq
130,Blume::N,ফুল,naasoq
131,Gras::N,ঘাস,ivigaq
132,Wurzel::N,শিকড়,niulutaq
133,Baum::N,গাছ,orpik
134,Stamm::N,স্কন্ধ,kanaartaq
135,Rinde::N,বল্কল,ameraq
136,Ast::N,শাখা,avalequt
137,Zweig::N,ডাল,avalequt
138,Blatt::N,পর্ণ,pilutaq
139,Birke::N,ভুর্জ,patitsit
140,Kiefer[Baum]::N,পাইন গাছ,
141,Weide[Baum]::N,উইলো,palleq
142,Tanne::N,দেবদারূ গাছ,orsuerneq
143,Horn::N,শিং,nassuk
144,Feder::N,পালক,suluk
145,Fell::N,রোম,ameq
146,Flügel::N,ডানা,suluk
147,Flügel::N,ডানা,isaroq
148,Klaue::N,নখর,kukik
149,Kralle::N,নখর,kukik
150,Schwanz::N,লেজ,pamioq
151,Schwanz::N,লেজ,paperuusaq
152,Ei::N,ডিম,mannik
153,Nest::N,কুলায়,ullut
154,Bau::N,ডেরা,ini
155,Tier::N,জন্তু,uumasoq
156,Herde::N,ঝাঁক,unguukkat
157,Kuh::N,গোরু,ussik
158,Bulle::N,বৃষ,angukulak
159,Bulle::N,বৃষ,anguteralak
160,Bulle::N,বৃষ,angutikulooq
161,Pferd::N,ঘোড়া,
162,Schaf::N,ভেড়া,sava
163,Schwein::N,শূকর,puuluki
164,Hund::N,কুকুর,qimmeq
165,Katze::N,বেড়াল,puisaaq
166,Bär::N,ভল্লুক,allaq
167,Eichhörnchen::N,কাঠবিড়াল,sissinnguaq
168,Elch::N,হরিণবিশেষ,
169,Fuchs::N,পাঁতিশিয়াল,terianniaq
170,Hase::N,শশক,ukaleq
171,Maus::N,নেংটি ইঁদুর,teriannguaq
172,Wolf::N,নেকড়ে,amaroq
173,Vogel::N,পক্ষী,timmiaq
174,Schwarm::N,ঝাঁক,
175,Huhn::N,মোরগ,kukkukooq
176,Huhn::N,মোরগ,marloraaqaaq
177,Hahn::N,কুক্কুট,kiasiusaq
178,Gans::N,হংসী,nerleq
179,Adler::N,ইগল,nattoralik
180,Ente::N,হংসী,
181,Eule::N,পেচক,uppik
182,Kranich::N,সারস,qorlorfik
183,Krähe::N,কাক,tuluatsiaq
184,Kuckuck::N,কোকিল,kukkooq
185,Schwan::N,মরাল,qussuk
186,Fisch::N,মাছ,aalisagaq
187,Barsch::N,মৎন্যবিশেষ,
188,Hecht::N,বানমাছ,
189,Schlange[Tier]::N,সর্প,pulateriarsuk
190,Schlange[Tier]::N,সর্প,pulateriaarsuk
