,Concept_ID,hu,cy
0,Auge::N,szem,llygad
1,Ohr::N,fül,clust
2,Nase::N,orr,trwyn
3,Mund::N,száj,ceg
4,Zahn::N,fog,dant
5,Zunge::N,nyelv,tafod
6,Lippe::N,ajak,gwefus
7,Wange::N,orca,boch
8,Gesicht::N,arc,wyneb
9,Stirn::N,homlok,talcen
10,Haar::N,haj,blew
11,Schnurrbart::N,bajusz,mwstas
12,Bart::N,szakáll,barf
13,Kinn::N,áll,gên
14,Kiefer[Anatomie]::N,állkapocs,gên
15,Kehle::N,gége,gwddf
16,Kehle::N,torok,gwddf
17,Hals::N,nyak,gwddf
18,Genick::N,tarkó,gwar
19,Genick::N,tarkó,gwegil
20,Kopf::N,fő,pen
21,Kopf::N,fej,pen
22,Rücken::N,hát,cefn
23,Bauch::N,has,bol
24,Nabel::N,köldök,bogail
25,Busen::N,mell,bron
26,Busen::N,kebel,bron
27,Brust::N,mell,brest
28,Schulter::N,váll,ysgwydd
29,Arm::N,kar,braich
30,Ellenbogen::N,könyök,penelin
31,Hand::N,kéz,llaw
32,Handfläche::N,tenyér,palf
33,Finger::N,ujj,bys
34,Fingernagel::N,köröm,ewin
35,Nagel[Anatomie]::N,köröm,ewin
36,Zeh::N,lábujj,bys troed
37,Fuß::N,láb,troed
38,Ferse::N,sarok,sawdl
39,Knie::N,térd,glin
40,Oberschenkel::N,comb,clun
41,Bein::N,láb,coes
42,Bein::N,lábszár,coes
43,Körper::N,test,corff
44,Haut::N,bőr,croen
45,Blut::N,vér,gwaed
46,Ader::N,ér,gwythïen
47,Sehne::N,ín,gewyn
48,Knochen::N,csont,asgwrn
49,Gehirn::N,agy,ymennydd
50,Gehirn::N,agyvelő,ymennydd
51,Herz::N,szív,calon
52,Magen::N,gyomor,cylla
53,Magen::N,gyomor,stumog
54,Leber::N,máj,iau
55,Atem::N,lehelet,anadl
56,Atem::N,lélegzet,anadl
57,Hunger::N,éhség,newyn
58,Träne::N,könny,deigryn
59,Geschmack::N,íz,cyflas
60,Geruch::N,szag,aroglau
61,Schlaf::N,álom,cwsg
62,Schlaf::N,alvás,cwsg
63,Traum::N,álom,breuddwyd
64,Himmel::N,ég,awyr
65,Himmel::N,menny,awyr
66,Sonne::N,nap,haul
67,Mond::N,hold,lleuad
68,Stern::N,csillag,seren
69,Luft::N,levegő,awyr
70,Wind::N,szél,gwynt
71,Welle::N,hullám,ton
72,Wasser::N,víz,dŵr
73,Stein::N,kő,carreg
74,Boden::N,föld,llawr
75,Boden::N,talaj,llawr
76,Erde::N,föld,pridd
77,Staub::N,por,llwch
78,Rauch::N,füst,mwg
79,Funke::N,szikra,gwreichioni
80,Feuer::N,tűz,tân
81,Licht::N,fény,golau
82,Schatten::N,árnyék,cysgod
83,Wetter::N,idő,tywydd
84,Wetter::N,időjárás,tywydd
85,Nebel::N,köd,niwl
86,Wolke::N,felhő,cwmwl
87,Regen::N,eső,glaw
88,Schnee::N,hó,ôd
89,Schnee::N,hó,eira
90,Eis::N,jég,iâ
91,Frost::N,fagy,rhew
92,Kälte::N,hideg,oerni
93,Kälte::N,hideg,annwyd
94,Hitze::N,hő,gwres
95,Hitze::N,hőség,gwres
96,Raureif::N,zúzmara,barrug
97,Regenbogen::N,szivárvány,enfys
98,Donner::N,dörgés,tyrfau
99,Donner::N,mennydörgés,tyrfau
100,Strömung::N,áramlat,cerrynt
101,Tropfen::N,csepp,dafn
102,Tropfen::N,csepp,diferyn
103,Schaum::N,hab,ewyn
104,Schaum::N,tajték,ewyn
105,Schmutz::N,piszok,baw
106,Schmutz::N,piszok,budreddi
107,See::N,tó,llyn
108,Sumpf::N,mocsár,cors
109,Moor::N,láp,rhos
110,Wiese::N,rét,dôl
111,Wiese::N,mező,dôl
112,Wald::N,erdő,coedwig
113,Hügel::N,domb,bryn
114,Anhöhe::N,magaslat,bryn
115,Berg::N,hegy,mynydd
116,Gipfel::N,csúcs,copa
117,Höhle::N,barlang,ogof
118,Abhang::N,lejtő,llethr
119,Quelle::N,forrás,tarddiad
120,Quelle::N,forrás,ffynhonnell
121,Bach::N,patak,nant
122,Bach::N,patak,afonig
123,Bach::N,patak,cornant
124,Fluss::N,folyó,afon
125,Ufer::N,part,glan
126,Küste::N,tengerpart,traeth
127,Küste::N,tengerpart,arfordir
128,Festland::N,szárazföld,tir
129,Meer::N,tenger,môr
130,Bucht::N,öböl,bae
131,Insel::N,sziget,ynys
132,Blume::N,virág,blodyn
133,Gras::N,fű,glaswellt
134,Wurzel::N,gyökér,gwreiddyn
135,Baum::N,fa,coeden
136,Stamm::N,tő,colfen
137,Stamm::N,tő,boncyff
138,Stamm::N,törzs,colfen
139,Stamm::N,törzs,boncyff
140,Rinde::N,kéreg,rhisgl
141,Ast::N,ág,cangen
142,Zweig::N,gally,cainc
143,Zweig::N,gally,cangen
144,Blatt::N,levél,deilen
145,Birke::N,nyír,bedwen
146,Kiefer[Baum]::N,fenyő,pinwydden
147,Weide[Baum]::N,fűz,helygen
148,Tanne::N,fenyő,ffynidwydden
149,Horn::N,szarv,corn
150,Feder::N,toll,plufyn
151,Fell::N,szőr,ffwr
152,Fell::N,bunda,ffwr
153,Flügel::N,szárny,adain
154,Klaue::N,köröm,crafanc
155,Kralle::N,karom,ewin
156,Schwanz::N,farok,cwt
157,Schwanz::N,farok,cynffon
158,Ei::N,tojás,wy
159,Nest::N,fészek,nyth
160,Bau::N,odú,ffau
161,Tier::N,állat,anifail
162,Herde::N,nyáj,praidd
163,Herde::N,nyáj,diadell
164,Herde::N,csorda,praidd
165,Herde::N,csorda,diadell
166,Kuh::N,tehén,buwch
167,Bulle::N,bika,tarw
168,Pferd::N,ló,ceffyl
169,Schaf::N,juh,dafad
170,Schaf::N,birka,dafad
171,Schwein::N,sertés,mochyn
172,Hund::N,eb,ci
173,Hund::N,kutya,ci
174,Katze::N,macska,cath
175,Bär::N,medve,arth
176,Eichhörnchen::N,mókus,gwiwer
177,Elch::N,jávorszarvas,elc
178,Fuchs::N,róka,cadno
179,Hase::N,nyúl,ysgyfarnog
180,Maus::N,egér,llygoden
181,Wolf::N,farkas,blaidd
182,Vogel::N,madár,aderyn
183,Schwarm::N,raj,haid
184,Huhn::N,tyúk,cyw
185,Hahn::N,kakas,ceiliog
186,Gans::N,lúd,gŵydd
187,Gans::N,liba,gŵydd
188,Adler::N,sas,eryr
189,Ente::N,kacsa,hwyad
190,Eule::N,bagoly,tylluan
191,Kranich::N,daru,garan
192,Kranich::N,daru,crychydd
193,Krähe::N,varjú,brân
194,Kuckuck::N,kakukk,cog
195,Kuckuck::N,kakukk,cwcw
196,Schwan::N,hattyú,alarch
197,Fisch::N,hal,pysgod
198,Barsch::N,sügér,draenog
199,Hecht::N,csuka,penhwyad
200,Schlange[Tier]::N,kígyó,neidr
201,Wurm::N,kukac,abwydyn
202,Wurm::N,kukac,pryf genwair
203,Spinne::N,pók,cor
204,Spinne::N,pók,pryf copyn
205,Ameise::N,hangya,morgrugyn
206,Laus::N,tetű,lleuen
207,Mücke::N,szúnyog,gwybedyn
208,Fliege::N,légy,cleren
209,Schmetterling::N,lepke,glöyn byw
210,Schmetterling::N,lepke,iâr fach yr haf
211,Schmetterling::N,pillangó,glöyn byw
212,Schmetterling::N,pillangó,iâr fach yr haf
213,Beere::N,bogyó,aeronen
214,Apfel::N,alma,afal
215,Pilz::N,gomba,madarch
216,Zwiebel::N,hagyma,nionyn
217,Zwiebel::N,hagyma,winwnsyn
218,Saat::N,vetőmag,had
219,Korn::N,mag,grawn
220,Korn::N,szem,grawn
221,Heu::N,széna,gwair
222,Schale::N,héj,croen
223,Schale::N,héj,plisgyn
224,Grube::N,verem,pwll
225,Grube::N,verem,pydew
226,Falle::N,csapda,magl
227,Schlinge::N,tőr,cwlwm rhedeg
228,Spur::N,nyom,ôl
229,Asche::N,hamu,lludw
230,Dreck::N,sár,baw
231,Dreck::N,sár,budreddi
232,Dreck::N,piszok,baw
233,Dreck::N,piszok,budreddi
234,Eisen::N,vas,haearn
235,Gold::N,arany,aur
236,Silber::N,ezüst,arian
237,Kohle::N,szén,glo
238,Glas::N,üveg,gwydr
239,Lehm::N,agyag,clai
240,Lehm::N,vályog,clai
241,Sand::N,homok,tywod
242,Mensch::N,ember,dyn
243,Mann::N,úr,dyn
244,Mann::N,férfi,dyn
245,Frau::N,nő,merch
246,Frau::N,nő,gwraig
247,Frau::N,asszony,merch
248,Frau::N,asszony,gwraig
249,Kind::N,gyerek,plentyn
250,Kind::N,gyermek,plentyn
251,Junge::N,fiú,hogyn
252,Junge::N,fiú,bachgen
253,Mädchen::N,lány,merch
254,Mädchen::N,lány,geneth
255,Familie::N,család,teulu
256,Familie::N,család,tylwyth
257,Großvater::N,nagyapa,taid
258,Großvater::N,nagyapa,tad-cu
259,Großmutter::N,nagyanya,nain
260,Großmutter::N,nagyanya,mam-gu
261,Eltern::N,szülők,rhieni
262,Vater::N,apa,tad
263,Vater::N,atya,tad
264,Mutter::N,anya,mam
265,Sohn::N,fiú,mab
266,Tochter::N,lány,merch
267,Bruder::N,fivér,brawd
268,Bruder::N,testvér,brawd
269,Schwester::N,nővér,chwaer
270,Schwester::N,lánytestvér,chwaer
271,Onkel::N,nagybácsi,ewythr
272,Tante::N,nagynéni,modryb
273,Ehemann::N,férj,gŵr
274,Ehefrau::N,feleség,gwraig
275,Freude::N,öröm,gorfoledd
276,Gelächter::N,nevetés,chwerthin
277,Gelächter::N,hahotázás,chwerthin
278,Glück::N,boldogság,hapusrwydd
279,Kummer::N,bánat,galar
280,Wunsch::N,óhaj,dymuniad
281,Lust::N,kedv,chwant
282,Geist::N,elme,ysbryd
283,Geist::N,szellem,ysbryd
284,Gedanke::N,gondolat,meddwl
285,Gedächtnis::N,emlékezet,cof
286,Verstand::N,ész,meddwl
287,Verstand::N,értelem,meddwl
288,Sinn::N,értelem,ystyr
289,Grund::N,ok,achos
290,Grund::N,ok,rheswm
291,Grund::N,alap,achos
292,Grund::N,alap,rheswm
293,Wahrheit::N,igaz,gwir
294,Wahrheit::N,igaz,gwirionedd
295,Wahrheit::N,igazság,gwir
296,Wahrheit::N,igazság,gwirionedd
297,Gespräch::N,beszélgetés,sgwrs
298,Märchen::N,mese,chwedl werin
299,Erzählung::N,elbeszélés,stori
300,Nachricht::N,hír,neges
301,Nachricht::N,híradás,neges
302,Neuigkeit::N,újság,newydd
303,Name::N,név,enw
304,Rätsel::N,rejtvény,pos
