,Concept_ID,zh,ja
0,Auge::N,眼睛,目
1,Ohr::N,耳朵,耳
2,Nase::N,鼻子,鼻
3,Mund::N,嘴,口
4,Zahn::N,牙齿,歯
5,Zunge::N,舌头,舌
6,Lippe::N,嘴唇,唇
7,Wange::N,面颊,頬
8,Gesicht::N,脸,顔
9,Stirn::N,额,額
10,Haar::N,头发,髪
11,Schnurrbart::N,髭须,口髭
12,Bart::N,胡子,髭
13,Kinn::N,下巴,顎
14,Kiefer[Anatomie]::N,颌,顎
15,Kehle::N,嗓子,喉
16,Hals::N,颈,首
17,Genick::N,后颈,首
18,Kopf::N,头,頭
19,Rücken::N,背,背中
20,Bauch::N,肚子,腹
21,Bauch::N,肚子,お腹
22,Nabel::N,肚脐,へそ
23,Busen::N,胸脯,乳房
24,Brust::N,胸,胸
25,Schulter::N,肩膀,肩
26,Arm::N,臂膀,腕
27,Ellenbogen::N,肘,肘
28,Hand::N,手,手
29,Handfläche::N,手掌,手のひら
30,Finger::N,手指,指
31,Fingernagel::N,指甲,爪
32,Nagel[Anatomie]::N,指甲,爪
33,Zeh::N,脚趾,足の指
34,Fuß::N,脚,足
35,Ferse::N,后跟,かかと
36,Knie::N,膝,膝
37,Oberschenkel::N,大腿,上腿
38,Bein::N,腿,足
39,Körper::N,身体,体
40,Haut::N,皮肤,皮膚
41,Blut::N,血,血
42,Ader::N,血管,血管
43,Sehne::N,腱,腱
44,Knochen::N,骨,骨
45,Gehirn::N,脑,脳
46,Herz::N,心,心
47,Herz::N,心,心臓
48,Magen::N,胃,胃
49,Leber::N,肝,肝臓
50,Atem::N,呼吸,息
51,Atem::N,呼吸,呼吸
52,Hunger::N,饿,空腹
53,Träne::N,眼泪,涙
54,Geschmack::N,味道,味
55,Geruch::N,气味,匂い
56,Schlaf::N,睡眠,睡眠
57,Traum::N,梦,夢
58,Himmel::N,天空,空
59,Sonne::N,太阳,太陽
60,Mond::N,月亮,月
61,Stern::N,星,星
62,Luft::N,空气,空気
63,Wind::N,风,風
64,Welle::N,波,波
65,Wasser::N,水,水
66,Stein::N,石头,石
67,Boden::N,地面,土地
68,Erde::N,地,土
69,Staub::N,灰尘,埃
70,Rauch::N,烟,煙
71,Funke::N,火花,火花
72,Feuer::N,火,火
73,Licht::N,光,光
74,Schatten::N,影子,陰
75,Wetter::N,天气,天気
76,Nebel::N,雾,霧
77,Wolke::N,云,雲
78,Regen::N,雨,雨
79,Schnee::N,雪,雪
80,Eis::N,冰,氷
81,Frost::N,霜冻,霜
82,Kälte::N,寒冷,寒さ
83,Hitze::N,炎热,暑さ
84,Raureif::N,霜,霧氷
85,Regenbogen::N,虹,虹
86,Donner::N,雷,雷
87,Strömung::N,水流,流れ
88,Tropfen::N,滴,滴
89,Schaum::N,泡沫,泡
90,Schmutz::N,赃物,汚れ
91,See::N,湖,湖
92,Sumpf::N,沼泽,沼
93,Moor::N,沼泽,湿原
94,Wiese::N,草地,草原
95,Wald::N,森林,森
96,Hügel::N,丘陵,丘
97,Anhöhe::N,山丘,高み
98,Berg::N,山,山
99,Gipfel::N,峰,頂上
100,Höhle::N,洞穴,洞窟
101,Abhang::N,斜坡,斜面
102,Quelle::N,泉,泉
103,Bach::N,溪,小川
104,Fluss::N,河流,川
105,Ufer::N,岸,岸
106,Küste::N,海岸,海岸
107,Festland::N,大陆,陸
108,Meer::N,海,海
109,Bucht::N,海湾,湾
110,Insel::N,岛,島
111,Blume::N,花,花
112,Gras::N,草,草
113,Wurzel::N,根,根
114,Baum::N,树,木
115,Stamm::N,树干,幹
116,Rinde::N,树皮,皮層
117,Ast::N,树枝,枝
118,Zweig::N,树枝,小枝
119,Blatt::N,叶子,葉
120,Birke::N,桦木,樺
121,Kiefer[Baum]::N,松树,松
122,Weide[Baum]::N,柳树,柳
123,Tanne::N,冷杉,樅
124,Horn::N,角,角
125,Feder::N,羽毛,羽根
126,Fell::N,皮毛,毛皮
127,Flügel::N,翅膀,羽
128,Klaue::N,爪子,鉤爪
129,Kralle::N,爪子,爪
130,Schwanz::N,尾巴,尻尾
131,Ei::N,蛋,卵
132,Nest::N,巢,巣
133,Bau::N,穴,穴
134,Tier::N,动物,動物
135,Herde::N,群,群れ
136,Kuh::N,母牛,牛
137,Bulle::N,公牛,雄牛
138,Pferd::N,马,馬
139,Schaf::N,羊,羊
140,Schwein::N,猪,豚
141,Hund::N,狗,犬
142,Katze::N,猫,猫
143,Bär::N,熊,熊
144,Eichhörnchen::N,松鼠,栗鼠
145,Elch::N,麋鹿,ヘラジカ
146,Fuchs::N,狐狸,狐
147,Hase::N,兔子,兎
148,Maus::N,老鼠,鼠
149,Wolf::N,狼,狼
150,Vogel::N,鸟,鳥
151,Schwarm::N,群,群れ
152,Huhn::N,鸡,鶏
153,Hahn::N,公鸡,雄鶏
154,Gans::N,鹅,ガチョウ
155,Adler::N,鹰,鷲
156,Ente::N,鸭,鴨
157,Eule::N,猫头鹰,フクロウ
158,Kranich::N,鹤,鶴
159,Krähe::N,乌鸦,烏
160,Kuckuck::N,布谷鸟,郭公
161,Schwan::N,天鹅,白鳥
162,Fisch::N,鱼,魚
163,Barsch::N,鲈鱼,鱸
164,Hecht::N,狗鱼,川魳
165,Schlange[Tier]::N,蛇,蛇
166,Wurm::N,蠕虫,虫
167,Spinne::N,蜘蛛,蜘蛛
168,Ameise::N,蚂蚁,蟻
169,Laus::N,虱子,虱
170,Mücke::N,蚊子,蚊
171,Fliege::N,苍蝇,蝿
172,Schmetterling::N,蝴蝶,蝶
173,Beere::N,将果,漿果
174,Apfel::N,苹果,林檎
175,Pilz::N,蘑菇,茸
