,Concept_ID,bn,hi
0,Auge::N,চক্ষু,आँख
1,Auge::N,চক্ষু,चक्षु
2,Ohr::N,কর্ণ,कान
3,Ohr::N,কর্ণ,कर्ण
4,Nase::N,নাক,नाक
5,Nase::N,নাক,नासा
6,Mund::N,মুখ,मुख
7,Mund::N,মুখ,मुँह
8,Zahn::N,দাঁত,दंत
9,Zahn::N,দাঁত,दाँत
10,Zunge::N,জিহবা,जीभ
11,Zunge::N,জিহবা,ज़बान
12,Zunge::N,জিহবা,जिह्वा
13,Lippe::N,অধর,ओंठ
14,Lippe::N,অধর,होंठ
15,Wange::N,গণ্ড,गाल
16,Wange::N,গণ্ড,कपोल
17,Gesicht::N,মুখমণ্ডল,मुँह
18,Gesicht::N,মুখমণ্ডল,चेहरा
19,Stirn::N,কপাল,माथा
20,Stirn::N,কপাল,मस्तक
21,Haar::N,চুল,बाल
22,Schnurrbart::N,গোঁফ,मूँछें
23,Bart::N,শ্মশ্রু,दाढ़ी
24,Kinn::N,চিবুক,चिबुक
25,Kiefer[Anatomie]::N,চোয়াল,जबड़ा
26,Kehle::N,কণ্ঠ,गला
27,Hals::N,গল,गला
28,Hals::N,গল,गरदन
29,Genick::N,ঘাড়,गरदन
30,Genick::N,ঘাড়,ग्रीवा
31,Kopf::N,মাথা,सिर
32,Kopf::N,মাথা,शीर्ष
33,Rücken::N,পৃষ্ঠ,पीठ
34,Bauch::N,উদর,उदर
35,Nabel::N,নাভি,नाभि
36,Nabel::N,নাভি,ढोंढी
37,Busen::N,স্তন,कुच
38,Busen::N,স্তন,स्तन
39,Brust::N,বুক,वक्ष
40,Schulter::N,স্কন্ধ,कंधा
41,Schulter::N,স্কন্ধ,स्कंध
42,Arm::N,বাহু,बाँह
43,Arm::N,বাহু,बाज़ू
44,Ellenbogen::N,কনুই,कुहनी
45,Hand::N,হাত,हाथ
46,Hand::N,হাত,हस्त
47,Handfläche::N,করতল,हथेली
48,Finger::N,আঙ্গুল,उँगली
49,Finger::N,আঙ্গুল,अँगुली
50,Fingernagel::N,হাতের নখ,नख
51,Fingernagel::N,হাতের নখ,नाख़ून
52,Nagel[Anatomie]::N,নখ,नख
53,Nagel[Anatomie]::N,নখ,नाख़ून
54,Zeh::N,আঙ্গুল,उँगली
55,Zeh::N,আঙ্গুল,पाँव की उँगली
56,Fuß::N,পা,चरण
57,Fuß::N,পা,पाँव
