,Concept_ID,az,el
0,Auge::N,göz,μάτι
1,Auge::N,göz,οφθαλμός
2,Ohr::N,qulaq,αυτί
3,Nase::N,burun,μύτη
4,Mund::N,ağız,στόμα
5,Zahn::N,diş,δόντι
6,Zunge::N,dil,γλώσσα
7,Lippe::N,dodaq,χείλος
8,Wange::N,yanaq,παρειά
9,Wange::N,yanaq,μάγουλο
10,Gesicht::N,üz,πρόσωπο
11,Stirn::N,alın,μέτωπο
12,Haar::N,saç,μαλλιά
13,Schnurrbart::N,bığ,μουστάκι
14,Bart::N,saqqal,γένια
15,Kinn::N,çənə,πιγούνι
16,Kiefer[Anatomie]::N,çənə,σαγόνι
17,Kehle::N,boğaz,λαρύγγι
18,Hals::N,boyun,λαιμός
19,Genick::N,ənsə,σβέρκος
20,Kopf::N,baş,κεφάλι
21,Rücken::N,bel,ράχη
22,Bauch::N,qarın,κοιλιά
23,Nabel::N,göbək,αφαλός
24,Busen::N,məmə,στήθος
25,Brust::N,döş,στήθος
26,Schulter::N,çiyin,ώμος
27,Arm::N,qol,χέρι
28,Arm::N,qol,μπράτςο
29,Ellenbogen::N,dirsək,αγκώνας
30,Hand::N,əl,χέρι
31,Handfläche::N,ovuc,παλάμη
32,Finger::N,barmaq,δάχτυλο
33,Fingernagel::N,barmaq dırnağı,νύχι
34,Nagel[Anatomie]::N,dırnak,νύχι
35,Zeh::N,ayaq barmağı,δάχτυλο του ποδιού
36,Fuß::N,ayaq,πόδι
37,Ferse::N,daban,φτέρνα
38,Knie::N,diz,γόνατο
39,Oberschenkel::N,bud,μηρός
40,Bein::N,qıç,πόδι
41,Körper::N,əndam,σώμα
42,Körper::N,əndam,κορμί
43,Haut::N,dəri,πετσί
44,Blut::N,qan,αίμα
45,Ader::N,damar,φλέβα
46,Sehne::N,vətər,νεύρο
47,Sehne::N,vətər,τένοντας
48,Knochen::N,sümük,οστό
49,Knochen::N,sümük,κόκκαλο
50,Gehirn::N,beyin,μυαλό
51,Gehirn::N,beyin,εγκέφαλος
52,Herz::N,ürək,καρδιά
53,Magen::N,mədə,στομάχι
54,Leber::N,qara ciyər,ήπαρ
55,Leber::N,qara ciyər,συκωτί
56,Atem::N,nəfəs,αναπνοή
57,Hunger::N,aclıq,πείνα
58,Träne::N,göz yaşı,δάκρυ
59,Geschmack::N,tam,γεύση
60,Geschmack::N,ləzzət,γεύση
61,Geruch::N,qoxu,οσμή
62,Geruch::N,qoxu,μυρωδία
63,Schlaf::N,yuxu,ύπνος
64,Traum::N,röya,όνειρο
65,Himmel::N,göy,ουρανός
66,Himmel::N,səma,ουρανός
67,Sonne::N,günəş,ήλιος
68,Mond::N,ay,σελήνη
69,Mond::N,ay,φεγγάρι
70,Stern::N,ulduz,άστρο
71,Stern::N,ulduz,αστέρι
72,Luft::N,hava,αέρας
73,Wind::N,yel,αέρας
74,Wind::N,yel,άνεμος
75,Wind::N,külək,αέρας
76,Wind::N,külək,άνεμος
77,Welle::N,dalğa,κύμα
78,Wasser::N,su,νερό
79,Stein::N,daş,πέτρα
80,Boden::N,yer,χώμα
81,Boden::N,zəmin,χώμα
