,Concept_ID,ko,es
0,Auge::N,눈,ojo
1,Ohr::N,귀,oreja
2,Nase::N,코,nariz
3,Mund::N,입,boca
4,Zahn::N,이,diente
5,Zunge::N,혀,lengua
6,Lippe::N,입술,labio
7,Wange::N,뺨,mejilla
8,Gesicht::N,얼굴,cara
9,Stirn::N,이마,frente
10,Haar::N,털,cabello
11,Schnurrbart::N,윗수몀,bigote
12,Schnurrbart::N,코밑수염,bigote
13,Bart::N,수엄,barba
14,Kinn::N,아래턱,barbilla
15,Kiefer[Anatomie]::N,턱,mandíbula
16,Kehle::N,인후,garganta
17,Hals::N,목,cuello
18,Genick::N,먹덜이,nuca
19,Genick::N,먹덜이,cerviz
20,Kopf::N,머리,cabeza
21,Rücken::N,든,espalda
22,Bauch::N,배,vientre
23,Nabel::N,배꼽,ombligo
24,Busen::N,가슴속,pecho
25,Brust::N,가슴,pecho
26,Schulter::N,어깨,hombro
27,Arm::N,팔,brazo
28,Ellenbogen::N,팔쿰치,codo
29,Hand::N,손,mano
30,Handfläche::N,손바닥,palma
31,Finger::N,속가락,dedo
32,Fingernagel::N,손톱,uña
33,Nagel[Anatomie]::N,손톱,uña
34,Zeh::N,발가락,dedo del pie
35,Fuß::N,발,pie
36,Ferse::N,발꿈치,talón
37,Knie::N,무릎,rodilla
38,Oberschenkel::N,허벅다리,muslo
39,Bein::N,다리,pierna
40,Körper::N,구간,cuerpo
41,Haut::N,살갗,piel
42,Blut::N,피,sangre
43,Ader::N,정맥,vena
44,Sehne::N,현,tendón
45,Knochen::N,뼈,hueso
46,Gehirn::N,뇌,cerebro
47,Gehirn::N,뇌,encéfalo
48,Gehirn::N,뇌수,cerebro
49,Gehirn::N,뇌수,encéfalo
50,Herz::N,염통,corazón
51,Magen::N,위,estómago
52,Leber::N,간,hígado
53,Atem::N,기식,aliento
54,Hunger::N,공복,hambre
55,Träne::N,눈물,lágrima
56,Geschmack::N,기호,gusto
57,Geruch::N,냄새,olor
58,Schlaf::N,수면,sueño
59,Traum::N,쿰,sueño
60,Traum::N,쿰,ensueño
61,Himmel::N,하늘,cielo
62,Sonne::N,해,sol
63,Mond::N,달,luna
64,Stern::N,별,estrella
65,Luft::N,동준,aire
66,Luft::N,가스채,aire
67,Wind::N,바람,viento
68,Welle::N,물결,ola
69,Welle::N,물결,onda
70,Wasser::N,물,agua
71,Stein::N,돌,piedra
72,Boden::N,바닥,suelo
73,Erde::N,흙,tierra
74,Staub::N,먼지,polvo
75,Rauch::N,연기,humo
76,Funke::N,불티,chispa
77,Feuer::N,불,fuego
78,Licht::N,불,luz
79,Schatten::N,어스레함,sombra
80,Wetter::N,기상,tiempo
81,Nebel::N,안개,niebla
82,Wolke::N,구름,nube
83,Regen::N,비,lluvia
84,Schnee::N,눈,nieve
85,Eis::N,얼음,hielo
86,Frost::N,혹한,helada
87,Kälte::N,추위,frío
88,Kälte::N,차가움,frío
89,Hitze::N,고온,calor
90,Hitze::N,더위,calor
91,Regenbogen::N,무지개,arco iris
92,Donner::N,뇌명,trueno
93,Strömung::N,유동,corriente
94,Tropfen::N,물방울,gota
95,Schaum::N,포말,espuma
96,Schmutz::N,때,suciedad
97,See::N,호수,lago
98,Sumpf::N,습지,pantano
99,Moor::N,저습지,turbera
100,Wiese::N,목초지,prado
101,Wiese::N,목초지,pradera
102,Wald::N,숲,bosque
103,Hügel::N,언덕,colina
104,Anhöhe::N,언덕,cerro
105,Berg::N,산,monte
106,Berg::N,산,montaña
107,Gipfel::N,졀졍,cima
108,Gipfel::N,졀졍,cumbre
109,Höhle::N,공동,cueva
110,Höhle::N,공동,caverna
111,Abhang::N,몰매,cuesta
112,Abhang::N,몰매,declive
113,Quelle::N,근원,fuente
114,Quelle::N,근원,manantial
115,Bach::N,내,arroyo
116,Fluss::N,강,río
117,Ufer::N,강변,orilla
118,Ufer::N,바닷가,orilla
119,Küste::N,해변,costa
120,Küste::N,해변가,costa
121,Festland::N,본토,tierra firme
122,Meer::N,바다,mar
123,Bucht::N,협만,cala
124,Bucht::N,협만,bahía
125,Insel::N,섬,isla
126,Blume::N,꽃,flor
127,Gras::N,풀,hierba
128,Wurzel::N,뿌리,raíz
129,Baum::N,나무,árbol
130,Stamm::N,대,tronco
131,Rinde::N,나무껍질,corteza
132,Ast::N,가지,rama
133,Zweig::N,가지,ramo
134,Blatt::N,잎,hoja
135,Birke::N,자작나무,abedul
136,Kiefer[Baum]::N,소나무,pino
137,Weide[Baum]::N,쉬양버들,sauce
138,Tanne::N,전나무,abeto
139,Horn::N,뿔,asta
140,Horn::N,뿔,cuerno
141,Feder::N,깃털,pluma
142,Fell::N,피혁모피,piel
143,Flügel::N,날개,ala
144,Klaue::N,갈고리 발톺,garra
145,Kralle::N,발툭,uña
146,Kralle::N,발툭,garra
147,Schwanz::N,꼬리,cola
148,Ei::N,알,huevo
149,Nest::N,보금자리,nido
150,Bau::N,굴,madriguera
151,Tier::N,짐승,animal
152,Herde::N,가축의떼,rebaño
153,Kuh::N,암소,vaca
154,Bulle::N,황소,toro
155,Pferd::N,말,caballo
156,Schaf::N,양,oveja
157,Schwein::N,돼지,cerdo
158,Hund::N,개,perro
159,Katze::N,고양이,gato
160,Bär::N,콤,oso
161,Eichhörnchen::N,다람쥐,ardilla
162,Elch::N,고라니,alce
163,Fuchs::N,여우,zorro
164,Hase::N,토끼,liebre
165,Maus::N,쥐,ratón
166,Wolf::N,늑대,lobo
167,Vogel::N,새,ave
168,Vogel::N,새,pájaro
169,Schwarm::N,뗴,bandada
170,Huhn::N,암탉,gallina
171,Hahn::N,수탉,gallo
