,Concept_ID,kn,ro
0,Auge::N,ಕಣ್ಣು,ochi
1,Ohr::N,ಕಿವಿ,ureche
2,Nase::N,ಮೂಗು,nas
3,Mund::N,ಬಾಯಿ,gură
4,Zahn::N,ಹಲ್ಲು,dinte
5,Zunge::N,ನಾಲಿಗೆ,limbă
6,Lippe::N,ತುಟಿ,buză
7,Wange::N,ಗಲ್ಲ,bucă
8,Wange::N,ಗಲ್ಲ,obraz
9,Gesicht::N,ಮುಖ,față
10,Gesicht::N,ಮುಖ,figură
11,Stirn::N,ಹಣೆ,frunte
12,Haar::N,ಕೂದಲು,păr
13,Schnurrbart::N,ಮೀಸೆ,mustață
14,Bart::N,ಗಡ್ಡ,barbă
15,Kinn::N,ಗದ್ದ,bărbie
16,Kiefer[Anatomie]::N,ದವಡೆ,falcă
17,Kehle::N,ಗಂಟಲು,beregată
18,Hals::N,ಕೊರಳು,gât
19,Genick::N,ಹಿಂಗತ್ತು,ceafă
20,Kopf::N,ತಲೆ,cap
21,Rücken::N,ಬೆನ್ನು,dos
22,Rücken::N,ಬೆನ್ನು,spate
23,Rücken::N,ಬೆನ್ನು,spinare
24,Bauch::N,ಹೊಟ್ಟೆ,burtă
25,Bauch::N,ಹೊಟ್ಟೆ,pântece
26,Nabel::N,ಹೊಕ್ಕುಳು,buric
27,Busen::N,ಸ್ತನ,sân
28,Brust::N,ಎದೆ,piept
29,Schulter::N,ಭುಜ,umăr
30,Schulter::N,ಭುಜ,spate
31,Arm::N,ತೋಳು,braț
32,Ellenbogen::N,ಮೊಣಕೈ,cot
33,Hand::N,ಕೈ,mână
34,Handfläche::N,ಅಂಗೈ,palmă
35,Finger::N,ಕೈಬೆರಳು,deget
36,Fingernagel::N,ಉಗುರು,unghie
37,Nagel[Anatomie]::N,ಉಗುರು,unghie
38,Zeh::N,ಕಾಲ್ಬೆರಳು,deget de la picior
39,Fuß::N,ಪಾದ,picior
40,Ferse::N,ಹಿಮ್ಮಡಿ,călcâi
41,Knie::N,ಮಂಡಿ,genunchi
42,Oberschenkel::N,ತೊಡೆ,coapsă
43,Bein::N,ಕಾಲು,picior
44,Körper::N,ದೇಹ,corp
45,Haut::N,ಚರ್ಮ,piele
46,Blut::N,ರಕ್ತ,sânge
47,Ader::N,ನರ,vână
48,Ader::N,ನರ,arteră
49,Sehne::N,ನರ,tendon
50,Knochen::N,ಮೂಳೆ,os
51,Gehirn::N,ಮಿದುಳು,creier
52,Herz::N,ಹೃದಯ,inimă
53,Magen::N,ಉದರ,stomac
54,Leber::N,ಯಕೃತ್ತು,ficat
55,Atem::N,ಉಸಿರು,răsuflare
56,Atem::N,ಉಸಿರು,respirație
57,Hunger::N,ಹಸಿವು,foame
58,Träne::N,ಕಣ್ಣೀರು,lacrimă
59,Geschmack::N,ರುಚಿ,gust
60,Geruch::N,ವಾಸನೆ,miros
61,Schlaf::N,ನಿದ್ರೆ,somn
62,Traum::N,ಕನಸು,vis
63,Himmel::N,ಬಾನು,cer
64,Sonne::N,ಸೂರ್ಯ,soare
65,Mond::N,ಚಂದ್ರ,lună
66,Stern::N,ಚುಕ್ಕಿ,stea
67,Luft::N,ವಾಯು,aer
68,Wind::N,ಗಾಳಿ,vânt
69,Welle::N,ಅಲೆ,val
70,Welle::N,ಅಲೆ,undă
71,Wasser::N,ನೀರು,apă
72,Stein::N,ಕಲ್ಲು,piatră
73,Boden::N,ನೆಲ,sol
74,Boden::N,ನೆಲ,pământ
75,Erde::N,ಭೂಮಿ,pământ
76,Staub::N,ದೂಳು,praf
77,Rauch::N,ಹೊಗೆ,fum
78,Funke::N,ಕಿಡಿ,scânteie
79,Feuer::N,ಬೆಂಕಿ,foc
80,Licht::N,ಬೆಳಕು,lumină
81,Schatten::N,ನೆರಳು,umbră
82,Wetter::N,ಹವ,timp
83,Wetter::N,ಹವ,vreme
84,Nebel::N,ಮಂಜು,ceață
85,Nebel::N,ಮಂಜು,negură
86,Wolke::N,ಮೋಡ,nor
87,Regen::N,ಮಳೆ,ploaie
88,Schnee::N,ಹಿಮ,zăpadă
89,Eis::N,ಮಂಜುಗಡ್ಡೆ,gheață
90,Frost::N,ಮಂಜು,ger
91,Kälte::N,ಹಿಮ,frig
92,Hitze::N,ಉಷ್ಣ,arșiță
93,Hitze::N,ಉಷ್ಣ,căldură
94,Raureif::N,ಇಬ್ಬನಿ,chiciură
