,Concept_ID,hu,fr
0,Auge::N,szem,œil
1,Ohr::N,fül,oreille
2,Nase::N,orr,nez
3,Mund::N,száj,bouche
4,Zahn::N,fog,dent
5,Zunge::N,nyelv,langue
6,Lippe::N,ajak,lèvre
7,Wange::N,orca,joue
8,Gesicht::N,arc,face
9,Gesicht::N,arc,visage
10,Stirn::N,homlok,front
11,Haar::N,haj,cheveu
12,Schnurrbart::N,bajusz,moustache
13,Bart::N,szakáll,barbe
14,Kinn::N,áll,menton
15,Kiefer[Anatomie]::N,állkapocs,mâchoire
16,Kehle::N,gége,gorge
17,Kehle::N,torok,gorge
18,Hals::N,nyak,cou
19,Genick::N,tarkó,nuque
20,Kopf::N,fő,tête
21,Kopf::N,fej,tête
22,Rücken::N,hát,dos
23,Bauch::N,has,ventre
24,Nabel::N,köldök,nombril
25,Busen::N,mell,sein
26,Busen::N,kebel,sein
27,Brust::N,mell,poitrine
28,Schulter::N,váll,épaule
29,Arm::N,kar,bras
30,Ellenbogen::N,könyök,coude
31,Hand::N,kéz,main
32,Handfläche::N,tenyér,paume
33,Finger::N,ujj,doigt
34,Fingernagel::N,köröm,ongle
35,Nagel[Anatomie]::N,köröm,ongle
36,Zeh::N,lábujj,orteil
37,Zeh::N,lábujj,doigt de pied
38,Fuß::N,láb,pied
39,Ferse::N,sarok,talon
40,Knie::N,térd,genou
41,Oberschenkel::N,comb,cuisse
42,Bein::N,láb,jambe
43,Bein::N,lábszár,jambe
44,Körper::N,test,corps
45,Haut::N,bőr,peau
46,Blut::N,vér,sang
47,Ader::N,ér,veine
48,Sehne::N,ín,tendon
49,Knochen::N,csont,os
50,Gehirn::N,agy,cerveau
51,Gehirn::N,agyvelő,cerveau
52,Herz::N,szív,cœur
53,Magen::N,gyomor,estomac
54,Leber::N,máj,foie
55,Atem::N,lehelet,haleine
56,Atem::N,lélegzet,haleine
57,Hunger::N,éhség,faim
58,Träne::N,könny,larme
59,Geschmack::N,íz,goût
60,Geschmack::N,íz,saveur
61,Geruch::N,szag,odeur
62,Schlaf::N,álom,sommeil
63,Schlaf::N,alvás,sommeil
64,Traum::N,álom,songe
65,Himmel::N,ég,ciel
66,Himmel::N,menny,ciel
67,Sonne::N,nap,soleil
68,Mond::N,hold,lune
69,Stern::N,csillag,étoile
70,Luft::N,levegő,air
71,Wind::N,szél,vent
72,Welle::N,hullám,vague
73,Wasser::N,víz,eau
74,Stein::N,kő,pierre
75,Boden::N,föld,sol
76,Boden::N,föld,terrain
77,Boden::N,talaj,sol
78,Boden::N,talaj,terrain
79,Erde::N,föld,terre
80,Staub::N,por,poussière
81,Rauch::N,füst,fumée
82,Funke::N,szikra,étincelle
83,Feuer::N,tűz,feu
84,Licht::N,fény,lumière
85,Schatten::N,árnyék,ombre
86,Wetter::N,idő,temps
87,Wetter::N,időjárás,temps
88,Nebel::N,köd,brume
89,Nebel::N,köd,brouillard
90,Wolke::N,felhő,nuage
91,Regen::N,eső,pluie
92,Schnee::N,hó,neige
93,Eis::N,jég,glace
94,Frost::N,fagy,gel
95,Frost::N,fagy,gelée
96,Kälte::N,hideg,froid
97,Hitze::N,hő,chaleur
98,Hitze::N,hőség,chaleur
99,Raureif::N,zúzmara,givre
100,Regenbogen::N,szivárvány,arc-en-ciel
101,Donner::N,dörgés,tonnerre
