,Concept_ID,bn,fa
0,Auge::N,চক্ষু,چشم
1,Ohr::N,কর্ণ,گوش
2,Nase::N,নাক,بینی
3,Mund::N,মুখ,دهان
4,Zahn::N,দাঁত,دندان
5,Zunge::N,জিহবা,زبان
6,Lippe::N,অধর,لب
7,Wange::N,গণ্ড,لپ
8,Gesicht::N,মুখমণ্ডল,رو
9,Gesicht::N,মুখমণ্ডল,چهره
10,Stirn::N,কপাল,پیشانی
11,Haar::N,চুল,مو
12,Schnurrbart::N,গোঁফ,سبیل
13,Bart::N,শ্মশ্রু,ریش
14,Kinn::N,চিবুক,چانه
15,Kiefer[Anatomie]::N,চোয়াল,فک
16,Kiefer[Anatomie]::N,চোয়াল,آرواره
17,Kehle::N,কণ্ঠ,حلق
18,Hals::N,গল,گردن
19,Genick::N,ঘাড়,پشت گردن
20,Kopf::N,মাথা,سر
21,Kopf::N,মাথা,کله
22,Rücken::N,পৃষ্ঠ,پشت
23,Bauch::N,উদর,شکم
24,Nabel::N,নাভি,ناف
25,Busen::N,স্তন,پستان
26,Brust::N,বুক,سینه
27,Schulter::N,স্কন্ধ,دوش
28,Schulter::N,স্কন্ধ,شانه
29,Arm::N,বাহু,بازو
30,Ellenbogen::N,কনুই,آرنج
31,Hand::N,হাত,دست
32,Handfläche::N,করতল,کف دست
33,Finger::N,আঙ্গুল,انگشت
34,Fingernagel::N,হাতের নখ,ناخن دست
35,Nagel[Anatomie]::N,নখ,ناخن
36,Zeh::N,আঙ্গুল,انگشت پا
37,Fuß::N,পা,پا
38,Ferse::N,গোড়ালি,پاشنه
39,Knie::N,হাঁটু,زانو
40,Oberschenkel::N,ঊরু,ران
41,Bein::N,পা,پا
42,Bein::N,পা,لنگ
43,Körper::N,দেহ,تن
44,Körper::N,দেহ,بدن
45,Haut::N,ত্বক,پوست
46,Blut::N,রক্ত,خون
47,Ader::N,শিরা,رگ
48,Sehne::N,কণ্ডরা,زردپی
49,Knochen::N,অস্থি,استخوان
50,Gehirn::N,মস্তিষ্ক,مخ
51,Gehirn::N,মস্তিষ্ক,مغز
52,Herz::N,হৃৎপিণ্ড,دل
53,Herz::N,হৃৎপিণ্ড,قلب
54,Magen::N,পাকস্থলী,معده
55,Leber::N,যকৃৎ,کبد
56,Atem::N,শ্বাস,نفس
57,Hunger::N,ক্ষুধা,گرسنگی
58,Träne::N,অশ্রু,اشک
59,Geschmack::N,স্বাদ,مزه
60,Geruch::N,গন্ধ,بو
61,Schlaf::N,ঘুম,خواب
62,Traum::N,স্বপ্ন,رؤیا
63,Himmel::N,আকাশ,فلک
64,Himmel::N,আকাশ,آسمان
65,Sonne::N,সূর্য,آفتاب
66,Sonne::N,সূর্য,خورشید
67,Mond::N,চন্দ্র,ماه
68,Stern::N,নক্ষত্র,ستاره
69,Luft::N,বায়ু,هوا
70,Wind::N,বাতাস,باد
71,Welle::N,ঢেউ,موج
72,Welle::N,তরঙ্গ,موج
73,Wasser::N,জল,آب
74,Stein::N,ঢিল,سنگ
75,Stein::N,প্রস্তর,سنگ
76,Boden::N,ভূতল,زمین
77,Erde::N,ভূমি,خاک
78,Erde::N,ভূমি,زمین
79,Staub::N,ধুলা,گرد
80,Staub::N,ধুলা,غبار
81,Rauch::N,ধোঁয়া,دود
82,Funke::N,স্ফুলিঙ্গ,جرقه
83,Feuer::N,অগ্নি,آتش
84,Licht::N,আলো,نور
85,Licht::N,আলো,روشنی
86,Schatten::N,ছায়া,سایه
87,Wetter::N,আবহাওয়া,هوا
88,Nebel::N,কুহেলিকা,مه
89,Wolke::N,মেঘ,ابر
90,Regen::N,বৃষ্টি,باران
91,Schnee::N,তুষার,برف
92,Eis::N,বরফ,یخ
93,Frost::N,তুষার,یخبندان
94,Kälte::N,শৈত্য,سرما
95,Hitze::N,তাপ,گرما
96,Hitze::N,তাপ,حرارت
97,Raureif::N,তুহিন,برف ریزه
98,Regenbogen::N,রামধনু,رنگین‌کمان
99,Donner::N,বজ্রধ্বনি,رعد
100,Strömung::N,স্রোত,جریان
101,Tropfen::N,ফোঁটা,قطره
102,Schaum::N,ফেনা,کف
103,Schmutz::N,ধুলা,گل
104,Schmutz::N,ধুলা,کثافت
105,See::N,হ্রদ,دریاچه
106,Sumpf::N,জলা,مرداب
107,Sumpf::N,জলা,باتلاق
108,Moor::N,মাঠ,باتلاق
109,Wiese::N,তৃণভূমি,چمن
110,Wald::N,বন,جنگل
111,Hügel::N,পাহাড়,تل
112,Hügel::N,পাহাড়,تپه
113,Anhöhe::N,টিলা,بلندی
114,Berg::N,পর্বত,کوه
115,Gipfel::N,শীর্ষ,قله
116,Höhle::N,গুহা,غار
117,Abhang::N,ঢাল,سرازیری
118,Quelle::N,উৎস,چشمه
119,Bach::N,ক্ষুদ্র নদী,نهر
120,Fluss::N,নদী,رود
121,Ufer::N,উপকূল,ساحل
122,Ufer::N,উপকূল,کرانه
123,Küste::N,তীর,ساحل
124,Festland::N,ভূমি,خشکی
125,Meer::N,সমুদ্র,دریا
126,Bucht::N,উপসাগর,خلیج
127,Insel::N,দ্বীপ,جزیره
128,Blume::N,ফুল,گل
129,Gras::N,ঘাস,علف
130,Wurzel::N,শিকড়,ریشه
131,Baum::N,গাছ,درخت
132,Stamm::N,স্কন্ধ,تنه
133,Rinde::N,বল্কল,توژ
134,Rinde::N,বল্কল,پوست
135,Ast::N,শাখা,شاخه
