,Concept_ID,cy,ga
0,Auge::N,llygad,súil
1,Ohr::N,clust,cluas
2,Nase::N,trwyn,soc
3,Mund::N,ceg,béal
4,Zahn::N,dant,fiacail
5,Zunge::N,tafod,teanga
6,Lippe::N,gwefus,liopa
7,Wange::N,boch,grua
8,Wange::N,boch,leiceann
9,Gesicht::N,wyneb,éadan
10,Gesicht::N,wyneb,aghaidh
11,Stirn::N,talcen,baithis
12,Stirn::N,talcen,clár éadain
13,Haar::N,blew,gruaig
14,Schnurrbart::N,mwstas,croiméal
15,Bart::N,barf,féasóg
16,Kinn::N,gên,smig
17,Kiefer[Anatomie]::N,gên,giall
18,Kehle::N,gwddf,scornach
19,Hals::N,gwddf,muinéal
20,Genick::N,gwar,baic
21,Genick::N,gwegil,baic
22,Kopf::N,pen,ceann
23,Rücken::N,cefn,droim
24,Bauch::N,bol,bolg
25,Nabel::N,bogail,imleacán
26,Busen::N,bron,cíoch
27,Brust::N,brest,brollach
28,Schulter::N,ysgwydd,gualainn
29,Arm::N,braich,lámh
30,Ellenbogen::N,penelin,uillinn
31,Hand::N,llaw,lámh
32,Handfläche::N,palf,bos
33,Finger::N,bys,méar
34,Fingernagel::N,ewin,ionga
35,Nagel[Anatomie]::N,ewin,ionga
36,Zeh::N,bys troed,ladhar
37,Fuß::N,troed,cos
38,Fuß::N,troed,troigh
39,Ferse::N,sawdl,sáil
40,Knie::N,glin,glúin
41,Oberschenkel::N,clun,ceathrú
42,Bein::N,coes,cos
43,Körper::N,corff,corp
44,Körper::N,corff,colainn
45,Haut::N,croen,cneas
46,Haut::N,croen,craiceann
47,Blut::N,gwaed,fuil
48,Ader::N,gwythïen,
49,Sehne::N,gewyn,teannán
50,Sehne::N,gewyn,féitheog
51,Knochen::N,asgwrn,cnámh
52,Gehirn::N,ymennydd,inchinn
53,Herz::N,calon,croí
54,Magen::N,cylla,bolg
55,Magen::N,cylla,goile
56,Magen::N,stumog,bolg
57,Magen::N,stumog,goile
58,Leber::N,iau,ae
59,Atem::N,anadl,anáil
60,Hunger::N,newyn,ocras
61,Träne::N,deigryn,deoir
62,Geschmack::N,cyflas,blas
63,Geruch::N,aroglau,boladh
64,Schlaf::N,cwsg,suan
65,Schlaf::N,cwsg,codladh
66,Traum::N,breuddwyd,taibhreamh
67,Himmel::N,awyr,spéir
68,Sonne::N,haul,grian
69,Mond::N,lleuad,ré
70,Mond::N,lleuad,gealach
71,Stern::N,seren,rinn
72,Stern::N,seren,réalta
73,Luft::N,awyr,aer
74,Wind::N,gwynt,gaoth
75,Welle::N,ton,tonn
76,Wasser::N,dŵr,uisce
77,Stein::N,carreg,cloch
78,Boden::N,llawr,talamh
79,Erde::N,pridd,cré
80,Erde::N,pridd,ithir
81,Staub::N,llwch,dusta
