,Concept_ID,pt,be
0,Auge::N,olho,вока
1,Ohr::N,orelha,вуха
2,Nase::N,nariz,нос
3,Mund::N,boca,рот
4,Zahn::N,dente,зуб
5,Zunge::N,língua,язык
6,Lippe::N,lábio,губа
7,Wange::N,face,шчака
8,Gesicht::N,cara,твар
9,Gesicht::N,rosto,твар
10,Stirn::N,testa,лоб
11,Haar::N,cabelo,волас
12,Haar::N,cabelo,валасы
13,Schnurrbart::N,bigode,вус
14,Schnurrbart::N,bigode,вусы
15,Bart::N,barba,барада
16,Kinn::N,queixo,падбародак
17,Kiefer[Anatomie]::N,maxila,сківіца
18,Kiefer[Anatomie]::N,mandíbula,сківіца
19,Kehle::N,garganta,горла
20,Hals::N,colo,шыя
21,Hals::N,pescoço,шыя
22,Genick::N,nuca,патыліца
23,Kopf::N,cabeça,галава
24,Rücken::N,dorso,спіна
25,Rücken::N,costas,спіна
26,Bauch::N,ventre,жывот
27,Bauch::N,barriga,жывот
28,Nabel::N,umbigo,пупок
29,Busen::N,seio,грудзі
30,Brust::N,peito,грудзі
31,Schulter::N,ombro,плячо
32,Arm::N,braço,рука
33,Ellenbogen::N,cotovelo,локаць
34,Hand::N,mão,кісць
35,Handfläche::N,palma,далонь
36,Handfläche::N,palma da mão,далонь
37,Finger::N,dedo,палец
38,Fingernagel::N,unha,ногаць
39,Nagel[Anatomie]::N,unha,ногаць
40,Zeh::N,dedo do pé,палец
41,Fuß::N,pé,нага
42,Ferse::N,calcanhar,пята
43,Ferse::N,calcanhar,пятка
44,Knie::N,joelho,калена
45,Oberschenkel::N,coxa,бядро
46,Oberschenkel::N,coxa,сцягно
47,Bein::N,perna,нага
48,Körper::N,corpo,цела
49,Haut::N,pele,скура
50,Blut::N,sangue,кроў
51,Ader::N,veia,вена
52,Ader::N,veia,сасуд
53,Sehne::N,tendão,жыла
54,Sehne::N,tendão,цеціва
55,Sehne::N,tendão,сухажылле
56,Knochen::N,osso,косць
57,Gehirn::N,cérebro,мозг
58,Herz::N,coração,сэрца
59,Magen::N,estômago,страўнік
60,Leber::N,fígado,печань
61,Atem::N,fôlego,дыханне
62,Hunger::N,fome,голад
63,Träne::N,lágrima,сляза
64,Geschmack::N,gosto,смак
65,Geruch::N,odor,пах
66,Geruch::N,cheiro,пах
67,Schlaf::N,sono,сон
68,Traum::N,sonho,сон
69,Himmel::N,céu,неба
70,Sonne::N,sol,сонца
71,Mond::N,lua,месяц
72,Stern::N,estrela,зорка
73,Luft::N,ar,паветра
74,Wind::N,vento,вецер
75,Welle::N,onda,хваля
76,Wasser::N,água,вада
77,Stein::N,pedra,камень
78,Boden::N,solo,глеба
79,Erde::N,terra,зямля
80,Staub::N,pó,пыл
81,Rauch::N,fumo,дым
82,Funke::N,faísca,іскра
83,Funke::N,centelha,іскра
84,Feuer::N,fogo,агонь
85,Licht::N,luz,святло
86,Schatten::N,sombra,цень
87,Wetter::N,tempo,пагода
