,Concept_ID,az,ga
0,Auge::N,göz,súil
1,Ohr::N,qulaq,cluas
2,Nase::N,burun,soc
3,Mund::N,ağız,béal
4,Zahn::N,diş,fiacail
5,Zunge::N,dil,teanga
6,Lippe::N,dodaq,liopa
7,Wange::N,yanaq,grua
8,Wange::N,yanaq,leiceann
9,Gesicht::N,üz,éadan
10,Gesicht::N,üz,aghaidh
11,Stirn::N,alın,baithis
12,Stirn::N,alın,clár éadain
13,Haar::N,saç,gruaig
14,Schnurrbart::N,bığ,croiméal
15,Bart::N,saqqal,féasóg
16,Kinn::N,çənə,smig
17,Kiefer[Anatomie]::N,çənə,giall
18,Kehle::N,boğaz,scornach
19,Hals::N,boyun,muinéal
20,Genick::N,ənsə,baic
21,Kopf::N,baş,ceann
22,Rücken::N,bel,droim
23,Bauch::N,qarın,bolg
24,Nabel::N,göbək,imleacán
25,Busen::N,məmə,cíoch
26,Brust::N,döş,brollach
27,Schulter::N,çiyin,gualainn
28,Arm::N,qol,lámh
29,Ellenbogen::N,dirsək,uillinn
30,Hand::N,əl,lámh
31,Handfläche::N,ovuc,bos
32,Finger::N,barmaq,méar
33,Fingernagel::N,barmaq dırnağı,ionga
34,Nagel[Anatomie]::N,dırnak,ionga
35,Zeh::N,ayaq barmağı,ladhar
36,Fuß::N,ayaq,cos
37,Fuß::N,ayaq,troigh
38,Ferse::N,daban,sáil
39,Knie::N,diz,glúin
40,Oberschenkel::N,bud,ceathrú
41,Bein::N,qıç,cos
42,Körper::N,əndam,corp
43,Körper::N,əndam,colainn
44,Haut::N,dəri,cneas
45,Haut::N,dəri,craiceann
46,Blut::N,qan,fuil
47,Ader::N,damar,
48,Sehne::N,vətər,teannán
49,Sehne::N,vətər,féitheog
50,Knochen::N,sümük,cnámh
51,Gehirn::N,beyin,inchinn
52,Herz::N,ürək,croí
53,Magen::N,mədə,bolg
54,Magen::N,mədə,goile
55,Leber::N,qara ciyər,ae
56,Atem::N,nəfəs,anáil
57,Hunger::N,aclıq,ocras
58,Träne::N,göz yaşı,deoir
59,Geschmack::N,tam,blas
60,Geschmack::N,ləzzət,blas
61,Geruch::N,qoxu,boladh
62,Schlaf::N,yuxu,suan
63,Schlaf::N,yuxu,codladh
64,Traum::N,röya,taibhreamh
65,Himmel::N,göy,spéir
66,Himmel::N,səma,spéir
67,Sonne::N,günəş,grian
68,Mond::N,ay,ré
69,Mond::N,ay,gealach
70,Stern::N,ulduz,rinn
71,Stern::N,ulduz,réalta
72,Luft::N,hava,aer
73,Wind::N,yel,gaoth
74,Wind::N,külək,gaoth
75,Welle::N,dalğa,tonn
76,Wasser::N,su,uisce
77,Stein::N,daş,cloch
78,Boden::N,yer,talamh
79,Boden::N,zəmin,talamh
80,Erde::N,yer torpaq,cré
81,Erde::N,yer torpaq,ithir
82,Staub::N,toz,dusta
83,Staub::N,toz,deannach
84,Rauch::N,tüstü,toit
85,Rauch::N,tüstü,deatach
86,Funke::N,qığılcım,drithle
87,Feuer::N,od,tine
88,Licht::N,işıq,solas
89,Schatten::N,kölgə,scáth
90,Wetter::N,hava,aimsir
91,Nebel::N,duman,ceo
92,Wolke::N,bulud,néal
93,Wolke::N,bulud,scamall
94,Regen::N,yağış,báisteach
95,Regen::N,yağış,fearthainn
96,Regen::N,yağmur,báisteach
97,Regen::N,yağmur,fearthainn
98,Schnee::N,qar,sneachta
99,Eis::N,buz,oighear
100,Frost::N,ayaz,sioc
101,Kälte::N,soyuq,fuacht
102,Hitze::N,coşğunluq,teas
103,Hitze::N,coşğunluq,teocht
104,Raureif::N,qırov,sioc bán
105,Regenbogen::N,göy qurşağı,stua ceatha
106,Regenbogen::N,göy qurşağı,bogha báistí
107,Donner::N,göy gurultusu,toirneach
108,Strömung::N,axın,sruth
109,Tropfen::N,damcı,deoir
110,Schaum::N,köpük,cúr
111,Schmutz::N,çamır,salachar
112,See::N,göl,loch
113,Sumpf::N,bataqlıq,portach
114,Moor::N,bataqlıq,caorán
115,Moor::N,bataqlıq,móinteán
116,Wiese::N,çəmən,cluain
117,Wiese::N,çəmən,móinéar
118,Wald::N,meşə,coill
119,Wald::N,meşə,foraois
120,Hügel::N,təpə,ard
121,Anhöhe::N,təpə,ard
122,Anhöhe::N,təpə,ardán
123,Berg::N,dağ,sliabh
124,Gipfel::N,zirvə,barr
125,Gipfel::N,zirvə,mullach
126,Höhle::N,mağara,uaimh
127,Höhle::N,mağara,pluais
128,Abhang::N,yamac,fána
129,Quelle::N,bulaq,foinse
130,Bach::N,kiçik çay,sruthán
131,Fluss::N,çay,abhainn
132,Ufer::N,kənar,bruach
133,Küste::N,sahil,cósta
134,Küste::N,sahil,cladach
135,Festland::N,materik,míntír
136,Meer::N,dəniz,muir
137,Meer::N,dəniz,farraige
138,Bucht::N,körfəz,bá
139,Bucht::N,körfəz,cuan
140,Insel::N,ada,inis
141,Insel::N,ada,oileán
142,Blume::N,çiçək,bláth
143,Gras::N,ot,féar
144,Wurzel::N,kök,rúta
145,Wurzel::N,kök,fréamh
146,Baum::N,ağac,crann
147,Stamm::N,gövdə,stoc
148,Stamm::N,gövdə,tamhan
149,Rinde::N,qabıq,coirt
150,Rinde::N,qabıq,craiceann
151,Ast::N,şax,géag
152,Zweig::N,budaq,géag
153,Zweig::N,budaq,craobh
154,Blatt::N,yarpaq,duille
155,Blatt::N,yarpaq,duilleog
156,Birke::N,tozağacı,beith
157,Birke::N,tozağacı,crann beithe
158,Kiefer[Baum]::N,şam,péine
159,Weide[Baum]::N,söyüd,saileach
160,Tanne::N,küknar,giúis
161,Horn::N,buynuz,adharc
162,Feder::N,tük,cleite
163,Feder::N,lələk,cleite
164,Fell::N,xəz,clúmh
165,Flügel::N,qanad,eite
166,Flügel::N,qanad,sciathán
167,Klaue::N,pəncə,crúb
168,Klaue::N,pəncə,crobh
169,Kralle::N,dırnaq,crobh
170,Schwanz::N,quyruq,eireaball
171,Ei::N,yumurta,ubh
172,Nest::N,yuva,nead
173,Bau::N,yuva,brocais
174,Tier::N,heyvan,ainmhí
175,Tier::N,heyvan,beithíoch
176,Herde::N,sürü,tréad
177,Kuh::N,inək,bó
178,Bulle::N,öküz,tarbh
179,Pferd::N,at,each
180,Pferd::N,at,capall
181,Schaf::N,qoyun,caora
182,Schwein::N,donuz,muc
183,Hund::N,it,madra
184,Hund::N,köpək,madra
185,Katze::N,pişik,cat
186,Bär::N,ayı,béar
187,Eichhörnchen::N,dələ,iora
188,Elch::N,sığın,eilc
189,Fuchs::N,tülkü,sionnach
190,Fuchs::N,tülkü,madra rua
191,Hase::N,dovşan,giorria
192,Maus::N,siçan,luch
193,Wolf::N,qurd,mac tíre
194,Vogel::N,quş,éan
195,Schwarm::N,sürü,saithe
196,Huhn::N,toyuq,cearc
197,Hahn::N,xoruz,coileach
198,Gans::N,qaz,gé
199,Adler::N,qartal,iolar
200,Adler::N,qaraquş,iolar
201,Ente::N,ördək,lacha
202,Eule::N,bayquş,ulchabhán
203,Kranich::N,durna,grús
204,Krähe::N,qarğa,caróg
205,Krähe::N,qarğa,préachán
206,Kuckuck::N,ququ,cuach
207,Schwan::N,qu quşu,eala
208,Fisch::N,balıq,iasc
209,Barsch::N,tar,péirse
210,Hecht::N,durnabalığı,liús
211,Schlange[Tier]::N,ilan,nathair
212,Wurm::N,qurd,péist
213,Spinne::N,hörümçək,damhán alla
214,Ameise::N,qarışqa,seangán
215,Laus::N,bit,míol
216,Mücke::N,ağcaqanad,muiscít
217,Mücke::N,ağcaqanad,corrmhíol
218,Fliege::N,milçək,cuil
219,Fliege::N,milçək,cuileog
220,Schmetterling::N,kəpənək,féileacán
221,Beere::N,gilə,caor
222,Apfel::N,alma,úll
223,Pilz::N,göbələk,beacán
224,Pilz::N,göbələk,muisiriún
225,Zwiebel::N,soğan,oinniún
226,Saat::N,əkin,síol
227,Korn::N,taxıl,gráinne
228,Heu::N,quru ot,féar
229,Schale::N,qabıq,scaimh
230,Grube::N,çuxur,poll
231,Falle::N,tələ,gaiste
232,Falle::N,duzaq,gaiste
233,Schlinge::N,ilmək,sealán
234,Spur::N,iz,rian
235,Asche::N,kül,luaith
236,Dreck::N,kir,salachar
237,Eisen::N,dəmir,iarann
238,Gold::N,altun,ór
239,Silber::N,gümüş,airgead
240,Kohle::N,kömür,gual
241,Glas::N,şüşə,gloine
242,Lehm::N,gil,cré
243,Lehm::N,palçıq,cré
244,Sand::N,qum,gaineamh
245,Mensch::N,adam,duine
246,Mensch::N,insan,duine
247,Mann::N,kişi,fear
248,Frau::N,qadın,bean
249,Kind::N,uşaq,gasúr
250,Kind::N,uşaq,páiste
251,Junge::N,oğlan,buachaill
252,Mädchen::N,qız,cailín
253,Familie::N,ailə,teaghlach
254,Familie::N,ailə,comhluadar
255,Großvater::N,baba,seanathair
256,Großmutter::N,nənə,seanmháthair
257,Eltern::N,valideyn,tuismitheoirí
258,Vater::N,ata,athair
259,Mutter::N,ana,máthair
260,Sohn::N,oğul,mac
261,Tochter::N,qız,iníon
262,Bruder::N,qardaş,deartháir
263,Schwester::N,bacı,deirfiúr
264,Onkel::N,əmi,uncail
265,Onkel::N,dayı,uncail
266,Tante::N,bibi,aintín
267,Ehemann::N,ər,fear céile
268,Ehefrau::N,arvad,bean chéile
269,Freude::N,nəşə,áthas
270,Freude::N,sevinc,áthas
271,Gelächter::N,gülüş,gáire
272,Gelächter::N,qəhqəhə,gáire
273,Glück::N,səadət,séan
274,Glück::N,səadət,sonas
275,Glück::N,xoşbəxtlik,séan
276,Glück::N,xoşbəxtlik,sonas
277,Kummer::N,qəm,brón
278,Kummer::N,qəm,buairt
279,Kummer::N,kədər,brón
280,Kummer::N,kədər,buairt
281,Wunsch::N,arzu,guí
282,Wunsch::N,arzu,achainí
283,Lust::N,həvəs,fonn
284,Geist::N,ruh,meon
285,Geist::N,ruh,spiorad
286,Gedanke::N,fikir,smaoineamh
287,Gedanke::N,düşüncə,smaoineamh
288,Gedächtnis::N,xatir,cuimhne
289,Gedächtnis::N,hafizə,cuimhne
290,Verstand::N,ağıl,ciall
291,Verstand::N,ağıl,intinn
292,Sinn::N,məna,brí
293,Sinn::N,məna,ciall
294,Grund::N,səbəb,fáth
295,Wahrheit::N,haqq,fírinne
296,Wahrheit::N,doğruluq,fírinne
297,Gespräch::N,söhbət,comhrá
298,Gespräch::N,qonuşma,comhrá
299,Märchen::N,nağıl,scéal
300,Erzählung::N,hekayə,scéal
301,Nachricht::N,xəbər,teachtaireacht
302,Neuigkeit::N,xəbər,scéala
303,Neuigkeit::N,yenilik,scéala
304,Name::N,ad,ainm
305,Rätsel::N,tapmaca,tomhas
306,Rede::N,nitq,óráid
307,Rede::N,nitq,aitheasc
308,Sprache::N,dil,teanga
309,Stimme::N,səs,guth
310,Wort::N,söz,focal
311,Wort::N,kəlmə,focal
312,Zeichen::N,nişan,comhartha
313,Ruf::N,çığırtı,glaoch
314,Lärm::N,gurultu,torann
315,Laut::N,səs,fuaim
316,Ton::N,ton,ton
317,Lied::N,mahnı,amhrán
318,Ruhe::N,sakitlik,suaimhneas
319,Leute::N,xalq,muintir
320,Volk::N,millət,pobal
321,Arbeit::N,iş,obair
322,Arbeit::N,əmək,obair
323,Gast::N,qonaq,aoi
324,Gast::N,müsafir,aoi
325,Geschenk::N,hədiyyə,féirín
326,Geschenk::N,hədiyyə,bronntanas
327,Spiel::N,oyun,cluiche
328,Spiel::N,tamaşa,cluiche
329,Gesellschaft::N,cəmiyyet,comhluadar
330,Hilfe::N,kömək,cúnamh
331,Hilfe::N,kömək,cabhair
332,Hilfe::N,yardım,cúnamh
333,Hilfe::N,yardım,cabhair
334,Freund::N,dost,cara
335,Kamerad::N,yoldaş,comrádaí
336,Angelegenheit::N,iş,ábhar
337,Anzahl::N,say,líon
338,Art::N,çeşid,sórt
339,Art::N,çeşid,saghas
340,Stück::N,dənə,píosa
341,Stück::N,parça,píosa
342,Teil::N,qisim,cuid
343,Teil::N,qisim,páirt
344,Hälfte::N,yarım,leath
345,Kreis::N,dairə,ciorcal
346,Kreuz::N,xaç,cros
347,Linie::N,xətt,líne
348,Strich::N,cızıq,stríoc
349,Abstand::N,məsafə,achar
350,Entfernung::N,məsafə,fad
351,Entfernung::N,uzaqlıq,fad
352,Gegend::N,bölgə,ceantar
353,Platz::N,yer,áit
354,Platz::N,yer,spás
355,Ort::N,yer,áit
356,Seite::N,yan,taobh
357,Seite::N,tərəf,taobh
358,Mitte::N,orta,lár
