,Concept_ID,da,ady
0,Auge::N,øje,нэ
1,Ohr::N,øre,тхьакӏу́м
2,Nase::N,næse,пэ
3,Mund::N,mund,жэ
4,Zahn::N,tand,цэ
5,Zunge::N,tunge,бзэгу
6,Lippe::N,læbe,ӏупшӏэ́
7,Wange::N,kind,нэкӏу́шъу
8,Gesicht::N,ansigt,нэ́гу
9,Stirn::N,pande,натӏэ́
10,Haar::N,hår,шъхьацы́
11,Schnurrbart::N,overskæg,
12,Bart::N,skæg,жакӏэ́
13,Kinn::N,hage,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,kæbe,жэпкъы́
15,Kehle::N,strube,чый
16,Hals::N,hals,пшъэ
17,Genick::N,nakke,шъхьэпхэтыку
18,Kopf::N,hoved,шъхьэ́
19,Rücken::N,ryg,кӏыбы́
20,Bauch::N,mave,ныбэ́
21,Nabel::N,navle,
22,Busen::N,barm,бгъэ́
23,Brust::N,bryst,бгъэ́
24,Schulter::N,skulder,блыпкъ
25,Arm::N,arm,ӏэ
26,Ellenbogen::N,albue,ӏэнтэ́гъу
27,Hand::N,hånd,ӏэтхьэцу
28,Handfläche::N,håndflade,ӏэ́гу
29,Finger::N,finger,ӏэхъуа́мб
30,Fingernagel::N,fingernegl,ӏэбжъа́н
31,Nagel[Anatomie]::N,negl,ӏэбжъа́н
32,Zeh::N,tå,ӏэхъуа́мб
33,Fuß::N,fod,лъэгу
34,Ferse::N,hæl,лъэдакъэ
35,Knie::N,knæ,лъагуа́ндж
36,Oberschenkel::N,lår,ко
37,Bein::N,ben,лъакъо́
38,Körper::N,krop,пкъышъол
39,Körper::N,legeme,пкъышъол
40,Haut::N,hud,кӏы́шъу
41,Blut::N,blod,лъы
42,Ader::N,åre,льытф
43,Sehne::N,sene,фэ
44,Knochen::N,ben,къупшъхьэ́
45,Gehirn::N,hjerne,куцӏы
46,Herz::N,hjerte,гу
47,Magen::N,mave,мышкӏу
48,Leber::N,lever,шӏу
49,Atem::N,ånde,къэщэныр
50,Hunger::N,sult,гъаблэ́
51,Träne::N,tåre,нэпсы
52,Geschmack::N,smag,ӏэшӏугъа́кӏ
53,Geruch::N,lugt,мэ
54,Schlaf::N,søvn,пчыхьы́пӏ
55,Traum::N,drøm,пчыхьы́пӏ
56,Himmel::N,himmel,уашъо́
57,Sonne::N,sol,тыгъэ
58,Mond::N,måne,мазэ
59,Stern::N,stjerne,жъуагъо́
60,Luft::N,luft,жьы
61,Wind::N,vind,жьыбгъэ́
62,Welle::N,bølge,ор
63,Welle::N,bølge,оры
64,Wasser::N,vand,псы
65,Stein::N,sten,мыжъо́
66,Boden::N,jord,чӏ́ыгу
67,Erde::N,jord,чӏ́ыгу
68,Staub::N,støv,сап
69,Rauch::N,røg,ӏугъо́
70,Funke::N,gnist,мэшӏуа́ч
71,Feuer::N,ild,машӏо́
72,Licht::N,lys,нэфы
73,Licht::N,lys,нэфын
74,Schatten::N,skygge,жьау́
75,Schatten::N,skygge,ныбжьыкъу
76,Wetter::N,vejr,
77,Nebel::N,tåge,пща́гъу
78,Wolke::N,sky,ошъуапщэ
79,Regen::N,regn,ощхы
80,Schnee::N,sne,осы́
81,Eis::N,is,мылы
82,Frost::N,frost,
83,Kälte::N,kulde,чъыӏэ́
84,Hitze::N,hede,фэба́е
85,Raureif::N,rimfrost,
86,Regenbogen::N,regnbue, лэгъупэкъо́пс
87,Donner::N,torden,шыблэ́
88,Strömung::N,strømning,ток
89,Tropfen::N,dråbe,ткӏопс
90,Tropfen::N,dråbe,гъуаткӏу
91,Schaum::N,skum,тхъурбэ
92,Schmutz::N,snavs,псынжъы
93,See::N,sø,хыку́м
94,See::N,sø,псыхъура́й
95,Sumpf::N,sump,орыжъ
96,Moor::N,mose,орыжъ
97,Wiese::N,eng,хъупӏэ́
98,Wiese::N,eng,мэкъупӏ
99,Wald::N,skov,мэзы́
100,Hügel::N,høj,ӏуашъхь
101,Hügel::N,bakke,ӏуашъхь
102,Anhöhe::N,høj,чӏыӏэтыгъ
103,Anhöhe::N,bakke,чӏыӏэтыгъ
104,Berg::N,bjerg,къушъхьэ́
105,Gipfel::N,top,шыгу
106,Höhle::N,hule,гъочӏэгъ
107,Abhang::N,skrænt,чапэ
108,Abhang::N,skråning,чапэ
109,Quelle::N,kilde,псынэчэ́чъ
110,Bach::N,bæk,псышкуашку
111,Fluss::N,flod,псыхъо́
112,Ufer::N,bred,нэпкъы
113,Küste::N,kyst,ӏушъо
114,Festland::N,fastland,чӏл́ыгу
115,Meer::N,hav,хы
116,Bucht::N,bugt,хыблыгу
117,Insel::N,ø,хыгъэхъу́н
118,Blume::N,blomst,къэгъа́гь
119,Gras::N,græs,уцы́
120,Wurzel::N,rod,лъапсэ́
121,Baum::N,træ,чъыгы́
122,Stamm::N,stamme,пкъы
123,Rinde::N,bark,пхъашъо́
124,Ast::N,gren,куамэ
125,Zweig::N,kvist,къутамэ́
126,Blatt::N,blad,тхьап
127,Birke::N,birk,пчэн
128,Kiefer[Baum]::N,fyrretræ,сэснэй
129,Weide[Baum]::N,piletræ,пце́л
130,Tanne::N,gran,ель
131,Horn::N,horn,бжъэ
132,Feder::N,fjer,къамӏы́й
133,Fell::N,skind,шъо
134,Flügel::N,vinge,тамэ́
135,Klaue::N,klov,лъэбжъа́н
136,Kralle::N,klo,лъакъо
137,Schwanz::N,hale,кӏэ
138,Ei::N,æg,кӏэнкӏэ́
139,Nest::N,rede,набгъо́
140,Bau::N,bo,гъу
141,Bau::N,bo,бы
142,Tier::N,dyr,псэу́шъхь
143,Herde::N,flok,ӏэхъогъу
144,Kuh::N,ko,чэмы́
145,Bulle::N,tyr,цу
146,Pferd::N,hest,шы
147,Schaf::N,får,мэлы́
148,Schwein::N,gris,къо
149,Hund::N,hund,бьэ
150,Katze::N,kat,чэты́у
151,Bär::N,bjørn,мышъэ́
152,Eichhörnchen::N,egern,цызэ́
153,Elch::N,elg,лось
154,Fuchs::N,ræv,баджэ́
155,Hase::N,hare,тхьакӏумкӏы́хь
156,Maus::N,mus,цыгъо́
157,Wolf::N,ulv,тыгъу́жъ
158,Vogel::N,fugl,бзы́у
159,Schwarm::N,sværm,отэр
160,Huhn::N,høne,чэты́
161,Hahn::N,hane,атакъэ́
162,Gans::N,gås,къа́з
163,Adler::N,ørn,
164,Ente::N,and,псычэ́т
165,Eule::N,ugle,тыгъурыгъу
166,Kranich::N,trane,къэрэ́у
167,Krähe::N,krage,къолэ́жъ
168,Kuckuck::N,gøg,куку́у
169,Schwan::N,svane,
170,Fisch::N,fisk,пцэжъы́й
171,Barsch::N,aborre,тхыкъэц
172,Hecht::N,gedde,лэнд
173,Schlange[Tier]::N,slange,блэ́
174,Wurm::N,orm,хьамлыу
175,Spinne::N,edderkop,бэдж
176,Ameise::N,myre,къамзэ́гу
177,Laus::N,lus,цӏэ
178,Mücke::N,myg,аргъо́й
179,Fliege::N,flue,бадзэ́
180,Schmetterling::N,sommerfugl,хьампӏыра́шъу
181,Beere::N,bær,маткӏо
182,Apfel::N,æble,мыӏэры́с
