,Concept_ID,br,it
0,Auge::N,lagad,occhio
1,Ohr::N,skouarn,orecchio
2,Nase::N,fri,naso
3,Mund::N,genoù,bocca
4,Zahn::N,dant,dente
5,Zunge::N,teod,lingua
6,Lippe::N,muzell,labbro
7,Wange::N,chot,guancia
8,Gesicht::N,dremm,viso
9,Gesicht::N,dremm,faccia
10,Stirn::N,tal,fronte
11,Haar::N,blev,capello
12,Schnurrbart::N,mourenn,baffi
13,Schnurrbart::N,mourenn,mustacchi
14,Bart::N,barv,barba
15,Kinn::N,groñj,mento
16,Kiefer[Anatomie]::N,javed,mascella
17,Kehle::N,gouzoug,gola
18,Hals::N,gouzoug,collo
19,Genick::N,choug,nuca
20,Kopf::N,penn,capo
21,Kopf::N,penn,testa
22,Rücken::N,kein,dorso
23,Rücken::N,kein,schiena
24,Bauch::N,kof,ventre
25,Nabel::N,begel,ombelico
26,Busen::N,bronn,seno
27,Brust::N,bruched,petto
28,Schulter::N,skoaz,spalla
29,Arm::N,brec'h,braccio
30,Ellenbogen::N,ilin,gomito
31,Hand::N,dorn,mano
32,Handfläche::N,palv,palma
33,Finger::N,biz,dito
34,Fingernagel::N,ivin,unghia
35,Nagel[Anatomie]::N,ivin,unghia
36,Zeh::N,biz-troad,dito del piede
37,Fuß::N,troad,piede
38,Ferse::N,seul,tallone
39,Ferse::N,seul,calcagno
40,Knie::N,glin,ginocchio
41,Oberschenkel::N,morzhed,fèmore
42,Bein::N,gar,gamba
43,Körper::N,korf,corpo
44,Haut::N,kroc'hen,pelle
45,Blut::N,gwad,sangue
46,Ader::N,gwazhi,vena
47,Sehne::N,stir,tèndine
48,Knochen::N,askorn,osso
49,Gehirn::N,empenn,cervello
50,Herz::N,kalon,cuore
51,Magen::N,stomog,stòmaco
52,Leber::N,avu,fegato
53,Atem::N,anal,fiato
54,Atem::N,anal,respiro
55,Hunger::N,naon,fame
56,Träne::N,daer,làcrima
57,Geschmack::N,blaz,gusto
58,Geschmack::N,blaz,sapore
59,Geruch::N,c'hwezh,odore
60,Schlaf::N,kousked,sonno
61,Traum::N,hune,sogno
62,Himmel::N,oabl,cielo
63,Sonne::N,heol,sole
64,Mond::N,loar,luna
65,Stern::N,steredenn,stella
66,Luft::N,aer,aria
67,Wind::N,avel,vento
68,Welle::N,houlenn,onda
69,Wasser::N,dour,acqua
70,Stein::N,maen,sasso
71,Stein::N,maen,pietra
72,Boden::N,tachenn,suolo
73,Boden::N,tachenn,terreno
74,Erde::N,douar,terra
75,Staub::N,poultr,polvere
76,Rauch::N,moged,fumo
77,Funke::N,ful,scintilla
78,Feuer::N,tan,fuoco
79,Licht::N,gouloù,luce
80,Schatten::N,disheol,ombra
81,Wetter::N,amzer,tempo
82,Nebel::N,brumenn,nebbia
83,Wolke::N,koumoulenn,nube
84,Wolke::N,koumoulenn,nùvola
85,Regen::N,glav,pioggia
86,Schnee::N,erc'h,neve
87,Eis::N,skorn,ghiaccio
88,Frost::N,rev,gelo
89,Kälte::N,yen,freddo
90,Hitze::N,tommder,caldo
91,Hitze::N,tommder,calura
92,Raureif::N,frim,brina
93,Regenbogen::N,gwareg-ar-glav,arcobaleno
94,Donner::N,kurun,tuono
95,Strömung::N,red,corrente
96,Tropfen::N,bannac'h,goccia
97,Tropfen::N,takenn,goccia
98,Schaum::N,spoum,spuma
99,Schaum::N,spoum,schiuma
100,Schmutz::N,fank,sudiciume
101,See::N,lenn,lago
102,Sumpf::N,gwern,palude
103,Moor::N,taouarc'heg,torbiera
104,Wiese::N,prad,prato
105,Wald::N,koad,bosco
106,Wald::N,koad,foresta
107,Hügel::N,torgenn,colle
108,Hügel::N,torgenn,collina
109,Anhöhe::N,run,altura
110,Berg::N,menez,monte
111,Berg::N,menez,montagna
112,Gipfel::N,barr,cima
113,Höhle::N,kav,grotta
114,Höhle::N,kav,caverna
115,Abhang::N,naou,pendìo
116,Quelle::N,feunteun,sorgente
117,Bach::N,gwazh,ruscello
