,Concept_ID,uk,cv
0,Auge::N,око,куҫ
1,Ohr::N,вухо,хӑлха
2,Nase::N,ніс,сӑмса
3,Mund::N,рот,ҫӑвар
4,Zahn::N,зуб,шӑл
5,Zunge::N,язик,чӗлхе
6,Lippe::N,губа,тута
7,Wange::N,щока,пит ҫӑмарти
8,Gesicht::N,обличчя,пит
9,Gesicht::N,обличчя,пит-куҫ
10,Stirn::N,лоб,ҫамка
11,Haar::N,волосся,ҫӳҫ
12,Schnurrbart::N,вуса,усси
13,Bart::N,борода,сухал
14,Kinn::N,підборіддя,янах
15,Kiefer[Anatomie]::N,щелепа,янах
16,Kehle::N,горло,пыр
17,Kehle::N,горло,карланкӑ
18,Hals::N,шия,пыр
19,Genick::N,потилиця,ӗнсе
20,Kopf::N,голова,пуҫ
21,Rücken::N,спина,ҫурӑм
22,Bauch::N,живіт,
23,Nabel::N,пупок,кӑвапа
24,Busen::N,груди,кӑкӑр
25,Brust::N,груди,умӗ
26,Schulter::N,плече,хул пуҫҫи
27,Arm::N,рука,алӑ
28,Ellenbogen::N,лікоть,чавса
29,Hand::N,рука,алӑ сыппи
30,Handfläche::N,долоня,ал лаппи
31,Finger::N,палець,пӳрне
32,Fingernagel::N,ніготь,чӗрне
33,Nagel[Anatomie]::N,ніготь,чӗрне
34,Zeh::N,палець на нозі,пӳрне
35,Fuß::N,нога,ура лаппи
36,Ferse::N,п’ятка,кӗле
37,Knie::N,коліно,чӗркуҫҫи
38,Oberschenkel::N,стегно,пӗҫӗ
39,Bein::N,нога,ура
40,Körper::N,тіло,ӳт
41,Körper::N,тіло,ӳт-пӳ
42,Haut::N,шкіра,тир
43,Blut::N,кров,юн
44,Ader::N,вена,вена
45,Sehne::N,сухожилля,шӑнӑр
46,Knochen::N,кістка,шӑмӑ
47,Gehirn::N,мозок,миме
48,Herz::N,серце,чӗре
49,Magen::N,шлунок,хырӑмлӑх
50,Leber::N,печінка,пӗвер
51,Atem::N,дихання,сывлав
52,Hunger::N,голод,выҫлӑх
53,Träne::N,сльоза,куҫҫуль
54,Geschmack::N,смак,техӗм
55,Geruch::N,запах,шӑршӑ
56,Schlaf::N,сон,ыйхӑ
57,Schlaf::N,сплячка,ыйхӑ
58,Traum::N,сон,тӗлӗк
59,Himmel::N,небо,пӗлӗт
60,Sonne::N,сонце,хӗвел
61,Mond::N,місяць,уйӑх
62,Stern::N,зірка,ҫӑлтӑр
63,Luft::N,повітря,сывлӑш
64,Wind::N,вітер,ҫил
65,Welle::N,хвиля,хум
66,Wasser::N,вода,шыв
67,Wasser::N,вода,шыв-шур
68,Stein::N,камінь,чул
69,Boden::N,ґрунт,тӑпра
70,Erde::N,земля,ҫӗр
71,Staub::N,пил,тусан
72,Rauch::N,дим,тӗтӗм
73,Funke::N,іскра,хӗм
74,Feuer::N,вогонь,вут
75,Feuer::N,вогонь,ҫулӑм
76,Licht::N,світло,ҫутӑ
77,Schatten::N,тінь,сулхӑн
78,Wetter::N,погода,ҫанталӑк
79,Nebel::N,туман,тӗтре
80,Wolke::N,хмара,пӗлӗт
81,Regen::N,дощ,ҫумӑр
82,Schnee::N,сніг,юр
83,Eis::N,лід,пӑр
84,Frost::N,мороз,сивӗ
85,Kälte::N,холод,сивӗ
86,Hitze::N,жар,вӗри
87,Hitze::N,жар,шӑрӑх
88,Raureif::N,іній,пас
89,Regenbogen::N,райдуга,асамат кӗперӗ
90,Donner::N,грім,аслати
91,Strömung::N,струмина,юхӑ
92,Tropfen::N,крапля,тумлам
93,Schaum::N,піна,кӑпӑк
94,Schmutz::N,бруд,пылчӑк
95,See::N,озеро,кӳлӗ
96,Sumpf::N,драговина,шур
97,Sumpf::N,драговина,шурлӑх
98,Moor::N,болото,торфлӑ шурлӑх
99,Wiese::N,луг,улӑх
100,Wiese::N,луг,ҫаран
101,Wiese::N,лука,улӑх
102,Wiese::N,лука,ҫаран
103,Wald::N,ліс,вӑрман
104,Hügel::N,горб,сӑрт
105,Hügel::N,горб,тӗмеске
106,Anhöhe::N,височина,сӑрт
107,Berg::N,гора,ту
108,Gipfel::N,вершина,тӳпе
109,Höhle::N,печера,ҫӗр хӑвӑлӗ
110,Abhang::N,схил,тӑвайкки
111,Quelle::N,джерело,ҫӑл куҫ
112,Bach::N,струмок,пӗчӗк шыв
113,Fluss::N,річка,юхан шыв
114,Ufer::N,берег,ҫыран
115,Küste::N,узбережжя,тинӗс ҫыранӗ
116,Festland::N,суша,тип ҫӗр
117,Meer::N,море,тинӗс
118,Bucht::N,бухта,тинӗс кукӑрӗ
119,Bucht::N,затока,тинӗс кукӑрӗ
120,Insel::N,острів,утрав
121,Blume::N,квітка,чечек
122,Gras::N,трава,курӑк
123,Wurzel::N,корінь,тымар
124,Baum::N,дерево,йывӑҫ
125,Stamm::N,стовбур,вулӑ
126,Rinde::N,кора,хуйӑр
127,Ast::N,гілка,турат
128,Zweig::N,галузь,турат
129,Blatt::N,лист,ҫулҫӑ
130,Birke::N,береза,хурӑн
131,Kiefer[Baum]::N,сосна,хыр
132,Weide[Baum]::N,верба,хӑва
133,Tanne::N,ялиця,чӑрӑш
134,Horn::N,ріг,мӑйрака
